;GO:0016525;GO:0006283;GO:0006366;GO:0051092;GO:0006367;GO:0046339;GO:0007259;GO:0042535;GO:2000439;GO:0035518;GO:0001701;GO:0032729;GO:0016055;GO:0071456;GO:2000473;GO:0019722;GO:0035556;GO:0051403;GO:0070914;GO:1901990;GO:0007186;GO:0006296;GO:0090026;GO:0006293;GO:0090265;GO:0006294;GO:0050729;GO:0007223;GO:0043310;GO:0045732;GO:0007188;GO:0046549;GO:0006654;GO:0043161;GO:0060837;GO:0035705;GO:0002407;GO:0010820;GO:0070911;GO:0035264;GO:0007194;GO:0000715;GO:0061154;GO:0001570;GO:0043687;GO:0046834;GO:0001885;GO:0007229;GO:0043171;GO:0046641;GO:2000451;GO:0045070;GO:0032743;GO:0042769;GO:0050908;GO:0000209;GO:1902188;GO:1903238;GO:0051481;GO:0001580;GO:0007205;GO:0046726;GO:0007602;GO:1903955;GO:0007204;GO:0006357;GO:0002548;GO:0048873;GO:0043066;GO:0045087;GO:0070098;GO:0006508;GO:0002827;GO:2000464;GO:0002829;GO:2001199;GO:0014886;GO:0032897
GO:0016525;1.0;0.0;0.0;0.08208621150536907;0.0;0.0;0.07206504587455694;0.2943390680951828;0.05761672934141255;0.0;0.0;0.3417887278727742;0.08887072755336346;0.0;0.05761672934141255;0.08202794735296283;0.10833318547641663;0.07692656118985372;0.0;0.09027725186975523;0.10548712854339526;0.0;0.06809763884653094;0.06897794064677816;0.05494878934123469;0.0;0.08091740895049115;0.07188248700260913;0.16726531250088952;0.0858179826163139;0.08455862161339038;0.0;0.0;0.0;0.0;0.0;0.0;0.06542993326622881;0.0;0.0;0.2144907891755714;0.0;0.0;0.0;0.0;0.0;0.0;0.0783125803978541;0.0;0.06809763884653094;0.05761672934141255;0.07206504587455694;0.3189326994333725;0.0;0.0;0.0;0.06708503495453623;0.060556964223340115;0.05882692148325283;0.0;0.07068317043925014;0.060556964223340115;0.07323488066693722;0.07150365709414588;0.07659690779298597;0.11612074264718093;0.0;0.0616558760237332;0.30662801062900874;0.0;0.07722137780290092;0.0;0.06777691012300328;0.30167633814200406;0.20306566653959346;0.45334766934239074;0.25919107011831444;0.21158450766449538
GO:0006283;0.0;1.0;0.33604176405529085;0.0;0.29157367472501844;0.10897889355269236;0.024522556886335638;0.0;0.0;0.16731782472458598;0.0;0.0;0.03006489845963021;0.4614162527693886;0.0;0.02781604001318019;0.03640318073032801;0.4447788126405602;0.5607214319546776;0.0;0.03548162728668212;0.25312571092794167;0.0;0.0;0.0;0.02413491653699713;0.0;0.024461993820790114;0.0;0.0;0.028648984601362486;0.022152314799624193;0.11651879489372127;0.21788629170486543;0.021027770085949665;0.018810554246487674;0.02320464670294497;0.0;0.855048720293851;0.0;0.0;0.02367363493202617;0.0;0.025818718310435817;0.2210290742531816;0.12981416325937023;0.024063934073774686;0.026590506171265377;0.21315169217635468;0.0;0.0;0.0;0.0;0.5437778778285349;0.1857435010349555;0.21276596646068946;0.0;0.0;0.022985841799558752;0.19990101381543085;0.024063934073774686;0.0;0.2003189486919197;0.0;0.029717577738028852;0.0;0.024910461075977133;0.0;0.0;0.3948175458311797;0.02622996432387035;0.20671472820620893;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006366;0.0;0.33604176405529085;1.0;0.0;0.4839353021649278;0.1323585132662107;0.030182838389186957;0.0;0.0;0.20341468865385692;0.0;0.0;0.03904113739738329;0.03420048082692617;0.0;0.035331808016359906;0.05044707376082644;0.23549094394958994;0.2787105187451735;0.0;0.04869443280532809;0.31189534567109994;0.0;0.0;0.0;0.029597730552548655;0.0;0.03009114268175904;0.0;0.0;0.0366866397859711;0.026670480521007286;0.2996264202457291;0.28336911065765036;0.02505713758405306;0.02197112985757659;0.02821077785449304;0.0;0.30067775348593334;0.0;0.0;0.02890698732904625;0.0;0.03217066635886587;0.2887079427185125;0.16440693685636237;0.029491049503899924;0.03337779732096821;0.26204878137690624;0.0;0.0;0.0;0.0;0.030446048767092084;0.0;0.27476935173877765;0.0;0.0;0.02788803645717215;0.0;0.029491049503899924;0.0;0.030772634231401873;0.0;0.038457476245554394;0.0;0.030772634231401873;0.0;0.0;0.0;0.0328116658105744;0.28378211179464635;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051092;0.08208621150536907;0.0;0.0;1.0;0.0;0.0;0.08458621711481278;0.23408126123813242;0.16180347217199048;0.0;0.0;0.21515909099987232;0.10511890868012523;0.0;0.16180347217199048;0.09672037385363165;0.12929819309392823;0.09049339229844054;0.0;0.10685177666098938;0.12573512294327713;0.0;0.19215072715469622;0.19471283348554322;0.15412455084397975;0.0;0.22966683358009635;0.0843649029034733;0.06399563395993545;0.24412483019618111;0.09982026100139321;0.0;0.0;0.0;0.0;0.0;0.0;0.1843989535714297;0.0;0.0;0.3031085482148028;0.0;0.0;0.0;0.0;0.0;0.0;0.09218234989641899;0.0;0.19215072715469622;0.16180347217199048;0.20371409600494908;0.20030525294444917;0.0;0.0;0.0;0.1892061001989861;0.17028768667203606;0.060635520470344616;0.0;0.08291190125190767;0.17028768667203606;0.08600527226025653;0.202075331995097;0.07969193641274272;0.46068525772303276;0.0;0.06364554833930759;0.11980199274852306;0.0;0.0908524666511571;0.0;0.1912177617769477;0.15412455084397975;0.06873772524486181;0.07294429269029833;0.05912335434529117;0.071712813316687
GO:0006367;0.0;0.29157367472501844;0.4839353021649278;0.0;1.0;0.11704898632427785;0.026459346144740787;0.0;0.0;0.14512653836339992;0.0;0.0;0.033028996990795034;0.029496981790507477;0.0;0.03033471880467251;0.04084104123518699;0.16498718660943987;0.247414735539342;0.0;0.03968467009319631;0.27322046180757265;0.0;0.0;0.0;0.02600861888682059;0.0;0.026388852516985917;0.0;0.0;0.03132802835513616;0.02372082138745657;0.26238087156407713;0.1933366181771646;0.022436008978092444;0.019929572263880577;0.02493152321620401;0.0;0.2645737799565548;0.0;0.0;0.025473728014345248;0.0;0.02797465997250192;0.1964061593808198;0.1414294637368068;0.025926206044113703;0.02888298990206548;0.2298956002061422;0.0;0.0;0.0;0.0;0.026661403238875045;0.0;0.18835437930312543;0.0;0.0;0.024679116965582587;0.0;0.025926206044113703;0.0;0.026911508183839913;0.0;0.03261029249374969;0.0;0.026911508183839913;0.0;0.0;0.0;0.028458097093648733;0.23122484644816582;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046339;0.0;0.10897889355269236;0.1323585132662107;0.0;0.11704898632427785;1.0;0.02180825303985434;0.0;0.0;0.09794680354035858;0.0;0.0;0.02608459906120263;0.023831002950211393;0.0;0.024374846985172706;0.030726171327964433;0.10885810050889999;0.09515711997507792;0.0;0.030067032820251936;0.1033301068611234;0.0;0.0;0.0;0.021501138931747515;0.0;0.021760341862993426;0.0;0.0;0.02501208754817089;0.019913405567360813;0.5730635887129925;0.1236129094884104;0.01900000024168065;0.01717119564934004;0.020759707699946048;0.0;0.1006221286443617;0.0;0.0;0.021134275670770666;0.0;0.022827397973970726;0.12515584653672965;0.4861068364848244;0.021444785313718844;0.023428626955880844;0.10182925494009133;0.0;0.0;0.0;0.0;0.021945333341465364;0.0;0.1210863888378253;0.0;0.0;0.02058440795226302;0.0;0.021444785313718844;0.0;0.02211450226620029;0.0;0.025822754070076257;0.0;0.02211450226620029;0.0;0.0;0.0;0.023148279301736893;0.14196229428083643;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007259;0.07206504587455694;0.024522556886335638;0.030182838389186957;0.08458621711481278;0.026459346144740787;0.02180825303985434;1.0;0.06872197826530593;0.061067703802464346;0.0219033464565488;0.0;0.06937935097747128;0.24068442242115665;0.025350448440133865;0.061067703802464346;0.4342102677956722;0.5568277578543102;0.40957827146725984;0.021246167726588917;0.09216974369073763;0.280436766416046;0.023177363514598714;0.07130382558988904;0.07215231241751137;0.05141250266304422;0.022730344865489506;0.07347517701578976;0.19847403774758254;0.05842194856789883;0.07749338025389216;0.2301239430744875;0.02096334253509538;0.02322736667005061;0.028047816838821595;0.0199535213561624;0.017946248599749984;0.0219033464565488;0.06872197826530593;0.022535525346309232;0.0;0.07357976820902962;0.022320735465966204;0.0;0.024217826712139325;0.028422936893758126;0.02570330794906028;0.022667373102279776;0.2146430801350157;0.022965263975006596;0.07130382558988904;0.061067703802464346;0.06610210442502593;0.06511800555048443;0.02322736667005061;0.0;0.027434991626708344;0.061888032541124835;0.06396446292750323;0.054247428306272105;0.0;0.19543178929001767;0.05629002799826893;0.20189455204639672;0.07457722042450261;0.06901124960880556;0.11520648551477154;0.02341696381729374;0.05664410382113322;0.10164775918325263;0.0;0.21191587538606668;0.0;0.062476392280862186;0.05842194856789883;0.06156842808176668;0.06578999156532306;0.053740821066953194;0.06394455449597865
GO:0042535;0.2943390680951828;0.0;0.0;0.23408126123813242;0.0;0.0;0.06872197826530593;1.0;0.15150989790270286;0.0;0.0;0.5857054560466014;0.08168489903227873;0.0;0.15150989790270286;0.0765215637114544;0.09557315993061272;0.07257073585711789;0.0;0.08272744271737055;0.09361231063391284;0.0;0.17484538552343287;0.17675532398685484;0.1312086561690892;0.0;0.1822382352516062;0.06857582296501505;0.054480490529196214;0.4062643436917442;0.07844900196876553;0.0;0.0;0.0;0.0;0.0;0.0;0.16901091203891683;0.0;0.0;0.20050390017988812;0.0;0.0;0.0;0.0;0.0;0.0;0.07365293121101205;0.0;0.17484538552343287;0.15150989790270286;0.16550729132367045;0.5527505993040391;0.0;0.0;0.0;0.15580131019618004;0.15816931076094595;0.04988213999021326;0.0;0.06761268908541208;0.1427428545825334;0.06965572057303622;0.1821935209148174;0.06209794315881036;0.30823912240176937;0.0;0.0519014352169033;0.09028338550962048;0.0;0.07280148098271656;0.0;0.15716279375792094;0.2843086567035372;0.05665959063195699;0.24082931228764246;0.22475834358928917;0.058665752582781595
GO:2000439;0.05761672934141255;0.0;0.0;0.16180347217199048;0.0;0.0;0.061067703802464346;0.15150989790270286;1.0;0.0;0.0;0.1529466885477094;0.07109317887190592;0.0;0.40352663680359685;0.06714972393178878;0.08138636239599926;0.06408801570823591;0.0;0.07188158219750813;0.07996009728690158;0.0;0.8372909370441016;0.15770409726787904;0.3005091133685225;0.0;0.1601374493563187;0.060952265659301896;0.26077062926684935;0.1670350558638087;0.0686293895526055;0.0;0.0;0.0;0.0;0.0;0.0;0.6021697755908684;0.0;0.0;0.06004954854082531;0.0;0.0;0.0;0.0;0.0;0.0;0.06493053510876767;0.0;0.3548953927957008;0.7857853472963623;0.14707303978768965;0.14528796548337974;0.0;0.0;0.0;0.4415878930526449;0.8169541066979794;0.04459656634831675;0.0;0.06019018150909809;0.12881754945766785;0.0618039145768774;0.24987798755422028;0.05411375896524548;0.08516227131948849;0.0;0.046203705969182066;0.0775186751330593;0.0;0.06426790352577433;0.0;0.35362976217108094;0.3886969167743316;0.30319394756633594;0.28814374181954766;0.04527438167562236;0.05230599979054912
GO:0035518;0.0;0.16731782472458598;0.20341468865385692;0.0;0.14512653836339992;0.09794680354035858;0.0219033464565488;0.0;0.0;1.0;0.0;0.0;0.026220758741117366;0.02394460051403444;0.0;0.02449370142765062;0.03091527530724027;0.28466183336823114;0.14601138845514236;0.0;0.030248086593785195;0.12804230709533365;0.0;0.0;0.0;0.18248254253937166;0.0;0.02185501700479828;0.0;0.0;0.025137253691232226;0.019992662136233234;0.10399506094756512;0.2633828192890643;0.019072139574988347;0.017230094564966998;0.020845858660619696;0.0;0.15443278430252846;0.0;0.0;0.17935577816941106;0.0;0.022931608124564608;0.3275063791629076;0.11445766811163524;0.02153672870995017;0.023538411979250773;0.18372340082543295;0.0;0.0;0.0;0.0;0.022041628613433593;0.0;0.5929895445135931;0.0;0.0;0.020669107130772676;0.0;0.02153672870995017;0.0;0.02221229118145525;0.0;0.025956186855668754;0.0;0.02221229118145525;0.0;0.0;0.0;0.023255446653902515;0.30271557234665686;0.0;0.0;0.0;0.0;0.0;0.0
