;GO:0043507;GO:1902311;GO:0015031;GO:1901224;GO:0051092;GO:0045766;GO:0000187;GO:0050796;GO:0032725;GO:0001666;GO:0045892;GO:0030949;GO:0070164;GO:0032729;GO:0035434;GO:0035556;GO:0060231;GO:0060355;GO:0051260;GO:1902600;GO:0045410;GO:0001315;GO:0033092;GO:0046627;GO:0003069;GO:0061844;GO:0010829;GO:0001954;GO:0001836;GO:0019752;GO:0031622;GO:0033129;GO:0071407;GO:0034976;GO:0051017;GO:2001076;GO:0045429;GO:1903140;GO:0060421;GO:0043407;GO:0008285;GO:1902176;GO:0043123;GO:0097191;GO:0045665;GO:0097192;GO:0045944;GO:0043525;GO:0043524;GO:0032308;GO:0000165;GO:0043491;GO:0051781;GO:2000778;GO:0071398;GO:0019221;GO:0051384;GO:0050691;GO:0033591;GO:2001240;GO:0033198;GO:0014050;GO:0060539;GO:0001660;GO:0071260;GO:0001933;GO:0072112;GO:0001934;GO:0030593;GO:2001238;GO:0050900;GO:2000660;GO:0071548;GO:0045727;GO:1905461;GO:0030073;GO:0048711;GO:0045840;GO:0006887;GO:0050870;GO:0006878;GO:0051289;GO:0002711;GO:0051044;GO:0071333;GO:0002439;GO:0006914;GO:0050999;GO:0050995;GO:0051601;GO:0010575;GO:0050996;GO:0035234;GO:0046827;GO:0007186;GO:0090023;GO:0050805;GO:2000173;GO:0010193;GO:0060559;GO:0043312;GO:0000303;GO:0043278;GO:1904706;GO:0043434;GO:1900745;GO:0032757;GO:0019430;GO:0010506;GO:0032355;GO:0031663;GO:0035505;GO:0010469;GO:0032755;GO:0030213;GO:0050766;GO:0030336;GO:0030335;GO:0046718;GO:0035066;GO:0071639;GO:0033280;GO:0010718;GO:0000122;GO:0045471;GO:0043171;GO:2000178;GO:0071874;GO:0071236;GO:0035176;GO:0035690;GO:0007565;GO:1905932;GO:0042246;GO:0006357;GO:0007204;GO:0045086;GO:0008406;GO:0071222;GO:2000866;GO:0043066;GO:0070098;GO:0006508;GO:0070374;GO:0034116;GO:0034115;GO:0034599;GO:0070498;GO:0030036;GO:0035722;GO:0045080
GO:0043507;1.0;0.04225352112676062;0.0;0.24615384615384617;0.1578947368421053;0.0547945205479452;0.8461538461538461;0.07692307692307687;0.05797101449275366;0.0;0.101123595505618;0.21212121212121215;0.06382978723404253;0.05797101449275366;0.0;0.06060606060606055;0.0;0.09230769230769231;0.0;0.0;0.21518987341772156;0.0;0.054545454545454564;0.1095890410958904;0.025316455696202556;0.0;0.04225352112676062;0.05797101449275366;0.0;0.0;0.08974358974358976;0.3866666666666667;0.0;0.0;0.0;0.05128205128205132;0.1578947368421053;0.05555555555555558;0.052631578947368474;0.3258426966292135;0.05970149253731338;0.125;0.24615384615384617;0.05882352941176472;0.050000000000000044;0.05714285714285716;0.1785714285714286;0.0821917808219178;0.053333333333333344;0.04761904761904767;0.04705882352941182;0.05970149253731338;0.09230769230769231;0.0674157303370787;0.0;0.05970149253731338;0.0;0.07042253521126762;0.0;0.09756097560975607;0.0;0.04761904761904767;0.0;0.02631578947368418;0.0;0.21052631578947367;0.0;0.4375;0.0;0.1917808219178082;0.0;0.10666666666666669;0.0;0.24675324675324672;0.07999999999999996;0.023255813953488413;0.07317073170731703;0.07792207792207795;0.0;0.07594936708860756;0.025000000000000022;0.0;0.07594936708860756;0.26027397260273977;0.022727272727272707;0.0;0.0;0.09090909090909094;0.07042253521126762;0.0;0.05797101449275366;0.10144927536231885;0.0;0.048192771084337394;0.06060606060606055;0.09090909090909094;0.08571428571428574;0.040000000000000036;0.0;0.1578947368421053;0.0;0.0;0.0;0.05633802816901412;0.0;0.7230769230769231;0.05797101449275366;0.0;0.09090909090909094;0.0;0.05970149253731338;0.6307692307692307;0.140625;0.05797101449275366;0.0;0.0821917808219178;0.05405405405405406;0.08333333333333337;0.0;0.26582278481012656;0.05633802816901412;0.0;0.08333333333333337;0.09890109890109888;0.0;0.0;0.05797101449275366;0.0;0.0;0.0;0.0;0.0;0.0714285714285714;0.0;0.1216216216216216;0.024390243902439046;0.21518987341772156;0.0;0.0;0.125;0.05633802816901412;0.05882352941176472;0.0;0.6307692307692307;0.05797101449275366;0.05128205128205132;0.0;0.05882352941176472;0.0;0.05882352941176472;0.21518987341772156
GO:1902311;0.04225352112676062;1.0;0.0;0.125;0.09677419354838712;0.15000000000000002;0.04761904761904767;0.19999999999999996;0.1875;0.0;0.07317073170731703;0.13043478260869568;0.12195121951219512;0.1875;0.0;0.23076923076923073;0.0;0.2142857142857143;0.0;0.0;0.07692307692307687;0.0;0.05084745762711862;0.125;0.07999999999999996;0.0;0.4285714285714286;0.1875;0.0;0.0;0.1071428571428571;0.06382978723404253;0.0;0.0;0.0;0.12;0.09677419354838712;0.1578947368421053;0.13043478260869568;0.049180327868852514;0.2142857142857143;0.0714285714285714;0.125;0.19999999999999996;0.11111111111111116;0.17647058823529416;0.0714285714285714;0.13636363636363635;0.13636363636363635;0.2142857142857143;0.09375;0.2142857142857143;0.2142857142857143;0.13888888888888884;0.0;0.2142857142857143;0.0;0.1578947368421053;0.0;0.09090909090909094;0.0;0.2142857142857143;0.0;0.09090909090909094;0.0;0.08571428571428574;0.0;0.08571428571428574;0.0;0.09999999999999998;0.0;0.11538461538461542;0.0;0.07692307692307687;0.125;0.0625;0.09677419354838712;0.11538461538461542;0.0;0.1071428571428571;0.07692307692307687;0.0;0.1071428571428571;0.08571428571428574;0.05882352941176472;0.0;0.0;0.19999999999999996;0.1578947368421053;0.0;0.1875;0.1578947368421053;0.0;0.1785714285714286;0.23076923076923073;0.10526315789473684;0.1578947368421053;0.1428571428571429;0.0;0.05660377358490565;0.0;0.0;0.0;0.16666666666666663;0.0;0.054545454545454564;0.1875;0.0;0.19999999999999996;0.0;0.2142857142857143;0.061224489795918324;0.1875;0.1875;0.0;0.25;0.19999999999999996;0.19999999999999996;0.0;0.06976744186046513;0.16666666666666663;0.0;0.1428571428571429;0.06976744186046513;0.0;0.0;0.1875;0.0;0.0;0.0;0.0;0.0;0.09090909090909094;0.0;0.11538461538461542;0.0714285714285714;0.07692307692307687;0.0;0.0;0.16129032258064513;0.16666666666666663;0.19999999999999996;0.0;0.061224489795918324;0.1875;0.12;0.0;0.19999999999999996;0.0;0.19999999999999996;0.07692307692307687
GO:0015031;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45833333333333337;0.0;0.0;0.2666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13793103448275867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901224;0.24615384615384617;0.125;0.0;1.0;0.13888888888888884;0.15384615384615385;0.2807017543859649;0.19354838709677424;0.18181818181818177;0.0;0.08510638297872342;0.736842105263158;0.12765957446808507;0.18181818181818177;0.0;0.21052631578947367;0.0;0.33333333333333337;0.0;0.0;0.13953488372093026;0.0;0.09523809523809523;0.3076923076923077;0.0625;0.0;0.125;0.18181818181818177;0.0;0.0;0.1875;0.11764705882352944;0.0;0.0;0.0;0.12903225806451613;0.17142857142857137;0.16000000000000003;0.13793103448275867;0.14516129032258063;0.19999999999999996;0.2093023255813954;0.8888888888888888;0.19047619047619047;0.12121212121212122;0.17391304347826086;0.13043478260869568;0.23076923076923073;0.1428571428571429;0.10810810810810811;0.10526315789473684;0.19999999999999996;0.33333333333333337;0.1428571428571429;0.0;0.19999999999999996;0.0;0.16000000000000003;0.0;0.22857142857142854;0.0;0.10810810810810811;0.0;0.06896551724137934;0.0;0.09756097560975607;0.0;0.15384615384615385;0.0;0.5384615384615384;0.0;0.2857142857142857;0.0;0.13953488372093026;0.2142857142857143;0.05128205128205132;0.17142857142857137;0.19999999999999996;0.0;0.1875;0.06060606060606055;0.0;0.1875;0.15384615384615385;0.04878048780487809;0.0;0.0;0.13636363636363635;0.11538461538461542;0.0;0.18181818181818177;0.16000000000000003;0.0;0.11111111111111116;0.21052631578947367;0.19512195121951215;0.26086956521739135;0.1071428571428571;0.0;0.10526315789473684;0.0;0.0;0.0;0.16666666666666663;0.0;0.326530612244898;0.18181818181818177;0.0;0.19047619047619047;0.0;0.19999999999999996;0.1132075471698113;0.4444444444444444;0.18181818181818177;0.0;0.23076923076923073;0.14814814814814814;0.24;0.0;0.12765957446808507;0.16666666666666663;0.0;0.24;0.08163265306122447;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.0;0.16216216216216217;0.0;0.125;0.05714285714285716;0.13953488372093026;0.0;0.0;0.303030303030303;0.16666666666666663;0.19047619047619047;0.0;0.37209302325581395;0.18181818181818177;0.12903225806451613;0.0;0.19047619047619047;0.0;0.19047619047619047;0.13953488372093026
GO:0051092;0.1578947368421053;0.09677419354838712;0.0;0.13888888888888884;1.0;0.12121212121212122;0.17647058823529416;0.09999999999999998;0.13793103448275867;0.0;0.4871794871794872;0.1428571428571429;0.0714285714285714;0.13793103448275867;0.0;0.15384615384615385;0.0;0.1923076923076923;0.0;0.0;0.3023255813953488;0.0;0.07042253521126762;0.10810810810810811;0.05128205128205132;0.0;0.09677419354838712;0.13793103448275867;0.0;0.0;0.09756097560975607;0.18518518518518523;0.0;0.0;0.0;0.10526315789473684;0.26315789473684215;0.125;0.11111111111111116;0.1470588235294118;0.14814814814814814;0.07272727272727275;0.13888888888888884;0.1428571428571429;0.09999999999999998;0.1333333333333333;0.5128205128205128;0.1470588235294118;0.11428571428571432;0.09090909090909094;0.0888888888888889;0.14814814814814814;0.1923076923076923;0.09999999999999998;0.0;0.14814814814814814;0.0;0.09090909090909094;0.0;0.08695652173913049;0.0;0.09090909090909094;0.0;0.05555555555555558;0.0;0.2093023255813954;0.0;0.23809523809523814;0.0;0.11904761904761907;0.0;0.10256410256410253;0.0;0.36585365853658536;0.13888888888888884;0.04347826086956519;0.11627906976744184;0.13157894736842102;0.0;0.125;0.050000000000000044;0.0;0.09756097560975607;0.23809523809523814;0.04166666666666663;0.0;0.0;0.18518518518518523;0.16129032258064513;0.0;0.13793103448275867;0.19999999999999996;0.0;0.09302325581395354;0.15384615384615385;0.0980392156862745;0.125;0.08571428571428574;0.0;0.2068965517241379;0.0;0.0;0.0;0.12903225806451613;0.0;0.16129032258064513;0.13793103448275867;0.0;0.23076923076923073;0.0;0.14814814814814814;0.2222222222222222;0.1785714285714286;0.13793103448275867;0.0;0.1470588235294118;0.11764705882352944;0.1515151515151515;0.0;0.19999999999999996;0.12903225806451613;0.0;0.1515151515151515;0.46341463414634143;0.0;0.0;0.13793103448275867;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.7916666666666666;0.04761904761904767;0.3023255813953488;0.0;0.0;0.11111111111111116;0.12903225806451613;0.1428571428571429;0.0;0.1785714285714286;0.13793103448275867;0.10526315789473684;0.0;0.1428571428571429;0.0;0.1428571428571429;0.3023255813953488
GO:0045766;0.0547945205479452;0.15000000000000002;0.0;0.15384615384615385;0.12121212121212122;1.0;0.06153846153846154;0.09999999999999998;0.375;0.0;0.06818181818181823;0.16000000000000003;0.0888888888888889;0.375;0.0;0.1875;0.0;0.25;0.0;0.0;0.15384615384615385;0.0;0.1607142857142857;0.11111111111111116;0.0714285714285714;0.0;0.15000000000000002;0.2222222222222222;0.0;0.0;0.2142857142857143;0.08163265306122447;0.0;0.0;0.0;0.47619047619047616;0.12121212121212122;0.3157894736842105;0.44999999999999996;0.046875;0.17647058823529416;0.06666666666666665;0.15384615384615385;0.16666666666666663;0.2222222222222222;0.15000000000000002;0.09090909090909094;0.16666666666666663;0.12;0.12121212121212122;0.08571428571428574;0.17647058823529416;0.25;0.1578947368421053;0.0;0.17647058823529416;0.0;0.13636363636363635;0.0;0.08333333333333337;0.0;0.08823529411764708;0.0;0.07999999999999996;0.0;0.07894736842105265;0.0;0.10810810810810811;0.0;0.125;0.0;0.10344827586206895;0.0;0.09756097560975607;0.15384615384615385;0.05714285714285716;0.3214285714285714;0.1428571428571429;0.0;0.1333333333333333;0.06896551724137934;0.0;0.1333333333333333;0.10810810810810811;0.05405405405405406;0.0;0.0;0.16666666666666663;0.13636363636363635;0.0;0.375;0.19047619047619047;0.0;0.125;0.1875;0.09756097560975607;0.13636363636363635;0.35;0.0;0.07272727272727275;0.0;0.0;0.0;0.1428571428571429;0.0;0.07017543859649122;0.375;0.0;0.16666666666666663;0.0;0.17647058823529416;0.07843137254901966;0.1578947368421053;0.375;0.0;0.16666666666666663;0.125;0.17391304347826086;0.0;0.0888888888888889;0.33333333333333337;0.0;0.5;0.06521739130434778;0.0;0.0;0.1578947368421053;0.0;0.0;0.0;0.0;0.0;0.3928571428571429;0.0;0.10344827586206895;0.06451612903225812;0.15384615384615385;0.0;0.0;0.11428571428571432;0.1428571428571429;0.16666666666666663;0.0;0.07843137254901966;0.2222222222222222;0.29166666666666663;0.0;0.16666666666666663;0.0;0.16666666666666663;0.15384615384615385
GO:0000187;0.8461538461538461;0.04761904761904767;0.0;0.2807017543859649;0.17647058823529416;0.06153846153846154;1.0;0.08571428571428574;0.06557377049180324;0.0;0.11111111111111116;0.24137931034482762;0.06976744186046513;0.06557377049180324;0.0;0.06896551724137934;0.0;0.10526315789473684;0.0;0.0;0.23943661971830987;0.0;0.05882352941176472;0.12307692307692308;0.028169014084507005;0.0;0.04761904761904767;0.06557377049180324;0.0;0.0;0.08450704225352113;0.4328358208955224;0.0;0.0;0.0;0.05714285714285716;0.17647058823529416;0.0625;0.05882352941176472;0.3580246913580247;0.06779661016949157;0.1097560975609756;0.2807017543859649;0.06666666666666665;0.05555555555555558;0.06451612903225812;0.19736842105263153;0.09230769230769231;0.05970149253731338;0.052631578947368474;0.051948051948051965;0.06779661016949157;0.10526315789473684;0.07407407407407407;0.0;0.06779661016949157;0.0;0.0625;0.0;0.10810810810810811;0.0;0.052631578947368474;0.0;0.02941176470588236;0.0;0.23529411764705888;0.0;0.5;0.0;0.2153846153846154;0.0;0.11940298507462688;0.0;0.2753623188405797;0.08955223880597019;0.02564102564102566;0.08108108108108103;0.08695652173913049;0.0;0.08450704225352113;0.02777777777777779;0.0;0.08450704225352113;0.29230769230769227;0.025000000000000022;0.0;0.0;0.10344827586206895;0.07936507936507942;0.0;0.06557377049180324;0.11475409836065575;0.0;0.053333333333333344;0.06896551724137934;0.09999999999999998;0.09677419354838712;0.04477611940298509;0.0;0.1724137931034483;0.0;0.0;0.0;0.06349206349206349;0.0;0.6507936507936508;0.06557377049180324;0.0;0.10344827586206895;0.0;0.06779661016949157;0.7192982456140351;0.1607142857142857;0.06557377049180324;0.0;0.09230769230769231;0.06060606060606055;0.09375;0.0;0.295774647887324;0.06349206349206349;0.0;0.09375;0.10843373493975905;0.0;0.0;0.06557377049180324;0.0;0.0;0.0;0.0;0.0;0.07894736842105265;0.0;0.13636363636363635;0.027027027027026973;0.23943661971830987;0.0;0.0;0.13888888888888884;0.06349206349206349;0.06666666666666665;0.0;0.7192982456140351;0.06557377049180324;0.05714285714285716;0.0;0.06666666666666665;0.0;0.06666666666666665;0.23943661971830987
GO:0050796;0.07692307692307687;0.19999999999999996;0.0;0.19354838709677424;0.09999999999999998;0.09999999999999998;0.08571428571428574;1.0;0.11538461538461542;0.0;0.07999999999999996;0.19999999999999996;0.5135135135135135;0.11538461538461542;0.0;0.18181818181818177;0.0;0.17391304347826086;0.0;0.0;0.08333333333333337;0.0;0.05882352941176472;0.19354838709677424;0.08823529411764708;0.0;0.19999999999999996;0.11538461538461542;0.0;0.0;0.10810810810810811;0.0714285714285714;0.0;0.0;0.0;0.08571428571428574;0.1282051282051282;0.1428571428571429;0.09090909090909094;0.08823529411764708;0.17391304347826086;0.12244897959183676;0.19354838709677424;0.16666666666666663;0.11111111111111116;0.15384615384615385;0.07843137254901966;0.12903225806451613;0.12903225806451613;0.1578947368421053;0.09756097560975607;0.17391304347826086;0.17391304347826086;0.3783783783783784;0.0;0.17391304347826086;0.0;0.10344827586206895;0.0;0.15000000000000002;0.0;0.2222222222222222;0.0;0.09677419354838712;0.0;0.09090909090909094;0.0;0.09090909090909094;0.0;0.16216216216216217;0.0;0.18181818181818177;0.0;0.08333333333333337;0.12121212121212122;0.09999999999999998;0.09999999999999998;0.11428571428571432;0.0;0.10810810810810811;0.08571428571428574;0.0;0.07894736842105265;0.09090909090909094;0.06976744186046513;0.0;0.0;0.12;0.10344827586206895;0.0;0.11538461538461542;0.10344827586206895;0.0;0.2647058823529411;0.18181818181818177;0.1063829787234043;0.23076923076923073;0.09677419354838712;0.0;0.09999999999999998;0.0;0.0;0.0;0.14814814814814814;0.0;0.09677419354838712;0.11538461538461542;0.0;0.16666666666666663;0.0;0.17391304347826086;0.06896551724137934;0.26086956521739135;0.11538461538461542;0.0;0.2068965517241379;0.1724137931034483;0.1724137931034483;0.0;0.07692307692307687;0.1071428571428571;0.0;0.1333333333333333;0.07692307692307687;0.0;0.0;0.16000000000000003;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.11428571428571432;0.08108108108108103;0.08333333333333337;0.0;0.0;0.3939393939393939;0.14814814814814814;0.16666666666666663;0.0;0.1071428571428571;0.11538461538461542;0.11764705882352944;0.0;0.16666666666666663;0.0;0.16666666666666663;0.08333333333333337
GO:0032725;0.05797101449275366;0.1875;0.0;0.18181818181818177;0.13793103448275867;0.375;0.06557377049180324;0.11538461538461542;1.0;0.0;0.07499999999999996;0.19047619047619047;0.09756097560975607;0.8;0.0;0.25;0.0;0.33333333333333337;0.0;0.0;0.24242424242424243;0.0;0.10909090909090913;0.13043478260869568;0.08333333333333337;0.0;0.1875;0.2857142857142857;0.0;0.0;0.25;0.0888888888888889;0.0;0.0;0.0;0.2857142857142857;0.13793103448275867;0.23529411764705888;0.3157894736842105;0.050000000000000044;0.23076923076923073;0.07317073170731703;0.18181818181818177;0.2142857142857143;0.16000000000000003;0.1875;0.09999999999999998;0.19999999999999996;0.1428571428571429;0.13793103448275867;0.09677419354838712;0.23076923076923073;0.33333333333333337;0.25;0.0;0.23076923076923073;0.0;0.16666666666666663;0.0;0.09375;0.0;0.09999999999999998;0.0;0.09523809523809523;0.0;0.08823529411764708;0.0;0.12121212121212122;0.0;0.1428571428571429;0.0;0.12;0.0;0.10810810810810811;0.18181818181818177;0.06451612903225812;0.2222222222222222;0.16666666666666663;0.0;0.15384615384615385;0.07999999999999996;0.0;0.15384615384615385;0.12121212121212122;0.06060606060606055;0.0;0.0;0.2142857142857143;0.16666666666666663;0.0;0.8;0.23529411764705888;0.0;0.1428571428571429;0.25;0.10810810810810811;0.16666666666666663;0.21052631578947367;0.0;0.07843137254901966;0.0;0.0;0.0;0.17647058823529416;0.0;0.07547169811320753;0.8;0.0;0.2142857142857143;0.0;0.23076923076923073;0.08510638297872342;0.19999999999999996;0.8;0.0;0.19999999999999996;0.15000000000000002;0.21052631578947367;0.0;0.09756097560975607;0.6666666666666667;0.0;0.3529411764705882;0.0714285714285714;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.2068965517241379;0.0;0.12;0.07407407407407407;0.24242424242424243;0.0;0.0;0.12903225806451613;0.17647058823529416;0.2142857142857143;0.0;0.08510638297872342;0.2857142857142857;0.17391304347826086;0.0;0.2142857142857143;0.0;0.2142857142857143;0.24242424242424243
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.33333333333333337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.1428571428571429;0.0;0.11764705882352944;0.0;0.10526315789473684;0.0;0.0;0.17647058823529416;0.23076923076923073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06666666666666665;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2142857142857143;0.0;0.0;0.25;0.11764705882352944;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.15384615384615385;0.0;0.0;0.07407407407407407;0.18181818181818177;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08695652173913049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
