;GO:1905342;GO:0051491;GO:0006486;GO:0007179;GO:0006887;GO:0000462;GO:0010812;GO:0032728;GO:0010259;GO:0051607;GO:0018279;GO:0035556;GO:0090305;GO:0046826;GO:0060271;GO:0007186;GO:0007224;GO:0007265;GO:0000028;GO:0042542;GO:0048496;GO:0051131;GO:0051897;GO:0030335;GO:0090630;GO:0006383;GO:0008284;GO:0006024;GO:0006266;GO:1904117;GO:0045944;GO:0006620;GO:0001893;GO:0006302;GO:0010718;GO:0006614;GO:0048026;GO:0016311;GO:0031532;GO:2001224;GO:0035176;GO:0006351;GO:0034080;GO:0006357;GO:0007517;GO:0000012;GO:0051310;GO:0097711;GO:0045087;GO:0070374;GO:0034116;GO:0017157;GO:0031204;GO:0035722
GO:1905342;1.0;0.17391304347826086;0.0;0.1875;0.0;0.0;0.1875;0.23529411764705888;0.0;0.0;0.0;0.23076923076923073;0.0;0.19999999999999996;0.0;0.23076923076923073;0.2142857142857143;0.19999999999999996;0.0;0.0;0.17647058823529416;0.0;0.17391304347826086;0.26315789473684215;0.11111111111111116;0.0;0.3076923076923077;0.0;0.0;0.0;0.09756097560975607;0.0;0.0;0.0;0.19999999999999996;0.0;0.11764705882352944;0.0;0.0;0.1470588235294118;0.0;0.0;0.0;0.11538461538461542;0.0;0.0;0.0;0.0;0.0;0.08333333333333337;0.2666666666666667;0.2666666666666667;0.0;0.19999999999999996
GO:0051491;0.17391304347826086;1.0;0.0;0.18181818181818177;0.0;0.0;0.18181818181818177;0.16666666666666663;0.0;0.0;0.0;0.21052631578947367;0.0;0.06521739130434778;0.0;0.21052631578947367;0.19999999999999996;0.19047619047619047;0.0;0.0;0.17391304347826086;0.0;0.2142857142857143;0.24;0.07999999999999996;0.0;0.33333333333333337;0.0;0.0;0.0;0.13043478260869568;0.0;0.0;0.0;0.24;0.0;0.15384615384615385;0.0;0.0;0.15000000000000002;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.1132075471698113;0.18181818181818177;0.18181818181818177;0.0;0.19047619047619047
GO:0006486;0.0;0.0;1.0;0.08333333333333337;0.08695652173913049;0.2666666666666667;0.0;0.0;0.0;0.0;0.8095238095238095;0.09523809523809523;0.34782608695652173;0.04255319148936165;0.07407407407407407;0.09523809523809523;0.09090909090909094;0.08695652173913049;0.07999999999999996;0.0;0.0;0.08695652173913049;0.0;0.0;0.0;0.2432432432432432;0.0;0.23076923076923073;0.375;0.052631578947368474;0.0;0.0;0.0;0.30000000000000004;0.0;0.0;0.0;0.21052631578947367;0.08695652173913049;0.0;0.0;0.25;0.05714285714285716;0.0;0.0;0.30000000000000004;0.0;0.09090909090909094;0.0;0.0;0.0;0.0;0.0;0.08695652173913049
GO:0007179;0.1875;0.18181818181818177;0.08333333333333337;1.0;0.1333333333333333;0.0714285714285714;0.2857142857142857;0.17647058823529416;0.0;0.0;0.0714285714285714;0.6666666666666667;0.09523809523809523;0.10810810810810811;0.10526315789473684;0.6666666666666667;0.7777777777777778;0.5454545454545454;0.11764705882352944;0.0;0.2666666666666667;0.1333333333333333;0.18181818181818177;0.21052631578947367;0.11764705882352944;0.05555555555555558;0.33333333333333337;0.0;0.08695652173913049;0.06666666666666665;0.09999999999999998;0.0;0.0;0.06896551724137934;0.21052631578947367;0.0;0.12121212121212122;0.15384615384615385;0.1333333333333333;0.11764705882352944;0.0;0.05714285714285716;0.07407407407407407;0.16666666666666663;0.0;0.06896551724137934;0.0;0.1428571428571429;0.0;0.08510638297872342;0.19999999999999996;0.2857142857142857;0.0;0.7
GO:0006887;0.0;0.0;0.08695652173913049;0.1333333333333333;1.0;0.07407407407407407;0.0;0.0;0.0;0.0;0.07407407407407407;0.16666666666666663;0.09999999999999998;0.08108108108108103;0.11111111111111116;0.16666666666666663;0.15384615384615385;0.1428571428571429;0.125;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.05714285714285716;0.0;0.0;0.09090909090909094;0.06896551724137934;0.0;0.12903225806451613;0.0;0.0714285714285714;0.0;0.125;0.0;0.16666666666666663;0.1428571428571429;0.0;0.0;0.05882352941176472;0.07692307692307687;0.0;0.0;0.0714285714285714;0.2142857142857143;0.25;0.0;0.0;0.0;0.0;0.17391304347826086;0.1428571428571429
GO:0000462;0.0;0.0;0.2666666666666667;0.0714285714285714;0.07407407407407407;1.0;0.0;0.0;0.0;0.0;0.23529411764705888;0.07999999999999996;0.6666666666666667;0.039215686274509776;0.06451612903225812;0.07999999999999996;0.07692307692307687;0.07407407407407407;0.06896551724137934;0.0;0.0;0.07407407407407407;0.0;0.0;0.0;0.4285714285714286;0.0;0.16129032258064513;0.6086956521739131;0.04761904761904767;0.0;0.0;0.0;0.48275862068965514;0.0;0.0;0.0;0.17391304347826086;0.07407407407407407;0.0;0.0;0.4411764705882353;0.05128205128205132;0.0;0.0;0.48275862068965514;0.0;0.07692307692307687;0.0;0.0;0.0;0.0;0.0;0.07407407407407407
GO:0010812;0.1875;0.18181818181818177;0.0;0.2857142857142857;0.0;0.0;1.0;0.17647058823529416;0.0;0.0;0.0;0.36363636363636365;0.0;0.10810810810810811;0.0;0.36363636363636365;0.33333333333333337;0.3076923076923077;0.0;0.0;0.46153846153846156;0.0;0.18181818181818177;0.21052631578947367;0.11764705882352944;0.0;0.33333333333333337;0.0;0.0;0.0;0.09999999999999998;0.0;0.0;0.0;0.21052631578947367;0.0;0.12121212121212122;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.08510638297872342;0.2857142857142857;0.2857142857142857;0.0;0.3076923076923077
GO:0032728;0.23529411764705888;0.16666666666666663;0.0;0.17647058823529416;0.0;0.0;0.17647058823529416;1.0;0.0;0.0;0.0;0.2142857142857143;0.0;0.07499999999999996;0.0;0.2142857142857143;0.19999999999999996;0.1875;0.0;0.0;0.16666666666666663;0.0;0.16666666666666663;0.19047619047619047;0.10526315789473684;0.0;0.2857142857142857;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.3157894736842105;0.0;0.11428571428571432;0.0;0.0;0.17647058823529416;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.08163265306122447;0.25;0.17647058823529416;0.0;0.1875
GO:0010259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30000000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05882352941176472;0.0;0.0;0.0;0.09375;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.09375;0.0;0.0;0.3571428571428571;0.0;0.0;0.0;0.0;0.0
