;GO:1905342;GO:0051491;GO:0006486;GO:0007179;GO:0006887;GO:0000462;GO:0010812;GO:0032728;GO:0010259;GO:0051607;GO:0018279;GO:0035556;GO:0090305;GO:0046826;GO:0060271;GO:0007186;GO:0007224;GO:0007265;GO:0000028;GO:0042542;GO:0048496;GO:0051131;GO:0051897;GO:0030335;GO:0090630;GO:0006383;GO:0008284;GO:0006024;GO:0006266;GO:1904117;GO:0045944;GO:0006620;GO:0001893;GO:0006302;GO:0010718;GO:0006614;GO:0048026;GO:0016311;GO:0031532;GO:2001224;GO:0035176;GO:0006351;GO:0034080;GO:0006357;GO:0007517;GO:0000012;GO:0051310;GO:0097711;GO:0045087;GO:0070374;GO:0034116;GO:0017157;GO:0031204;GO:0035722
GO:1905342;1.0;0.3392795816700089;0.0;0.3200434065867362;0.0;0.0;0.3101986836708599;0.3432927325813855;0.0;0.0;0.0;0.38120587638514564;0.0;0.5164843532894652;0.0;0.3720043718583591;0.3156166256570468;0.3200434065867362;0.0;0.0;0.27653935370102606;0.0;0.3166183446805923;0.4768310306373617;0.18831396444722587;0.0;0.47639367071927535;0.0;0.0;0.0;0.4104449192030886;0.0;0.0;0.0;0.41332897906365645;0.0;0.3138179532999968;0.0;0.0;0.3770064107924012;0.0;0.0;0.0;0.36364056026522995;0.0;0.0;0.0;0.0;0.0;0.3138179532999968;0.3392795816700089;0.4531364430513562;0.0;0.25970968871610917
GO:0051491;0.3392795816700089;1.0;0.0;0.31688053906977975;0.0;0.0;0.30703581615390346;0.3236626762158731;0.0;0.0;0.0;0.3780430088681892;0.0;0.27915690430661744;0.0;0.36884150434140267;0.31245375814009035;0.31688053906977975;0.0;0.0;0.2733764861840696;0.0;0.31655567254483385;0.44002349966668336;0.17552267843442942;0.0;0.4691585003873687;0.0;0.0;0.0;0.4126973665974474;0.0;0.0;0.0;0.40609380873174983;0.0;0.31607040069435555;0.0;0.0;0.34323006044562704;0.0;0.0;0.0;0.36461901032051763;0.0;0.0;0.0;0.0;0.0;0.31607040069435555;0.3166183446805923;0.3593512413589009;0.0;0.25654682119915273
GO:0006486;0.0;0.0;1.0;0.5413760714668954;0.5213323850830702;0.5565356895066929;0.0;0.0;0.0;0.0;0.7766905580769237;0.6025385412653048;0.6124099809840238;0.5201196255522891;0.5147016835661022;0.5933370367385185;0.536949290537206;0.5413760714668954;0.4810423535962684;0.0;0.0;0.4810423535962684;0.0;0.0;0.0;0.6112333422335864;0.0;0.5417744383937273;0.5857717138635743;0.33685353669608636;0.0;0.0;0.0;0.5573948191646002;0.0;0.0;0.0;0.5181677942242611;0.40594738461267593;0.0;0.0;0.6794458481727697;0.4810423535962684;0.0;0.0;0.5237354891947664;0.0;0.4810423535962684;0.0;0.0;0.0;0.0;0.0;0.4810423535962684
GO:0007179;0.3200434065867362;0.31688053906977975;0.5413760714668954;1.0;0.4862010847963642;0.44591105330956243;0.3869995903900429;0.30977280128662177;0.0;0.0;0.4795703832793963;0.7003669040796479;0.4195178776071527;0.4849883252655831;0.4795703832793963;0.6911653995528613;0.6715398223695532;0.6392044342812384;0.44591105330956243;0.0;0.4778990209548787;0.44591105330956243;0.29956560223438455;0.42071830982611685;0.27814768965998543;0.4849883252655831;0.44682212992289805;0.0;0.399920466705247;0.3017222364093804;0.397533494329125;0.0;0.0;0.3816860106455198;0.38375743826727915;0.0;0.30090652842603316;0.4231203555024212;0.37081608432596996;0.487743743870755;0.0;0.5532008312047665;0.44591105330956243;0.44044146698441294;0.0;0.348026680675686;0.0;0.44591105330956243;0.0;0.30090652842603316;0.3004133502212238;0.4393150155950403;0.0;0.6156328854286155
GO:0006887;0.0;0.0;0.5213323850830702;0.4862010847963642;1.0;0.34359989974599653;0.0;0.0;0.0;0.0;0.4595266968955711;0.5473635545947737;0.422135428212744;0.48644148499632917;0.3772592297158304;0.5381620500679871;0.4817743038666748;0.4862010847963642;0.4258673669257372;0.0;0.0;0.34359989974599653;0.0;0.0;0.0;0.38267717170201726;0.0;0.0;0.39950683668693415;0.3066549065450889;0.0;0.4613723787321477;0.0;0.38430356125111115;0.0;0.4613723787321477;0.0;0.4227067254841084;0.3662611367354131;0.0;0.0;0.4508896776412005;0.4258673669257372;0.0;0.0;0.35064423128127736;0.4976519077162877;0.5069704432306326;0.0;0.0;0.0;0.0;0.5209786089224717;0.4258673669257372
GO:0000462;0.0;0.0;0.5565356895066929;0.44591105330956243;0.34359989974599653;1.0;0.0;0.0;0.0;0.0;0.49473000131919365;0.5070735231079719;0.567801905900726;0.4246546073949561;0.41923666540876925;0.49787201858118535;0.44148427237987303;0.44591105330956243;0.3855773354389354;0.0;0.0;0.3855773354389354;0.0;0.0;0.0;0.5721439965327062;0.0;0.44630942023639436;0.4927395823807402;0.24138851853875337;0.0;0.0;0.0;0.47036380874876904;0.0;0.0;0.0;0.3959002215052675;0.28367981189368235;0.0;0.0;0.6403565024718896;0.3855773354389354;0.0;0.0;0.4367044787789352;0.0;0.3855773354389354;0.0;0.0;0.0;0.0;0.0;0.3855773354389354
GO:0010812;0.3101986836708599;0.30703581615390346;0.0;0.3869995903900429;0.0;0.0;1.0;0.2999280783707455;0.0;0.0;0.0;0.4708232971778689;0.0;0.40745027350640667;0.0;0.4616217926510824;0.38257280946035344;0.3869995903900429;0.0;0.0;0.45262399612790943;0.0;0.28972087931850826;0.41087358691024056;0.2388029594019766;0.0;0.45963864399643833;0.0;0.0;0.0;0.3876887714132487;0.0;0.0;0.0;0.37391271535140286;0.0;0.2910618055101569;0.0;0.0;0.35334026042020905;0.0;0.0;0.0;0.43059674406853665;0.0;0.0;0.0;0.0;0.0;0.2910618055101569;0.5274313823264849;0.4521315296685806;0.0;0.32666587251941587
GO:0032728;0.3432927325813855;0.3236626762158731;0.0;0.30977280128662177;0.0;0.0;0.2999280783707455;1.0;0.0;0.0;0.0;0.3709352710850312;0.0;0.2885163553720154;0.0;0.3617337665582447;0.3053460203569323;0.30977280128662177;0.0;0.0;0.2662687484009117;0.0;0.3063477393804779;0.4275004469722102;0.19043022385423447;0.0;0.4536042670689914;0.0;0.0;0.0;0.4043156314752183;0.0;0.0;0.0;0.5113993982253551;0.0;0.30768866557212654;0.0;0.0;0.44136315174308405;0.0;0.0;0.0;0.3608149408238906;0.0;0.0;0.0;0.0;0.0;0.30768866557212654;0.3236626762158731;0.3522435035757429;0.0;0.24943908341599474
GO:0010259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47587556249460283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5317824994355405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46168257048796274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3196993802193485;0.0;0.0;0.0;0.4855565670081604;0.0;0.0;0.0;0.0;0.0;0.0;0.41607500879401793;0.0;0.0;0.0;0.0;0.45189723703832657;0.0;0.0;0.6892643776064954;0.0;0.0;0.0;0.0;0.0
GO:0018279;0.0;0.0;0.7766905580769237;0.4795703832793963;0.4595266968955711;0.49473000131919365;0.0;0.0;0.0;0.0;1.0;0.5407328530778057;0.5506042927965245;0.4583139373647899;0.4528959953786031;0.5315313485510191;0.4751436023497068;0.4795703832793963;0.41923666540876925;0.0;0.0;0.41923666540876925;0.0;0.0;0.0;0.5494276540460872;0.0;0.4799687502062282;0.5239660256760751;0.2750478485085872;0.0;0.0;0.0;0.49558913097710106;0.0;0.0;0.0;0.4563621060367619;0.3441416964251768;0.0;0.0;0.6176401599852704;0.41923666540876925;0.0;0.0;0.4619298010072672;0.0;0.41923666540876925;0.0;0.0;0.0;0.0;0.0;0.41923666540876925
GO:0035556;0.38120587638514564;0.3780430088681892;0.6025385412653048;0.7003669040796479;0.5473635545947737;0.5070735231079719;0.4708232971778689;0.3709352710850312;0.0;0.0;0.5407328530778057;1.0;0.48068034740556215;0.5461507950639926;0.5407328530778057;0.7523278693512707;0.6959401231499585;0.7773337764660133;0.5070735231079719;0.0;0.5390614907532881;0.5070735231079719;0.3780430088681892;0.5015108359900387;0.3393101594583949;0.5461507950639926;0.5574483912723847;0.0;0.46108293650365645;0.36288470620778984;0.4741847029208027;0.0;0.0;0.44284848044392927;0.4675811450551052;0.0;0.3775577370177109;0.48428282530083067;0.4319785541243794;0.5489062136691645;0.0;0.6143633010031759;0.5070735231079719;0.5189188736182175;0.0;0.40918915047409543;0.0;0.5070735231079719;0.0;0.3775577370177109;0.36157582001963323;0.5499412769445269;0.0;0.6400331862090207
