;GO:0045727;GO:0008285;GO:0043200;GO:0051290;GO:0043547;GO:0006686;GO:0000122;GO:0006913;GO:0071230;GO:0045471;GO:0001666;GO:0000184;GO:0000083;GO:0051603;GO:0010595;GO:0051028;GO:0050776;GO:0007186;GO:0006351;GO:0033273;GO:0006432;GO:0008277;GO:0046500;GO:0006656;GO:0014909;GO:0046498;GO:0043066;GO:0016540;GO:0050747;GO:0070317;GO:0016226
GO:0045727;1.0;0.3333333333333333;0.0;0.0;0.08333333333333333;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.45454545454545453;0.6;0.0;0.3;0.0;0.2222222222222222;0.3333333333333333;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.75;0.2727272727272727;0.0
GO:0008285;0.3333333333333333;1.0;0.0;0.0;0.1;0.0;0.4;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.2222222222222222;0.0;0.2857142857142857;0.42857142857142855;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.5;0.0;0.3333333333333333;0.5;0.0
GO:0043200;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8;0.5;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051290;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043547;0.08333333333333333;0.1;0.0;0.0;1.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.09090909090909091;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.08333333333333333;0.08333333333333333;0.0
GO:0006686;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.1;0.0;0.0;0.25;0.14285714285714285;0.42857142857142855;0.0;0.0;0.0;0.14285714285714285;0.375;0.0;0.42857142857142855;0.0;0.2857142857142857;0.5714285714285714;0.0;0.375;0.0;0.2857142857142857;0.0;0.0;0.25
GO:0000122;0.5454545454545454;0.4;0.0;0.0;0.07692307692307693;0.0;1.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.6666666666666666;0.0;0.16666666666666666;0.0;0.2;0.2727272727272727;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.45454545454545453;0.3333333333333333;0.0
GO:0006913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071230;0.0;0.0;0.8;0.0;0.0;0.1;0.0;0.0;1.0;0.42857142857142855;0.14285714285714285;0.08333333333333333;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.2857142857142857;0.16666666666666666;0.0;0.125;0.1;0.0;0.125;0.0;0.0;0.0;0.0;0.0
GO:0045471;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;1.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000184;0.45454545454545453;0.2727272727272727;0.0;0.0;0.07142857142857142;0.25;0.5454545454545454;0.0;0.08333333333333333;0.0;0.0;1.0;0.45454545454545453;0.2222222222222222;0.15384615384615385;0.0;0.18181818181818182;0.1111111111111111;0.3;0.0;0.2222222222222222;0.16666666666666666;0.2;0.16666666666666666;0.0;0.2;0.23076923076923078;0.3;0.3333333333333333;0.23076923076923078;0.2
GO:0000083;0.6;0.0;0.0;0.0;0.0;0.14285714285714285;0.6666666666666666;0.0;0.16666666666666666;0.0;0.0;0.45454545454545453;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.5;0.0;0.0
GO:0051603;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;1.0;0.0;0.0;0.0;0.0;0.6;0.0;0.6;0.0;0.5;0.5;0.0;0.5;0.0;0.6;0.0;0.0;0.0
GO:0010595;0.3;0.2222222222222222;0.0;0.0;0.09090909090909091;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;1.0;0.0;0.25;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.3;0.18181818181818182;0.0
GO:0051028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050776;0.2222222222222222;0.2857142857142857;0.0;0.0;0.1111111111111111;0.0;0.2;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.25;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.2222222222222222;0.2222222222222222;0.0
GO:0007186;0.3333333333333333;0.42857142857142855;0.0;0.0;0.0;0.14285714285714285;0.2727272727272727;0.0;0.16666666666666666;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.2;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.0
GO:0006351;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.6;0.0;0.0;0.0;0.0;1.0;0.0;0.6;0.0;0.5;0.3333333333333333;0.0;0.2;0.0;0.6;0.0;0.0;0.0
GO:0033273;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.3333333333333333;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006432;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.16666666666666666;0.0;0.0;0.2222222222222222;0.0;0.6;0.0;0.0;0.0;0.0;0.6;0.0;1.0;0.0;0.5;0.5;0.0;0.5;0.0;0.6;0.0;0.0;0.0
