;GO:0045727;GO:0008285;GO:0043200;GO:0051290;GO:0043547;GO:0006686;GO:0000122;GO:0006913;GO:0071230;GO:0045471;GO:0001666;GO:0000184;GO:0000083;GO:0051603;GO:0010595;GO:0051028;GO:0050776;GO:0007186;GO:0006351;GO:0033273;GO:0006432;GO:0008277;GO:0046500;GO:0006656;GO:0014909;GO:0046498;GO:0043066;GO:0016540;GO:0050747;GO:0070317;GO:0016226
GO:0045727;1.0;0.2617716906941641;0.0;0.0;0.13341974613216492;0.0;0.45247490763265563;0.0;0.0;0.0;0.0;0.20064898613233964;0.5491899518963108;0.0;0.2846606083069493;0.0;0.21108780166147356;0.26415492468152485;0.0;0.0;0.0;0.2563564586691334;0.0;0.0;0.0;0.0;0.24169937224252067;0.0;0.7846666841673622;0.24312376848617592;0.0
GO:0008285;0.2617716906941641;1.0;0.0;0.0;0.2984082787373764;0.0;0.3261438947925933;0.0;0.0;0.0;0.0;0.21012312636411182;0.3259532593887879;0.0;0.3733116274207801;0.0;0.5195717223819352;0.6086503722197866;0.0;0.0;0.0;0.5687827343211382;0.0;0.0;0.0;0.0;0.6837278943013937;0.0;0.33366881863395914;0.692138843009184;0.0
GO:0043200;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6309323618278387;0.5823642471698304;0.32698886511899494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4245662366766139;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051290;0.0;0.0;0.0;1.0;0.0;0.14088645232877794;0.0;0.0;0.19949770589701712;0.0;0.0;0.11446895528176722;0.1653835273526333;0.0;0.0;0.0;0.0;0.2967965613628667;0.142145051690494;0.0;0.15418650765572386;0.0;0.2715441303918824;0.15396914511738058;0.31099901403765107;0.14383239902838552;0.0;0.0;0.0;0.0;0.5241464424895887
GO:0043547;0.13341974613216492;0.2984082787373764;0.0;0.0;1.0;0.0;0.12203459804129549;0.0;0.0;0.0;0.0;0.11352254122266196;0.16555306246395993;0.0;0.18912045311304987;0.0;0.3398448133598218;0.3044644571590723;0.0;0.0;0.0;0.2851291811850067;0.0;0.0;0.0;0.0;0.25222684496290226;0.0;0.1694008869708833;0.25524500550931306;0.0
GO:0006686;0.0;0.0;0.0;0.14088645232877794;0.0;1.0;0.0;0.0;0.11913247667211171;0.0;0.0;0.2803089162478597;0.10606726895038353;0.3492010060862192;0.0;0.0;0.0;0.14813193012522918;0.45402205846081045;0.0;0.37950620431998855;0.0;0.31807213162629244;0.7703445566521177;0.15158699412590526;0.3623602545121602;0.0;0.3365525827116308;0.0;0.0;0.2541029044386937
GO:0000122;0.45247490763265563;0.3261438947925933;0.0;0.0;0.12203459804129549;0.0;1.0;0.0;0.0;0.0;0.0;0.2873932596584785;0.6713042756898708;0.0;0.19294008499682247;0.0;0.1918658482614071;0.2411260583641148;0.0;0.0;0.0;0.23461128585438512;0.0;0.0;0.0;0.0;0.3031453632913274;0.0;0.42268859642441237;0.30478752750762894;0.0
GO:0006913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46542703543384045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071230;0.0;0.0;0.6309323618278387;0.19949770589701712;0.0;0.11913247667211171;0.0;0.0;1.0;0.3734980714466192;0.19788624523142345;0.09968007451351883;0.13619054622006938;0.0;0.0;0.0;0.0;0.21434327618163768;0.12003116837511138;0.262206817158622;0.12850573352604627;0.0;0.20085383668759876;0.1283547119673322;0.22165348707577273;0.12123212625579927;0.0;0.0;0.0;0.0;0.19506119174184236
GO:0045471;0.0;0.0;0.5823642471698304;0.0;0.0;0.0;0.0;0.0;0.3734980714466192;1.0;0.3110222752459553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40484112968321645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001666;0.0;0.0;0.32698886511899494;0.0;0.0;0.0;0.0;0.0;0.19788624523142345;0.3110222752459553;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34848594828459195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000184;0.20064898613233964;0.21012312636411182;0.0;0.11446895528176722;0.11352254122266196;0.2803089162478597;0.2873932596584785;0.0;0.09968007451351883;0.0;0.0;1.0;0.2714359852485389;0.2881311626600948;0.1384902781464186;0.0;0.17765119253486747;0.23019170140207193;0.511241144164676;0.0;0.5041614323822449;0.16632666185438533;0.258198745103969;0.26503975516266304;0.12143363769294509;0.3975458891104132;0.19628327233956736;0.2795852573574365;0.19791765806999873;0.1972760696746494;0.20707008109913344
GO:0000083;0.5491899518963108;0.3259532593887879;0.0;0.1653835273526333;0.16555306246395993;0.10606726895038353;0.6713042756898708;0.0;0.13619054622006938;0.0;0.0;0.2714359852485389;1.0;0.0;0.24574814040420243;0.0;0.26667014628582;0.417344206922436;0.10677906245093953;0.0;0.11343377617494249;0.31759943807754615;0.16631443313737185;0.1133160864402558;0.18032610216894607;0.10772842574755832;0.2954058899978153;0.0;0.5299873078133225;0.2975364175673147;0.16232293679335122
