;GO:0035860;GO:0036498;GO:0043649;GO:0015012;GO:0033141;GO:0015031;GO:0000038;GO:0046459;GO:0006104;GO:0000165;GO:0032801;GO:0006816;GO:0019722;GO:0032788;GO:0032789;GO:0006351;GO:0060394;GO:0007202;GO:0007200;GO:0006357;GO:0007218;GO:0001676;GO:0006625;GO:0048016;GO:0019276;GO:0030512
GO:0035860;1.0;0.0;0.14285714285714285;0.125;0.0;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.2;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2;0.0
GO:0036498;0.0;1.0;0.14285714285714285;0.125;0.0;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.2;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2;0.3
GO:0043649;0.14285714285714285;0.14285714285714285;1.0;0.18181818181818182;0.0;0.0;0.5;0.5;0.2222222222222222;0.14285714285714285;0.42857142857142855;0.0;0.14285714285714285;0.5555555555555556;0.5555555555555556;0.2857142857142857;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.5;0.0;0.14285714285714285;0.25;0.0
GO:0015012;0.125;0.125;0.18181818181818182;1.0;0.0;0.0;0.2;0.2;0.2;0.125;0.3333333333333333;0.0;0.125;0.16666666666666666;0.16666666666666666;0.5;0.0;0.0;0.125;0.0;0.125;0.2;0.0;0.125;0.3333333333333333;0.0
GO:0033141;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.5833333333333334;0.058823529411764705;0.23076923076923078;0.2857142857142857;0.23076923076923078;0.0;0.0;0.0;0.0;0.3333333333333333
GO:0015031;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0
GO:0000038;0.16666666666666666;0.16666666666666666;0.5;0.2;0.0;0.0;1.0;0.6666666666666666;0.25;0.16666666666666666;0.2857142857142857;0.0;0.16666666666666666;0.6666666666666666;0.6666666666666666;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.6666666666666666;0.0;0.16666666666666666;0.2857142857142857;0.0
GO:0046459;0.16666666666666666;0.16666666666666666;0.5;0.2;0.0;0.0;0.6666666666666666;1.0;0.25;0.16666666666666666;0.2857142857142857;0.0;0.16666666666666666;0.6666666666666666;0.6666666666666666;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.6666666666666666;0.0;0.16666666666666666;0.2857142857142857;0.0
GO:0006104;0.16666666666666666;0.16666666666666666;0.2222222222222222;0.2;0.0;0.0;0.25;0.25;1.0;0.16666666666666666;0.2857142857142857;0.0;0.16666666666666666;0.2;0.2;0.3333333333333333;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.25;0.0;0.16666666666666666;0.5;0.0
GO:0000165;0.0;0.0;0.14285714285714285;0.125;0.23076923076923078;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;1.0;0.2;0.0;0.0;0.125;0.125;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.16666666666666666;0.0;0.0;0.2;0.3
