;GO:0035860;GO:0036498;GO:0043649;GO:0015012;GO:0033141;GO:0015031;GO:0000038;GO:0046459;GO:0006104;GO:0000165;GO:0032801;GO:0006816;GO:0019722;GO:0032788;GO:0032789;GO:0006351;GO:0060394;GO:0007202;GO:0007200;GO:0006357;GO:0007218;GO:0001676;GO:0006625;GO:0048016;GO:0019276;GO:0030512
GO:0035860;1.0;0.125;0.23529411764705882;0.2222222222222222;0.09523809523809523;0.0;0.2222222222222222;0.2222222222222222;0.25;0.10526315789473684;0.25;0.0;0.11764705882352941;0.23529411764705882;0.23529411764705882;0.10526315789473684;0.1;0.10526315789473684;0.125;0.1;0.125;0.2222222222222222;0.1;0.11764705882352941;0.23529411764705882;0.1111111111111111
GO:0036498;0.125;1.0;0.26666666666666666;0.25;0.10526315789473684;0.0;0.25;0.25;0.2857142857142857;0.11764705882352941;0.2857142857142857;0.0;0.13333333333333333;0.26666666666666666;0.26666666666666666;0.11764705882352941;0.1111111111111111;0.11764705882352941;0.14285714285714285;0.1111111111111111;0.14285714285714285;0.25;0.1111111111111111;0.13333333333333333;0.26666666666666666;0.5
GO:0043649;0.23529411764705882;0.26666666666666666;1.0;0.35294117647058826;0.0;0.0;0.7058823529411765;0.7058823529411765;0.4;0.2222222222222222;0.5333333333333333;0.0;0.25;0.75;0.75;0.3333333333333333;0.0;0.0;0.26666666666666666;0.0;0.26666666666666666;0.7058823529411765;0.10526315789473684;0.25;0.375;0.0
GO:0015012;0.2222222222222222;0.25;0.35294117647058826;1.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.375;0.21052631578947367;0.625;0.0;0.23529411764705882;0.35294117647058826;0.35294117647058826;0.631578947368421;0.0;0.0;0.25;0.0;0.25;0.3333333333333333;0.1;0.23529411764705882;0.47058823529411764;0.0
GO:0033141;0.09523809523809523;0.10526315789473684;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.1;0.0;0.0;0.0;0.782608695652174;0.18181818181818182;0.42105263157894735;0.43478260869565216;0.42105263157894735;0.0;0.0;0.1;0.0;0.5714285714285714
GO:0015031;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8421052631578947;0.0;0.0;0.0
GO:0000038;0.2222222222222222;0.25;0.7058823529411765;0.3333333333333333;0.0;0.0;1.0;0.8888888888888888;0.375;0.21052631578947367;0.375;0.0;0.23529411764705882;0.8235294117647058;0.8235294117647058;0.21052631578947367;0.0;0.0;0.25;0.0;0.25;0.8888888888888888;0.1;0.23529411764705882;0.35294117647058826;0.0
GO:0046459;0.2222222222222222;0.25;0.7058823529411765;0.3333333333333333;0.0;0.0;0.8888888888888888;1.0;0.375;0.21052631578947367;0.375;0.0;0.23529411764705882;0.8235294117647058;0.8235294117647058;0.21052631578947367;0.0;0.0;0.25;0.0;0.25;0.8888888888888888;0.1;0.23529411764705882;0.35294117647058826;0.0
GO:0006104;0.25;0.2857142857142857;0.4;0.375;0.0;0.0;0.375;0.375;1.0;0.23529411764705882;0.42857142857142855;0.0;0.26666666666666666;0.4;0.4;0.35294117647058826;0.0;0.0;0.2857142857142857;0.0;0.2857142857142857;0.375;0.1111111111111111;0.26666666666666666;0.5333333333333333;0.0
GO:0000165;0.10526315789473684;0.11764705882352941;0.2222222222222222;0.21052631578947367;0.36363636363636365;0.0;0.21052631578947367;0.21052631578947367;0.23529411764705882;1.0;0.23529411764705882;0.0;0.1111111111111111;0.2222222222222222;0.2222222222222222;0.1;0.38095238095238093;0.1;0.11764705882352941;0.38095238095238093;0.11764705882352941;0.21052631578947367;0.09523809523809523;0.1111111111111111;0.2222222222222222;0.42105263157894735
GO:0032801;0.25;0.2857142857142857;0.5333333333333333;0.625;0.0;0.0;0.375;0.375;0.42857142857142855;0.23529411764705882;1.0;0.0;0.26666666666666666;0.4;0.4;0.47058823529411764;0.0;0.0;0.2857142857142857;0.0;0.2857142857142857;0.375;0.1111111111111111;0.26666666666666666;0.4;0.0
GO:0006816;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0
GO:0019722;0.11764705882352941;0.13333333333333333;0.25;0.23529411764705882;0.1;0.0;0.23529411764705882;0.23529411764705882;0.26666666666666666;0.1111111111111111;0.26666666666666666;0.0;1.0;0.25;0.25;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.13333333333333333;0.10526315789473684;0.13333333333333333;0.23529411764705882;0.10526315789473684;0.125;0.25;0.11764705882352941
GO:0032788;0.23529411764705882;0.26666666666666666;0.75;0.35294117647058826;0.0;0.0;0.8235294117647058;0.8235294117647058;0.4;0.2222222222222222;0.4;0.0;0.25;1.0;0.875;0.3333333333333333;0.0;0.0;0.26666666666666666;0.0;0.26666666666666666;0.8235294117647058;0.10526315789473684;0.25;0.375;0.0
GO:0032789;0.23529411764705882;0.26666666666666666;0.75;0.35294117647058826;0.0;0.0;0.8235294117647058;0.8235294117647058;0.4;0.2222222222222222;0.4;0.0;0.25;0.875;1.0;0.3333333333333333;0.0;0.0;0.26666666666666666;0.0;0.26666666666666666;0.8235294117647058;0.10526315789473684;0.25;0.375;0.0
GO:0006351;0.10526315789473684;0.11764705882352941;0.3333333333333333;0.631578947368421;0.0;0.0;0.21052631578947367;0.21052631578947367;0.35294117647058826;0.1;0.47058823529411764;0.0;0.1111111111111111;0.3333333333333333;0.3333333333333333;1.0;0.0;0.0;0.11764705882352941;0.0;0.11764705882352941;0.21052631578947367;0.09523809523809523;0.1111111111111111;0.2222222222222222;0.0
GO:0060394;0.1;0.1111111111111111;0.0;0.0;0.782608695652174;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;1.0;0.19047619047619047;0.4444444444444444;0.45454545454545453;0.4444444444444444;0.0;0.0;0.10526315789473684;0.0;0.8
GO:0007202;0.10526315789473684;0.11764705882352941;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.19047619047619047;1.0;0.11764705882352941;0.19047619047619047;0.11764705882352941;0.0;0.0;0.1111111111111111;0.0;0.21052631578947367
GO:0007200;0.125;0.14285714285714285;0.26666666666666666;0.25;0.42105263157894735;0.0;0.25;0.25;0.2857142857142857;0.11764705882352941;0.2857142857142857;0.0;0.13333333333333333;0.26666666666666666;0.26666666666666666;0.11764705882352941;0.4444444444444444;0.11764705882352941;1.0;0.1111111111111111;0.14285714285714285;0.25;0.1111111111111111;0.13333333333333333;0.26666666666666666;0.5
GO:0006357;0.1;0.1111111111111111;0.0;0.0;0.43478260869565216;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.45454545454545453;0.19047619047619047;0.1111111111111111;1.0;0.1111111111111111;0.0;0.0;0.10526315789473684;0.0;0.4
