;GO:1905004;GO:0008284;GO:0008203;GO:0006487;GO:0006520;GO:0009313;GO:0009235;GO:0006682;GO:0006468;GO:0046415;GO:0042359;GO:0042953;GO:0002003;GO:0006855;GO:0043171;GO:0001886;GO:0007409;GO:1990822;GO:0034765;GO:0015747;GO:0015889;GO:1905012;GO:0003081;GO:0015760;GO:1902204;GO:1904985;GO:0006898;GO:0048704;GO:0006569;GO:0001558;GO:0015739;GO:0035725;GO:0010107;GO:0016266;GO:0015812;GO:0015811;GO:0051259
GO:1905004;1.0;0.0;0.2616078575017384;0.31060168492498297;0.5186433935597237;0.18588065347646535;0.48049710896281267;0.3968552140118829;0.3107691104150049;0.5807690342224916;0.2668275492857828;0.0;0.3283431105676449;0.0;0.3761411027982402;0.13213611798619349;0.1267270941479082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41826258242470793;0.0;0.0;0.0;0.11717618127388803;0.30502129547209306;0.0;0.0;0.14498954413531562
GO:0008284;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18773620052519052;0.0;0.0;0.0;0.0;0.0;0.4503476188445732;0.0;0.0;0.30243814002895225;0.28393766754523053;0.0;0.5461696149739013;0.3413727517220797;0.0;0.0;0.0;0.5944882726750249;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008203;0.2616078575017384;0.0;1.0;0.29956667043575125;0.4357198173408082;0.40708050426275716;0.37991828036256686;0.23215525822777683;0.29981673763150807;0.40571032653682443;0.7460114767485847;0.0;0.2744257265733554;0.0;0.27023380888804294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24480793539401413;0.0;0.0;0.0;0.0;0.29131550926795846;0.0;0.0;0.0
GO:0006487;0.31060168492498297;0.0;0.29956667043575125;1.0;0.5396788763850952;0.3283038810117161;0.42894389316689546;0.31554259576248217;0.8034652999978878;0.45321783852160097;0.30782596432961745;0.0;0.5189442437692492;0.0;0.45372265357680625;0.18254902272206092;0.17238408868241864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28648804670509836;0.0;0.0;0.0;0.15517866916002837;0.9294769826087701;0.0;0.0;0.2080266624653318
GO:0006520;0.5186433935597237;0.0;0.4357198173408082;0.5396788763850952;1.0;0.40497040652151584;0.5712862977014989;0.3508424239042647;0.5401276581591565;0.6743559191240688;0.45032556250295896;0.0;0.49454520184981177;0.0;0.5420776251313335;0.22190671651152574;0.20706433391676987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48368354468424013;0.0;0.0;0.0;0.18272842966644534;0.5248693682041525;0.0;0.0;0.26072263452642114
GO:0009313;0.18588065347646535;0.0;0.40708050426275716;0.3283038810117161;0.40497040652151584;1.0;0.278530728509302;0.20620397265819518;0.3286042510095925;0.2995167551593448;0.42248456895908554;0.0;0.2983492339479856;0.0;0.4493461625667752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25719859876544143;0.0;0.0;0.0;0.0;0.318419849514508;0.0;0.0;0.0
GO:0009235;0.48049710896281267;0.0;0.37991828036256686;0.42894389316689546;0.5712862977014989;0.278530728509302;1.0;0.2894426934027197;0.4292632705411869;0.7133093891576506;0.45587375754943515;0.0;0.3965381974420437;0.0;0.47881459307842894;0.19358816530889084;0.18219503123836295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39074827411440227;0.0;0.0;0.0;0.16308400678484167;0.41837340369150766;0.0;0.0;0.22248423111994484
GO:0006682;0.3968552140118829;0.0;0.23215525822777683;0.31554259576248217;0.3508424239042647;0.20620397265819518;0.2894426934027197;1.0;0.3156959622233858;0.3362333650938233;0.2362709456975285;0.0;0.36313770915274846;0.0;0.3723762941169338;0.11741396854170817;0.11312354041311538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2464918632483596;0.0;0.0;0.0;0.10545099056470048;0.31042148980815926;0.0;0.0;0.12745397094523758
GO:0006468;0.3107691104150049;0.0;0.29981673763150807;0.8034652999978878;0.5401276581591565;0.3286042510095925;0.4292632705411869;0.3156959622233858;1.0;0.4535744008503919;0.3080900167981287;0.0;0.5192857690965086;0.0;0.454080010972449;0.18270548572555412;0.17252360540513878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28661446443432564;0.0;0.0;0.0;0.15529171663776903;0.7845650314870126;0.0;0.0;0.208229871304706
GO:0046415;0.5807690342224916;0.0;0.40571032653682443;0.45321783852160097;0.6743559191240688;0.2995167551593448;0.7133093891576506;0.3362333650938233;0.4535744008503919;1.0;0.41840363754917387;0.0;0.4671223817586551;0.0;0.5702070889060842;0.20712926014807936;0.19414000169468942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46862252402506716;0.0;0.0;0.0;0.17258914351587556;0.44143356304766174;0.0;0.0;0.24055817266204332
