;GO:0042738;GO:0006342;GO:0045944;GO:0000122;GO:1901837;GO:0097267;GO:0006999;GO:0006518;GO:0000281;GO:0050852;GO:0045618;GO:0060271;GO:0006351;GO:0051260;GO:0000921;GO:0006355;GO:0061408;GO:0006334;GO:0007517;GO:0030217;GO:0006406;GO:0006607;GO:0016485;GO:0071169;GO:0034613
GO:0042738;1.0;0.11227212842738292;0.0;0.0;0.0;0.37012676645379655;0.32656875246870753;0.5106051441251132;0.35270018721775764;0.1857174782625228;0.0;0.26404811036959197;0.26897293579568565;0.31004794565758925;0.2541794867160595;0.0;0.10203453321494368;0.26408476093908123;0.0;0.26583609343013553;0.0;0.0;0.2521814079970682;0.0;0.0
GO:0006342;0.11227212842738292;1.0;0.522865403477836;0.8822913409998127;0.8675068048215681;0.09447023089345345;0.19505512093393074;0.10842264755029223;0.11807186753944517;0.21587007931417887;0.17547241017496137;0.1800440893068086;0.08033829958498506;0.1914627758277831;0.17727731562087956;0.6516735401458685;0.4877151632290057;0.2106788143791925;0.0;0.10642979466087209;0.0;0.0;0.0;0.0;0.0
GO:0045944;0.0;0.522865403477836;1.0;0.5897006721125975;0.5541454629013565;0.0;0.0;0.0;0.0;0.22515504192718402;0.2683970526262167;0.0;0.0;0.0;0.0;0.7256749646825421;0.860939027335277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000122;0.0;0.8822913409998127;0.5897006721125975;1.0;0.9346195915286621;0.0;0.0;0.0;0.0;0.1873405550336386;0.19334313410609175;0.0;0.0;0.0;0.0;0.7175189537733038;0.5083212813592217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901837;0.0;0.8675068048215681;0.5541454629013565;0.9346195915286621;1.0;0.0;0.0;0.0;0.0;0.18312353359972003;0.18885478536474096;0.0;0.0;0.0;0.0;0.7009904760982797;0.4788761529355585;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0097267;0.37012676645379655;0.09447023089345345;0.0;0.0;0.0;1.0;0.21094565912385935;0.42656157691399227;0.2215485025914932;0.14158414228537278;0.0;0.18296240637827624;0.31255354322541;0.20392670408645516;0.1781691850608794;0.0;0.08711546190250849;0.18298000261579572;0.0;0.18381908683161124;0.0;0.0;0.3266748140763669;0.0;0.0
GO:0006999;0.32656875246870753;0.19505512093393074;0.0;0.0;0.0;0.21094565912385935;1.0;0.2960000749276138;0.38100605172206237;0.19327840392172013;0.0;0.5611416308567312;0.15145604909580174;0.6635396289621756;0.6206503959881389;0.0;0.1042756735145012;0.559378817241912;0.0;0.28160467641994497;0.0;0.0;0.0;0.0;0.0
GO:0006518;0.5106051441251132;0.10842264755029223;0.0;0.0;0.0;0.42656157691399227;0.2960000749276138;1.0;0.3173087689425075;0.17541526883935082;0.0;0.2436989314061193;0.4193053071009148;0.28236281580651135;0.23526848811373915;0.0;0.09884510699341167;0.2437301502778706;0.0;0.24522115323423452;0.0;0.0;0.5233234085571257;0.0;0.0
GO:0000281;0.35270018721775764;0.11807186753944517;0.0;0.0;0.0;0.2215485025914932;0.38100605172206237;0.3173087689425075;1.0;0.2021422747209134;0.0;0.2985362893875779;0.1568454627898825;0.35870636681689133;0.2859826446680144;0.0;0.10680233278900828;0.29858314015770543;0.0;0.30082386685389934;0.0;0.0;0.0;0.0;0.0
GO:0050852;0.1857174782625228;0.21587007931417887;0.22515504192718402;0.1873405550336386;0.18312353359972003;0.14158414228537278;0.19327840392172013;0.17541526883935082;0.2021422747209134;1.0;0.31083126167318714;0.16952226695296183;0.11204537031983218;0.1873694595408685;0.16539945199852046;0.2587170628232178;0.22943058304155384;0.16953737285009476;0.0;0.22314925335378752;0.0;0.0;0.0;0.0;0.0
GO:0045618;0.0;0.17547241017496137;0.2683970526262167;0.19334313410609175;0.18885478536474096;0.0;0.0;0.0;0.0;0.31083126167318714;1.0;0.0;0.0;0.0;0.0;0.27030640377192916;0.2222774474588577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
