;GO:0042738;GO:0006342;GO:0045944;GO:0000122;GO:1901837;GO:0097267;GO:0006999;GO:0006518;GO:0000281;GO:0050852;GO:0045618;GO:0060271;GO:0006351;GO:0051260;GO:0000921;GO:0006355;GO:0061408;GO:0006334;GO:0007517;GO:0030217;GO:0006406;GO:0006607;GO:0016485;GO:0071169;GO:0034613
GO:0042738;1.0;0.024022133124990276;0.0;0.0;0.0;0.09551387249136124;0.021130292664295988;0.12973536773103422;0.023594412171996895;0.024966254966663843;0.0;0.026421847772199813;0.1583123259243351;0.027148781682277787;0.021130292664295988;0.0;0.020195985138444682;0.024930124332703325;0.0;0.02464184778054227;0.0;0.0;0.10304618831142184;0.0;0.0
GO:0006342;0.024022133124990276;1.0;0.37976159517431174;0.6323657045834411;0.380345866647247;0.022063770115845354;0.1940744535390222;0.030892415512156688;0.02590571627986055;0.08974760388740953;0.07476077595485593;0.2480703770659967;0.03869273791729684;0.25567626256150505;0.1940744535390222;0.4434343538097786;0.23575370714038787;0.6196254093984286;0.0;0.027173931566996195;0.0;0.0;0.0;0.0;0.0
GO:0045944;0.0;0.37976159517431174;1.0;0.6552735478926591;0.27162578265453496;0.0;0.0;0.0;0.0;0.29235923805560066;0.2548520443355094;0.0;0.0;0.0;0.0;0.7256337160740953;0.5219526037741373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000122;0.0;0.6323657045834411;0.6552735478926591;1.0;0.4574602730538286;0.0;0.0;0.0;0.0;0.11631567791563228;0.09232815197622297;0.0;0.0;0.0;0.0;0.6726368454127089;0.351814524137777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901837;0.0;0.380345866647247;0.27162578265453496;0.4574602730538286;1.0;0.0;0.0;0.0;0.0;0.06842595255362052;0.05935430562821362;0.0;0.0;0.0;0.0;0.3027156725859072;0.18903521991153144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0097267;0.09551387249136124;0.022063770115845354;0.0;0.0;0.0;1.0;0.019600035981132177;0.11770530261873922;0.02170242042218144;0.022857687078178996;0.0;0.02407181495868669;0.14159628839211258;0.02467371557432824;0.019600035981132177;0.0;0.018793571078130664;0.022827397973970726;0.0;0.02258546390480828;0.0;0.0;0.11012884641346378;0.0;0.0
GO:0006999;0.021130292664295988;0.1940744535390222;0.0;0.0;0.0;0.019600035981132177;1.0;0.02626909296475501;0.02257404436964586;0.023826649340770865;0.0;0.3544703752830972;0.03170397343471949;0.40993442397148067;0.32259352556934695;0.0;0.019443700530977902;0.37796075013449987;0.0;0.02353100656421573;0.0;0.0;0.0;0.0;0.0
GO:0006518;0.12973536773103422;0.030892415512156688;0.0;0.0;0.0;0.11770530261873922;0.02626909296475501;1.0;0.030188638322822224;0.03247154557775376;0.0;0.03497776026216771;0.42889218799970197;0.03626316255627466;0.02626909296475501;0.0;0.024840449620312885;0.032410453372405244;0.0;0.03192491180429412;0.0;0.0;0.28189466160183774;0.0;0.0
GO:0000281;0.023594412171996895;0.02590571627986055;0.0;0.0;0.0;0.02170242042218144;0.02257404436964586;0.030188638322822224;1.0;0.027007094655814575;0.0;0.02871854210578831;0.037594998330375315;0.029579403430563936;0.02257404436964586;0.0;0.021510911652872108;0.02696482067567113;0.0;0.026627885907366575;0.0;0.0;0.0;0.0;0.0
GO:0050852;0.024966254966663843;0.08974760388740953;0.29235923805560066;0.11631567791563228;0.06842595255362052;0.022857687078178996;0.023826649340770865;0.03247154557775376;0.027007094655814575;1.0;0.1868042747221583;0.030776941429656462;0.041202398773034464;0.0317677583763034;0.023826649340770865;0.14315591181523188;0.17754269491420643;0.028771592105050134;0.0;0.40038467645432796;0.0;0.0;0.0;0.0;0.0
GO:0045618;0.0;0.07476077595485593;0.2548520443355094;0.09232815197622297;0.05935430562821362;0.0;0.0;0.0;0.0;0.1868042747221583;1.0;0.0;0.0;0.0;0.0;0.10847127866413263;0.16891592856541815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0060271;0.026421847772199813;0.2480703770659967;0.0;0.0;0.0;0.02407181495868669;0.3544703752830972;0.03497776026216771;0.02871854210578831;0.030776941429656462;0.0;1.0;0.045323040445433276;0.47506815457937035;0.6080185529904271;0.0;0.023836433748025507;0.4272248012587407;0.0;0.030285441832700523;0.0;0.0;0.0;0.0;0.0
GO:0006351;0.1583123259243351;0.03869273791729684;0.0;0.0;0.0;0.14159628839211258;0.03170397343471949;0.42889218799970197;0.037594998330375315;0.041202398773034464;0.0;0.045323040445433276;1.0;0.0475049634528783;0.03170397343471949;0.0;0.029646180214144644;0.04110408706443382;0.0;0.04032625735268308;0.0;0.0;0.2491517299505339;0.0;0.0
GO:0051260;0.027148781682277787;0.25567626256150505;0.0;0.0;0.0;0.02467371557432824;0.40993442397148067;0.03626316255627466;0.029579403430563936;0.0317677583763034;0.0;0.47506815457937035;0.0475049634528783;1.0;0.4393488733246403;0.0;0.0244264765302036;0.539840608330669;0.0;0.03124437229511166;0.0;0.0;0.0;0.0;0.0
GO:0000921;0.021130292664295988;0.1940744535390222;0.0;0.0;0.0;0.019600035981132177;0.32259352556934695;0.02626909296475501;0.02257404436964586;0.023826649340770865;0.0;0.6080185529904271;0.03170397343471949;0.4393488733246403;1.0;0.0;0.019443700530977902;0.5023068101955752;0.0;0.02353100656421573;0.0;0.0;0.0;0.0;0.0
GO:0006355;0.0;0.4434343538097786;0.7256337160740953;0.6726368454127089;0.3027156725859072;0.0;0.0;0.0;0.0;0.14315591181523188;0.10847127866413263;0.0;0.0;0.0;0.0;1.0;0.33483006660921905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
