;GO:0045927;GO:0033540;GO:1902476;GO:0008284;GO:0045907;GO:0042531;GO:0007214;GO:0045987;GO:0045892;GO:0035556;GO:0060396;GO:0006351;GO:0007200;GO:0006259;GO:0007204;GO:0006357;GO:0001994;GO:0006625;GO:0071420;GO:0071880;GO:0019254;GO:0010469;GO:0018105;GO:0051932
GO:0045927;1.0;0.0;0.0;0.5;0.42857142857142855;0.3;0.0;0.42857142857142855;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.2222222222222222;0.2;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0033540;0.0;1.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.125;0.125;0.125;0.125;0.2222222222222222;0.06666666666666667;0.0;0.0;0.0;0.08333333333333333;0.125;0.18181818181818182;0.0;0.16666666666666666;0.07142857142857142
GO:1902476;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008284;0.5;0.0;0.0;1.0;0.375;0.36363636363636365;0.375;0.375;0.3;0.42857142857142855;0.0;0.0;0.375;0.0;0.06666666666666667;0.3;0.16666666666666666;0.0;0.0;0.0;0.0;0.375;0.0;0.0
GO:0045907;0.42857142857142855;0.0;0.0;0.375;1.0;0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042531;0.3;0.0;0.0;0.36363636363636365;0.25;1.0;0.23076923076923078;0.25;0.2857142857142857;0.25;0.0;0.0;0.23076923076923078;0.0;0.05263157894736842;0.2857142857142857;0.1;0.0;0.0;0.0;0.0;0.4;0.0;0.0
GO:0007214;0.0;0.125;0.0;0.375;0.0;0.23076923076923078;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.125;0.0
GO:0045987;0.42857142857142855;0.0;0.0;0.375;0.5;0.25;0.0;1.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0625;0.18181818181818182;0.14285714285714285;0.0;0.0;0.0;0.0;0.125;0.0;0.0
GO:0045892;0.2222222222222222;0.0;0.0;0.3;0.0;0.2857142857142857;0.0;0.18181818181818182;1.0;0.3;0.0;0.0;0.2727272727272727;0.0;0.058823529411764705;0.75;0.125;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0
GO:0035556;0.0;0.125;0.0;0.42857142857142855;0.0;0.25;0.0;0.0;0.3;1.0;0.0;0.0;0.0;0.2;0.1;0.3;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.125;0.0
GO:0060396;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.2;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.125;0.0
GO:0006351;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.3333333333333333;0.0
GO:0007200;0.0;0.125;0.0;0.375;0.0;0.23076923076923078;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;1.0;0.2;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.125;0.0
GO:0006259;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.2;0.5;0.2;1.0;0.08333333333333333;0.0;0.0;0.0;0.1111111111111111;0.2;0.25;0.0;0.375;0.09090909090909091
