;GO:0007050;GO:0006482;GO:0008285;GO:0044795;GO:0006886;GO:0043687;GO:0030866;GO:0032869;GO:0072583;GO:0016191;GO:0031658;GO:0000086;GO:0032802;GO:0097368;GO:0030308;GO:0048268;GO:0000082;GO:0010737;GO:0098815;GO:0060071;GO:0030100;GO:0019886;GO:0048709;GO:1902463;GO:0032482;GO:1900244;GO:0006897;GO:0032515;GO:0048013;GO:0035767;GO:0070830;GO:0032456;GO:0072659;GO:0016567
GO:0007050;1.0;0.07999999999999996;0.5454545454545454;0.0;0.0;0.08695652173913049;0.11764705882352944;0.06451612903225812;0.0;0.10526315789473684;0.1428571428571429;0.2142857142857143;0.06451612903225812;0.11111111111111116;0.4285714285714286;0.125;0.2142857142857143;0.41666666666666663;0.19047619047619047;0.2272727272727273;0.2857142857142857;0.0;0.1428571428571429;0.0;0.3571428571428571;0.16000000000000003;0.0;0.1428571428571429;0.3571428571428571;0.09999999999999998;0.11764705882352944;0.0;0.0;0.07999999999999996
GO:0006482;0.07999999999999996;1.0;0.0;0.0;0.0;0.8823529411764706;0.08333333333333337;0.052631578947368474;0.0;0.07692307692307687;0.0;0.09090909090909094;0.4285714285714286;0.07999999999999996;0.0;0.08695652173913049;0.09090909090909094;0.09090909090909094;0.0;0.0625;0.0;0.0;0.09523809523809523;0.0;0.08333333333333337;0.0;0.0;0.0;0.08333333333333337;0.07407407407407407;0.08333333333333337;0.0;0.0;0.7894736842105263
GO:0008285;0.5454545454545454;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10909090909090913;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.4;0.2222222222222222;0.19999999999999996;0.36363636363636365;0.0;0.0;0.0;0.33333333333333337;0.18181818181818177;0.0;0.15384615384615385;0.33333333333333337;0.0;0.0;0.0;0.0;0.0
GO:0044795;0.0;0.0;0.0;1.0;0.4117647058823529;0.0;0.0;0.0;0.41666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923073;0.0;0.0;0.5;0.0;0.0;0.0;0.0;1.0;0.19999999999999996;0.0
GO:0006886;0.0;0.0;0.0;0.4117647058823529;1.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2941176470588235;0.0;0.0;0.23529411764705888;0.0;0.0;0.0;0.0;0.4117647058823529;0.26315789473684215;0.0
GO:0043687;0.08695652173913049;0.8823529411764706;0.0;0.0;0.0;1.0;0.09090909090909094;0.05555555555555558;0.0;0.08333333333333337;0.0;0.09999999999999998;0.46153846153846156;0.08695652173913049;0.0;0.09523809523809523;0.09999999999999998;0.09999999999999998;0.0;0.06666666666666665;0.0;0.0;0.10526315789473684;0.0;0.09090909090909094;0.0;0.0;0.0;0.09090909090909094;0.07999999999999996;0.09090909090909094;0.0;0.0;0.8823529411764706
GO:0030866;0.11764705882352944;0.08333333333333337;0.0;0.0;0.0;0.09090909090909094;1.0;0.06666666666666665;0.0;0.25;0.0;0.1428571428571429;0.06666666666666665;0.11764705882352944;0.0;0.3076923076923077;0.1428571428571429;0.1428571428571429;0.0;0.08333333333333337;0.0;0.0;0.15384615384615385;0.0;0.125;0.0;0.0;0.0;0.125;0.10526315789473684;0.2857142857142857;0.0;0.0;0.08333333333333337
GO:0032869;0.06451612903225812;0.052631578947368474;0.0;0.0;0.0;0.05555555555555558;0.06666666666666665;1.0;0.0;0.0625;0.0;0.0714285714285714;0.045454545454545414;0.06451612903225812;0.0;0.06896551724137934;0.0714285714285714;0.0714285714285714;0.0;0.052631578947368474;0.0;0.0;0.07407407407407407;0.0;0.06666666666666665;0.0;0.0;0.0;0.06666666666666665;0.06060606060606055;0.06666666666666665;0.0;0.0;0.052631578947368474
GO:0072583;0.0;0.0;0.0;0.41666666666666663;0.21052631578947367;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.41666666666666663;0.1333333333333333;0.0
GO:0016191;0.10526315789473684;0.07692307692307687;0.0;0.0;0.0;0.08333333333333337;0.25;0.0625;0.0;1.0;0.0;0.125;0.0625;0.10526315789473684;0.0;0.3571428571428571;0.125;0.125;0.0;0.07692307692307687;0.0;0.0;0.1333333333333333;0.0;0.11111111111111116;0.0;0.0;0.0;0.11111111111111116;0.09523809523809523;0.25;0.0;0.0;0.07692307692307687
