;GO:0055012;GO:0015031;GO:0006366;GO:0043388;GO:0051091;GO:0006006;GO:0003257;GO:0001666;GO:0010812;GO:0045893;GO:0045010;GO:0010459;GO:0033574;GO:0034504;GO:0070208;GO:0007186;GO:0031032;GO:0086004;GO:0090263;GO:0051260;GO:1900222;GO:0038063;GO:0042542;GO:0001560;GO:1904706;GO:1901877;GO:0045736;GO:0043434;GO:0060314;GO:2000727;GO:0071560;GO:0007219;GO:0048251;GO:0045661;GO:2000724;GO:0051694;GO:0010628;GO:0071364;GO:0032355;GO:2000721;GO:0010667;GO:0086092;GO:2001015;GO:0030335;GO:1902081;GO:1904753;GO:0008284;GO:0035065;GO:0060065;GO:0051591;GO:0001570;GO:0048739;GO:0045109;GO:0045987;GO:0000122;GO:0010718;GO:0071230;GO:0032868;GO:0006816;GO:0001649;GO:0019388;GO:0030241;GO:0071356;GO:0010832;GO:0050776;GO:0030049;GO:0086023;GO:0044344;GO:0051480;GO:1901895;GO:0030239;GO:0071260;GO:0005978;GO:1902618;GO:0071300;GO:2000587;GO:0031960;GO:0050900;GO:0030199;GO:0010881;GO:0035886;GO:0030511;GO:0071306
GO:0055012;1.0;0.0;0.05555555555555558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04761904761904767;0.0;0.0;0.0;0.11764705882352944;0.15384615384615385;0.1333333333333333;0.0;0.0;0.1333333333333333;0.0;0.11764705882352944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09999999999999998;0.1428571428571429;0.1333333333333333;0.0;0.0;0.04347826086956519;0.0;0.09999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.5555555555555556;0.25;0.125;0.0;0.0;0.0;0.07692307692307687;0.0;0.0;0.5555555555555556;0.0;0.125;0.11111111111111116;0.0;0.0;0.1428571428571429;0.08333333333333337;0.09999999999999998;0.07692307692307687;0.0;0.1428571428571429;0.11764705882352944;0.05555555555555558;0.11764705882352944;0.09090909090909094;0.0;0.0;0.1428571428571429;0.1333333333333333;0.050000000000000044;0.6;0.0;0.06451612903225812
GO:0015031;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006366;0.05555555555555558;0.0;1.0;0.0;0.0;0.12121212121212122;0.0;0.0;0.0;0.0;0.032258064516129004;0.0;0.0;0.0;0.05405405405405406;0.06060606060606055;0.05714285714285716;0.0;0.0;0.05714285714285716;0.0;0.05405405405405406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.050000000000000044;0.05882352941176472;0.05714285714285716;0.0;0.0;0.030303030303030276;0.0;0.050000000000000044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.052631578947368474;0.05555555555555558;0.0;0.0;0.0;0.04347826086956519;0.0;0.0;0.0625;0.09999999999999998;0.0444444444444444;0.052631578947368474;0.0;0.0;0.05882352941176472;0.045454545454545414;0.050000000000000044;0.04347826086956519;0.0;0.04761904761904767;0.05405405405405406;0.28888888888888886;0.05405405405405406;0.04761904761904767;0.0;0.0;0.05882352941176472;0.05714285714285716;0.033333333333333326;0.05882352941176472;0.0;0.039215686274509776
GO:0043388;0.0;0.0;0.0;1.0;0.15384615384615385;0.0;0.045454545454545414;0.0;0.1428571428571429;0.052631578947368474;0.050000000000000044;0.11111111111111116;0.0;0.0;0.0;0.18181818181818177;0.0;0.09523809523809523;0.09090909090909094;0.0;0.16666666666666663;0.1333333333333333;0.0;0.16666666666666663;0.125;0.4;0.06000000000000005;0.0;0.08823529411764708;0.06060606060606055;0.0;0.16666666666666663;0.0;0.18181818181818177;0.06896551724137934;0.045454545454545414;0.1428571428571429;0.0;0.0;0.04878048780487809;0.09090909090909094;0.11111111111111116;0.07407407407407407;0.10526315789473684;0.08695652173913049;0.08695652173913049;0.16666666666666663;0.08333333333333337;0.0;0.0;0.0;0.0;0.0;0.125;0.04878048780487809;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09999999999999998;0.19999999999999996;0.0;0.09090909090909094;0.0;0.08333333333333337;0.07499999999999996;0.0;0.0;0.0;0.0;0.0;0.09090909090909094;0.0;0.0;0.0;0.052631578947368474;0.0;0.07999999999999996;0.0
GO:0051091;0.0;0.0;0.0;0.15384615384615385;1.0;0.0;0.47619047619047616;0.0;0.1428571428571429;0.5555555555555556;0.09433962264150941;0.09090909090909094;0.0;0.0;0.0;0.16000000000000003;0.0;0.11428571428571432;0.1428571428571429;0.0;0.11111111111111116;0.13793103448275867;0.0;0.15384615384615385;0.1333333333333333;0.11111111111111116;0.1694915254237288;0.0;0.10416666666666663;0.10869565217391308;0.0;0.15384615384615385;0.0;0.16000000000000003;0.11904761904761907;0.06896551724137934;0.28;0.0;0.0;0.5128205128205128;0.11111111111111116;0.09090909090909094;0.09756097560975607;0.15625;0.07894736842105265;0.10810810810810811;0.19999999999999996;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.1333333333333333;0.475;0.15625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.12;0.0;0.11111111111111116;0.0;0.050000000000000044;0.07272727272727275;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.07692307692307687;0.0;0.13157894736842102;0.0
GO:0006006;0.0;0.0;0.12121212121212122;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0003257;0.0;0.0;0.0;0.045454545454545414;0.47619047619047616;0.0;1.0;0.0;0.09090909090909094;0.8461538461538461;0.08823529411764708;0.061224489795918324;0.0;0.0;0.0;0.09756097560975607;0.0;0.07843137254901966;0.12;0.0;0.06976744186046513;0.0888888888888889;0.0;0.09523809523809523;0.08695652173913049;0.045454545454545414;0.11842105263157898;0.0;0.06153846153846154;0.09836065573770492;0.0;0.09523809523809523;0.0;0.09756097560975607;0.10526315789473684;0.05405405405405406;0.23076923076923073;0.0;0.0;0.9230769230769231;0.07692307692307687;0.061224489795918324;0.07017543859649122;0.12765957446808507;0.05555555555555558;0.07547169811320753;0.15000000000000002;0.18367346938775508;0.0;0.0;0.0;0.0;0.0;0.08695652173913049;0.36363636363636365;0.12765957446808507;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07999999999999996;0.07317073170731703;0.0;0.07692307692307687;0.0;0.0357142857142857;0.04166666666666663;0.0;0.0;0.0;0.0;0.0;0.07692307692307687;0.0;0.0;0.0;0.05882352941176472;0.0;0.1132075471698113;0.0
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2142857142857143;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.08695652173913049;0.1333333333333333;0.0;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.23076923076923073;0.0;0.1428571428571429;0.10526315789473684;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0714285714285714
GO:0010812;0.0;0.0;0.0;0.1428571428571429;0.1428571428571429;0.0;0.09090909090909094;0.0;1.0;0.10526315789473684;0.09999999999999998;0.2222222222222222;0.0;0.0;0.0;0.36363636363636365;0.0;0.19047619047619047;0.18181818181818177;0.0;0.33333333333333337;0.2666666666666667;0.0;0.33333333333333337;0.4285714285714286;0.1428571428571429;0.12244897959183676;0.0;0.11428571428571432;0.12121212121212122;0.0;0.33333333333333337;0.0;0.36363636363636365;0.13793103448275867;0.1428571428571429;0.19999999999999996;0.0;0.0;0.09756097560975607;0.30000000000000004;0.1578947368421053;0.24;0.21052631578947367;0.17391304347826086;0.2857142857142857;0.33333333333333337;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.17647058823529416;0.15384615384615385;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33333333333333337;0.2727272727272727;0.0;0.18181818181818177;0.0;0.07692307692307687;0.09756097560975607;0.0;0.0;0.0;0.0;0.0;0.30000000000000004;0.0;0.0;0.0;0.10526315789473684;0.0;0.16000000000000003;0.0
GO:0045893;0.0;0.0;0.0;0.052631578947368474;0.5555555555555556;0.0;0.8461538461538461;0.0;0.10526315789473684;1.0;0.09677419354838712;0.06976744186046513;0.0;0.0;0.0;0.11428571428571432;0.0;0.0888888888888889;0.13636363636363635;0.0;0.08108108108108103;0.10256410256410253;0.0;0.11111111111111116;0.09999999999999998;0.052631578947368474;0.12857142857142856;0.0;0.06779661016949157;0.10909090909090913;0.0;0.11111111111111116;0.0;0.11428571428571432;0.11764705882352944;0.05882352941176472;0.2727272727272727;0.0;0.0;0.9166666666666666;0.08695652173913049;0.06976744186046513;0.07843137254901966;0.14634146341463417;0.0625;0.08510638297872342;0.17647058823529416;0.2093023255813954;0.0;0.0;0.0;0.0;0.0;0.09999999999999998;0.38;0.14634146341463417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909094;0.08571428571428574;0.0;0.08695652173913049;0.0;0.040000000000000036;0.045454545454545414;0.0;0.0;0.0;0.0;0.0;0.08695652173913049;0.0;0.0;0.0;0.06451612903225812;0.0;0.12765957446808507;0.0
