;GO:0016601;GO:0007050;GO:0007051;GO:0006281;GO:0014068;GO:0045727;GO:0007098;GO:0016925;GO:0034551;GO:0015031;GO:0046854;GO:0000413;GO:0051292;GO:0045840;GO:0051091;GO:0043547;GO:0034501;GO:0051402;GO:0007062;GO:1901673;GO:1901796;GO:1900740;GO:0051382;GO:0000226;GO:0006406;GO:0010629;GO:0072332;GO:0006607;GO:0045066;GO:0000070;GO:0030334;GO:0032876;GO:0032753;GO:0051897;GO:0045786;GO:0045589;GO:0097190;GO:0045944;GO:0043523;GO:0043687;GO:1900119;GO:0046641;GO:0000082;GO:0032465;GO:0045070;GO:0051028;GO:0050852;GO:0033314;GO:0070936;GO:0031295;GO:0006351;GO:0006355;GO:0042089;GO:0045116;GO:0048304;GO:0046604;GO:0070060;GO:1901216;GO:0006511;GO:0006357;GO:0002863;GO:0045086;GO:0044791;GO:0043066;GO:0043065;GO:0034314;GO:0032733;GO:0051315
GO:0016601;1.0;0.5897252462090922;0.27423248047625837;0.16884924332108545;0.37228789693769;0.24954200941953242;0.2995972545514517;0.18114578073052573;0.25523280873970955;0.0;0.19501293425633964;0.1913352086188764;0.2455644227508011;0.36013674539431156;0.30245167752289814;0.2693093505918186;0.0;0.3192374012958678;0.29818770621343255;0.3663679170795192;0.4935236226549004;0.22608677261294013;0.2447147099505746;0.2974285731226731;0.0;0.3748331426692907;0.7579485833737857;0.0;0.2389255486587667;0.256091821775243;0.5210877969372629;0.23500708661968875;0.38862565404057153;0.3720078737651506;0.5369517844724464;0.3838181246538547;0.7943566215143852;0.23200243759524425;0.5221623191486097;0.20199930119593457;0.43009604458852435;0.2527499517641345;0.3057465153552414;0.5471564886593473;0.3525593165281551;0.0;0.4800456252960359;0.3569525509808681;0.18118637099676146;0.3175389691673238;0.14075783964988378;0.3452745131489294;0.0;0.19107267913713782;0.16415808519086172;0.2976139911534932;0.30556756775301536;0.49588988015721863;0.17751002785607142;0.3355698443407215;0.28641572786822295;0.2525491407976864;0.2502428097075253;0.4583136769140502;0.45829100964677233;0.30544719997521264;0.3884955456012551;0.3349887727984656
GO:0007050;0.5897252462090922;1.0;0.3379602461660751;0.16391570181368523;0.359587043939152;0.24377069026704662;0.3676346909050252;0.17547955518308594;0.24412599139315186;0.0;0.18846166351988272;0.185024709148845;0.23526615880536678;0.4029638112981716;0.29401492498292475;0.2566278386703994;0.0;0.302049194921106;0.36599233563859324;0.4097017818978841;0.4714490334089648;0.22231998545638448;0.23448610741175666;0.2824535063287911;0.0;0.4444418654114929;0.5703117348989336;0.0;0.22916552250108235;0.31657995098416664;0.49653986227935043;0.38455680745684717;0.37068440311550027;0.3593257945088318;0.8546974068274618;0.37033261460863476;0.6592214094043642;0.22700578213951234;0.4975154349916081;0.19497867122759277;0.4132339552845927;0.24683105430740038;0.3747904345260264;0.6018968728838762;0.3377300771410792;0.0;0.4063233425381727;0.5751921388630405;0.1755176455766471;0.3082524386958285;0.13731257944038947;0.3343228392318134;0.0;0.1847792001547528;0.16164062429584586;0.33492700751302895;0.2987268920987509;0.47360788349744815;0.17206555372367854;0.3252159275609775;0.276550913853716;0.24663953483332363;0.24267950412432063;0.599014224454366;0.4391947456549898;0.29861185227726234;0.37056602869275873;0.4086163523777631
GO:0007051;0.27423248047625837;0.3379602461660751;1.0;0.17501390805134434;0.0;0.0;0.7276302620448827;0.18825994571541552;0.45728826873557876;0.0;0.2032828669451379;0.1992897975386765;0.5194456369831847;0.0;0.0;0.0;0.0;0.34201436866092716;0.7311902668376428;0.0;0.0;0.1946203116822665;0.5175515339474455;0.9098190419510762;0.0;0.0;0.264281863573883;0.0;0.2514589051610834;0.6221405222507346;0.0;0.0;0.0;0.0;0.0;0.0;0.3104304962138775;0.0;0.0;0.2108858918252034;0.0;0.0;0.4221418294705304;0.0;0.0;0.0;0.18291242946976152;0.20025157403916488;0.18830378718811652;0.0;0.14501604326898054;0.0;0.0;0.19900500169186036;0.0;0.0;0.22391056030089174;0.0;0.1843361031630767;0.0;0.0;0.0;0.0;0.0;0.0;0.22381993062313543;0.0;0.4655498440664219
GO:0006281;0.16884924332108545;0.16391570181368523;0.17501390805134434;1.0;0.0;0.0;0.18501028713321283;0.5005773848608566;0.16707650121998918;0.0;0.3688716522538446;0.5207540232923897;0.1628786073627273;0.0;0.0;0.0;0.0;0.19231673144747266;0.1844717963623224;0.0;0.0;0.07944050671453691;0.16250434542299447;0.18418097905094286;0.0;0.0;0.16502356166390994;0.0;0.159931043577022;0.16744416677082455;0.0;0.0;0.0;0.0;0.0;0.0;0.18190963866448848;0.0;0.0;0.5412283968841861;0.0;0.0;0.18733700116311947;0.0;0.0;0.0;0.12914892775314585;0.11453539458849708;0.5006589866462601;0.0;0.6364942254720125;0.0;0.39717724550786543;0.5202418218949015;0.0;0.0;0.10150739969428782;0.0;0.49322750862650533;0.0;0.0;0.0;0.0;0.0;0.0;0.10147580248526426;0.0;0.19792318324291533
GO:0014068;0.37228789693769;0.359587043939152;0.0;0.0;1.0;0.29569073414721403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40237188945100544;0.3016492876723885;0.202437624868735;0.0;0.0;0.0;0.29729097203219473;0.6969031078688288;0.434940736051713;0.0;0.0;0.0;0.2856827949874877;0.36242793668716067;0.0;0.0;0.0;0.3916540573660362;0.20452398396964755;0.36634151173910895;0.911846813896294;0.4005486082552574;0.3086789445509716;0.40654062681619485;0.27757328066941783;0.3922607608126846;0.0;0.4637841543663217;0.29896679138151233;0.0;0.40619991170808756;0.34005792741284807;0.0;0.41873678935611497;0.23918344060014546;0.0;0.36275646900561603;0.0;0.2832494092502085;0.0;0.0;0.25488354949601727;0.34360838162479124;0.2872880668738128;0.5177570124888952;0.0;0.27668511442653015;0.39232730250180814;0.2987620536695062;0.25838483525459094;0.3550981206459164;0.4873407437711611;0.287189918041198;0.3662488378222692;0.0
GO:0045727;0.24954200941953242;0.24377069026704662;0.0;0.0;0.29569073414721403;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2900277242059388;0.5797032898571164;0.13341974613216492;0.0;0.0;0.0;0.213449176622995;0.25114870309579235;0.1816614792061496;0.0;0.0;0.0;0.3341996282969425;0.24507297529143662;0.0;0.0;0.0;0.258096369784957;0.43160619887834717;0.24272826242571122;0.2955619838559966;0.2619293110460473;0.21925689331727063;0.2644784194923526;0.7283941949542144;0.2583597029982006;0.0;0.3206301184736354;0.23215126676198755;0.0;0.264334177678421;0.23090339659212175;0.0;0.23886247157422724;0.18174748172863078;0.0;0.26886393006296083;0.0;0.5898153633594668;0.0;0.0;0.37543706394934706;0.25819957605703936;0.2250473187070285;0.3455316259990855;0.0;0.579805658248292;0.20593829679708542;0.7391453902847793;0.19010191860688183;0.24169937224252067;0.3317150568846765;0.2249870863586262;0.24268757473712235;0.0
GO:0007098;0.2995972545514517;0.3676346909050252;0.7276302620448827;0.18501028713321283;0.0;0.0;1.0;0.19987697188312123;0.49880297283536496;0.0;0.21689494680018043;0.21235518240728704;0.477158247543252;0.0;0.0;0.0;0.0;0.382390605916463;0.7012364077845086;0.0;0.0;0.16956782286934807;0.4752678372447449;0.6975058314041156;0.0;0.0;0.2877604968497865;0.0;0.2726232161482227;0.5871226810697038;0.0;0.0;0.0;0.0;0.0;0.0;0.3433351163651097;0.0;0.0;0.2255720098080106;0.0;0.0;0.4694756982244344;0.0;0.0;0.0;0.19385967812287822;0.21031015412012902;0.19992639168951046;0.0;0.15181275073332665;0.0;0.0;0.21203185050181816;0.0;0.0;0.23342320915587605;0.0;0.19545960949314087;0.0;0.0;0.0;0.0;0.0;0.0;0.2333247169451708;0.0;0.5237902047414764
GO:0016925;0.18114578073052573;0.17547955518308594;0.18825994571541552;0.5005773848608566;0.0;0.0;0.19987697188312123;1.0;0.17910699382471096;0.0;0.39070201528473736;0.8785925977649314;0.1742915004761543;0.0;0.0;0.0;0.0;0.20843197633864027;0.19924860907773748;0.0;0.0;0.08206131947869885;0.17386302095667908;0.19890937766742944;0.0;0.0;0.1767498481217987;0.0;0.17092066789074528;0.1795295807990591;0.0;0.0;0.0;0.0;0.0;0.0;0.19626285808221397;0.0;0.0;0.8712053538608999;0.0;0.0;0.20259538766435217;0.0;0.0;0.0;0.13622175017625182;0.12006389889807034;0.8831080282841584;0.0;0.4331105970168294;0.0;0.5382912203367295;0.9196629323763627;0.0;0.0;0.1058260266046792;0.0;0.6138174281594888;0.0;0.0;0.0;0.0;0.0;0.0;0.10579168405408043;0.0;0.21503351006811514
GO:0034551;0.25523280873970955;0.24412599139315186;0.45728826873557876;0.16707650121998918;0.0;0.0;0.49880297283536496;0.17910699382471096;1.0;0.0;0.1926520853165195;0.18906204698166815;0.702144874869229;0.0;0.0;0.0;0.0;0.3129592379558871;0.49649936410171003;0.0;0.0;0.16027235264120268;0.6997520780282591;0.4952585555998663;0.0;0.0;0.24659152241704715;0.0;0.23539140450156565;0.42751744006567044;0.0;0.0;0.0;0.0;0.0;0.0;0.2863046022763559;0.0;0.0;0.19946736483645683;0.0;0.0;0.29998297690597336;0.0;0.0;0.0;0.17426012212191555;0.1486662945715509;0.17914667544967575;0.0;0.13952373565962609;0.0;0.0;0.18880571423937234;0.0;0.0;0.2161648898612439;0.0;0.17555181773458114;0.0;0.0;0.0;0.0;0.0;0.0;0.2160804207985261;0.0;0.3280824897738752
GO:0015031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39420288117177854;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4359160536049885;0.0;0.0;0.6468457739000667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5706116938126922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046854;0.19501293425633964;0.18846166351988272;0.2032828669451379;0.3688716522538446;0.0;0.0;0.21689494680018043;0.39070201528473736;0.1926520853165195;0.0;1.0;0.4083752599617181;0.18709200609031446;0.0;0.0;0.0;0.0;0.22700559812463222;0.21615522641842894;0.0;0.0;0.08479276782146493;0.1865983668126845;0.21575604142446092;0.0;0.0;0.18992764850198318;0.0;0.18321337214937575;0.19314109329467136;0.0;0.0;0.0;0.0;0.0;0.0;0.2126457477112184;0.0;0.0;0.426481283366622;0.0;0.0;0.22009968399243587;0.0;0.0;0.0;0.1439175899544366;0.12600254497041083;0.39077315679112096;0.0;0.3168262160908955;0.0;0.31349033180176183;0.407924538352461;0.0;0.0;0.11041280344668898;0.0;0.3843054046403464;0.0;0.0;0.0;0.0;0.0;0.0;0.11037541991462688;0.0;0.2348582574662829
GO:0000413;0.1913352086188764;0.185024709148845;0.1992897975386765;0.5207540232923897;0.0;0.0;0.21235518240728704;0.8785925977649314;0.18906204698166815;0.0;0.4083752599617181;1.0;0.18370437777924137;0.0;0.0;0.0;0.0;0.22203756996246332;0.2116460530773726;0.0;0.0;0.08408998024070054;0.18322843032836622;0.21126333427004337;0.0;0.0;0.18643751126565267;0.0;0.17996352690880388;0.1895329773374004;0.0;0.0;0.0;0.0;0.0;0.0;0.20828032833056506;0.0;0.0;0.9117195467336026;0.0;0.0;0.21542621899676126;0.0;0.0;0.0;0.14190464679887996;0.12445686636748766;0.8364756768469622;0.0;0.44813340372914945;0.0;0.5662034243089127;0.8726414613476018;0.0;0.0;0.10922413951455646;0.0;0.6395790099092898;0.0;0.0;0.0;0.0;0.0;0.0;0.10918755643135425;0.0;0.22954459550638115
GO:0051292;0.2455644227508011;0.23526615880536678;0.5194456369831847;0.1628786073627273;0.0;0.0;0.477158247543252;0.1742915004761543;0.702144874869229;0.0;0.18709200609031446;0.18370437777924137;1.0;0.0;0.0;0.0;0.0;0.2985463321144314;0.5620623020414237;0.0;0.0;0.18690444040359794;0.7468653133056625;0.5607181826172802;0.0;0.0;0.23755513988629698;0.0;0.22714351239324215;0.48689376098066833;0.0;0.0;0.0;0.0;0.0;0.0;0.27419473256444304;0.0;0.0;0.19351301877212432;0.0;0.0;0.28671516491774945;0.0;0.0;0.0;0.16969841054645243;0.14533333691531292;0.17432907679129767;0.0;0.13658405515449998;0.0;0.0;0.18346235788291007;0.0;0.0;0.21199738354155082;0.0;0.17092312669156048;0.0;0.0;0.0;0.0;0.0;0.0;0.21191613947804328;0.0;0.3122781387095729
GO:0045840;0.36013674539431156;0.4029638112981716;0.0;0.0;0.40237188945100544;0.2900277242059388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2948675036136317;0.19550055280380207;0.0;0.0;0.0;0.6030351209052133;0.36349274311332813;0.317198093391506;0.0;0.0;0.0;0.2762922483125667;0.35090193923846685;0.0;0.0;0.0;0.3782286301630264;0.2631907569439407;0.3539761893344871;0.4021335149297468;0.4472585716266541;0.3002784988890204;0.3920940391750746;0.27257711147725133;0.3787944223436985;0.0;0.4500025131556433;0.2931788296504026;0.0;0.513501606622173;0.32937741755482364;0.0;0.31733866304021435;0.3426474638114806;0.0;0.35427014107487764;0.0;0.2761601460477756;0.0;0.0;0.2013435096010489;0.8571974096375605;0.4121049729816701;0.5006402415559432;0.0;0.26991670468012136;0.2808169359806583;0.2929819399871054;0.2521717304258447;0.3440264960915586;0.47214648304225226;0.4119668021434316;0.3538896652406074;0.0
GO:0051091;0.30245167752289814;0.29401492498292475;0.0;0.0;0.3016492876723885;0.5797032898571164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2948675036136317;1.0;0.2675492210373518;0.0;0.0;0.0;0.2510085532989183;0.30481515259754727;0.17342430685496502;0.0;0.0;0.0;0.4054804471145427;0.29591145750304226;0.0;0.0;0.0;0.31511012163860563;0.5189131606321267;0.29566093795447207;0.3014945883529296;0.3208423059953022;0.2590786325485148;0.324675449244512;0.7061018741556365;0.31550273443168403;0.0;0.33207392598191426;0.22810914810475505;0.0;0.32445810122513924;0.2783007704075569;0.0;0.27802920658288754;0.20828510239417236;0.0;0.2699252052051671;0.0;0.901204785952953;0.0;0.0;0.3176939226947127;0.25759224428777094;0.2202222992505165;0.3633914680902691;0.0;0.8833784907127212;0.24282201790586114;0.5162686042556919;0.22110414914811233;0.2910070302531323;0.34589651492991874;0.2201557053818191;0.29560057168330994;0.0
GO:0043547;0.2693093505918186;0.2566278386703994;0.0;0.0;0.202437624868735;0.13341974613216492;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19550055280380207;0.2675492210373518;1.0;0.0;0.0;0.0;0.199054997994389;0.27295408091509715;0.09456580895727378;0.0;0.0;0.0;0.27207961943419967;0.25943473859873273;0.0;0.0;0.0;0.2893247814351299;0.12539980860121772;0.2828138130210863;0.2022774967414118;0.2988047116671016;0.2090418812596079;0.30529687854588355;0.12374589125162273;0.2899655436480957;0.0;0.23576321643634598;0.13519408060582602;0.0;0.3049254036370378;0.25486008612619643;0.0;0.17897892058314852;0.15141869237370978;0.0;0.17136494030975427;0.0;0.18704741989964788;0.0;0.0;0.08675767025459004;0.16017253573572568;0.12890414326214047;0.27435442990018793;0.0;0.18154645757090102;0.2045496431004289;0.13508296511469262;0.17754539398296248;0.25222684496290226;0.2522135673298658;0.128851696066969;0.2827122975652251;0.0
GO:0034501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39420288117177854;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24872312590294288;0.0;0.0;0.452056806744102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2421629334949486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051402;0.3192374012958678;0.302049194921106;0.34201436866092716;0.19231673144747266;0.0;0.0;0.382390605916463;0.20843197633864027;0.3129592379558871;0.0;0.22700559812463222;0.22203756996246332;0.2985463321144314;0.0;0.0;0.0;0.0;1.0;0.38009733979638455;0.0;0.0;0.10206103398769317;0.2972913410373337;0.3788647331317235;0.0;0.0;0.3058325728907788;0.0;0.28879057131445857;0.3142517452984002;0.0;0.0;0.0;0.0;0.0;0.0;0.36937756857650356;0.0;0.0;0.23652824511265633;0.0;0.0;0.39246530425715215;0.0;0.0;0.0;0.20189698311882906;0.16832331368500347;0.20848571771762306;0.0;0.1566977458131009;0.0;0.0;0.22168410561440216;0.0;0.0;0.14161255667358583;0.0;0.20363292293472232;0.0;0.0;0.0;0.0;0.0;0.0;0.141551066823177;0.0;0.4419914159049667
GO:0007062;0.29818770621343255;0.36599233563859324;0.7311902668376428;0.1844717963623224;0.0;0.0;0.7012364077845086;0.19924860907773748;0.49649936410171003;0.0;0.21615522641842894;0.2116460530773726;0.5620623020414237;0.0;0.0;0.0;0.0;0.38009733979638455;1.0;0.0;0.0;0.2003107715948311;0.6384889706080248;0.7015859142727368;0.0;0.0;0.28645988591902916;0.0;0.27145556262843284;0.7585319467188749;0.0;0.0;0.0;0.0;0.0;0.0;0.3414852405550021;0.0;0.0;0.22477202841780985;0.0;0.0;0.4668007015434385;0.0;0.0;0.0;0.19326852358641738;0.2097716541600621;0.19929771860755496;0.0;0.15144998196897982;0.0;0.0;0.21132487537330655;0.0;0.0;0.2329174926502027;0.0;0.1948586721730361;0.0;0.0;0.0;0.0;0.0;0.0;0.23281942665861752;0.0;0.5204626472336501
GO:1901673;0.3663679170795192;0.4097017818978841;0.0;0.0;0.29729097203219473;0.213449176622995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6030351209052133;0.2510085532989183;0.199054997994389;0.0;0.0;0.0;1.0;0.3698416120951587;0.21088734905018572;0.0;0.0;0.0;0.2811072066252214;0.356815019054527;0.0;0.0;0.0;0.3851075666258211;0.2657105303353399;0.28879379705829583;0.29711237863878254;0.45557454979470385;0.3045980256265748;0.39949149923290556;0.20048460182908312;0.3856941423165567;0.0;0.33303617969173577;0.21579190227153924;0.0;0.5231816293948117;0.26839080437547075;0.0;0.27038158334115636;0.3464781638308162;0.0;0.261312582973592;0.0;0.2798094345949061;0.0;0.0;0.14772568142796952;0.6267455699057254;0.33829633593178304;0.3711688724869629;0.0;0.27340181071547476;0.22826170720881125;0.2156455073511742;0.20468203016084166;0.3497082526228625;0.349695055162002;0.33818180091311895;0.28872194228734277;0.0
GO:1901796;0.4935236226549004;0.4714490334089648;0.0;0.0;0.6969031078688288;0.25114870309579235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36349274311332813;0.30481515259754727;0.27295408091509715;0.0;0.0;0.0;0.3698416120951587;1.0;0.3035825789216347;0.0;0.0;0.0;0.3796218094811324;0.4763443969244913;0.0;0.0;0.0;0.5281431875292981;0.23643152880069312;0.3937756369774423;0.6963738721013728;0.5444463919268288;0.3876323289081325;0.5555768551661695;0.2333905810503503;0.5292470350377881;0.0;0.43489122074045383;0.2543983565218267;0.0;0.5549407361690286;0.3567925621645541;0.0;0.3929713005065874;0.28400670176709025;0.0;0.3201451372202729;0.0;0.34835804789406294;0.0;0.0;0.19403684456270914;0.29990217776448763;0.24286805756952717;0.5022752417176161;0.0;0.33848174567361694;0.356413617725141;0.25419491873815103;0.2523681162302188;0.4637626804750141;0.46373947102388635;0.24277179266667764;0.3936420579447717;0.0
GO:1900740;0.22608677261294013;0.22231998545638448;0.1946203116822665;0.07944050671453691;0.434940736051713;0.1816614792061496;0.16956782286934807;0.08206131947869885;0.16027235264120268;0.0;0.08479276782146493;0.08408998024070054;0.18690444040359794;0.317198093391506;0.17342430685496502;0.09456580895727378;0.0;0.10206103398769317;0.2003107715948311;0.21088734905018572;0.3035825789216347;1.0;0.1866586428136642;0.2001397911250054;0.0;0.13651941347325303;0.22317430297737428;0.0;0.09215742303120525;0.18986440391085793;0.21346549027291695;0.1281572586128957;0.17255898728393332;0.4347997103733118;0.18483990245244739;0.16251908968011097;0.23560918934978337;0.17465770128219918;0.2711717892619492;0.08608737008023587;0.393707162369434;0.1828927402175086;0.10064131801868112;0.18603428180964823;0.16649734303976566;0.0;0.27350034857927485;0.17845004929287683;0.0820696484088348;0.20493891182798515;0.07262167465534078;0.15518386614769558;0.0;0.08403923317619748;0.17784501803001126;0.29041199811372237;0.3660641511336214;0.3031144715833593;0.08130690645979585;0.1531926528898802;0.20818547846839158;0.1828160993583998;0.14418316313724033;0.2585447678868373;0.40353601897112595;0.36598645638688637;0.1725384227658167;0.10361869313713289
GO:0051382;0.2447147099505746;0.23448610741175666;0.5175515339474455;0.16250434542299447;0.0;0.0;0.4752678372447449;0.17386302095667908;0.6997520780282591;0.0;0.1865983668126845;0.18322843032836622;0.7468653133056625;0.0;0.0;0.0;0.0;0.2972913410373337;0.6384889706080248;0.0;0.0;0.1866586428136642;1.0;0.558511769321707;0.0;0.0;0.23675986155970427;0.0;0.22641631102820145;0.5533912728381455;0.0;0.0;0.0;0.0;0.0;0.0;0.27313576097086856;0.0;0.0;0.1929849623903652;0.0;0.0;0.2855574787583758;0.0;0.0;0.0;0.16929219051341826;0.14503528935647925;0.17390041272332202;0.0;0.13632078070980372;0.0;0.0;0.18298766205218478;0.0;0.0;0.21162340265368265;0.0;0.17051102922682876;0.0;0.0;0.0;0.0;0.0;0.0;0.21154244492508467;0.0;0.31090530997844185
GO:0000226;0.2974285731226731;0.2824535063287911;0.9098190419510762;0.18418097905094286;0.0;0.0;0.6975058314041156;0.19890937766742944;0.4952585555998663;0.0;0.21575604142446092;0.21126333427004337;0.5607181826172802;0.0;0.0;0.0;0.0;0.3788647331317235;0.7015859142727368;0.0;0.0;0.2001397911250054;0.558511769321707;1.0;0.0;0.0;0.28575922229534256;0.0;0.27082629545652365;0.5882297153401147;0.0;0.0;0.0;0.0;0.0;0.0;0.3404900143144397;0.0;0.0;0.2243404146554989;0.0;0.0;0.3600123289520048;0.0;0.0;0.0;0.1929493331196517;0.1620578916089032;0.19895832009586165;0.0;0.15125390737264202;0.0;0.0;0.21094331620658208;0.0;0.0;0.2326440613960366;0.0;0.19453421212350797;0.0;0.0;0.0;0.0;0.0;0.0;0.2325462254682045;0.0;0.4012560769900008
GO:0006406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4359160536049885;0.0;0.0;0.0;0.0;0.0;0.0;0.24872312590294288;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5124302937624721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7534193161587754;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0010629;0.3748331426692907;0.4444418654114929;0.0;0.0;0.2856827949874877;0.3341996282969425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2762922483125667;0.4054804471145427;0.27207961943419967;0.0;0.0;0.0;0.2811072066252214;0.3796218094811324;0.13651941347325303;0.0;0.0;0.0;1.0;0.3618231827524435;0.0;0.0;0.0;0.40104256415774586;0.3944370112041027;0.39254028911706573;0.28546633934120086;0.5130301879593366;0.29459764095208507;0.4218039410166957;0.3106027042143294;0.4018780724212083;0.0;0.33041919668639314;0.19349741564282938;0.0;0.4213226142398068;0.3557780642774513;0.0;0.2538175186516011;0.26804226218834815;0.0;0.2434076600587341;0.0;0.46328080916156983;0.0;0.0;0.18966352036812098;0.2280449053364739;0.18474032694463727;0.38145976803325715;0.0;0.4501733418381288;0.28853639764609285;0.2922946783912604;0.25186013215295405;0.43721623008029586;0.35227564922958343;0.1846672100306804;0.3924075467532956;0.0
GO:0072332;0.7579485833737857;0.5703117348989336;0.264281863573883;0.16502356166390994;0.36242793668716067;0.24507297529143662;0.2877604968497865;0.1767498481217987;0.24659152241704715;0.0;0.18992764850198318;0.18643751126565267;0.23755513988629698;0.35090193923846685;0.29591145750304226;0.25943473859873273;0.0;0.3058325728907788;0.28645988591902916;0.356815019054527;0.4763443969244913;0.22317430297737428;0.23675986155970427;0.28575922229534256;0.0;0.3618231827524435;1.0;0.0;0.23133678476514422;0.24739326242231435;0.5019731631469865;0.23103936206382478;0.3746584777418314;0.36216254450743113;0.5166782239434176;0.37334654511361387;0.8423135013903513;0.22813468709299892;0.5029702241732192;0.19654821896410266;0.41699017474391115;0.2481663326253412;0.29342885870286445;0.5261201073711872;0.34102581863747655;0.0;0.46870738944488216;0.3497463601566731;0.1767884920432983;0.3103377469388625;0.13808916307251476;0.33677719694812985;0.0;0.18618824119302282;0.16221218601274293;0.29127912725589283;0.3002713813254319;0.4785484180824906;0.1732867277174893;0.32753792930854336;0.2787568697115262;0.24797273623896138;0.24437653105913895;0.4434613939306813;0.44344017195258;0.3001551490936091;0.37453755196399546;0.3202590226719761
GO:0006607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6468457739000667;0.0;0.0;0.0;0.0;0.0;0.0;0.452056806744102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5124302937624721;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36195517256784737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045066;0.2389255486587667;0.22916552250108235;0.2514589051610834;0.159931043577022;0.0;0.0;0.2726232161482227;0.17092066789074528;0.23539140450156565;0.0;0.18321337214937575;0.17996352690880388;0.22714351239324215;0.0;0.0;0.0;0.0;0.28879057131445857;0.27145556262843284;0.0;0.0;0.09215742303120525;0.22641631102820145;0.27082629545652365;0.0;0.0;0.23133678476514422;0.0;1.0;0.2361218609755731;0.0;0.0;0.0;0.0;0.0;0.0;0.2659435727312378;0.0;0.0;0.18936653645718207;0.0;0.0;0.2777056426704613;0.0;0.0;0.0;0.2182261786215609;0.14298200988495932;0.17095680464343566;0.12980270762360577;0.1345052884296888;0.0;0.0;0.17973125713249372;0.0;0.0;0.12323679151287144;0.0;0.16768011301393038;0.0;0.0;0.0;0.0;0.0;0.0;0.12319022163001661;0.0;0.3016203142279304
GO:0000070;0.256091821775243;0.31657995098416664;0.6221405222507346;0.16744416677082455;0.0;0.0;0.5871226810697038;0.1795295807990591;0.42751744006567044;0.0;0.19314109329467136;0.1895329773374004;0.48689376098066833;0.0;0.0;0.0;0.0;0.3142517452984002;0.7585319467188749;0.0;0.0;0.18986440391085793;0.5533912728381455;0.5882297153401147;0.0;0.0;0.24739326242231435;0.0;0.2361218609755731;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28738594009275625;0.0;0.0;0.1999916302597994;0.0;0.0;0.47565931827420144;0.0;0.0;0.0;0.17466012150077911;0.23525870918026118;0.1795694499162737;0.0;0.13978004286181753;0.0;0.0;0.18927536688788504;0.0;0.0;0.21652752876774947;0.0;0.1759577759546257;0.0;0.0;0.0;0.0;0.0;0.0;0.2164427761117287;0.0;0.5204074383311003
