;GO:0036158;GO:0034695;GO:0090114;GO:2000360;GO:0008285;GO:0033087;GO:0008543;GO:0090110;GO:0044458;GO:0006886;GO:0061512;GO:0030326;GO:0045471;GO:0018230;GO:0070126;GO:2000354;GO:0070125;GO:0033574;GO:2001223;GO:0030049;GO:0007186;GO:0006032;GO:0006470;GO:0051260;GO:0045214;GO:0007565;GO:0060539;GO:0006612;GO:0006412;GO:0007517;GO:0030238;GO:0006888;GO:0043066;GO:0046034;GO:0031960;GO:1990637;GO:0035725;GO:0032496;GO:0010469;GO:0036159;GO:0035721
GO:0036158;1.0;0.0;0.2533297118048161;0.0;0.0;0.0;0.07448086434341199;0.4063939358236885;0.10772069172620813;0.0;0.0;0.0;0.0;0.007207421005553683;0.33066859692508077;0.0;0.03148471877745904;0.0;0.0;0.07448086434341199;0.07448086434341199;0.008270362729456672;0.01900603934696538;0.806708824144653;0.2533297118048161;0.0;0.0;0.0;0.008364735909909878;0.0;0.0;0.0;0.0;0.0026675056847029702;0.0;0.0;0.0;0.0;0.0;0.984668349995992;0.04327811161612118
GO:0034695;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20342418439645887;0.0;0.0;0.0;0.0;0.20342418439645887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16273378235765706;0.16273378235765706;0.0;0.09916442551589921;0.0;0.0;0.0
GO:0090114;0.2533297118048161;0.0;1.0;0.0;0.0;0.0;0.08201254918982465;0.11514480610450488;0.10772069172620813;0.0;0.0;0.0;0.0;0.007207421005553683;0.2789470239609846;0.0;0.03148471877745904;0.0;0.0;0.08201254918982465;0.08201254918982465;0.008270362729456672;0.01900603934696538;0.27248398448703315;0.3641066038896906;0.0;0.0;0.0;0.008364735909909878;0.0;0.0;0.0;0.0;0.0026675056847029702;0.0;0.0;0.0;0.0;0.0;0.2533297118048161;0.04327811161612118
GO:2000360;0.0;0.0;0.0;1.0;0.16444424389726967;0.03586329184121939;0.054707227751771594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054707227751771594;0.0;0.0;0.04449597318809518;0.0;0.054707227751771594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16444424389726967;0.0;0.0;0.0;0.0;0.0;0.054707227751771594;0.0;0.0
GO:0008285;0.0;0.0;0.0;0.16444424389726967;1.0;0.06535216064557572;0.18256445760049927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10239557015479397;0.0;0.0;0.04449597318809518;0.0;0.18256445760049927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29521392001785984;0.0;0.0;0.0;0.0;0.0;0.1637692245489811;0.0;0.0
GO:0033087;0.0;0.0;0.0;0.03586329184121939;0.06535216064557572;1.0;0.011930981761280227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006691771750151414;0.0;0.0;0.03586329184121939;0.0;0.011930981761280227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03586329184121939;0.0;0.0;0.0;0.0;0.0;0.011930981761280227;0.0;0.0
GO:0008543;0.07448086434341199;0.0;0.08201254918982465;0.054707227751771594;0.18256445760049927;0.011930981761280227;1.0;0.03385344980744206;0.024263357034946993;0.0;0.0;0.0;0.0;0.007207421005553683;0.08276158788353975;0.10683985458231555;0.03148471877745904;0.0;0.014802897818415294;0.10861444214277861;0.6268118944634699;0.008270362729456672;0.01900603934696538;0.08011236636927821;0.09915929280391203;0.0;0.0;0.0;0.008364735909909878;0.0;0.0;0.0;0.0982116173552396;0.0026675056847029702;0.0;0.0;0.0;0.0;0.1637692245489811;0.07448086434341199;0.04327811161612118
GO:0090110;0.4063939358236885;0.0;0.11514480610450488;0.0;0.0;0.0;0.03385344980744206;1.0;0.10772069172620813;0.29807873617773095;0.05700272234206171;0.0;0.0;0.007207421005553683;0.1502972991463501;0.0;0.03148471877745904;0.0;0.0;0.03385344980744206;0.03385344980744206;0.008270362729456672;0.01900603934696538;0.3666697067515602;0.11514480610450488;0.0;0.0;0.1980107953965727;0.008364735909909878;0.0;0.0;0.29807873617773095;0.0;0.0026675056847029702;0.0;0.0;0.06549664562063465;0.0;0.0;0.4063939358236885;0.29807873617773095
GO:0044458;0.10772069172620813;0.0;0.10772069172620813;0.0;0.0;0.0;0.024263357034946993;0.10772069172620813;1.0;0.0;0.0;0.0;0.0;0.007207421005553683;0.08252628778232168;0.0;0.024263357034946993;0.0;0.0;0.024263357034946993;0.024263357034946993;0.008270362729456672;0.01900603934696538;0.10772069172620813;0.10772069172620813;0.0;0.0;0.0;0.008364735909909878;0.0;0.0;0.0;0.0;0.0026675056847029702;0.0;0.0;0.0;0.0;0.0;0.10772069172620813;0.024263357034946993
GO:0006886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29807873617773095;0.0;1.0;0.08240117320610767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.604756369106194;0.0;0.0;0.0;0.3274224225025109;0.0;0.0;0.0;0.0;0.06549664562063465;0.0;0.0;0.0;0.3274224225025109
