;GO:0036158;GO:0034695;GO:0090114;GO:2000360;GO:0008285;GO:0033087;GO:0008543;GO:0090110;GO:0044458;GO:0006886;GO:0061512;GO:0030326;GO:0045471;GO:0018230;GO:0070126;GO:2000354;GO:0070125;GO:0033574;GO:2001223;GO:0030049;GO:0007186;GO:0006032;GO:0006470;GO:0051260;GO:0045214;GO:0007565;GO:0060539;GO:0006612;GO:0006412;GO:0007517;GO:0030238;GO:0006888;GO:0043066;GO:0046034;GO:0031960;GO:1990637;GO:0035725;GO:0032496;GO:0010469;GO:0036159;GO:0035721
GO:0036158;1.0;0.0;0.125;0.0;0.0;0.0;0.11764705882352941;0.125;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.125;0.0;0.125;0.0;0.0;0.13333333333333333;0.14285714285714285;0.25;0.25;0.13333333333333333;0.125;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.125;0.11764705882352941
GO:0034695;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.625;0.0;0.5714285714285714;0.0;0.0;0.0
GO:0090114;0.125;0.0;1.0;0.0;0.0;0.0;0.11764705882352941;0.125;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.125;0.0;0.125;0.0;0.0;0.13333333333333333;0.14285714285714285;0.125;0.125;0.13333333333333333;0.125;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.125;0.11764705882352941
GO:2000360;0.0;0.0;0.0;1.0;0.7692307692307693;0.5555555555555556;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.625;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0
GO:0008285;0.0;0.0;0.0;0.7692307692307693;1.0;0.7058823529411765;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.6666666666666666;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0
GO:0033087;0.0;0.0;0.0;0.5555555555555556;0.7058823529411765;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.1;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0
GO:0008543;0.11764705882352941;0.0;0.11764705882352941;0.125;0.13333333333333333;0.1;1.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.0;0.1;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.0;0.1111111111111111;0.125;0.13333333333333333;0.23529411764705882;0.23529411764705882;0.125;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.2;0.0;0.0;0.0;0.0;0.125;0.11764705882352941;0.1111111111111111
GO:0090110;0.125;0.0;0.125;0.0;0.0;0.0;0.11764705882352941;1.0;0.125;0.11764705882352941;0.4;0.0;0.0;0.10526315789473684;0.125;0.0;0.125;0.0;0.0;0.13333333333333333;0.14285714285714285;0.25;0.25;0.13333333333333333;0.125;0.0;0.0;0.10526315789473684;0.125;0.0;0.0;0.13333333333333333;0.0;0.21052631578947367;0.0;0.0;0.47058823529411764;0.0;0.0;0.125;0.11764705882352941
GO:0044458;0.125;0.0;0.125;0.0;0.0;0.0;0.11764705882352941;0.125;1.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.125;0.0;0.125;0.0;0.0;0.13333333333333333;0.14285714285714285;0.125;0.125;0.13333333333333333;0.125;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.125;0.11764705882352941
GO:0006886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.1111111111111111
