;GO:0006083;GO:2001170;GO:0006681;GO:0006289;GO:0006366;GO:0006006;GO:0046459;GO:0051289;GO:0045892;GO:0001701;GO:0030308;GO:0032007;GO:0032008;GO:0019886;GO:0006094;GO:1900181;GO:0006098;GO:1900740;GO:0006014;GO:0006650;GO:0010508;GO:0001676;GO:0043161;GO:0006888;GO:0051693;GO:0010823;GO:0032436;GO:0070317;GO:0030336;GO:0051898;GO:0046718;GO:0009052;GO:0035024;GO:0015695;GO:0035065;GO:0009450;GO:0022904;GO:0006541;GO:0045787;GO:0045785;GO:0006540;GO:0045944;GO:1901723;GO:0045667;GO:0000122;GO:0000165;GO:0006977;GO:0072488;GO:0000083;GO:0035338;GO:0032465;GO:2000973;GO:0045070;GO:0016579;GO:0007043;GO:0030163;GO:0048821;GO:0031929;GO:0007166;GO:0061621;GO:0043456;GO:0006678;GO:0006511;GO:0070373;GO:0006749;GO:0001934;GO:0043065;GO:0050900;GO:0016540;GO:0030511
GO:0006083;1.0;0.0;0.3496132133344385;0.3793310342250612;0.48154796737057937;0.43931924439242226;0.6457708636222146;0.32677023476107964;0.0;0.0;0.0;0.0;0.0;0.0;0.35109390367329946;0.0;0.40352763566747535;0.32677023476107964;0.3932570303673609;0.46303759840747755;0.0;0.6431194967092362;0.4696813280562571;0.0;0.27420833610603623;0.0;0.0;0.0;0.0;0.0;0.0;0.4093476101856301;0.0;0.0;0.0;0.5640126709711244;0.47509927004244396;0.5000531157553482;0.0;0.0;0.5422094594066338;0.0;0.0;0.0;0.0;0.4466215634408734;0.3494314717504962;0.0;0.3761058596512894;0.3229388254336453;0.0;0.0;0.0;0.3747687465800447;0.3890473955142746;0.42860088067025476;0.3761058596512894;0.38309080172033005;0.4910300111037133;0.5312089953424608;0.0;0.3496132133344385;0.47509927004244396;0.0;0.4216223275799902;0.0;0.0;0.42618122458772734;0.3795699560840851;0.0
GO:2001170;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6153632980038269;0.0;0.4520821994487292;0.34915947249980256;0.2626922508656424;0.0;0.0;0.359093557306769;0.0;0.24880914897764567;0.0;0.0;0.3982904278421388;0.0;0.0;0.0;0.34915947249980256;0.4020503312091816;0.34246201070651666;0.33797382339227766;0.44181159414861476;0.3224850845990094;0.0;0.0;0.2956825300373487;0.0;0.40081125254727873;0.19193871340103363;0.0;0.0;0.3966793091328622;0.35213444231685903;0.0;0.49389092058187645;0.39436603218369354;0.3218132092054883;0.5800449330212925;0.32689692534341386;0.37491881659318527;0.0;0.4244236144300561;0.0;0.38003428438538284;0.27548353687843885;0.2344582195360983;0.0;0.0;0.0;0.0;0.29647974749634376;0.41990769567299535;0.0;0.5501264914373153;0.0;0.0;0.4768015941955361;0.0;0.523792772643251;0.35912068346525156;0.0;0.0;0.2628204175265099
GO:0006681;0.3496132133344385;0.0;1.0;0.35613330727616005;0.4684926790609251;0.3563316789381267;0.5147388915350046;0.25074796960415136;0.0;0.0;0.0;0.0;0.0;0.0;0.2695838084634079;0.0;0.4156432938076775;0.25074796960415136;0.31026946491306534;0.5361344786568389;0.0;0.5120875246220262;0.4378900383721302;0.0;0.2124698271605991;0.0;0.0;0.0;0.0;0.0;0.0;0.4383045307970941;0.0;0.0;0.0;0.3352650271465742;0.3865582065353461;0.37617116549107354;0.0;0.0;0.3446244782119722;0.0;0.0;0.0;0.0;0.39934153496347813;0.26806290643954656;0.0;0.29473729434033974;0.26837281468435636;0.0;0.0;0.0;0.3852687502508466;0.3130251303573463;0.4462173014531853;0.29473729434033974;0.3017222364093804;0.4096614457927637;0.34919829326463736;0.0;0.7851474704628364;0.44330798035831703;0.0;0.5358067518865715;0.0;0.0;0.35015895943079905;0.3548950835120866;0.0
GO:0006289;0.3793310342250612;0.0;0.35613330727616005;1.0;0.5481102745807725;0.36873456299335416;0.41055982934725344;0.28046579049477405;0.0;0.0;0.0;0.0;0.0;0.0;0.2819866925186354;0.0;0.37976612362598916;0.28046579049477405;0.32267234896829283;0.43195541646908775;0.0;0.407908462434275;0.5010070729632878;0.0;0.2357671057242549;0.0;0.0;0.0;0.0;0.0;0.0;0.3558706677231763;0.0;0.0;0.0;0.33204098614649347;0.4216223275799902;0.35745838569772453;0.0;0.0;0.35871537404728665;0.0;0.0;0.0;0.0;0.45528607135848764;0.6201211034602865;0.0;0.32677023476107964;0.28077569873958386;0.0;0.0;0.0;0.4215832302803437;0.342742951247969;0.46691140071180953;0.32677023476107964;0.3337551768301203;0.4416943862135036;0.320159893435665;0.0;0.35613330727616005;0.5064250149494747;0.0;0.42096992332556343;0.0;0.0;0.37987678032142175;0.3982504197601274;0.0
GO:0006366;0.48154796737057937;0.0;0.4684926790609251;0.5481102745807725;1.0;0.5037551717675358;0.5127767624927716;0.48458024718554527;0.0;0.0;0.0;0.0;0.0;0.0;0.4504905281127042;0.0;0.5087856113331679;0.48458024718554527;0.4576929577424745;0.5609749041762665;0.0;0.5101253955797931;0.6360276817374695;0.0;0.3342621425574929;0.0;0.0;0.0;0.0;0.0;0.0;0.5176938310590186;0.0;0.0;0.0;0.43425791929201163;0.5834454909158324;0.4698177574824896;0.0;0.0;0.4609323071928048;0.0;0.0;0.0;0.0;0.6397704716837465;0.48458024718554527;0.0;0.5112546350863385;0.47881567045912393;0.0;0.0;0.0;0.5411151002612571;0.5468574079387403;0.6091045076821393;0.5112546350863385;0.5182395771553792;0.6261787865387625;0.4757924436162095;0.0;0.4684926790609251;0.6414456237236563;0.0;0.5303593546672298;0.0;0.0;0.5839912370121929;0.5600735830959697;0.0
GO:0006006;0.43931924439242226;0.0;0.3563316789381267;0.36873456299335416;0.5037551717675358;1.0;0.4553257771866987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8253658745288924;0.0;0.3908825213710036;0.0;0.6201468973716442;0.4656147464389216;0.0;0.45267441027372024;0.465085977891553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38655489815312577;0.0;0.0;0.0;0.3908825213710036;0.44961720335015654;0.43178865971550295;0.0;0.0;0.4002419724364016;0.0;0.0;0.0;0.0;0.44616753084841326;0.0;0.0;0.0;0.3269486679628016;0.0;0.0;0.0;0.41246468977026945;0.0;0.473413240972608;0.0;0.0;0.0;0.7234683509836393;0.0;0.3563316789381267;0.4705039198777398;0.0;0.38334087675421746;0.0;0.0;0.0;0.40475226002092596;0.0
GO:0046459;0.6457708636222146;0.0;0.5147388915350046;0.41055982934725344;0.5127767624927716;0.4553257771866987;1.0;0.3427767675553561;0.0;0.0;0.0;0.0;0.0;0.0;0.3671004364675759;0.0;0.4195341684617518;0.3427767675553561;0.40926356316163737;0.6406820749582132;0.0;0.7697986105043733;0.5009101231784494;0.0;0.2902148689003127;0.0;0.0;0.0;0.0;0.0;0.0;0.42535414297990654;0.0;0.0;0.0;0.5472155281367372;0.4911058028367204;0.4964295921841122;0.0;0.0;0.48451296127052323;0.0;0.0;0.0;0.0;0.4778503585630656;0.36543800454477265;0.0;0.39211239244556584;0.33894535822792177;0.0;0.0;0.0;0.42148628049550524;0.405053928308551;0.4824348316978438;0.39211239244556584;0.3990973345146065;0.5070365438979898;0.5204129735750767;0.0;0.4951088351694922;0.5063280651646362;0.0;0.4376288603742666;0.0;0.0;0.4421877573820038;0.41377385074616174;0.0
GO:0051289;0.32677023476107964;0.0;0.25074796960415136;0.28046579049477405;0.48458024718554527;0.0;0.3427767675553561;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2610185749042658;0.4772016191318648;0.0;0.3641723546771904;0.0;0.3401254006423776;0.44591105330956243;0.0;0.34237225329708076;0.0;0.0;0.0;0.0;0.0;0.0;0.3855773354389354;0.0;0.0;0.0;0.2610185749042658;0.45132899529574927;0.2996095937186479;0.0;0.0;0.28769296280505896;0.0;0.0;0.0;0.0;0.4496538432558393;0.3855773354389354;0.0;0.4122517233397286;0.24138851853875337;0.0;0.0;0.0;0.30870717847842105;0.5975557355176486;0.0;0.4122517233397286;0.41923666540876925;0.5271758747921524;0.20858484291008988;0.0;0.25074796960415136;0.45132899529574927;0.0;0.32275708384970303;0.0;0.0;0.4849883252655831;0.0;0.0
GO:0045892;0.0;0.6153632980038269;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5464888773075028;0.4363936521624279;0.34722897774779593;0.0;0.0;0.4677839913770337;0.0;0.3500545971891353;0.0;0.0;0.4873508055468911;0.0;0.0;0.0;0.4363936521624279;0.4911107089139339;0.44426790267581096;0.42703420109702994;0.530871971853367;0.40971926426163474;0.0;0.0;0.3802192569195022;0.0;0.4913033287481806;0.2863453912598072;0.0;0.0;0.4857396868376145;0.4566835588148796;0.0;0.7226455772923279;0.485741529418563;0.41087358691024056;0.885445348461629;0.4141311050060392;0.4693254944519589;0.0;0.6781546276600414;0.0;0.4690946620901351;0.3612402462966602;0.33076178889923996;0.0;0.0;0.0;0.0;0.3837139271589691;0.5089680733777476;0.0;0.5384603486543422;0.0;0.0;0.47450275046767804;0.0;0.520425262224731;0.4448773928834729;0.0;0.0;0.3500545971891353
GO:0001701;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4034528182307385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
