;GO:0045948;GO:0008380;GO:0033120;GO:0042376;GO:0000413;GO:0006886;GO:0043401;GO:0006367;GO:0048814;GO:0006103;GO:0000122;GO:0002576;GO:0043392;GO:0009749;GO:0045893;GO:0043153;GO:1990967;GO:0051604;GO:0016311;GO:0030522;GO:0034128;GO:0006351;GO:0032482;GO:0044267;GO:0006355;GO:1903830;GO:0048666;GO:0006397;GO:0006974;GO:0006357;GO:0071260;GO:0071286;GO:0045087;GO:0006508;GO:0035725;GO:0050965;GO:0010961;GO:0072659;GO:0010466;GO:0016567
GO:0045948;1.0;0.0;0.7368421052631579;0.0;0.0;0.0;0.47058823529411764;0.0;0.38095238095238093;0.0;0.6363636363636364;0.0;0.25;0.0;0.6666666666666666;0.35294117647058826;0.0;0.0;0.0;0.5;0.4;0.0;0.10526315789473684;0.0;0.7;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.7;0.0
GO:0008380;0.0;1.0;0.0;0.23529411764705882;0.42105263157894735;0.0;0.125;0.10526315789473684;0.0;0.23529411764705882;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.26666666666666666;0.13333333333333333;0.0;0.10526315789473684;0.1111111111111111;0.5333333333333333;0.0;0.0;0.14285714285714285;0.1111111111111111;0.14285714285714285;0.0;0.13333333333333333;0.125;0.0;0.5333333333333333;0.0;0.0;0.10526315789473684;0.0;0.0;0.42105263157894735
GO:0033120;0.7368421052631579;0.0;1.0;0.0;0.0;0.0;0.125;0.0;0.1;0.0;0.5714285714285714;0.0;0.26666666666666666;0.0;0.7;0.375;0.0;0.0;0.0;0.5333333333333333;0.3157894736842105;0.0;0.1111111111111111;0.0;0.631578947368421;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.5263157894736842;0.0
GO:0042376;0.0;0.23529411764705882;0.0;1.0;0.3333333333333333;0.0;0.26666666666666666;0.3333333333333333;0.0;0.5;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.42857142857142855;0.2857142857142857;0.0;0.2222222222222222;0.23529411764705882;0.42857142857142855;0.0;0.0;0.3076923076923077;0.23529411764705882;0.3076923076923077;0.0;0.2857142857142857;0.26666666666666666;0.0;0.2857142857142857;0.0;0.0;0.2222222222222222;0.0;0.0;0.3333333333333333
GO:0000413;0.0;0.42105263157894735;0.0;0.3333333333333333;1.0;0.0;0.23529411764705882;0.3;0.0;0.3333333333333333;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.625;0.375;0.25;0.0;0.4;0.21052631578947367;0.75;0.0;0.0;0.26666666666666666;0.42105263157894735;0.26666666666666666;0.0;0.25;0.23529411764705882;0.0;0.625;0.0;0.0;0.2;0.0;0.0;0.7
GO:0006886;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.5;0.0;0.0
GO:0043401;0.47058823529411764;0.125;0.125;0.26666666666666666;0.23529411764705882;0.0;1.0;0.11764705882352941;0.1111111111111111;0.26666666666666666;0.10526315789473684;0.25;0.15384615384615385;0.0;0.1111111111111111;0.14285714285714285;0.0;0.0;0.3076923076923077;0.15384615384615385;0.11764705882352941;0.11764705882352941;0.125;0.3076923076923077;0.11764705882352941;0.0;0.16666666666666666;0.125;0.3333333333333333;0.1111111111111111;0.15384615384615385;0.2857142857142857;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.11764705882352941;0.23529411764705882
GO:0006367;0.0;0.10526315789473684;0.0;0.3333333333333333;0.3;0.0;0.11764705882352941;1.0;0.0;0.3333333333333333;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.5;0.375;0.125;0.0;0.4;0.10526315789473684;0.375;0.0;0.0;0.13333333333333333;0.42105263157894735;0.26666666666666666;0.0;0.125;0.23529411764705882;0.0;0.375;0.0;0.0;0.2;0.0;0.0;0.3
GO:0048814;0.38095238095238093;0.0;0.1;0.0;0.0;0.0;0.1111111111111111;0.0;1.0;0.0;0.08695652173913043;0.0;0.11764705882352941;0.0;0.09090909090909091;0.1111111111111111;0.0;0.0;0.0;0.11764705882352941;0.09523809523809523;0.0;0.1;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.09523809523809523;0.0
GO:0006103;0.0;0.23529411764705882;0.0;0.5;0.3333333333333333;0.0;0.26666666666666666;0.3333333333333333;0.0;1.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.42857142857142855;0.2857142857142857;0.0;0.2222222222222222;0.23529411764705882;0.42857142857142855;0.0;0.0;0.3076923076923077;0.23529411764705882;0.3076923076923077;0.0;0.2857142857142857;0.26666666666666666;0.0;0.2857142857142857;0.0;0.0;0.2222222222222222;0.0;0.0;0.3333333333333333
