Module	SS	value
M10.1	Annotation	130
M10.1	DF	49
M10.1	Ganesan	25
M10.1	LC	9
M10.1	PS	29
M10.1	Zhou	9
M10.1	Resnik	31
M10.1	Lin	57
M10.1	Nunivers	65
M10.1	AIC	35
M10.0	Annotation	184
M10.0	DF	114
M10.0	Ganesan	39
M10.0	LC	15
M10.0	PS	39
M10.0	Zhou	10
M10.0	Resnik	74
M10.0	Lin	94
M10.0	Nunivers	77
M10.0	AIC	18
M158.1	Annotation	46
M158.1	DF	23
M158.1	Ganesan	9
M158.1	LC	6
M158.1	PS	11
M158.1	Zhou	8
M158.1	Resnik	12
M158.1	Lin	21
M158.1	Nunivers	30
M158.1	AIC	23
M158.0	Annotation	78
M158.0	DF	40
M158.0	Ganesan	17
M158.0	LC	2
M158.0	PS	16
M158.0	Zhou	5
M158.0	Resnik	36
M158.0	Lin	38
M158.0	Nunivers	44
M158.0	AIC	39
M106.1	Annotation	49
M106.1	DF	14
M106.1	Ganesan	16
M106.1	LC	15
M106.1	PS	20
M106.1	Zhou	7
M106.1	Resnik	31
M106.1	Lin	32
M106.1	Nunivers	29
M106.1	AIC	12
M106.0	Annotation	79
M106.0	DF	41
M106.0	Ganesan	50
M106.0	LC	8
M106.0	PS	32
M106.0	Zhou	9
M106.0	Resnik	17
M106.0	Lin	41
M106.0	Nunivers	56
M106.0	AIC	23
M133.1	Annotation	61
M133.1	DF	45
M133.1	Ganesan	13
M133.1	LC	11
M133.1	PS	21
M133.1	Zhou	14
M133.1	Resnik	29
M133.1	Lin	41
M133.1	Nunivers	45
M133.1	AIC	12
M133.0	Annotation	86
M133.0	DF	60
M133.0	Ganesan	13
M133.0	LC	9
M133.0	PS	21
M133.0	Zhou	11
M133.0	Resnik	37
M133.0	Lin	42
M133.0	Nunivers	66
M133.0	AIC	12
M32.8	Annotation	268
M32.8	DF	120
M32.8	Ganesan	24
M32.8	LC	7
M32.8	PS	39
M32.8	Zhou	28
M32.8	Resnik	135
M32.8	Lin	135
M32.8	Nunivers	147
M32.8	AIC	73
M32.7	Annotation	25
M32.7	DF	5
M32.7	Ganesan	7
M32.7	LC	7
M32.7	PS	10
M32.7	Zhou	7
M32.7	Resnik	5
M32.7	Lin	11
M32.7	Nunivers	16
M32.7	AIC	5
M32.6	Annotation	25
M32.6	DF	5
M32.6	Ganesan	7
M32.6	LC	7
M32.6	PS	10
M32.6	Zhou	7
M32.6	Resnik	5
M32.6	Lin	11
M32.6	Nunivers	16
M32.6	AIC	5
M32.5	Annotation	25
M32.5	DF	5
M32.5	Ganesan	7
M32.5	LC	7
M32.5	PS	10
M32.5	Zhou	7
M32.5	Resnik	5
M32.5	Lin	11
M32.5	Nunivers	16
M32.5	AIC	5
M32.4	Annotation	85
M32.4	DF	44
M32.4	Ganesan	16
M32.4	LC	6
M32.4	PS	14
M32.4	Zhou	8
M32.4	Resnik	27
M32.4	Lin	25
M32.4	Nunivers	46
M32.4	AIC	41
M32.3	Annotation	149
M32.3	DF	58
M32.3	Ganesan	13
M32.3	LC	7
M32.3	PS	15
M32.3	Zhou	17
M32.3	Resnik	24
M32.3	Lin	36
M32.3	Nunivers	67
M32.3	AIC	63
M32.2	Annotation	214
M32.2	DF	109
M32.2	Ganesan	15
M32.2	LC	16
M32.2	PS	27
M32.2	Zhou	24
M32.2	Resnik	35
M32.2	Lin	130
M32.2	Nunivers	105
M32.2	AIC	93
M32.1	Annotation	371
M32.1	DF	172
M32.1	Ganesan	151
M32.1	LC	8
M32.1	PS	37
M32.1	Zhou	23
M32.1	Resnik	198
M32.1	Lin	187
M32.1	Nunivers	203
M32.1	AIC	132
M32.0	Annotation	402
M32.0	DF	174
M32.0	Ganesan	34
M32.0	LC	36
M32.0	PS	49
M32.0	Zhou	35
M32.0	Resnik	214
M32.0	Lin	204
M32.0	Nunivers	204
M32.0	AIC	119
M47.4	Annotation	61
M47.4	DF	37
M47.4	Ganesan	5
M47.4	LC	3
M47.4	PS	12
M47.4	Zhou	5
M47.4	Resnik	18
M47.4	Lin	14
M47.4	Nunivers	38
M47.4	AIC	8
M47.3	Annotation	135
M47.3	DF	51
M47.3	Ganesan	80
M47.3	LC	11
M47.3	PS	70
M47.3	Zhou	9
M47.3	Resnik	58
M47.3	Lin	75
M47.3	Nunivers	66
M47.3	AIC	57
M47.2	Annotation	207
M47.2	DF	89
M47.2	Ganesan	100
M47.2	LC	14
M47.2	PS	105
M47.2	Zhou	22
M47.2	Resnik	114
M47.2	Lin	92
M47.2	Nunivers	127
M47.2	AIC	86
M47.1	Annotation	147
M47.1	DF	74
M47.1	Ganesan	74
M47.1	LC	12
M47.1	PS	69
M47.1	Zhou	12
M47.1	Resnik	36
M47.1	Lin	72
M47.1	Nunivers	73
M47.1	AIC	59
M47.0	Annotation	168
M47.0	DF	77
M47.0	Ganesan	19
M47.0	LC	16
M47.0	PS	72
M47.0	Zhou	14
M47.0	Resnik	37
M47.0	Lin	90
M47.0	Nunivers	101
M47.0	AIC	50
M89.1	Annotation	108
M89.1	DF	50
M89.1	Ganesan	11
M89.1	LC	9
M89.1	PS	27
M89.1	Zhou	28
M89.1	Resnik	24
M89.1	Lin	40
M89.1	Nunivers	53
M89.1	AIC	47
M89.0	Annotation	150
M89.0	DF	71
M89.0	Ganesan	81
M89.0	LC	7
M89.0	PS	25
M89.0	Zhou	10
