;GO:0008584;GO:0006260;GO:0006189;GO:0009116;GO:0006541;GO:0046777;GO:0007595;GO:0046654;GO:0009113;GO:0051290;GO:0006544;GO:0046084;GO:0001666;GO:0032868;GO:0019240;GO:0051262;GO:0000083;GO:0033574;GO:0044208;GO:0035690;GO:0014075;GO:0009263;GO:0007565;GO:0006177;GO:0044205;GO:0006206;GO:0006228;GO:0006207;GO:0006526;GO:0000050;GO:0046452;GO:0071364;GO:0031000;GO:0031100;GO:0009060;GO:0070317;GO:0018107;GO:0051414
GO:0008584;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3310658029109742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5914085973929616;0.0;0.0;0.0;0.0
GO:0006260;0.0;1.0;0.4148647346168335;0.6252961224995169;0.41135307340475263;0.46507921800498864;0.0;0.4464921166119002;0.5896761836078945;0.1730707528985416;0.36443940778555584;0.5696759510340416;0.0;0.0;0.46004552048573527;0.1832360110198702;0.12882691114116068;0.0;0.4096672944708024;0.18841714890877323;0.0;0.5605289167405149;0.0;0.35720736978958006;0.36103960981384864;0.6263947321428941;0.36495754035369204;0.6126990188061419;0.4425652870559681;0.5197140017811632;0.4762110277598941;0.15887784382280554;0.0;0.0;0.30997417525257986;0.0;0.44553471258178656;0.0
GO:0006189;0.0;0.4148647346168335;1.0;0.46337664821051305;0.2849038409585904;0.2949021344888459;0.0;0.44109729174861584;0.5977042450041236;0.09041710300094924;0.26587344305602273;0.5847353668655472;0.0;0.0;0.35217203436647804;0.0931158239332504;0.0766622835816362;0.0;0.9390531421524541;0.09443545478557477;0.0;0.731113002343755;0.0;0.8501845531429455;0.6984599172737062;0.4365855243334184;0.6401228220929593;0.5438157947147142;0.3439603610083479;0.40387713941639425;0.33445375703264696;0.08638551703075811;0.0;0.0;0.1576176786854506;0.0;0.2875983221088999;0.0
GO:0009116;0.0;0.6252961224995169;0.46337664821051305;1.0;0.5671311900784896;0.46004779216789005;0.0;0.44258523951777284;0.6338638424950889;0.19457290573670463;0.4964030013880856;0.6107942868215599;0.0;0.0;0.4560345516179689;0.20751535596516965;0.14037390318908932;0.0;0.4572726037684015;0.21418548395699238;0.0;0.6011091711102976;0.0;0.4413580876025163;0.44630664071397547;0.8463716461061626;0.4513707451512187;0.6605671909654122;0.4372793217709913;0.5209950533882687;0.6130103358210759;0.17681521833347708;0.0;0.0;0.3509886607527988;0.0;0.43893644384599984;0.0
GO:0006541;0.0;0.41135307340475263;0.2849038409585904;0.5671311900784896;1.0;0.4851921883114653;0.0;0.4222320290883071;0.41954223437222116;0.20849757953836337;0.7701223470253702;0.4036487881737605;0.0;0.0;0.7044622431428963;0.223429859698682;0.14747982866168652;0.0;0.28104399947953934;0.23118139975755;0.0;0.35830621008777197;0.0;0.24252676377806218;0.24531355103102415;0.5682916234535492;0.2481670010882079;0.43800061527369016;0.7172907601517282;0.49735304594324536;0.593068938467535;0.18823958816217168;0.0;0.0;0.37786527039596507;0.0;0.4617687975602046;0.0
GO:0046777;0.0;0.46507921800498864;0.2949021344888459;0.46004779216789005;0.4851921883114653;1.0;0.0;0.26648368949357437;0.34919983563505125;0.18372297782497266;0.4272580292478605;0.33691718770861545;0.0;0.0;0.3938757865183594;0.19521961504259033;0.13463757907397955;0.0;0.29111018797980653;0.20111149989999688;0.0;0.3667809967546749;0.0;0.25297803122304363;0.25575492619919105;0.46089702808137384;0.25859532562414955;0.36337840494823087;0.37828733915863477;0.3993034017971062;0.36489583541585907;0.16780952287970277;0.0;0.0;0.3302194713067093;0.0;0.9120598563492976;0.0
GO:0007595;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.2447987023886829;0.0;0.0;0.0;0.0;0.0;0.17172293395591404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24938918376838407;0.0;0.0
GO:0046654;0.0;0.4464921166119002;0.44109729174861584;0.44258523951777284;0.4222320290883071;0.26648368949357437;0.0;1.0;0.5820468189471768;0.11540251556613695;0.3875061542718003;0.5669522904077416;0.0;0.0;0.5739244742741549;0.11983537769408133;0.09389942991503653;0.0;0.4365728567648024;0.12202992675133896;0.0;0.5078665978145246;0.0;0.4079935428965647;0.41165605087810325;0.44313451499681045;0.41538735511567915;0.5714842580908356;0.5577006178491399;0.5648983316358082;0.6824720909393568;0.10891487369230206;0.0;0.0;0.2028090728918289;0.0;0.2583739430231449;0.0
GO:0009113;0.0;0.5896761836078945;0.5977042450041236;0.6338638424950889;0.41954223437222116;0.34919983563505125;0.0;0.5820468189471768;1.0;0.13808488058662902;0.379538033872602;0.9706620218177404;0.0;0.0;0.4931865053561127;0.14447983210276064;0.10838590387010391;0.0;0.5909718750803812;0.14768188384825215;0.0;0.6628264079614187;0.0;0.5220414589250874;0.4879512067858862;0.6727044046516492;0.49276499291316833;0.8102516772586149;0.47723108278957654;0.5837580170322202;0.4730856111899634;0.12889782945992928;0.0;0.0;0.2444762128712454;0.0;0.33690035210558106;0.0
GO:0051290;0.0;0.1730707528985416;0.09041710300094924;0.19457290573670463;0.20849757953836337;0.18372297782497266;0.0;0.11540251556613695;0.13808488058662902;1.0;0.17706121473358746;0.13227463236882864;0.0;0.0;0.1599439474378197;0.9119053564099812;0.16825070621497157;0.0;0.08910078080880367;0.28665363525641635;0.0;0.12964992047663004;0.0;0.07611147277677774;0.07704244352842912;0.1950360282471909;0.07799709854272437;0.1448969954643146;0.15218439126528285;0.18905654795989907;0.1686880619769536;0.22344860873823996;0.0;0.0;0.2743166131927861;0.0;0.1735648467279516;0.0
