;GO:0008584;GO:0006260;GO:0006189;GO:0009116;GO:0006541;GO:0046777;GO:0007595;GO:0046654;GO:0009113;GO:0051290;GO:0006544;GO:0046084;GO:0001666;GO:0032868;GO:0019240;GO:0051262;GO:0000083;GO:0033574;GO:0044208;GO:0035690;GO:0014075;GO:0009263;GO:0007565;GO:0006177;GO:0044205;GO:0006206;GO:0006228;GO:0006207;GO:0006526;GO:0000050;GO:0046452;GO:0071364;GO:0031000;GO:0031100;GO:0009060;GO:0070317;GO:0018107;GO:0051414
GO:0008584;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27188578912737915;0.0;0.0;0.0;0.0
GO:0006260;0.0;1.0;0.14450116634992752;0.13943261564481066;0.07548231845693805;0.10587402764930422;0.0;0.14450116634992752;0.14450116634992752;0.01468324974140624;0.07548231845693805;0.14450116634992752;0.0;0.0;0.14450116634992752;0.01468324974140624;0.01468324974140624;0.0;0.14450116634992752;0.01468324974140624;0.0;0.14450116634992752;0.0;0.14450116634992752;0.14450116634992752;0.13943261564481066;0.14450116634992752;0.14450116634992752;0.14450116634992752;0.14450116634992752;0.13549442901423786;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.10587402764930422;0.0
GO:0006189;0.0;0.14450116634992752;1.0;0.36016130388521045;0.2355376372194388;0.22480199536001946;0.0;0.2990439313269274;0.4729208564096336;0.01468324974140624;0.2355376372194388;0.4729208564096336;0.0;0.0;0.2990439313269274;0.01468324974140624;0.01468324974140624;0.0;0.5279650442873715;0.01468324974140624;0.0;0.44246727997087665;0.0;0.5279650442873715;0.5164823342100704;0.36016130388521045;0.4765311168439102;0.36016130388521045;0.2990439313269274;0.2990439313269274;0.2355376372194388;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.22480199536001946;0.0
GO:0009116;0.0;0.13943261564481066;0.36016130388521045;1.0;0.2355376372194388;0.1237146889194086;0.0;0.2355376372194388;0.36016130388521045;0.01468324974140624;0.2355376372194388;0.36016130388521045;0.0;0.0;0.2355376372194388;0.01468324974140624;0.01468324974140624;0.0;0.36016130388521045;0.01468324974140624;0.0;0.36016130388521045;0.0;0.5061596218696188;0.5061596218696188;0.36016130388521045;0.5061596218696188;0.36016130388521045;0.2355376372194388;0.2355376372194388;0.2355376372194388;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.1237146889194086;0.0
GO:0006541;0.0;0.07548231845693805;0.2355376372194388;0.2355376372194388;1.0;0.1237146889194086;0.0;0.304136849461119;0.2355376372194388;0.01468324974140624;0.44880524223943946;0.2355376372194388;0.0;0.0;0.44880524223943946;0.01468324974140624;0.01468324974140624;0.0;0.2355376372194388;0.01468324974140624;0.0;0.2355376372194388;0.0;0.2355376372194388;0.2355376372194388;0.2355376372194388;0.2355376372194388;0.2355376372194388;0.5640127057064414;0.2355376372194388;0.304136849461119;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.1237146889194086;0.0
GO:0046777;0.0;0.10587402764930422;0.22480199536001946;0.1237146889194086;0.1237146889194086;1.0;0.0;0.1237146889194086;0.1237146889194086;0.01468324974140624;0.1237146889194086;0.1237146889194086;0.0;0.0;0.1237146889194086;0.01468324974140624;0.01468324974140624;0.0;0.22480199536001946;0.01468324974140624;0.0;0.22480199536001946;0.0;0.22480199536001946;0.22480199536001946;0.1237146889194086;0.22480199536001946;0.1237146889194086;0.1237146889194086;0.1237146889194086;0.1237146889194086;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.30379685991921485;0.0
GO:0007595;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.16702085169111647;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.0
GO:0046654;0.0;0.14450116634992752;0.2990439313269274;0.2355376372194388;0.304136849461119;0.1237146889194086;0.0;1.0;0.2990439313269274;0.01468324974140624;0.304136849461119;0.2990439313269274;0.0;0.0;0.40780233519926207;0.01468324974140624;0.01468324974140624;0.0;0.2990439313269274;0.01468324974140624;0.0;0.2355376372194388;0.0;0.3470943476572304;0.3470943476572304;0.2355376372194388;0.3470943476572304;0.2990439313269274;0.40780233519926207;0.41130215105555934;0.648771469331787;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.1237146889194086;0.0
GO:0009113;0.0;0.14450116634992752;0.4729208564096336;0.36016130388521045;0.2355376372194388;0.1237146889194086;0.0;0.2990439313269274;1.0;0.01468324974140624;0.2355376372194388;0.7300769708695185;0.0;0.0;0.2990439313269274;0.01468324974140624;0.01468324974140624;0.0;0.4729208564096336;0.01468324974140624;0.0;0.36016130388521045;0.0;0.4729208564096336;0.36016130388521045;0.6201755036199598;0.36016130388521045;0.6935962244293026;0.2990439313269274;0.2990439313269274;0.2355376372194388;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.1237146889194086;0.0
GO:0051290;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;1.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.5029379352731107;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0
GO:0006544;0.0;0.07548231845693805;0.2355376372194388;0.2355376372194388;0.44880524223943946;0.1237146889194086;0.16702085169111647;0.304136849461119;0.2355376372194388;0.01468324974140624;1.0;0.2355376372194388;0.0;0.0;0.44880524223943946;0.01468324974140624;0.036692364793703955;0.0;0.34692172298670104;0.01468324974140624;0.0;0.2355376372194388;0.0;0.2355376372194388;0.2355376372194388;0.2355376372194388;0.2355376372194388;0.2355376372194388;0.44880524223943946;0.2355376372194388;0.304136849461119;0.01468324974140624;0.0;0.0;0.06886689890529227;0.036692364793703955;0.1237146889194086;0.0
