Module	Probe ID
M1.1	ILMN_1743290
M1.1	ILMN_1752755
M1.1	ILMN_1713731
M1.1	ILMN_1657683
M1.1	ILMN_1776640
M1.1	ILMN_1708275
M1.1	ILMN_1715417
M1.1	ILMN_1747248
M1.1	ILMN_1730621
M1.1	ILMN_1677814
M1.1	ILMN_1784203
M1.1	ILMN_1744912
M1.1	ILMN_1683444
M1.1	ILMN_1676609
M1.1	ILMN_1668374
M1.1	ILMN_1796734
M1.1	ILMN_1805842
M1.1	ILMN_1690783
M1.1	ILMN_1752562
M1.1	ILMN_1705686
M1.1	ILMN_1783158
M1.1	ILMN_1789627
M1.1	ILMN_1729453
M1.1	ILMN_1767281
M1.1	ILMN_1693428
M1.1	ILMN_1680928
M1.1	ILMN_1733937
M1.1	ILMN_1691476
M1.1	ILMN_1687268
M1.1	ILMN_1808238
M1.1	ILMN_1710745
M1.1	ILMN_1671928
M1.1	ILMN_1784948
M1.1	ILMN_1715991
M1.1	ILMN_1671486
M1.1	ILMN_1729208
M1.1	ILMN_1675062
M1.1	ILMN_1745103
M1.1	ILMN_1719599
M1.1	ILMN_1699022
M1.1	ILMN_1916864
M1.1	ILMN_1675174
M1.1	ILMN_1668825
M1.1	ILMN_1787567
M1.1	ILMN_1767310
M1.1	ILMN_1705054
M1.1	ILMN_1712023
M1.1	ILMN_1702120
M1.1	ILMN_1787919
M1.1	ILMN_1730487
M1.1	ILMN_1732269
M1.1	ILMN_1796755
M1.1	ILMN_1837428
M1.1	ILMN_1738589
M1.1	ILMN_1762179
M1.1	ILMN_1692177
M1.1	ILMN_1707124
M1.1	ILMN_1717163
M1.1	ILMN_1788955
M1.1	ILMN_1851535
M1.1	ILMN_1808590
M1.1	ILMN_1684771
M1.1	ILMN_1705685
M1.1	ILMN_1764228
M1.1	ILMN_1745522
M1.1	ILMN_1760688
M1.1	ILMN_1663519
M1.1	ILMN_1728197
M1.1	ILMN_1673548
M1.1	ILMN_1778143
M1.1	ILMN_1672605
M1.1	ILMN_1680388
M1.1	ILMN_1749403
M1.1	ILMN_1690733
M1.1	ILMN_1775373
M1.1	ILMN_1675617
M1.1	ILMN_1656940
M1.1	ILMN_1746175
M1.1	ILMN_1769575
M1.1	ILMN_1766182
M1.1	ILMN_1715426
M1.1	ILMN_1793065
M1.1	ILMN_1782419
M1.1	ILMN_1810836
M1.1	ILMN_1762764
M1.1	ILMN_1747650
M1.1	ILMN_1768099
M1.1	ILMN_1691264
M1.1	ILMN_1757237
M1.1	ILMN_1660114
M1.1	ILMN_1757440
M1.1	ILMN_1686478
M1.2	ILMN_1695404
M1.2	ILMN_1699331
M1.2	ILMN_1658247
M1.2	ILMN_1707695
M1.2	ILMN_1701789
M1.2	ILMN_1745397
M1.2	ILMN_1683865
M1.2	ILMN_1675640
M1.2	ILMN_1674811
M1.2	ILMN_1783621
M1.2	ILMN_1813289
M1.2	ILMN_1729749
M1.2	ILMN_1672606
M1.2	ILMN_1662358
M1.2	ILMN_1848843
M1.2	ILMN_1690241
M1.2	ILMN_1719734
M1.2	ILMN_1723912
