id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0050789	regulation of biological process	745	0.09	0.17	1.80	4.47
GO:0032502	developmental process	249	0.22	0.11	1.89	3.37
GO:0006351	transcription, DNA-templated	79	0.57	0.68	8.45	581.39
GO:0008542	visual learning	3	1.00	0.88	9.63	51.66
