;GO:0046458;GO:0006364;GO:0001570;GO:0006369;GO:0045766;GO:0000398;GO:0000122;GO:0045892;GO:0000480;GO:0045893;GO:0006914;GO:0070267;GO:0030148;GO:2000773;GO:0006351;GO:0000209;GO:0000447;GO:0001561;GO:0006357;GO:0051013;GO:0098789;GO:0010507;GO:0031124;GO:0031122;GO:0001938;GO:0033306
GO:0046458;1.0;0.09446194944223452;0.018630730919916964;0.08460580612375383;0.0;0.09639017447099468;0.0;0.0;0.07581376436705532;0.0;0.09500562580325214;0.01468324974140624;0.08938518530418457;0.0;0.11446800241454311;0.09604569914322723;0.07758480620064569;0.07706186898242576;0.0;0.016305915572199955;0.07926410006564477;0.0;0.08868357854733015;0.018510518396739405;0.0;0.0713977772585502
GO:0006364;0.09446194944223452;1.0;0.028391880010150604;0.30464791200573416;0.0;0.6994690444917616;0.0;0.0;0.2595320527194144;0.0;0.15171740849343954;0.02014042183934945;0.15111734679973127;0.0;0.5002853583962213;0.19161128338932393;0.2682586997150879;0.11125296889956549;0.0;0.023324151066833197;0.2766965048149602;0.0;0.6135741933133223;0.028113644512074324;0.0;0.09988137179293517
GO:0001570;0.018630730919916964;0.028391880010150604;1.0;0.024386989702570205;0.0;0.029215767361533185;0.0;0.0;0.021081804293616;0.0;0.028622782473277736;0.018630730919916964;0.026287176292484338;0.0;0.037673927794059446;0.029067562758870676;0.021728699497952135;0.02153672870995017;0.0;0.021323152214497296;0.02235069404512325;0.0;0.02600341854100772;0.02525680911777097;0.0;0.019508156980232633
GO:0006369;0.08460580612375383;0.30464791200573416;0.024386989702570205;1.0;0.0;0.313055792057936;0.0;0.0;0.22901743095539404;0.0;0.12780454185268564;0.018038973739713547;0.24725373619003815;0.0;0.47165629400035686;0.16096411218278084;0.2357858761551405;0.0979003866238518;0.0;0.020551542567957427;0.24227979697654306;0.0;0.2801415135638551;0.02418142838930863;0.0;0.08898525400739507
GO:0045766;0.0;0.0;0.0;0.0;1.0;0.0;0.10596152079101853;0.11127655376309391;0.0;0.3133966550222238;0.0;0.049532334507010015;0.0;0.34053192530055276;0.0;0.0;0.0;0.0;0.1246357469719947;0.0;0.0;0.08057325829723586;0.0;0.0;0.22543325674831546;0.0
GO:0000398;0.09639017447099468;0.6994690444917616;0.029215767361533185;0.313055792057936;0.0;1.0;0.0;0.0;0.26560921305932655;0.0;0.15675382463598278;0.02055154256795743;0.15566231820472515;0.0;0.5233683340418926;0.19808773352542242;0.2747565304935247;0.11392107463303786;0.0;0.023877307001064007;0.5773320240442844;0.0;0.7654280400172427;0.0289212334221562;0.0;0.10202665937550434
GO:0000122;0.0;0.0;0.0;0.0;0.10596152079101853;0.0;1.0;0.9353838375615017;0.0;0.5598926828632573;0.0;0.0559160603203702;0.0;0.26903318498301665;0.0;0.0;0.0;0.0;0.7648362735786254;0.0;0.0;0.45472665030234355;0.0;0.0;0.11218360595347357;0.0
GO:0045892;0.0;0.0;0.0;0.0;0.11127655376309391;0.0;0.9353838375615017;1.0;0.0;0.6001377790826293;0.0;0.057579867079940575;0.0;0.2793293399217177;0.0;0.0;0.0;0.0;0.6766411420672525;0.0;0.0;0.4753277769789189;0.0;0.0;0.1174084781830524;0.0
GO:0000480;0.07581376436705532;0.2595320527194144;0.021081804293616;0.22901743095539404;0.0;0.26560921305932655;0.0;0.0;1.0;0.0;0.10875304039562306;0.016164404869870686;0.11119632453409613;0.0;0.3243739829000009;0.13666843012823487;0.9171784712197756;0.08637786121161771;0.0;0.01815312070227472;0.6272686487206811;0.0;0.24153216524945348;0.020928011150375257;0.0;0.07936260232047722
GO:0045893;0.0;0.0;0.0;0.0;0.3133966550222238;0.0;0.5598926828632573;0.6001377790826293;0.0;1.0;0.0;0.058562549176716945;0.0;0.09860480001773875;0.0;0.0;0.0;0.0;0.7090465201993377;0.0;0.0;0.25935602222086085;0.0;0.0;0.32177172826558975;0.0
GO:0006914;0.09500562580325214;0.15171740849343954;0.028622782473277736;0.12780454185268564;0.0;0.15675382463598278;0.0;0.0;0.10875304039562306;0.0;1.0;0.020256340167518972;0.13903440166725184;0.0;0.2109262291701964;0.15584483695323556;0.11243471945085222;0.3890774085172988;0.0;0.023479755505302555;0.11599609098486821;0.0;0.1373442804286843;0.02834002549979979;0.0;0.09989045481349353
GO:0070267;0.01468324974140624;0.02014042183934945;0.018630730919916964;0.018038973739713547;0.049532334507010015;0.02055154256795743;0.0559160603203702;0.057579867079940575;0.016164404869870686;0.058562549176716945;0.020256340167518972;1.0;0.01905799476767723;0.042754545288950875;0.024405952548612088;0.020478096291912416;0.016542012253947143;0.016430515760039975;0.06148960698256411;0.13779774783221188;0.016900057869488838;0.04696375651982422;0.018908403782822245;0.15642836705386426;0.04765987877387211;0.015222863394942618
