Module	SS	value
M6.20	Resnik	72.00
M6.20	Lin	70.00
M6.20	Nunivers	68.00
M6.20	AIC	72.00
M6.20	DAVID	50.0
M8.91	DF	0.00
M8.91	Ganesan	57.14
M8.91	LC	57.14
M8.91	PS	57.14
M8.91	Zhou	57.14
M8.91	Resnik	0.00
M8.91	Lin	0.00
M8.91	Nunivers	0.00
M8.91	AIC	0.00
M8.91	DAVID	0.0
M9.44	DF	29.41
M9.44	Ganesan	52.94
M9.44	LC	52.94
M9.44	PS	29.41
M9.44	Zhou	52.94
M9.44	Resnik	52.94
M9.44	Lin	52.94
M9.44	Nunivers	29.41
M9.44	AIC	52.94
M9.44	DAVID	0.0
M8.90	DF	0.00
M8.90	Ganesan	0.00
M8.90	LC	0.00
M8.90	PS	0.00
M8.90	Zhou	0.00
M8.90	Resnik	0.00
M8.90	Lin	0.00
M8.90	Nunivers	0.00
M8.90	AIC	0.00
M8.90	DAVID	0.0
M9.43	DF	50.00
M9.43	Ganesan	50.00
M9.43	LC	72.22
M9.43	PS	66.67
M9.43	Zhou	72.22
M9.43	Resnik	55.56
M9.43	Lin	44.44
M9.43	Nunivers	50.00
M9.43	AIC	50.00
M9.43	DAVID	5.555555555555555
M9.42	DF	40.00
M9.42	Ganesan	40.00
M9.42	LC	60.00
M9.42	PS	60.00
M9.42	Zhou	60.00
M9.42	Resnik	55.00
M9.42	Lin	45.00
M9.42	Nunivers	25.00
M9.42	AIC	40.00
M9.42	DAVID	20.0
M9.41	DF	25.00
M9.41	Ganesan	50.00
M9.41	LC	50.00
M9.41	PS	50.00
M9.41	Zhou	50.00
M9.41	Resnik	25.00
M9.41	Lin	25.00
M9.41	Nunivers	45.00
M9.41	AIC	50.00
M9.41	DAVID	20.0
M9.40	DF	47.62
M9.40	Ganesan	52.38
M9.40	LC	61.90
M9.40	PS	57.14
M9.40	Zhou	61.90
M9.40	Resnik	61.90
M9.40	Lin	57.14
M9.40	Nunivers	47.62
M9.40	AIC	52.38
M9.40	DAVID	0.0
M6.19	DF	64.29
M6.19	Ganesan	75.00
M6.19	LC	75.00
M6.19	PS	57.14
M6.19	Zhou	75.00
M6.19	Resnik	71.43
M6.19	Lin	60.71
M6.19	Nunivers	64.29
M6.19	AIC	64.29
M6.19	DAVID	0.0
M6.18	DF	38.89
M6.18	Ganesan	66.67
M6.18	LC	77.78
M6.18	PS	66.67
M6.18	Zhou	77.78
M6.18	Resnik	66.67
M6.18	Lin	55.56
M6.18	Nunivers	38.89
M6.18	AIC	66.67
M6.18	DAVID	11.11111111111111
M8.89	DF	83.33
M8.89	Ganesan	83.33
M8.89	LC	83.33
M8.89	PS	83.33
M8.89	Zhou	83.33
M8.89	Resnik	83.33
M8.89	Lin	83.33
M8.89	Nunivers	66.67
M8.89	AIC	83.33
M8.89	DAVID	33.33333333333333
M6.17	DF	72.41
M6.17	Ganesan	68.97
M6.17	LC	74.14
M6.17	PS	68.97
M6.17	Zhou	74.14
M6.17	Resnik	74.14
M6.17	Lin	67.24
M6.17	Nunivers	72.41
M6.17	AIC	74.14
M6.17	DAVID	17.24137931034483
M8.88	DF	75.00
M8.88	Ganesan	66.67
M8.88	LC	75.00
M8.88	PS	75.00
M8.88	Zhou	83.33
M8.88	Resnik	75.00
M8.88	Lin	33.33
M8.88	Nunivers	75.00
M8.88	AIC	75.00
M8.88	DAVID	0.0
M6.16	DF	67.74
M6.16	Ganesan	58.06
M6.16	LC	74.19
M6.16	PS	64.52
M6.16	Zhou	74.19
M6.16	Resnik	74.19
M6.16	Lin	74.19
M6.16	Nunivers	70.97
M6.16	AIC	67.74
M6.16	DAVID	58.06451612903226
M8.87	DF	75.00
M8.87	Ganesan	91.67
M8.87	LC	91.67
M8.87	PS	91.67
M8.87	Zhou	91.67
M8.87	Resnik	75.00
M8.87	Lin	83.33
M8.87	Nunivers	91.67
M8.87	AIC	91.67
M8.87	DAVID	58.333333333333336
M6.15	DF	48.48
M6.15	Ganesan	60.61
M6.15	LC	60.61
M6.15	PS	54.55
M6.15	Zhou	60.61
M6.15	Resnik	54.55
M6.15	Lin	54.55
M6.15	Nunivers	45.45
M6.15	AIC	60.61
M6.15	DAVID	27.27272727272727
M8.86	DF	0.00
M8.86	Ganesan	0.00
M8.86	LC	71.43
M8.86	PS	71.43
M8.86	Zhou	71.43
M8.86	Resnik	0.00
M8.86	Lin	0.00
M8.86	Nunivers	0.00
M8.86	AIC	0.00
M8.86	DAVID	0.0
M9.39	DF	69.57
M9.39	Ganesan	73.91
M9.39	LC	73.91
M9.39	PS	73.91
M9.39	Zhou	73.91
M9.39	Resnik	69.57
M9.39	Lin	65.22
M9.39	Nunivers	69.57
M9.39	AIC	69.57
M9.39	DAVID	60.86956521739131
M6.14	DF	48.65
M6.14	Ganesan	48.65
M6.14	LC	56.76
M6.14	PS	56.76
M6.14	Zhou	56.76
M6.14	Resnik	51.35
M6.14	Lin	54.05
M6.14	Nunivers	45.95
M6.14	AIC	48.65
M6.14	DAVID	27.027027027027028
M8.85	DF	50.00
M8.85	Ganesan	90.00
M8.85	LC	90.00
M8.85	PS	80.00
M8.85	Zhou	90.00
M8.85	Resnik	90.00
M8.85	Lin	60.00
M8.85	Nunivers	70.00
M8.85	AIC	90.00
M8.85	DAVID	20.0
M9.38	DF	35.00
M9.38	Ganesan	35.00
M9.38	LC	35.00
M9.38	PS	35.00
M9.38	Zhou	35.00
M9.38	Resnik	20.00
M9.38	Lin	20.00
M9.38	Nunivers	30.00
M9.38	AIC	35.00
M9.38	DAVID	0.0
M6.13	DF	75.00
M6.13	Ganesan	75.00
M6.13	LC	79.17
M6.13	PS	79.17
M6.13	Zhou	79.17
M6.13	Resnik	77.08
M6.13	Lin	77.08
M6.13	Nunivers	77.08
M6.13	AIC	77.08
M6.13	DAVID	43.75
M8.84	DF	0.00
M8.84	Ganesan	40.00
M8.84	LC	40.00
M8.84	PS	0.00
M8.84	Zhou	40.00
M8.84	Resnik	40.00
M8.84	Lin	0.00
M8.84	Nunivers	0.00
M8.84	AIC	40.00
M8.84	DAVID	0.0
M9.37	DF	60.87
M9.37	Ganesan	47.83
M9.37	LC	65.22
M9.37	PS	52.17
M9.37	Zhou	69.57
M9.37	Resnik	65.22
M9.37	Lin	65.22
M9.37	Nunivers	60.87
M9.37	AIC	65.22
M9.37	DAVID	8.695652173913043
M6.12	DF	50.70
M6.12	Ganesan	66.20
M6.12	LC	67.61
M6.12	PS	67.61
M6.12	Zhou	67.61
M6.12	Resnik	59.15
M6.12	Lin	56.34
M6.12	Nunivers	56.34
M6.12	AIC	50.70
M6.12	DAVID	26.76056338028169
M8.83	DF	54.55
M8.83	Ganesan	72.73
M8.83	LC	72.73
M8.83	PS	54.55
M8.83	Zhou	72.73
M8.83	Resnik	72.73
M8.83	Lin	72.73
M8.83	Nunivers	63.64
M8.83	AIC	54.55
M8.83	DAVID	54.54545454545454
M9.36	DF	60.00
M9.36	Ganesan	65.00
M9.36	LC	70.00
M9.36	PS	60.00
M9.36	Zhou	70.00
M9.36	Resnik	65.00
M9.36	Lin	65.00
M9.36	Nunivers	65.00
M9.36	AIC	65.00
M9.36	DAVID	55.00000000000001
M7.9	DF	74.39
M7.9	Ganesan	70.12
M7.9	LC	74.39
M7.9	PS	73.17
M7.9	Zhou	74.39
M7.9	Resnik	74.39
M7.9	Lin	70.12
M7.9	Nunivers	74.39
M7.9	AIC	73.17
M7.9	DAVID	46.34146341463415
M6.11	DF	75.00
M6.11	Ganesan	80.00
M6.11	LC	85.00
M6.11	PS	85.00
M6.11	Zhou	85.00
M6.11	Resnik	85.00
M6.11	Lin	75.00
M6.11	Nunivers	75.00
M6.11	AIC	85.00
M6.11	DAVID	75.0
M8.82	DF	33.33
M8.82	Ganesan	50.00
M8.82	LC	50.00
M8.82	PS	50.00
M8.82	Zhou	50.00
M8.82	Resnik	50.00
M8.82	Lin	33.33
M8.82	Nunivers	0.00
M8.82	AIC	50.00
M8.82	DAVID	16.666666666666664
M9.35	DF	85.19
M9.35	Ganesan	74.07
M9.35	LC	85.19
M9.35	PS	85.19
M9.35	Zhou	85.19
M9.35	Resnik	81.48
M9.35	Lin	55.56
M9.35	Nunivers	81.48
M9.35	AIC	85.19
M9.35	DAVID	18.51851851851852
M7.8	DF	70.27
M7.8	Ganesan	70.27
M7.8	LC	72.97
M7.8	PS	70.27
M7.8	Zhou	72.97
M7.8	Resnik	70.27
M7.8	Lin	71.17
M7.8	Nunivers	70.27
