Module	SS	value
M6.4	Annotation	334
M6.4	DF	175
M6.4	Ganesan	167
M6.4	LC	15
M6.4	PS	123
M6.4	Zhou	9
M6.4	Resnik	152
M6.4	Lin	138
M6.4	Nunivers	179
M6.4	AIC	174
M6.3	Annotation	431
M6.3	DF	205
M6.3	Ganesan	220
M6.3	LC	41
M6.3	PS	270
M6.3	Zhou	19
M6.3	Resnik	214
M6.3	Lin	238
M6.3	Nunivers	231
M6.3	AIC	192
M6.2	Annotation	406
M6.2	DF	168
M6.2	Ganesan	172
M6.2	LC	23
M6.2	PS	26
M6.2	Zhou	13
M6.2	Resnik	175
M6.2	Lin	189
M6.2	Nunivers	163
M6.2	AIC	170
M6.1	Annotation	169
M6.1	DF	99
M6.1	Ganesan	108
M6.1	LC	12
M6.1	PS	94
M6.1	Zhou	11
M6.1	Resnik	34
M6.1	Lin	97
M6.1	Nunivers	85
M6.1	AIC	74
M9.52	Annotation	15
M9.52	DF	9
M9.52	Ganesan	6
M9.52	LC	5
M9.52	PS	7
M9.52	Zhou	5
M9.52	Resnik	8
M9.52	Lin	8
M9.52	Nunivers	12
M9.52	AIC	9
M9.51	Annotation	67
M9.51	DF	35
M9.51	Ganesan	37
M9.51	LC	6
M9.51	PS	37
M9.51	Zhou	10
M9.51	Resnik	39
M9.51	Lin	32
M9.51	Nunivers	43
M9.51	AIC	35
M9.50	Annotation	33
M9.50	DF	22
M9.50	Ganesan	21
M9.50	LC	7
M9.50	PS	21
M9.50	Zhou	3
M9.50	Resnik	17
M9.50	Lin	21
M9.50	Nunivers	24
M9.50	AIC	7
M8.99	Annotation	65
M8.99	DF	37
M8.99	Ganesan	8
M8.99	LC	9
M8.99	PS	13
M8.99	Zhou	7
M8.99	Resnik	16
M8.99	Lin	25
M8.99	Nunivers	38
M8.99	AIC	10
M8.98	Annotation	35
M8.98	DF	16
M8.98	Ganesan	9
M8.98	LC	4
M8.98	PS	9
M8.98	Zhou	7
M8.98	Resnik	11
M8.98	Lin	13
M8.98	Nunivers	19
M8.98	AIC	4
M8.97	Annotation	28
M8.97	DF	20
M8.97	Ganesan	6
M8.97	LC	7
M8.97	PS	8
M8.97	Zhou	7
M8.97	Resnik	8
M8.97	Lin	8
M8.97	Nunivers	19
M8.97	AIC	7
M8.96	Annotation	41
M8.96	DF	24
M8.96	Ganesan	7
M8.96	LC	6
M8.96	PS	13
M8.96	Zhou	6
M8.96	Resnik	22
M8.96	Lin	16
M8.96	Nunivers	18
M8.96	AIC	9
M9.49	Annotation	32
M9.49	DF	17
M9.49	Ganesan	18
M9.49	LC	4
M9.49	PS	18
M9.49	Zhou	7
M9.49	Resnik	19
M9.49	Lin	21
M9.49	Nunivers	20
M9.49	AIC	17
M8.95	Annotation	29
M8.95	DF	16
M8.95	Ganesan	7
M8.95	LC	4
M8.95	PS	7
M8.95	Zhou	6
M8.95	Resnik	14
M8.95	Lin	10
M8.95	Nunivers	15
M8.95	AIC	6
M9.48	Annotation	34
M9.48	DF	16
M9.48	Ganesan	14
M9.48	LC	7
M9.48	PS	18
M9.48	Zhou	8
M9.48	Resnik	9
M9.48	Lin	13
M9.48	Nunivers	16
M9.48	AIC	16
M8.94	Annotation	72
M8.94	DF	41
M8.94	Ganesan	8
M8.94	LC	26
M8.94	PS	34
M8.94	Zhou	9
M8.94	Resnik	16
M8.94	Lin	23
M8.94	Nunivers	42
M8.94	AIC	41
M9.47	Annotation	78
M9.47	DF	34
M9.47	Ganesan	46
M9.47	LC	2
M9.47	PS	42
M9.47	Zhou	7
M9.47	Resnik	28
M9.47	Lin	34
M9.47	Nunivers	46
M9.47	AIC	34
M8.93	Annotation	28
M8.93	DF	19
M8.93	Ganesan	5
M8.93	LC	4
M8.93	PS	10
M8.93	Zhou	4
M8.93	Resnik	11
M8.93	Lin	12
M8.93	Nunivers	18
M8.93	AIC	6
M9.46	Annotation	58
M9.46	DF	45
M9.46	Ganesan	10
M9.46	LC	10
M9.46	PS	12
M9.46	Zhou	12
M9.46	Resnik	19
M9.46	Lin	17
M9.46	Nunivers	33
M9.46	AIC	12
M8.92	Annotation	26
M8.92	DF	21
