;GO:0045927;GO:0036498;GO:0007252;GO:0051928;GO:0050718;GO:1901224;GO:0042376;GO:0042377;GO:0008625;GO:0051090;GO:0051005;GO:0002755;GO:0045893;GO:0031639;GO:0019367;GO:0034626;GO:0070207;GO:0032722;GO:0034625;GO:0035556;GO:0030148;GO:0035397;GO:0033490;GO:0030260;GO:1903892;GO:0034220;GO:2001183;GO:0050729;GO:0007265;GO:0009725;GO:0045416;GO:0006974;GO:0045657;GO:0048011;GO:0097011;GO:0045540;GO:0030539;GO:0001558;GO:0033489;GO:0014902;GO:0008285;GO:0055078;GO:0043123;GO:0048812;GO:0006663;GO:0046598;GO:0000038;GO:0043524;GO:0050850;GO:2000778;GO:0019064;GO:0036109;GO:0034201;GO:0032304;GO:0032305;GO:0050731;GO:0050852;GO:0034162;GO:0036101;GO:0000209;GO:0043651;GO:0008333;GO:0007249;GO:0070294;GO:0001774;GO:0071260;GO:0001932;GO:0006948;GO:0016064;GO:0032411;GO:0032496;GO:0034158;GO:0010524;GO:0010243;GO:0007050;GO:0003091;GO:0034154;GO:0042178;GO:1902236;GO:0006886;GO:1903966;GO:0043154;GO:0031398;GO:2000675;GO:0051607;GO:0033211;GO:0042987;GO:0046949;GO:0043433;GO:0043312;GO:0042102;GO:0006897;GO:0006895;GO:0038180;GO:0030217;GO:0007616;GO:0007218;GO:0006888;GO:0045860;GO:0001516;GO:0034138;GO:0019432;GO:0032355;GO:0032755;GO:0018105;GO:0030334;GO:0033327;GO:0071449;GO:0044539;GO:0033280;GO:0036151;GO:1904037;GO:1901687;GO:0043687;GO:0006983;GO:0000122;GO:0032507;GO:0097267;GO:0032868;GO:0045078;GO:0042360;GO:0042361;GO:0032509;GO:0035338;GO:0032469;GO:0060453;GO:0022417;GO:0050829;GO:0009584;GO:0045599;GO:0007169;GO:0042761;GO:0046323;GO:0045356;GO:0045359;GO:0045086;GO:0019371;GO:0019373;GO:0045087;GO:0006749;GO:0070374;GO:0035723;GO:0030433;GO:0071902
GO:0045927;1.0;0.0815569214996183;0.0;0.2408737624817435;0.20884430469895945;0.2289512173788098;0.0;0.0;0.07781113789980448;0.10214367526900356;0.057735020389618454;0.21356820432055623;0.33427125089008036;0.0;0.0;0.0;0.0;0.22361998536740962;0.0;0.12350079674018832;0.0;0.16036886676980525;0.0;0.0;0.06164315194207498;0.0;0.06357497979187936;0.24381332371818945;0.09650506549177577;0.0;0.19183806086343214;0.0;0.19013087655634017;0.07449878912748147;0.0;0.07986565008595978;0.0;0.8188571005692216;0.0;0.0;0.1090692927894074;0.06767025570681816;0.25323412651205635;0.0;0.0;0.19013087655634017;0.0;0.09015067378654569;0.2185691193316187;0.20730484277586209;0.0;0.0;0.0;0.06357497979187936;0.19870416407965308;0.2540530929490518;0.24359616905552048;0.19984265419216102;0.0;0.0;0.0;0.0;0.08340222006246432;0.0;0.0;0.0;0.12112112312676176;0.0;0.0;0.23738185146911414;0.0;0.16036886676980525;0.2231976386391836;0.0;0.09112928469171919;0.06787349579542784;0.17794289255090676;0.0;0.07415428855555856;0.0;0.0;0.08624811277697354;0.2401565628952431;0.06717375907441182;0.0;0.06618824594986088;0.0;0.0;0.09126320824334223;0.0;0.23764426761246982;0.0;0.0;0.07120441674251711;0.0;0.0;0.08766509904195832;0.0;0.28894467080160974;0.0;0.19183806086343214;0.0;0.0;0.23315652405962223;0.0;0.11128009213008452;0.0;0.0;0.0;0.0;0.0;0.21165430937066806;0.0;0.0;0.0706720942664027;0.11245980931100831;0.07371984329585884;0.0;0.0;0.1962254885589579;0.0;0.0;0.0;0.0;0.06555003854640197;0.0706720942664027;0.0;0.0;0.0;0.08057739406227266;0.1051289656374389;0.0;0.0;0.17794289255090676;0.1861788886859907;0.1948658358528718;0.0;0.0;0.0;0.0;0.26205588350171954;0.07170123691361342;0.0;0.27445509730691087
GO:0036498;0.0815569214996183;1.0;0.021887368178553204;0.0753823132283995;0.07571451086651568;0.08200243269990737;0.01979541245547476;0.01925708380277638;0.20395658508627634;0.09717062120785461;0.051273067271858985;0.20447499555557783;0.1126066481947302;0.0;0.021023545921079443;0.021023545921079443;0.023398701818713973;0.07070968521961381;0.021023545921079443;0.3009161533981984;0.025833320660310723;0.05271700259003229;0.0;0.0;0.06268922183041602;0.0;0.06444168885358036;0.0761688356889018;0.24535026001045418;0.25355230115614374;0.07027508608932823;0.54377237831925;0.06972276648428098;0.19635294956823304;0.27895491513870624;0.06932339571310213;0.0;0.09717062120785461;0.0;0.02174314637983691;0.10262606239055198;0.05896070650263326;0.08939688713198352;0.028185331927755394;0.020195985138444682;0.06135745221475807;0.023594412171996895;0.08743304802000754;0.07877476584726023;0.07522674686106487;0.021023545921079443;0.022021739276101474;0.16717513308959392;0.05670999651689509;0.0637881086933065;0.08964257152360262;0.22905796073991772;0.19293799871854517;0.020195985138444682;0.028513632957912486;0.022484369103512793;0.0;0.21660338100224455;0.0;0.02258546390480828;0.33251958843938095;0.11184076040085195;0.0;0.17905437057002374;0.0744444133021734;0.2329250521769719;0.15865350044695203;0.08021870173317942;0.25782516729427835;0.0882418196214155;0.0591149373528298;0.17412416931911204;0.02174314637983691;0.07383842008629447;0.0;0.01925708380277638;0.0841820338452577;0.08544120496492917;0.06767585792175514;0.3382623204335812;0.17690079996619812;0.0;0.02346580852467948;0.08835230079798159;0.03045019108888914;0.08467421636378204;0.0;0.0;0.1887068036813599;0.026200492450459037;0.0;0.2260907944312692;0.0;0.09989326972662753;0.0221476267955128;0.1861199995856375;0.02268193162953708;0.21444794170307885;0.07330428034604657;0.027491631542286815;0.10434255200507675;0.02174314637983691;0.3131977617195614;0.0;0.1892259835026541;0.023329558156412696;0.07660248589583527;0.02294769944426121;0.02958230300782699;0.6513604520005625;0.10525362740112884;0.06350103224384812;0.021417671458441475;0.2172824161757865;0.07168923979923034;0.020195985138444682;0.01925708380277638;0.0;0.02258546390480828;0.05734461880129198;0.06228987439591687;0.021417671458441475;0.31313204744664286;0.1907157053445685;0.07938340530521341;0.26361840812735743;0.022021739276101474;0.0;0.06574570715869288;0.06843973612029836;0.07125181014331403;0.02174314637983691;0.02294769944426121;0.38033651279503167;0.02487497591853578;0.09203089122972079;0.18986531392885217;0.7555935222439151;0.09568715642009379
GO:0007252;0.0;0.021887368178553204;1.0;0.0;0.0;0.0;0.0843193802706394;0.08223166827793495;0.02110621004689814;0.0;0.0;0.021154061359467343;0.0;0.19570985259428816;0.08957414228218599;0.08957414228218599;0.020901046312813445;0.0;0.08957414228218599;0.02962203158350366;0.19229086293720515;0.0;0.08637786121161771;0.0;0.0;0.0;0.0;0.0;0.024846235913485015;0.0;0.0;0.027467101247460855;0.0;0.020401339940053793;0.019305952003115197;0.0;0.0;0.0;0.08637786121161771;0.01957001359577429;0.0;0.0;0.0;0.02463871734313314;0.280292443272485;0.0;0.09934977475259497;0.0;0.0;0.0;0.01898513217417398;0.09339714232979265;0.0;0.0;0.0;0.0;0.023393457114963385;0.020082913816025467;0.08637786121161771;0.3056677162427072;0.09515711997507792;0.0;0.022266125884216358;0.0;0.020249741408514595;0.02258546390480828;0.0;0.0;0.0;0.0;0.0;0.016820808509603918;0.021887368178553204;0.0;0.02381025170111798;0.0;0.018307684229438067;0.09178663930743096;0.0;0.0;0.08272176513255033;0.0;0.0;0.0;0.0;0.018571933505860526;0.19306910555943257;0.3138264306089369;0.0;0.026352129467078544;0.0;0.0;0.0;0.01968676996160056;0.02310840246881013;0.0;0.023126213965686353;0.0;0.0;0.09387679478400267;0.019443700530977902;0.09590643393957998;0.0;0.0;0.498773812646322;0.0;0.01957001359577429;0.016820808509603918;0.0;0.0;0.3191521430494613;0.0;0.1730648842174277;0.3156202908655004;0.01957001359577429;0.0;0.022492321186848994;0.09108780891041307;0.0;0.0;0.08586610329614788;0.08223166827793495;0.0;0.3032704842338419;0.020540446236642355;0.0;0.19306910555943257;0.0;0.0;0.0;0.026446356591534624;0.09339714232979265;0.0;0.0;0.0;0.0;0.09233368333757573;0.09691230152421343;0.0;0.18596147930736978;0.0;0.01979541245547476;0.22345420365496738;0.0
GO:0051928;0.2408737624817435;0.0753823132283995;0.0;1.0;0.511142644705384;0.2112053124951318;0.0;0.0;0.07217107356658986;0.09264004834812262;0.05413629639930894;0.19804601226409102;0.29774584201121507;0.0;0.0;0.0;0.0;0.20666029157047475;0.0;0.10987260300771887;0.0;0.15145523471168135;0.0;0.0;0.05804929401101521;0.0;0.33445264540349257;0.2237894796006203;0.0879779333795951;0.0;0.17922057039186268;0.0;0.1777296967428243;0.06931268688871685;0.0;0.0739351651878002;0.0;0.09264004834812262;0.0;0.0;0.0983011630583628;0.06277886920670868;0.2317012992956455;0.0;0.0;0.1777296967428243;0.0;0.08266596602716399;0.20233910229669727;0.5076412213205248;0.0;0.0;0.0;0.48685551128620574;0.7055901920858405;0.2323867230734942;0.2236065157083491;0.18618772100254713;0.0;0.0;0.0;0.0;0.07695608086737109;0.0;0.0;0.0;0.10798512843750221;0.0;0.0;0.5753907364018982;0.0;0.15145523471168135;0.932172442951425;0.0;0.08348808440073711;0.06295375174414147;0.1670350558638087;0.0;0.06901438444309059;0.0;0.0;0.07937268392132674;0.22070489775331842;0.06292829891176246;0.0;0.06206261774415747;0.0;0.0;0.08360047668950528;0.0;0.2185812922566669;0.0;0.0;0.06645220834796725;0.0;0.0;0.080571189761085;0.0;0.2612427842130214;0.0;0.17922057039186268;0.0;0.0;0.21477889309347947;0.0;0.4681277845619058;0.0;0.0;0.0;0.0;0.0;0.1963991394227144;0.0;0.0;0.0659883381002849;0.10104682688128953;0.06795207505955217;0.0;0.0;0.18304409019966564;0.0;0.0;0.0;0.0;0.06094994223999954;0.36931441631422796;0.0;0.0;0.0;0.07454472809811072;0.09508900897177831;0.0;0.0;0.1670350558638087;0.17427174054682268;0.18186041985038326;0.0;0.0;0.0;0.0;0.2390647775237632;0.06688472416823499;0.0;0.24934111663995395
GO:0050718;0.20884430469895945;0.07571451086651568;0.0;0.511142644705384;1.0;0.20628975732148072;0.0;0.0;0.07284942241583135;0.09063912443895836;0.04885319126026569;0.17586946191102368;0.2773456684955538;0.0;0.0;0.0;0.0;0.618367915391269;0.0;0.10479024166488411;0.0;0.13813461964346535;0.0;0.0;0.05990430059695317;0.0;0.6115734483240384;0.1958791294192513;0.08668402046841817;0.0;0.5446723479173938;0.0;0.3459629125711483;0.07027508608932823;0.0;0.0654971607942566;0.0;0.09063912443895836;0.0;0.0;0.09536797391840339;0.055783265539503295;0.2237350984198138;0.0;0.0;0.15966214103054324;0.0;0.08210915595657095;0.1986182222086247;0.7672118758173138;0.0;0.0;0.0;0.41956375281405595;0.560925337617236;0.22431164909922863;0.19573894276421303;0.16645506663500736;0.0;0.0;0.0;0.0;0.07710831336845987;0.0;0.0;0.0;0.10327515611749492;0.0;0.0;0.5051584643685074;0.0;0.13813461964346535;0.4804982774339945;0.0;0.0828220307891772;0.05592130159662395;0.15097823960022574;0.0;0.07000510814587257;0.0;0.0;0.07923549713232435;0.21442504989441755;0.06444168885358036;0.0;0.06364170119200789;0.0;0.0;0.08291934981103168;0.0;0.21261392557578476;0.0;0.0;0.06767585792175514;0.0;0.0;0.08028463911320344;0.0;0.24819276004537305;0.0;0.16086427965449812;0.0;0.0;0.6397379864459939;0.0;0.39860674271579283;0.0;0.0;0.0;0.0;0.0;0.19343557175727277;0.0;0.0;0.06725216359697771;0.09763291839151503;0.05983061744832977;0.0;0.0;0.5550795655317571;0.0;0.0;0.0;0.0;0.05433452898932113;0.45878709054145594;0.0;0.0;0.0;0.07496994761288162;0.0926946156526132;0.0;0.0;0.5111990830040706;0.5311344332026223;0.5518625929781366;0.0;0.0;0.0;0.0;0.22990610080477442;0.06807036079302627;0.0;0.23843476800222527
GO:1901224;0.2289512173788098;0.08200243269990737;0.0;0.2112053124951318;0.20628975732148072;1.0;0.0;0.0;0.07865223375268801;0.09980024470565269;0.052218852331852854;0.34754603096570724;0.3099709557231265;0.0;0.0;0.0;0.0;0.1978220034674047;0.0;0.11723156834451996;0.0;0.2683772686839803;0.0;0.0;0.2383942256571654;0.0;0.06558777375215778;0.3906377746680374;0.09502628745836238;0.0;0.1911817481961249;0.0;0.1896502202739011;0.0756598696516044;0.0;0.07083650833248913;0.0;0.09980024470565269;0.0;0.0;0.10556370721292793;0.06021483491513349;0.5599712366780989;0.0;0.0;0.1711533905273053;0.0;0.08955628602834452;0.4919832943997894;0.20493313526909532;0.0;0.0;0.0;0.057718574531572316;0.17806951586181521;0.24518318790192137;0.3903331275009906;0.3275414351434783;0.0;0.0;0.0;0.0;0.08363985585358003;0.0;0.0;0.0;0.11533861564148709;0.0;0.0;0.20851582201836016;0.0;0.2683772686839803;0.2188346351713582;0.0;0.09040500590496925;0.060375705655236644;0.2950223753006738;0.0;0.366768927023463;0.0;0.0;0.08614853542328735;0.23341939920847649;0.06894099713536478;0.0;0.06802619257744044;0.0;0.0;0.09052097377166582;0.0;0.23127479923802066;0.0;0.0;0.07265556665158078;0.0;0.0;0.08739016623966188;0.0;0.2740006603283952;0.0;0.3157420021270984;0.0;0.0;0.20524855665925368;0.0;0.1073807413692501;0.0;0.0;0.0;0.0;0.0;0.2087604304647536;0.0;0.0;0.0721674508407316;0.10834589096997933;0.06495813493453731;0.0;0.0;0.19510518971008053;0.0;0.0;0.0;0.0;0.058530247933843545;0.06350882415744917;0.0;0.0;0.0;0.08112977827376186;0.10229796625589639;0.0;0.0;0.17863601638989962;0.18609430737877;0.19389125295285226;0.0;0.0;0.0;0.0;0.5768925936577554;0.07311045701735222;0.0;0.26215624612071453
GO:0042376;0.0;0.01979541245547476;0.0843193802706394;0.0;0.0;0.0;1.0;0.8120669762484801;0.019154254597201287;0.0;0.0;0.01919365610162498;0.0;0.07917162338776369;0.27897288359020134;0.27897288359020134;0.01898513217417398;0.0;0.27897288359020134;0.025915491655330004;0.09641607067349786;0.0;0.2698267455943507;0.0;0.0;0.0;0.0;0.0;0.02218483009939226;0.0;0.0;0.024250953203823814;0.0;0.018571933505860526;0.017659794945153594;0.0;0.0;0.0;0.2698267455943507;0.01788048761237731;0.0;0.0;0.0;0.022019239117364506;0.0788924073033734;0.0;0.3066087273613804;0.0;0.0;0.0;0.017390972284480048;0.2898406487733898;0.0;0.0;0.0;0.0;0.02101931183919318;0.018307684229438063;0.4384017170551947;0.10421129250637239;0.29481774563487506;0.0;0.020104716632479723;0.0;0.018446220176376486;0.02036470446401519;0.0;0.0;0.0;0.0;0.0;0.01555730723324292;0.01979541245547476;0.0;0.021355193019097305;0.0;0.016820808509603918;0.2930578081824914;0.0;0.0;0.25929721261712313;0.0;0.0;0.0;0.0;0.017043617088630857;0.07819443545460118;0.5360111692484003;0.0;0.023377650108166555;0.0;0.0;0.0;0.01797790430867298;0.020788895273728073;0.0;0.020803309448960187;0.0;0.0;0.29119869468102993;0.017774984128329507;0.08681742949028662;0.0;0.0;0.10127744454856383;0.0;0.01788048761237731;0.01555730723324292;0.0;0.0;0.0888298350844454;0.0;0.08764581589957661;0.1072298627977897;0.01788048761237731;0.0;0.020288947381260032;0.2832851343140677;0.0;0.0;0.5846284553829975;0.9771728264808681;0.0;0.5195875297340159;0.018687140325755247;0.0;0.07819443545460118;0.0;0.0;0.0;0.02345177617687348;0.2898406487733898;0.0;0.0;0.0;0.0;0.2868253199204559;0.2997650354134032;0.0;0.4969144295199392;0.0;0.018068461080748513;0.3325831891315622;0.0
GO:0042377;0.0;0.01925708380277638;0.08223166827793495;0.0;0.0;0.0;0.8120669762484801;1.0;0.01864978894956986;0.0;0.0;0.01868714032575525;0.0;0.07035240724482267;0.27228573200539175;0.27228573200539175;0.018489420279622117;0.0;0.27228573200539175;0.02500053366913018;0.09369603426743288;0.0;0.2635659631602732;0.0;0.0;0.0;0.0;0.0;0.021510911652872108;0.0;0.0;0.023447934204448725;0.0;0.01809729474646061;0.017230094564966998;0.0;0.0;0.0;0.2635659631602732;0.017440114187681783;0.0;0.0;0.0;0.021355193019097305;0.07706186898242576;0.0;0.29855019121886517;0.0;0.0;0.0;0.01697409998357078;0.28262906898467466;0.0;0.0;0.0;0.0;0.020413377208106327;0.017846288321375487;0.42822949427141277;0.10104087852186261;0.2873595537388755;0.0;0.01954966958309134;0.0;0.01797790430867298;0.019795412455474764;0.0;0.0;0.0;0.0;0.0;0.015222863394942618;0.01925708380277638;0.0;0.02073002640556365;0.0;0.016430515760039975;0.285840171089991;0.0;0.0;0.2535102892554047;0.0;0.0;0.0;0.0;0.016643039333390182;0.06950520029034811;0.08691488238939603;0.0;0.022630534039172655;0.0;0.0;0.0;0.017532779044369076;0.020195985138444682;0.0;0.020209588569859747;0.0;0.0;0.28392022550662477;0.017339728950274563;0.08460580612375383;0.0;0.0;0.09828046341374208;0.0;0.017440114187681783;0.015222863394942618;0.0;0.0;0.08651586007482973;0.0;0.0853923336092609;0.10387607664382392;0.017440114187681783;0.0;0.019723824279883027;0.27639220433985123;0.0;0.0;0.7120835873441933;0.4118915115546477;0.0;0.0843193802706394;0.01820667084357273;0.0;0.06950520029034811;0.0;0.0;0.0;0.022699990853089706;0.28262906898467466;0.0;0.0;0.0;0.0;0.27976118100204483;0.2920577057294174;0.0;0.09098532415826761;0.0;0.01761889629646255;0.3214028033808581;0.0
GO:0008625;0.07781113789980448;0.20395658508627634;0.02110621004689814;0.07217107356658986;0.07284942241583135;0.07865223375268801;0.019154254597201287;0.01864978894956986;1.0;0.09250169029108737;0.049553782751963496;0.19659102422597075;0.1063840284390916;0.0;0.02030181390824431;0.02030181390824431;0.022508135151639904;0.06787672875319417;0.02030181390824431;0.2841463224466981;0.024752068730273993;0.05112613595807175;0.0;0.0;0.060712243272341475;0.0;0.06235447317662384;0.07289169230435398;0.23408598911065157;0.0;0.06780014531257046;0.030311226232206685;0.06728590139753303;0.30656069875560676;0.020669107130772676;0.06659829213961974;0.0;0.09250169029108737;0.0;0.02097206752162638;0.09743217120513425;0.05669858192896062;0.08542986243907667;0.02690311676320668;0.019529053387198653;0.059212961388398516;0.022689173704861985;0.08363469859307254;0.07567812879273644;0.0723977645115027;0.02030181390824431;0.021231133546627146;0.0;0.05487320428075188;0.06147355044080701;0.08565419857057865;0.35542686818705604;0.18590329204365816;0.019529053387198653;0.027202068487844296;0.02166081769932617;0.0;0.20777658716066263;0.0;0.021754626933136182;0.024473722121535486;0.10570019047585069;0.0;0.0;0.07131092363929903;0.0;0.15386573658511749;0.07700981413783284;0.0;0.08437442847007887;0.05684119085364473;0.16837406916889974;0.02097206752162638;0.07111100032014889;0.0;0.01864978894956986;0.0806552032145233;0.08181035389046797;0.06537761647131815;0.0;0.27720893774967315;0.0;0.02257022405945305;0.08447543215961499;0.028959080190098376;0.08110689872024471;0.0;0.0;0.29504902852168197;0.02508894743760248;0.0;0.21649095900851037;0.0;0.0949656673782981;0.021348120299372372;0.17956524452266812;0.021844113748433133;0.0;0.07026407605617067;0.026270388321988955;0.09897800622433924;0.02097206752162638;0.017846288321375487;0.0;0.0;0.022444147417896007;0.0736711011413855;0.02209050384407466;0.028173012805870236;0.18081533587366996;0.0997974400634497;0.060884828783251896;0.020669107130772676;0.0;0.06911551376350168;0.019529053387198653;0.01864978894956986;0.0;0.021754626933136182;0.05520254983048997;0.06008088382995992;0.020669107130772676;0.0;0.0;0.07623968695999613;0.4064175773692772;0.021231133546627146;0.0;0.06357458753706137;0.06609022054887985;0.06870883967584908;0.02097206752162638;0.02209050384407466;0.0;0.02387089984496942;0.08783214232371198;0.29679536560222236;0.024190812914211702;0.09115637118142741
GO:0051090;0.10214367526900356;0.09717062120785461;0.0;0.09264004834812262;0.09063912443895836;0.09980024470565269;0.0;0.0;0.09250169029108737;1.0;0.2866053402124711;0.09278425076790299;0.4939054573603183;0.0;0.0;0.0;0.0;0.08568179595300948;0.0;0.15090827676724516;0.0;0.06061352382034022;0.0;0.0;0.07258494937951251;0.0;0.07494476427479244;0.09383076487438292;0.11601170258085829;0.0;0.2536066759315466;0.0;0.08218430858857942;0.0883902696360368;0.0;0.2794690289625374;0.0;0.1232068520262522;0.0;0.0;0.13211141123112644;0.07078453678515804;0.11097144536325657;0.0;0.0;0.07232386265343549;0.0;0.1079613015556208;0.09505996362222614;0.0899410017257915;0.0;0.0;0.0;0.06595291645195403;0.07572510877962031;0.2539402517590897;0.10652339162540264;0.08656359722547347;0.0;0.0;0.0;0.0;0.09947834836206909;0.0;0.0;0.0;0.3370339445832292;0.0;0.0;0.38020124377854875;0.0;0.06887741284176865;0.09717062120785461;0.0;0.10919712127475964;0.07100694486551293;0.07671433195896371;0.0;0.08796358740312675;0.0;0.0;0.3779349245623565;0.23932240026850757;0.07935517017838546;0.0;0.0781455361445914;0.0;0.0;0.8876645637530955;0.0;0.10378583886437755;0.0;0.0;0.08431712799748843;0.0;0.0;0.10482893124184889;0.0;0.4680465125557586;0.0;0.0829527917830697;0.0;0.0;0.08952131081867709;0.0;0.13496965005010256;0.0;0.0;0.0;0.0;0.0;0.09191462034182356;0.0;0.0;0.08366045577244194;0.45208057277405767;0.0774311038808853;0.0;0.0;0.2596526320668157;0.0;0.0;0.0;0.0;0.06846801851349972;0.07362290219048849;0.0;0.0;0.0;0.09594768236790462;0.12703604488603895;0.0;0.0;0.23453420079338105;0.24582512001026305;0.2577777805412215;0.0;0.0;0.0;0.0;0.2623988369102255;0.0849303775014911;0.0;0.443160189183178
