;GO:0014068;GO:0014067;GO:0046854;GO:0002244;GO:0045766;GO:0008589;GO:2000119;GO:0001701;GO:0048642;GO:0010811;GO:0050679;GO:0032720;GO:0043518;GO:0055062;GO:0002092;GO:0035790;GO:1900025;GO:0045930;GO:0009725;GO:0030539;GO:0048015;GO:2000647;GO:0071363;GO:2000802;GO:0010544;GO:0018146;GO:2000249;GO:0034614;GO:0051897;GO:0033128;GO:1902174;GO:2000780;GO:0008285;GO:0038091;GO:0045944;GO:0045668;GO:0002576;GO:0000165;GO:2000778;GO:0048146;GO:0019221;GO:0001649;GO:2000773;GO:0008210;GO:0048701;GO:0007517;GO:0070570;GO:1990830;GO:2000146;GO:2000144;GO:0030199;GO:0035924;GO:0030510;GO:2000147;GO:0007050;GO:0018108;GO:0045606;GO:0023019;GO:0046777;GO:0006366;GO:0048557;GO:0003253;GO:0060326;GO:2000679;GO:0042340;GO:0055003;GO:0032760;GO:2000276;GO:0071456;GO:0035115;GO:0035116;GO:0030500;GO:0035359;GO:0007186;GO:0032000;GO:2000051;GO:0043552;GO:0090263;GO:0002053;GO:0043433;GO:0032914;GO:0072378;GO:0000271;GO:0010628;GO:0010863;GO:0050920;GO:0033327;GO:0030335;GO:0035067;GO:0071639;GO:0000122;GO:0071230;GO:2000739;GO:0030326;GO:0009968;GO:0060628;GO:0010955;GO:0010952;GO:0060070;GO:0006351;GO:0007204;GO:0090090;GO:0043066;GO:0070373;GO:0070374;GO:0045880;GO:0006508;GO:0035567
GO:0014068;1.0;0.18874024282539498;0.0;0.0;0.03339691615813532;0.15765842615334905;0.01873144595815766;0.0;0.01873144595815766;0.03339691615813532;0.10004507709335599;0.01873144595815766;0.1025634887204134;0.01412351490195075;0.06060804118568746;0.03339691615813532;0.021674063892060506;0.03339691615813532;0.0;0.0;0.03339691615813532;0.03339691615813532;0.0;0.06196089010643668;0.02095923272371947;0.0;0.03339691615813532;0.0;0.7947244838411236;0.005394486738527532;0.10004507709335599;0.013032370350641352;0.03339691615813532;0.10004507709335599;0.016294308724158792;0.03339691615813532;0.0;0.03339691615813532;0.03859209489323416;0.10004507709335599;0.03339691615813532;0.0;0.03339691615813532;0.01412351490195075;0.0;0.0;0.03339691615813532;0.0;0.03339691615813532;0.014899879130136226;0.0;0.0;0.11645101796032643;0.10004507709335599;0.03339691615813532;0.0;0.09217685601077599;0.03339691615813532;0.0;0.0;0.0;0.0;0.0;0.01412351490195075;0.0;0.0;0.03339691615813532;0.01538950368179135;0.0;0.0;0.0;0.01873144595815766;0.15765842615334905;0.03339691615813532;0.03300723304979664;0.15765842615334905;0.03255489693810376;0.588177307613437;0.10004507709335599;0.02864098987106914;0.03339691615813532;0.0;0.0;0.03339691615813532;0.01412351490195075;0.03339691615813532;0.0;0.10004507709335599;0.006104579272382672;0.03339691615813532;0.004334589126298501;0.0;0.03339691615813532;0.0;0.15765842615334905;0.03339691615813532;0.011259120080936946;0.0548227980406168;0.03339691615813532;0.0;0.011599311636661369;0.15765842615334905;0.03339691615813532;0.03544004453890271;0.16072781002879047;0.588177307613437;0.0;0.03339691615813532
GO:0014067;0.18874024282539498;1.0;0.0;0.0;0.018701896024026703;0.1574097109116945;0.033344230600658636;0.0;0.033344230600658636;0.018701896024026703;0.033344230600658636;0.033344230600658636;0.4654801221092175;0.014101234244281155;0.02023209665877342;0.033344230600658636;0.0651499846616809;0.10022929354675525;0.0;0.0;0.033344230600658636;0.10022929354675525;0.0;0.020683702907611883;0.06300127642288267;0.0;0.033344230600658636;0.0;0.17526054745515318;0.016215266782592202;0.033344230600658636;0.039173951533872264;0.10022929354675525;0.033344230600658636;0.005439344724655555;0.10022929354675525;0.0;0.033344230600658636;0.012882762400327413;0.033344230600658636;0.033344230600658636;0.0;0.10022929354675525;0.014101234244281155;0.0;0.0;0.033344230600658636;0.0;0.10022929354675525;0.00497385807010944;0.0;0.0;0.11645101796032643;0.033344230600658636;0.10022929354675525;0.0;0.030770356936601698;0.033344230600658636;0.0;0.0;0.0;0.0;0.0;0.014101234244281155;0.0;0.0;0.018701896024026703;0.027438456450409102;0.0;0.0;0.0;0.018701896024026703;0.5890024084288582;0.033344230600658636;0.011018431159260893;0.5890024084288582;0.010867432912906327;0.1574097109116945;0.033344230600658636;0.02864098987106914;0.018701896024026703;0.0;0.0;0.018701896024026703;0.014101234244281155;0.033344230600658636;0.0;0.033344230600658636;0.018349731178352476;0.018701896024026703;0.013029324657314607;0.0;0.033344230600658636;0.0;0.5890024084288582;0.033344230600658636;0.03384374541987798;0.018300874394932682;0.033344230600658636;0.0;0.011599311636661369;0.5890024084288582;0.10022929354675525;0.16084316617284863;0.03550130060104913;0.1574097109116945;0.0;0.033344230600658636
GO:0046854;0.0;0.0;1.0;0.015393928619663268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015393928619663268;0.0;0.0;0.0;0.0;0.015393928619663268;0.0;0.015393928619663268;0.0;0.0;0.03323113797219458;0.0;0.015393928619663268;0.0;0.0;0.0;0.0;0.0;0.015393928619663268;0.0;0.0;0.015393928619663268;0.10544624108622469;0.0;0.0;0.015393928619663268;0.015393928619663268;0.0;0.08421827716021944;0.0;0.0;0.0;0.015393928619663268;0.0;0.0;0.015393928619663268;0.015393928619663268;0.0;0.0;0.015393928619663268;0.07213518361787605;0.0;0.015393928619663268;0.1115725899712156;0.02364269671193163;0.0;0.015393928619663268;0.015393928619663268;0.0;0.03357915302402592;0.015393928619663268;0.0;0.0;0.015393928619663268;0.0;0.0;0.0;0.0;0.015393928619663268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029312266494784082;0.029312266494784082;0.0;0.0;0.0;0.015393928619663268;0.0;0.0;0.0;0.0;0.011861000587948936;0.0;0.0;0.0;0.0;0.0;0.0;0.015393928619663268;0.023743746809502336;0.011599311636661369;0.0;0.0;0.0;0.0;0.0;0.029312266494784082;0.015393928619663268
GO:0002244;0.0;0.0;0.015393928619663268;1.0;0.0;0.0;0.0;0.14968290410618665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10489725125368791;0.0;0.0;0.0;0.050776566837648626;0.12741218007660887;0.0;0.0557552288107815;0.0;0.0;0.008106005261954125;0.0;0.023368729875322573;0.0;0.0;0.0;0.0;0.0;0.02994700170034065;0.0;0.0;0.08448767247666746;0.01454866207651827;0.0;0.0;0.12705590171490894;0.7919880533013256;0.0;0.04285732737028203;0.07291534985854393;0.12164126588817334;0.0;0.04124057718599388;0.0;0.0;0.062397976723033974;0.05379798561210026;0.0;0.0;0.06054529612933999;0.00995265833540629;0.0;0.14532829318607357;0.018629235703855225;0.00576711589335461;0.10773198243353409;0.07197298094082143;0.11117984168356607;0.0;0.008190895880016752;0.02683874095309384;0.0;0.0;0.03261432980414468;0.05726080959113724;0.05726080959113724;0.0;0.0;0.14532829318607357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41008032624126767;0.0;0.0;0.0;0.0;0.011861000587948936;0.0;0.07775539224077378;0.0;0.0;0.0;0.0;0.10718707408000999;0.005791764842280598;0.011599311636661369;0.0;0.0;0.0;0.0;0.0;0.0;0.10718707408000999
GO:0045766;0.03339691615813532;0.018701896024026703;0.0;0.0;1.0;0.033205470168080946;0.033205470168080946;0.0;0.10701907112094035;0.059203133899649846;0.059203133899649846;0.059203133899649846;0.010944458007021981;0.02503693274896002;0.02023209665877342;0.033205470168080946;0.03074447874559434;0.033205470168080946;0.0;0.0;0.033205470168080946;0.033205470168080946;0.0;0.06131434110592267;0.02095923272371947;0.0;0.033205470168080946;0.0;0.03339691615813532;0.0030256247713492017;0.059203133899649846;0.007309511446321653;0.033205470168080946;0.059203133899649846;0.005439344724655555;0.04674786275686857;0.0;0.019295301441722517;0.0381893944101052;0.059203133899649846;0.033205470168080946;0.0;0.048425816673944556;0.02503693274896002;0.0;0.0;0.17164947137953412;0.0;0.033205470168080946;0.00497385807010944;0.0;0.0;0.013835581154251968;0.059203133899649846;0.033205470168080946;0.0;0.08929655418670125;0.033205470168080946;0.0;0.0;0.0;0.0;0.0;0.02503693274896002;0.0;0.0;0.17550054565552936;0.01538950368179135;0.0;0.0;0.0;0.17164947137953412;0.023829058938826957;0.033205470168080946;0.011018431159260893;0.018881555232746608;0.010867432912906327;0.03366365709627272;0.059203133899649846;0.016063972835629225;0.17550054565552936;0.0;0.0;0.059203133899649846;0.02503693274896002;0.033205470168080946;0.0;0.050630917619257816;0.0034238968710909234;0.17550054565552936;0.0024311562656152597;0.0;0.059203133899649846;0.0;0.031751815877821804;0.033205470168080946;0.006314942323832017;0.018300874394932682;0.033205470168080946;0.0;0.011599311636661369;0.018844109286857823;0.033205470168080946;0.003781775406259269;0.006754307064843514;0.0424336740708042;0.0;0.033205470168080946
GO:0008589;0.15765842615334905;0.1574097109116945;0.0;0.0;0.033205470168080946;1.0;0.049345721579879764;0.0;0.02070276444757999;0.10670910421988877;0.12237164973833586;0.05197320718134382;0.0921170756567805;0.03192163304716477;0.02023209665877342;0.1902552005276086;0.021674063892060506;0.13002643847798825;0.0;0.0;0.1902552005276086;0.12422506130939004;0.0;0.020683702907611883;0.02095923272371947;0.0;0.1902552005276086;0.0;0.15765842615334905;0.005394486738527532;0.06133343386644311;0.013032370350641352;0.18256445760049927;0.07081364036622873;0.005439344724655555;0.04674786275686857;0.0;0.0344022327979711;0.012882762400327413;0.12490900307557773;0.1902552005276086;0.0;0.048425816673944556;0.04285732737028203;0.0;0.0;0.06883435339887256;0.0;0.06840912134847855;0.00497385807010944;0.0;0.0;0.11645101796032643;0.06873602013241494;0.14316734840006146;0.0;0.030770356936601698;0.1902552005276086;0.0;0.0;0.0;0.0;0.0;0.07019858296153969;0.0;0.0;0.05198383880526412;0.01538950368179135;0.0;0.0;0.0;0.10592026066895975;0.20056390400414975;0.1902552005276086;0.011018431159260893;0.1589218626245953;0.010867432912906327;0.15891764291151567;0.12411952063886021;0.02864098987106914;0.05215850001172422;0.0;0.0;0.07595466202205571;0.04021169954498488;0.1902552005276086;0.0;0.050630917619257816;0.006104579272382672;0.050393302377548355;0.004334589126298501;0.0;0.1902552005276086;0.0;0.26724799195911436;0.13323526737067093;0.011259120080936946;0.018300874394932682;0.1902552005276086;0.0;0.011599311636661369;0.1586066884032438;0.0982116173552396;0.031830364828648865;0.03188538176870792;0.22303555410379702;0.0;0.1902552005276086
GO:2000119;0.01873144595815766;0.033344230600658636;0.0;0.0;0.033205470168080946;0.049345721579879764;1.0;0.0;0.036911645264435175;0.049345721579879764;0.049345721579879764;0.08798012337366948;0.019513237113313375;0.03192163304716477;0.02654611912962738;0.049345721579879764;0.021674063892060506;0.08798012337366948;0.0;0.0;0.049345721579879764;0.08798012337366948;0.0;0.011600941278350428;0.02095923272371947;0.0;0.049345721579879764;0.0;0.01873144595815766;0.005394486738527532;0.0344002990113702;0.013032370350641352;0.08798012337366948;0.039717495811280486;0.0030507844279764845;0.04674786275686857;0.0;0.019295301441722517;0.01690320836073492;0.049345721579879764;0.049345721579879764;0.0;0.048425816673944556;0.037206686319772614;0.0;0.0;0.038607366160711344;0.0;0.06840912134847855;0.002789705289034784;0.0;0.0;0.013835581154251968;0.06873602013241494;0.08798012337366948;0.0;0.01725827843930359;0.049345721579879764;0.0;0.0;0.0;0.0;0.0;0.037206686319772614;0.0;0.0;0.049345721579879764;0.1597794069130238;0.0;0.0;0.0;0.049345721579879764;0.042485619384908496;0.049345721579879764;0.006179946280851444;0.03366455096162055;0.006095255362744679;0.01888105388734162;0.049345721579879764;0.02864098987106914;0.049345721579879764;0.0;0.0;0.049345721579879764;0.037206686319772614;0.049345721579879764;0.0;0.050630917619257816;0.006104579272382672;0.049345721579879764;0.004334589126298501;0.0;0.049345721579879764;0.0;0.0566113654604624;0.11543691568436473;0.011259120080936946;0.010264475860361975;0.049345721579879764;0.0;0.011599311636661369;0.03359778734293871;0.08798012337366948;0.006742652780456316;0.0037883119857789515;0.023799924187602718;0.0;0.049345721579879764
GO:0001701;0.0;0.0;0.0;0.14968290410618665;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09738741769707272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14968290410618665;0.0;0.0;0.07291534985854393;0.23330306690740424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10773198243353409;0.0;0.0;0.0;0.0;0.02683874095309384;0.0;0.0;0.0;0.05726080959113724;0.05726080959113724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0827646421774372;0.0;0.0;0.0;0.0;0.0;0.0;0.07775539224077378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048642;0.01873144595815766;0.033344230600658636;0.0;0.0;0.10701907112094035;0.02070276444757999;0.036911645264435175;0.0;1.0;0.02070276444757999;0.02070276444757999;0.10979875546018261;0.019513237113313375;0.015609889532293794;0.011347647291431718;0.02070276444757999;0.06312115393046648;0.036911645264435175;0.0;0.0;0.02070276444757999;0.036911645264435175;0.0;0.0599688975296612;0.06234611467406088;0.0;0.02070276444757999;0.0;0.01873144595815766;0.005394486738527532;0.02070276444757999;0.013032370350641352;0.036911645264435175;0.02070276444757999;0.0030507844279764845;0.10979875546018261;0.0;0.019295301441722517;0.012882762400327413;0.02070276444757999;0.02070276444757999;0.0;0.10749740584720993;0.015609889532293794;0.0;0.0;0.10701907112094035;0.0;0.036911645264435175;0.002789705289034784;0.0;0.0;0.013835581154251968;0.02070276444757999;0.036911645264435175;0.0;0.08921344453284931;0.02070276444757999;0.0;0.0;0.0;0.0;0.0;0.015609889532293794;0.0;0.0;0.036911645264435175;0.027438456450409102;0.0;0.0;0.0;0.10701907112094035;0.036911645264435175;0.02070276444757999;0.006179946280851444;0.03366455096162055;0.006095255362744679;0.01888105388734162;0.02070276444757999;0.02864098987106914;0.036911645264435175;0.0;0.0;0.02070276444757999;0.015609889532293794;0.02070276444757999;0.0;0.02070276444757999;0.006104579272382672;0.036911645264435175;0.004334589126298501;0.0;0.036911645264435175;0.0;0.036911645264435175;0.02070276444757999;0.011259120080936946;0.010264475860361975;0.02070276444757999;0.0;0.011599311636661369;0.03359778734293871;0.036911645264435175;0.006742652780456316;0.0037883119857789515;0.02070276444757999;0.0;0.02070276444757999
GO:0010811;0.03339691615813532;0.018701896024026703;0.0;0.0;0.059203133899649846;0.10670910421988877;0.049345721579879764;0.0;0.02070276444757999;1.0;0.12237164973833586;0.05197320718134382;0.010944458007021981;0.03192163304716477;0.02023209665877342;0.12647751533626103;0.02765501085433393;0.07292838638003565;0.0;0.0;0.12647751533626103;0.06967454754048712;0.0;0.020683702907611883;0.011755478656467694;0.0;0.12338226980634172;0.0;0.03339691615813532;0.0030256247713492017;0.06133343386644311;0.007309511446321653;0.10239557015479397;0.07081364036622873;0.005439344724655555;0.026219638386472687;0.0;0.019295301441722517;0.012882762400327413;0.12490900307557773;0.12647751533626103;0.0;0.027160758308119447;0.04285732737028203;0.0;0.0;0.038607366160711344;0.0;0.03836886476333931;0.00497385807010944;0.0;0.0;0.013835581154251968;0.06873602013241494;0.08029877479796062;0.0;0.030770356936601698;0.12647751533626103;0.0;0.0;0.0;0.0;0.0;0.07019858296153969;0.0;0.0;0.09268371005823739;0.01538950368179135;0.0;0.0;0.0;0.10592026066895975;0.023829058938826957;0.12647751533626103;0.011018431159260893;0.018881555232746608;0.010867432912906327;0.03366365709627272;0.12411952063886021;0.016063972835629225;0.09299511931522998;0.0;0.0;0.13542208567541858;0.04021169954498488;0.12647751533626103;0.0;0.050630917619257816;0.0034238968710909234;0.08984788991698717;0.0024311562656152597;0.0;0.12647751533626103;0.0;0.031751815877821804;0.07472813353955352;0.006314942323832017;0.018300874394932682;0.12647751533626103;0.0;0.011599311636661369;0.018844109286857823;0.0550842956350268;0.003781775406259269;0.006754307064843514;0.0424336740708042;0.0;0.12647751533626103
GO:0050679;0.10004507709335599;0.033344230600658636;0.0;0.0;0.059203133899649846;0.12237164973833586;0.049345721579879764;0.0;0.02070276444757999;0.12237164973833586;1.0;0.05197320718134382;0.019513237113313375;0.03192163304716477;0.06060804118568746;0.12237164973833586;0.021674063892060506;0.12237164973833586;0.0;0.0;0.12237164973833586;0.18503793142047678;0.0;0.06196089010643668;0.02095923272371947;0.0;0.12237164973833586;0.0;0.10004507709335599;0.005394486738527532;0.18373277611962466;0.013032370350641352;0.18503793142047678;0.3864446886410907;0.016294308724158792;0.04674786275686857;0.0;0.0344022327979711;0.03859209489323416;0.6678074144622075;0.12237164973833586;0.0;0.048425816673944556;0.04285732737028203;0.0;0.0;0.06883435339887256;0.0;0.06840912134847855;0.014899879130136226;0.0;0.0;0.024667916445948353;0.20590824615891343;0.12237164973833586;0.0;0.09217685601077599;0.12237164973833586;0.0;0.0;0.0;0.0;0.0;0.05175082065877135;0.0;0.0;0.09268371005823739;0.01538950368179135;0.0;0.0;0.0;0.06863501806665667;0.042485619384908496;0.12237164973833586;0.03300723304979664;0.03366455096162055;0.03255489693810376;0.10084413643145626;0.6678074144622075;0.02864098987106914;0.09299511931522998;0.0;0.0;0.12237164973833586;0.04021169954498488;0.06863501806665667;0.0;0.15167190984165477;0.006104579272382672;0.08984788991698717;0.004334589126298501;0.0;0.12237164973833586;0.0;0.0566113654604624;0.12237164973833586;0.011259120080936946;0.0548227980406168;0.12237164973833586;0.0;0.011599311636661369;0.03359778734293871;0.0982116173552396;0.006742652780456316;0.020233460113947156;0.1271159341080005;0.0;0.12237164973833586
