;GO:0006284;GO:0006043;GO:0019919;GO:0061614;GO:0006046;GO:0007257;GO:0043985;GO:0045648;GO:0045766;GO:0006048;GO:0000188;GO:0001666;GO:0000185;GO:0000184;GO:0017183;GO:0072344;GO:0045010;GO:0035556;GO:0090502;GO:1901194;GO:0050728;GO:0050729;GO:0045652;GO:0007265;GO:0002098;GO:1904628;GO:1900028;GO:0060754;GO:0048010;GO:1990258;GO:0051496;GO:0032436;GO:0035264;GO:0043405;GO:0034970;GO:0006383;GO:0006384;GO:0008285;GO:0002181;GO:0006382;GO:0008284;GO:0090398;GO:0006388;GO:0002184;GO:1904996;GO:0046632;GO:0045944;GO:0002576;GO:0000165;GO:0051781;GO:0001649;GO:0010633;GO:0030488;GO:0031571;GO:0000209;GO:0038084;GO:0006397;GO:0043536;GO:0001934;GO:0031167;GO:0001938;GO:0050868;GO:0071549;GO:0046777;GO:0000379;GO:1901029;GO:0051289;GO:0097049;GO:0070126;GO:0051607;GO:0033173;GO:0006493;GO:1901796;GO:0006412;GO:0051572;GO:0032355;GO:0031145;GO:0031146;GO:0010469;GO:0018105;GO:0030336;GO:0030578;GO:0030335;GO:0007274;GO:0043687;GO:0006469;GO:0000122;GO:0006614;GO:0019262;GO:0070301;GO:0045070;GO:0050930;GO:0050776;GO:0006351;GO:0006470;GO:0045599;GO:0044387;GO:0007565;GO:0007166;GO:0021965;GO:0000494;GO:0045087;GO:0071346;GO:0045081
GO:0006284;1.0;0.03502756688454448;0.08272329468790933;0.18914613692605034;0.03502756688454448;0.0;0.039787750653057605;0.0;0.0;0.13529198841897175;0.0;0.03354200132273229;0.0;0.15496555709089593;0.04866068569126904;0.09432353423744468;0.006996659414530044;0.01839543402203674;0.4808833909791952;0.0;0.0;0.0;0.0;0.01839543402203674;0.22423846543999634;0.06552030581907624;0.0;0.0;0.01839543402203674;0.050169494498887274;0.0;0.0;0.0;0.0;0.039787750653057605;0.19036456900037046;0.23294441580449518;0.0;0.07542185007843093;0.6072079933775754;0.0;0.1391500753283148;0.23261517357634676;0.01839543402203674;0.0;0.01839543402203674;0.0;0.01839543402203674;0.1315381142909043;0.0;0.01839543402203674;0.0;0.16229611076529424;0.03387528005994096;0.16631774730178706;0.01839543402203674;0.47428385788535604;0.0;0.0;0.1625988770038893;0.0;0.0;0.019214918138875867;0.16631774730178706;0.6072079933775754;0.005912244205351276;0.01839543402203674;0.01839543402203674;0.01839543402203674;0.03354200132273229;0.01839543402203674;0.16631774730178706;0.0;0.07562768193694083;0.0;0.01839543402203674;0.08684647098592325;0.08684647098592325;0.0;0.0898767774200086;0.0;0.01839543402203674;0.0;0.01839543402203674;0.16631774730178706;0.0;0.0;0.0;0.032394656284131906;0.07055320222585251;0.0;0.0;0.0;0.19117819692555485;0.16631774730178706;0.0;0.0;0.0;0.01839543402203674;0.01839543402203674;0.09281258619285035;0.03354200132273229;0.07392780838624988;0.0
GO:0006043;0.03502756688454448;1.0;0.017422047764589305;0.010911135944171707;0.7907103116190713;0.0;0.008379551309438515;0.0;0.0;0.01947098182996409;0.0;0.0;0.0;0.026396311517548305;0.01024824740805282;0.019865131399920154;0.0;0.0;0.027740371215298272;0.0;0.0;0.0;0.0;0.0;0.012935481633890432;0.0;0.0;0.0;0.0;0.010566012062049369;0.0;0.0;0.0;0.0;0.008379551309438515;0.010981422751069824;0.013437695474966111;0.0;0.015884317464838222;0.04786973185732386;0.0;0.0;0.013418702717470388;0.0;0.0;0.0;0.0;0.0;0.027702756746886274;0.0;0.0;0.0;0.009362257969153293;0.0;0.04125922946665896;0.0;0.02735966873876241;0.0;0.0;0.009379723425452343;0.0;0.0;0.0;0.03547275910114592;0.05457817522508307;0.0;0.0;0.0;0.0;0.0;0.0;0.03631492294547244;0.0;0.015927666952838704;0.0;0.0;0.054008128060879276;0.054008128060879276;0.0;0.01892861635946919;0.0;0.0;0.0;0.0;0.04241889951950595;0.0;0.0;0.0;0.13105624609890806;0.0;0.0;0.0;0.0;0.011028357914768843;0.03619024773422573;0.0;0.0;0.0;0.0;0.0;0.005354012308886179;0.0;0.0;0.0
GO:0019919;0.08272329468790933;0.017422047764589305;1.0;0.05180821027962745;0.017422047764589305;0.0;0.4777264566964077;0.0;0.0;0.019398470297882008;0.0;0.0;0.0;0.04244595368608354;0.24159625836922655;0.08272329468790933;0.006996659414530044;0.009149540167566878;0.037509182620152126;0.0;0.0;0.0;0.0;0.009149540167566878;0.02784973095248874;0.009149540167566878;0.0;0.0;0.009149540167566878;0.3407824270302001;0.0;0.0;0.0;0.0;0.4777264566964077;0.05214194580361808;0.028930983336468746;0.0;0.2003374997834889;0.037509182620152126;0.0;0.009149540167566878;0.028890092459633053;0.009149540167566878;0.0;0.009149540167566878;0.0;0.009149540167566878;0.3995001234393993;0.0;0.009149540167566878;0.0;0.07964436930336088;0.003933671337082419;0.3995001234393993;0.009149540167566878;0.037509182620152126;0.0;0.0;0.07979294726992797;0.0;0.0;0.00478124222235527;0.3995001234393993;0.037509182620152126;0.005912244205351276;0.009149540167566878;0.009149540167566878;0.009149540167566878;0.0;0.009149540167566878;0.3995001234393993;0.0;0.2008842357740113;0.0;0.0;0.12164016091385887;0.12164016091385887;0.0;0.4107142797652714;0.0;0.009149540167566878;0.0;0.009149540167566878;0.3995001234393993;0.0;0.0;0.0;0.032394656284131906;0.009149540167566878;0.0;0.0;0.0;0.052364803152556746;0.3995001234393993;0.0;0.0;0.0;0.009149540167566878;0.009149540167566878;0.011527039080488258;0.0;0.009149540167566878;0.0
GO:0061614;0.18914613692605034;0.010911135944171707;0.05180821027962745;1.0;0.010911135944171707;0.0;0.039787750653057605;0.0;0.0;0.44548757113666504;0.0;0.0;0.0;0.15649724724585032;0.04866068569126904;0.1748698788784355;0.00573020335748891;0.00573020335748891;0.19101567026762606;0.0;0.0;0.0;0.0;0.00573020335748891;0.19101567026762606;0.00573020335748891;0.0;0.0;0.00573020335748891;0.050169494498887274;0.0;0.0;0.0;0.0;0.039787750653057605;0.9893708590614242;0.805501816751983;0.0;0.1748698788784355;0.19101567026762606;0.0;0.00573020335748891;0.19101567026762606;0.00573020335748891;0.0;0.00573020335748891;0.0;0.00573020335748891;0.05180821027962745;0.0;0.00573020335748891;0.0;0.163900256613657;0.003933671337082419;0.05180821027962745;0.00573020335748891;0.19101567026762606;0.0;0.0;0.1642060154144421;0.0;0.0;0.00478124222235527;0.05180821027962745;0.19101567026762606;0.00573020335748891;0.00573020335748891;0.00573020335748891;0.00573020335748891;0.0;0.00573020335748891;0.05180821027962745;0.0;0.1748698788784355;0.0;0.0;0.05180821027962745;0.05180821027962745;0.0;0.05180821027962745;0.0;0.00573020335748891;0.0;0.00573020335748891;0.05180821027962745;0.0;0.0;0.0;0.023491371178254276;0.00573020335748891;0.0;0.0;0.0;0.9893708590614242;0.05180821027962745;0.0;0.0;0.0;0.00573020335748891;0.00573020335748891;0.0937299521365875;0.0;0.00573020335748891;0.0
GO:0006046;0.03502756688454448;0.7907103116190713;0.017422047764589305;0.010911135944171707;1.0;0.0;0.008379551309438515;0.0;0.0;0.01947098182996409;0.0;0.0;0.0;0.026396311517548305;0.01024824740805282;0.019865131399920154;0.0;0.0;0.027740371215298272;0.0;0.0;0.0;0.0;0.0;0.012935481633890432;0.0;0.0;0.0;0.0;0.010566012062049369;0.0;0.0;0.0;0.0;0.008379551309438515;0.010981422751069824;0.013437695474966111;0.0;0.015884317464838222;0.04786973185732386;0.0;0.0;0.013418702717470388;0.0;0.0;0.0;0.0;0.0;0.027702756746886274;0.0;0.0;0.0;0.009362257969153293;0.0;0.04125922946665896;0.0;0.02735966873876241;0.0;0.0;0.009379723425452343;0.0;0.0;0.0;0.03547275910114592;0.05457817522508307;0.0;0.0;0.0;0.0;0.0;0.0;0.03631492294547244;0.0;0.015927666952838704;0.0;0.0;0.054008128060879276;0.054008128060879276;0.0;0.01892861635946919;0.0;0.0;0.0;0.0;0.04241889951950595;0.0;0.0;0.0;0.13105624609890806;0.0;0.0;0.0;0.0;0.011028357914768843;0.03619024773422573;0.0;0.0;0.0;0.0;0.0;0.005354012308886179;0.0;0.0;0.0
GO:0007257;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.002760532478120146;9.215173240114441E-4;0.0;0.03734730211313519;0.0;0.3015650700338924;0.0012423984036417908;0.008189237883227106;0.008189237883227106;0.002760532478120146;9.215173240114441E-4;0.0;0.008189237883227106;0.0013484438322122318;0.00271555177313099;9.215173240114441E-4;9.215173240114441E-4;0.0;0.0;9.215173240114441E-4;0.002760532478120146;9.215173240114441E-4;0.0;0.002760532478120146;0.033388187300593355;0.0;0.03734730211313519;0.0;0.0;0.0;9.215173240114441E-4;0.0;0.0;0.002760532478120146;0.0;0.0;0.0;9.215173240114441E-4;0.0;0.009256908176149896;0.0;9.215173240114441E-4;0.002760532478120146;0.0;9.215173240114441E-4;0.0;9.215173240114441E-4;0.0;9.215173240114441E-4;0.0;0.002760532478120146;0.0767443061170677;0.0;0.002760532478120146;9.215173240114441E-4;0.0;0.0;0.0;0.004350251091710436;0.0;0.0;0.0;0.0;9.215173240114441E-4;0.0;0.004843585465500689;0.0;0.008443530122429696;0.0;0.0;0.0;0.004350251091710436;0.0;9.215173240114441E-4;0.0;0.002760532478120146;0.0;0.0;0.01846590083466827;0.002635822940843178;0.0;0.0;0.0;9.215173240114441E-4;0.00271555177313099;9.215173240114441E-4;0.0;0.0;9.215173240114441E-4;0.01846590083466827;0.0;9.215173240114441E-4;0.0;0.0;0.0;0.0;0.00475512019662173
GO:0043985;0.039787750653057605;0.008379551309438515;0.4777264566964077;0.039787750653057605;0.008379551309438515;0.0;1.0;0.0;0.0;0.018040940111500925;0.0;0.0;0.0;0.039787750653057605;0.1975428736802862;0.039787750653057605;0.014967947585436575;0.004400690569091818;0.018040940111500925;0.0;0.0;0.0;0.0;0.004400690569091818;0.018040940111500925;0.004400690569091818;0.0;0.0;0.004400690569091818;0.517590272574541;0.0;0.0;0.0;0.0;0.9981882635714282;0.039787750653057605;0.018040940111500925;0.0;0.10568526865296257;0.018040940111500925;0.0;0.004400690569091818;0.018040940111500925;0.014967947585436575;0.0;0.004400690569091818;0.0;0.004400690569091818;0.19214915650108608;0.0;0.004400690569091818;0.0;0.07128452145671217;0.003933671337082419;0.19214915650108608;0.004400690569091818;0.018040940111500925;0.0;0.0;0.07128452145671217;0.0;0.0;0.004400690569091818;0.19214915650108608;0.018040940111500925;0.014967947585436575;0.014967947585436575;0.004400690569091818;0.014967947585436575;0.0;0.004400690569091818;0.19214915650108608;0.0;0.10568526865296257;0.0;0.0;0.058505749923253414;0.058505749923253414;0.0;0.1975428736802862;0.0;0.014967947585436575;0.0;0.004400690569091818;0.19214915650108608;0.0;0.0;0.0;0.018040940111500925;0.004400690569091818;0.0;0.0;0.0;0.039787750653057605;0.19214915650108608;0.0;0.0;0.0;0.004400690569091818;0.014967947585436575;0.011527039080488258;0.0;0.004400690569091818;0.0
GO:0045648;0.0;0.0;0.0;0.0;0.0;0.002760532478120146;0.0;1.0;0.0657846289625584;0.0;0.003049715297646511;0.0;0.006435763527272785;0.006226389026249012;0.01272662487435169;0.02219170420503147;0.049561411262144896;0.02219170420503147;0.0;0.0021736606850265247;0.012446739275797142;0.02219170420503147;0.18719495414721835;0.02219170420503147;0.0;0.0;0.02219170420503147;0.04688580295611476;0.02219170420503147;0.0;0.06533593867211791;0.006312618325767675;0.0;0.02219170420503147;0.0;0.0;0.0;0.02219170420503147;0.0;0.0;0.06647831636647994;0.0;0.0;0.0;0.02219170420503147;0.0;0.016294308724158792;0.0;0.02219170420503147;0.06647831636647994;0.0;0.02219170420503147;0.0;0.009301685363043469;0.0;0.02219170420503147;0.0;0.06647831636647994;0.035970518437018116;0.0;0.06647831636647994;0.02219170420503147;0.0;0.0;0.0;0.013980282203353352;0.0;0.0;0.0;0.0;0.02219170420503147;0.0;0.02219170420503147;0.0;0.00989307559970397;0.0;0.0;0.0;0.02219170420503147;0.0;0.02219170420503147;0.0;0.06647831636647994;0.0;0.0;0.00725795937566638;0.004334589126298501;0.0;0.0;0.0;0.02219170420503147;0.02219170420503147;0.02219170420503147;0.0;0.0;0.0650347795876778;0.00724422817469678;0.0;0.02219170420503147;0.0;0.0;0.0;0.0;0.009524187175815385
GO:0045766;0.0;0.0;0.0;0.0;0.0;9.215173240114441E-4;0.0;0.0657846289625584;1.0;0.0;0.001710504557221425;0.0;0.0021483781229270334;0.006226389026249012;0.0071380269044869155;0.013836301637524542;0.01654452517494875;0.033205470168080946;0.0;0.0012191487220004334;0.033205470168080946;0.059203133899649846;0.17164947137953412;0.033205470168080946;0.0;0.0;0.025688591739752957;0.015651357126458806;0.033205470168080946;0.0;0.02181035718438865;0.002107269953595471;0.0;0.013839143311352383;0.0;0.0;0.0;0.033205470168080946;0.0;0.0;0.059203133899649846;0.0;0.0;0.0;0.059203133899649846;0.0;0.005439344724655555;0.0;0.019295301441722517;0.059203133899649846;0.0;0.03270642463819115;0.0;0.005217069021362091;0.0;0.033205470168080946;0.0;0.0664086278544033;0.012007631192934867;0.0;0.059203133899649846;0.019150475674111784;0.0;0.0;0.0;0.007841170104806703;0.0;0.0;0.0;0.0;0.033205470168080946;0.0;0.033205470168080946;0.0;0.00554876414571835;0.0;0.0;0.0;0.033205470168080946;0.0;0.028257980116147188;0.0;0.050630917619257816;0.0;0.0;0.004070797230740158;0.0024311562656152597;0.0;0.0;0.0;0.059203133899649846;0.059203133899649846;0.033205470168080946;0.0;0.0;0.059203133899649846;0.004063095763703956;0.0;0.033205470168080946;0.0;0.0;0.0;0.0;0.009524187175815385
GO:0006048;0.13529198841897175;0.01947098182996409;0.019398470297882008;0.44548757113666504;0.01947098182996409;0.0;0.018040940111500925;0.0;0.0;1.0;0.0;0.0;0.0;0.13423033333665071;0.03776460627326502;0.03776460627326502;0.004731830202145435;0.004731830202145435;0.13529198841897175;0.0;0.0;0.0;0.0;0.004731830202145435;0.13529198841897175;0.004731830202145435;0.0;0.0;0.004731830202145435;0.019398470297882008;0.0;0.0;0.0;0.0;0.018040940111500925;0.44548757113666504;0.44548757113666504;0.0;0.08491224690166739;0.13529198841897175;0.0;0.004731830202145435;0.13529198841897175;0.004731830202145435;0.0;0.004731830202145435;0.0;0.004731830202145435;0.024616898778856817;0.0;0.004731830202145435;0.0;0.13529198841897175;0.003933671337082419;0.019398470297882008;0.004731830202145435;0.13529198841897175;0.0;0.0;0.13529198841897175;0.0;0.0;0.004731830202145435;0.024616898778856817;0.13529198841897175;0.004731830202145435;0.004731830202145435;0.004731830202145435;0.004731830202145435;0.0;0.004731830202145435;0.019398470297882008;0.0;0.08491224690166739;0.0;0.0;0.019398470297882008;0.019398470297882008;0.0;0.024616898778856817;0.0;0.004731830202145435;0.0;0.004731830202145435;0.019398470297882008;0.0;0.0;0.0;0.01947098182996409;0.004731830202145435;0.0;0.0;0.0;0.44548757113666504;0.024616898778856817;0.0;0.0;0.0;0.004731830202145435;0.004731830202145435;0.08039376372644834;0.0;0.004731830202145435;0.0
