;GO:0006281;GO:0014068;GO:0014067;GO:0090331;GO:0007096;GO:0046854;GO:1900134;GO:0045124;GO:0000186;GO:0001545;GO:0032967;GO:0001666;GO:0045892;GO:0045893;GO:0030308;GO:0071498;GO:0048642;GO:0051482;GO:0017185;GO:0050715;GO:0050714;GO:0019369;GO:0035556;GO:0046628;GO:0036120;GO:0034220;GO:0048008;GO:0043114;GO:0045652;GO:0042542;GO:0009966;GO:0006334;GO:0051895;GO:0048011;GO:0048010;GO:0099553;GO:0051256;GO:0046475;GO:0048013;GO:0050847;GO:2000484;GO:0034614;GO:0071803;GO:0086098;GO:0051897;GO:2000641;GO:0043406;GO:0035025;GO:0033363;GO:0008285;GO:0008284;GO:0043123;GO:0038096;GO:0002223;GO:0043524;GO:0007229;GO:0071393;GO:0051385;GO:0071398;GO:2000811;GO:2000778;GO:0010757;GO:0034446;GO:0030241;GO:0010634;GO:0030520;GO:0016236;GO:0032148;GO:0050731;GO:0050974;GO:0031295;GO:0060491;GO:2000394;GO:0061108;GO:0002074;GO:0038083;GO:0051281;GO:1990830;GO:2001237;GO:0050900;GO:2000386;GO:0032496;GO:0010766;GO:0030199;GO:0033625;GO:0010641;GO:0007172;GO:0030194;GO:0061098;GO:0007173;GO:0007179;GO:0042177;GO:0048711;GO:0043149;GO:0060444;GO:0043547;GO:0031954;GO:0071850;GO:0043154;GO:0010737;GO:0035635;GO:0055003;GO:0072425;GO:0060291;GO:0071456;GO:0006919;GO:0051209;GO:2001243;GO:0051966;GO:1900182;GO:0060155;GO:0045737;GO:0046947;GO:0042628;GO:0060271;GO:0045214;GO:0043552;GO:0090263;GO:1904668;GO:0045217;GO:0046427;GO:0032757;GO:0010907;GO:0051057;GO:0010628;GO:0070236;GO:0030334;GO:0018105;GO:0051974;GO:0030335;GO:0016567;GO:0036035;GO:0036151;GO:0036152;GO:0060065;GO:0045907;GO:0045742;GO:0048739;GO:0009615;GO:0045987;GO:0032869;GO:0000122;GO:0003105;GO:0010951;GO:0010954;GO:0032463;GO:0014911;GO:0051902;GO:2000573;GO:0036149;GO:0035335;GO:2001286;GO:0007166;GO:0007200;GO:0007205;GO:0045879;GO:0048505;GO:0007567;GO:0070493;GO:0071222;GO:0048477;GO:0048873;GO:0045087;GO:0043065;GO:0070374;GO:0033146;GO:0032211
GO:0006281;1.0;0.0;0.0;0.0;0.0;0.06927734236639929;0.0;0.0;0.0;0.0;0.0;0.17988792517482602;0.0;0.0;0.0;0.24991089615047335;0.0;0.01468324974140624;0.10587402764930422;0.0;0.0;0.06927734236639929;0.01468324974140624;0.0;0.1912422969752877;0.0;0.01468324974140624;0.0;0.0;0.17988792517482602;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.06927734236639929;0.01468324974140624;0.01468324974140624;0.0;0.24991089615047335;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.1912422969752877;0.11807622278079505;0.1912422969752877;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.06886689890529227;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.10587402764930422;0.01468324974140624;0.1912422969752877;0.0;0.01468324974140624;0.0;0.11807622278079505;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.32330823750762483;0.0;0.24991089615047335;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.07548231845693805;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10587402764930422;0.0;0.0;0.10587402764930422;0.01468324974140624;0.07548231845693805;0.07548231845693805;0.0;0.0;0.0;0.01468324974140624;0.11807622278079505;0.0;0.1912422969752877;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06927734236639929;0.10587402764930422;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.1912422969752877;0.01468324974140624;0.0;0.17988792517482602;0.0;0.0;0.0;0.0
GO:0014068;0.0;1.0;0.5320981356270408;0.1492331351584338;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.29215307485716907;0.0;0.11511873865597294;0.0;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.0;0.042064647228987374;0.036692364793703955;0.0;0.12755981097713553;0.12755981097713553;0.0;0.047799631016701725;0.25051392497694763;0.0;0.0;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.0;0.1786822519641151;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.16845680521671735;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.12755981097713553;0.047799631016701725;0.29215307485716907;0.047799631016701725;0.29215307485716907;0.29215307485716907;0.0;0.047799631016701725;0.12755981097713553;0.29215307485716907;0.21066859409381297;0.21066859409381297;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.0;0.0;0.12755981097713553;0.047799631016701725;0.0;0.12755981097713553;0.12755981097713553;0.0;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.12755981097713553;0.0;0.1786822519641151;0.0;0.11511873865597294;0.0;0.042064647228987374;0.0;0.12755981097713553;0.25051392497694763;0.1786822519641151;0.21066859409381297;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.12755981097713553;0.0;0.0;0.036692364793703955;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.24096127213516677;0.0;0.12755981097713553;0.047799631016701725;0.2326756683755529;0.16845680521671735;0.11511873865597294;0.0;0.12755981097713553;0.0;0.0;0.0;0.0;0.12755981097713553;0.25051392497694763;0.12755981097713553;0.0;0.29215307485716907;0.11511873865597294;0.12755981097713553;0.29215307485716907;0.11511873865597294;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.11511873865597294;0.25051392497694763;0.0;0.0;0.11511873865597294;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.12755981097713553;0.29215307485716907;0.1786822519641151;0.047799631016701725
GO:0014067;0.0;0.5320981356270408;1.0;0.250245473135147;0.047799631016701725;0.0;0.13839445927415203;0.042064647228987374;0.2326756683755529;0.0;0.042064647228987374;0.0;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.0;0.12804570306913615;0.036692364793703955;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.1786822519641151;0.0;0.0;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.0;0.1786822519641151;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.16845680521671735;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.2326756683755529;0.047799631016701725;0.2326756683755529;0.2326756683755529;0.0;0.13839445927415203;0.047799631016701725;0.2326756683755529;0.1492331351584338;0.1492331351584338;0.13839445927415203;0.047799631016701725;0.0;0.0;0.0;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.0;0.274741083875601;0.0;0.042064647228987374;0.0;0.12804570306913615;0.0;0.047799631016701725;0.1786822519641151;0.1786822519641151;0.1492331351584338;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.047799631016701725;0.0;0.0;0.036692364793703955;0.047799631016701725;0.13839445927415203;0.13839445927415203;0.047799631016701725;0.0;0.0;0.13839445927415203;0.16845680521671735;0.0;0.047799631016701725;0.13839445927415203;0.361147619079207;0.16845680521671735;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.1786822519641151;0.047799631016701725;0.0;0.2326756683755529;0.042064647228987374;0.047799631016701725;0.2326756683755529;0.042064647228987374;0.13839445927415203;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.1786822519641151;0.0;0.0;0.042064647228987374;0.0;0.13839445927415203;0.12804570306913615;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.12804570306913615;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.274741083875601;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.047799631016701725;0.2326756683755529;0.1786822519641151;0.13839445927415203
GO:0090331;0.0;0.1492331351584338;0.250245473135147;1.0;0.047799631016701725;0.0;0.2868411840981557;0.18922943134840794;0.1492331351584338;0.0;0.042064647228987374;0.0;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.0;0.2868411840981557;0.16702085169111647;0.0;0.18922943134840794;0.047799631016701725;0.0;0.047799631016701725;0.1492331351584338;0.0;0.0;0.047799631016701725;0.16702085169111647;0.18922943134840794;0.0;0.1492331351584338;0.0;0.435264463772667;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.18922943134840794;0.0;0.047799631016701725;0.047799631016701725;0.1492331351584338;0.047799631016701725;0.1492331351584338;0.1492331351584338;0.0;0.13839445927415203;0.047799631016701725;0.1492331351584338;0.1492331351584338;0.2611260707055071;0.13839445927415203;0.047799631016701725;0.0;0.0;0.0;0.13839445927415203;0.18922943134840794;0.13839445927415203;0.0;0.0;0.18922943134840794;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.3962781136586656;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.16702085169111647;0.0;0.250245473135147;0.0;0.18922943134840794;0.0;0.12804570306913615;0.0;0.047799631016701725;0.1492331351584338;0.1492331351584338;0.554395415990829;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.18922943134840794;0.0;0.0;0.036692364793703955;0.047799631016701725;0.13839445927415203;0.13839445927415203;0.047799631016701725;0.0;0.0;0.13839445927415203;0.16702085169111647;0.0;0.047799631016701725;0.16702085169111647;0.250245473135147;0.047799631016701725;0.042064647228987374;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.1492331351584338;0.047799631016701725;0.0;0.1492331351584338;0.18922943134840794;0.047799631016701725;0.1492331351584338;0.042064647228987374;0.16702085169111647;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.18922943134840794;0.1492331351584338;0.0;0.0;0.18922943134840794;0.0;0.13839445927415203;0.2868411840981557;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.16702085169111647;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.250245473135147;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.16702085169111647;0.0;0.047799631016701725;0.1492331351584338;0.1492331351584338;0.16702085169111647
GO:0007096;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;1.0;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.047799631016701725;0.20397374928165476;0.0;0.042064647228987374;0.036692364793703955;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.0;0.047799631016701725;0.0;0.20397374928165476;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.27081478360302164;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.20397374928165476;0.20397374928165476;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.20397374928165476;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;0.0;0.036692364793703955;0.047799631016701725;0.3412193887547738;0.047799631016701725;0.047799631016701725;0.0;0.0;0.39163442808277504;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.0;0.28025216105938716;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.047799631016701725;0.0;0.0;0.042064647228987374;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.047799631016701725;0.20397374928165476;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.20397374928165476;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.27081478360302164
GO:0046854;0.06927734236639929;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.06927734236639929;0.0;0.0;0.29564490308903574;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.40202569831268176;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.06886689890529227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2794464493768247;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.06927734236639929;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2794464493768247;0.0;0.0;0.06927734236639929;0.01468324974140624;0.40202569831268176;0.40202569831268176;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4483392729004174;0.22480199536001946;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0
GO:1900134;0.0;0.047799631016701725;0.13839445927415203;0.2868411840981557;0.047799631016701725;0.0;1.0;0.18922943134840794;0.047799631016701725;0.0;0.042064647228987374;0.0;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.0;0.2868411840981557;0.16702085169111647;0.0;0.38244600073093926;0.38244600073093926;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.16702085169111647;0.18922943134840794;0.0;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.047799631016701725;0.38244600073093926;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.23542160760630382;0.047799631016701725;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.0;0.0;0.0;0.13839445927415203;0.38244600073093926;0.13839445927415203;0.0;0.0;0.19673256925640645;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.23542160760630382;0.0;0.13839445927415203;0.0;0.18922943134840794;0.0;0.3772119238002075;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.18922943134840794;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.18922943134840794;0.0;0.0;0.036692364793703955;0.047799631016701725;0.13839445927415203;0.13839445927415203;0.047799631016701725;0.0;0.0;0.13839445927415203;0.16702085169111647;0.0;0.047799631016701725;0.19673256925640645;0.13839445927415203;0.047799631016701725;0.3028957078958517;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.18922943134840794;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.16702085169111647;0.19673256925640645;0.0;0.13839445927415203;0.19673256925640645;0.0;0.0;0.0;0.0;0.0;0.433239049210981;0.047799631016701725;0.0;0.0;0.3621435382722763;0.0;0.13839445927415203;0.6393235175571894;0.13839445927415203;0.047799631016701725;0.13839445927415203;0.19673256925640645;0.16702085169111647;0.047799631016701725;0.0;0.0;0.23542160760630382;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.16702085169111647;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.16702085169111647
GO:0045124;0.0;0.042064647228987374;0.042064647228987374;0.18922943134840794;0.042064647228987374;0.0;0.18922943134840794;1.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.18922943134840794;0.16702085169111647;0.0;0.18922943134840794;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.042064647228987374;0.16702085169111647;0.18922943134840794;0.0;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.042064647228987374;0.042064647228987374;0.18922943134840794;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.042064647228987374;0.18922943134840794;0.042064647228987374;0.0;0.0;0.18922943134840794;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.16702085169111647;0.0;0.042064647228987374;0.0;0.18922943134840794;0.0;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.18922943134840794;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.18922943134840794;0.0;0.0;0.036692364793703955;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.0;0.042064647228987374;0.16702085169111647;0.0;0.042064647228987374;0.16702085169111647;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.18922943134840794;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.16702085169111647;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.18922943134840794;0.042064647228987374;0.0;0.0;0.18922943134840794;0.0;0.042064647228987374;0.18922943134840794;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.16702085169111647;0.042064647228987374;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.16702085169111647;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.16702085169111647
GO:0000186;0.0;0.29215307485716907;0.2326756683755529;0.1492331351584338;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;1.0;0.0;0.17111199477934044;0.0;0.10900961301269105;0.1816892161000484;0.047799631016701725;0.0;0.042064647228987374;0.036692364793703955;0.0;0.12755981097713553;0.12755981097713553;0.0;0.047799631016701725;0.25051392497694763;0.0;0.0;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.0;0.1786822519641151;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.16845680521671735;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.12755981097713553;0.047799631016701725;0.29215307485716907;0.047799631016701725;0.4296914071138928;0.29215307485716907;0.0;0.047799631016701725;0.12755981097713553;0.29215307485716907;0.21066859409381297;0.21066859409381297;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.19885971868423638;0.0;0.0;0.12755981097713553;0.047799631016701725;0.0;0.41260509979692533;0.2970121637671333;0.0;0.12755981097713553;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.12755981097713553;0.0;0.1786822519641151;0.0;0.11511873865597294;0.0;0.042064647228987374;0.0;0.12755981097713553;0.25051392497694763;0.1786822519641151;0.21066859409381297;0.361147619079207;0.047799631016701725;0.047799631016701725;0.1890450431733396;0.12755981097713553;0.0;0.0;0.25833176065663566;0.2970121637671333;0.047799631016701725;0.20819522445199756;0.047799631016701725;0.0;0.0;0.047799631016701725;0.24096127213516677;0.0;0.25833176065663566;0.047799631016701725;0.2326756683755529;0.16845680521671735;0.11511873865597294;0.0;0.40321501512034064;0.0;0.0;0.0;0.0;0.3488368104637225;0.25051392497694763;0.3367509049664712;0.0;0.29215307485716907;0.11511873865597294;0.17811780918080672;0.29215307485716907;0.17825033928423412;0.047799631016701725;0.047799631016701725;0.0;0.2948125070968515;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.11511873865597294;0.25051392497694763;0.0;0.0;0.11511873865597294;0.0;0.10900961301269105;0.042064647228987374;0.20819522445199756;0.25118815347651524;0.047799631016701725;0.12755981097713553;0.047799631016701725;0.1816892161000484;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.036692364793703955;0.0;0.12755981097713553;0.35725817352143013;0.1786822519641151;0.10900961301269105
GO:0001545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0
