;GO:0014068;GO:0021955;GO:0022408;GO:0007097;GO:0045765;GO:0022009;GO:0045766;GO:0001300;GO:0032966;GO:0046580;GO:0032967;GO:0031639;GO:0001947;GO:2001046;GO:0035556;GO:0033490;GO:0007264;GO:1900024;GO:0007265;GO:0000226;GO:0046621;GO:0009725;GO:0003222;GO:0048010;GO:0051893;GO:0001954;GO:0030539;GO:0045022;GO:0048013;GO:0033489;GO:0070278;GO:2001212;GO:0051897;GO:0008285;GO:0008284;GO:0003273;GO:0038096;GO:0045944;GO:0001890;GO:0045667;GO:0000165;GO:0007229;GO:0001765;GO:2000811;GO:0032147;GO:0038007;GO:0071559;GO:0038083;GO:0043534;GO:0097084;GO:0030513;GO:0071260;GO:0031960;GO:0034394;GO:0007050;GO:0007172;GO:1905065;GO:0003093;GO:0007173;GO:0007179;GO:0043542;GO:0006886;GO:0043547;GO:0043154;GO:0030509;GO:0010613;GO:0031953;GO:0051964;GO:0042987;GO:0060396;GO:0010594;GO:0043552;GO:0010629;GO:0006888;GO:0045860;GO:0010507;GO:0001913;GO:0018105;GO:0017015;GO:0072659;GO:0010862;GO:0030336;GO:0030335;GO:0008360;GO:2000060;GO:0045345;GO:0001570;GO:0003198;GO:1905007;GO:0045348;GO:0000122;GO:0050771;GO:0001569;GO:0016310;GO:0060333;GO:0032060;GO:0006351;GO:0001578;GO:0045087;GO:0030036
GO:0014068;1.0;0.0;0.2727272727272727;0.0;0.2;0.0;0.3;0.0;0.18181818181818182;0.5;0.3;0.0;0.0;0.625;0.3;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.2727272727272727;0.3;0.0;0.0;0.0;0.0;0.0;0.3;0.75;0.3;0.4444444444444444;0.0;0.0;0.25;0.0;0.3;0.0;0.0;0.0;0.23076923076923078;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.5;0.3;0.125;0.0;0.0;0.0;0.0;0.08333333333333333;0.23076923076923078;0.0;0.3;0.21428571428571427;0.125;0.0;0.0;0.2;0.2727272727272727;0.18181818181818182;0.0;0.2857142857142857;0.25;0.0;0.0;0.4444444444444444;0.0;0.5555555555555556;0.25;0.3;0.1111111111111111;0.3076923076923077;0.2727272727272727;0.0;0.0;0.3;0.2727272727272727;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0021955;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.25
GO:0022408;0.2727272727272727;0.0;1.0;0.0;0.25;0.0;0.2222222222222222;0.0;0.3333333333333333;0.36363636363636365;0.2222222222222222;0.0;0.0;0.3;0.375;0.0;0.0;0.42857142857142855;0.0;0.0;0.375;0.0;0.0;0.0;0.375;0.375;0.0;0.0;0.0;0.0;0.0;0.375;0.2727272727272727;0.5714285714285714;0.375;0.0;0.0;0.25;0.0;0.375;0.0;0.0;0.0;0.4;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.5;0.0;0.2222222222222222;0.16666666666666666;0.0;0.0;0.0;0.0;0.1;0.4;0.0;0.2222222222222222;0.36363636363636365;0.16666666666666666;0.0;0.0;0.25;0.2;0.3333333333333333;0.0;0.09090909090909091;0.4444444444444444;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.4444444444444444;0.3;0.14285714285714285;0.25;0.2;0.0;0.0;0.3;0.2;0.36363636363636365;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007097;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045765;0.2;0.0;0.25;0.0;1.0;0.0;0.8333333333333334;0.0;0.2222222222222222;0.18181818181818182;0.2222222222222222;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.5;0.0;0.0;0.375;0.0;0.0;0.0;0.2222222222222222;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.2;0.25;0.25;0.0;0.0;0.18181818181818182;0.0;0.42857142857142855;0.0;0.0;0.0;0.18181818181818182;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.625;0.16666666666666666;0.0;0.0;0.0;0.0;0.1;0.18181818181818182;0.0;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.0;0.0;0.375;0.2;0.2222222222222222;0.0;0.09090909090909091;0.2;0.0;0.0;0.2222222222222222;0.0;0.2;0.2222222222222222;0.2222222222222222;0.5714285714285714;0.16666666666666666;0.2;0.0;0.0;0.4444444444444444;0.2;0.18181818181818182;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0022009;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.25
GO:0045766;0.3;0.0;0.2222222222222222;0.0;0.8333333333333334;0.0;1.0;0.0;0.2;0.16666666666666666;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.375;0.0;0.0;0.0;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.625;0.3;0.2222222222222222;0.375;0.0;0.0;0.2727272727272727;0.0;0.375;0.0;0.0;0.0;0.16666666666666666;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.14285714285714285;0.0;0.0;0.0;0.0;0.09090909090909091;0.16666666666666666;0.0;0.5;0.15384615384615385;0.14285714285714285;0.0;0.0;0.375;0.3;0.2;0.0;0.23076923076923078;0.18181818181818182;0.0;0.0;0.2;0.0;0.3;0.2;0.3333333333333333;0.5;0.25;0.3;0.0;0.0;0.5;0.3;0.16666666666666666;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001300;0.0;0.4;0.0;0.0;0.0;0.4;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.2;0.0;0.2;0.16666666666666666;0.0;0.0;0.2;0.2;0.0;0.0;0.2;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.2;0.2;0.0;0.0;0.0;0.2;0.0;0.09090909090909091;0.0;0.4;0.0;0.125;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.2;0.125;0.2;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666
GO:0032966;0.18181818181818182;0.0;0.3333333333333333;0.0;0.2222222222222222;0.0;0.2;0.0;1.0;0.2727272727272727;0.7142857142857143;0.0;0.0;0.2;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.375;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.18181818181818182;0.375;0.2222222222222222;0.0;0.0;0.36363636363636365;0.0;0.2222222222222222;0.0;0.0;0.0;0.2727272727272727;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.2;0.14285714285714285;0.0;0.0;0.0;0.0;0.09090909090909091;0.2727272727272727;0.0;0.2;0.36363636363636365;0.14285714285714285;0.0;0.0;0.2222222222222222;0.3;0.5;0.0;0.23076923076923078;0.4444444444444444;0.0;0.0;0.2;0.0;0.25;0.3333333333333333;0.2;0.125;0.25;0.4444444444444444;0.0;0.0;0.2;0.4444444444444444;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046580;0.5;0.0;0.36363636363636365;0.0;0.18181818181818182;0.0;0.16666666666666666;0.0;0.2727272727272727;1.0;0.16666666666666666;0.0;0.0;0.4;0.2727272727272727;0.0;0.0;0.18181818181818182;0.0;0.0;0.3;0.0;0.0;0.0;0.25;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.5;0.4;0.2727272727272727;0.0;0.0;0.2;0.0;0.2727272727272727;0.0;0.0;0.0;0.3076923076923077;0.06666666666666667;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.36363636363636365;0.4444444444444444;0.16666666666666666;0.1111111111111111;0.0;0.0;0.0;0.0;0.07692307692307693;0.3076923076923077;0.0;0.2727272727272727;0.2857142857142857;0.1111111111111111;0.0;0.0;0.18181818181818182;0.15384615384615385;0.2727272727272727;0.0;0.07142857142857142;0.3333333333333333;0.0;0.0;0.4;0.0;0.36363636363636365;0.3333333333333333;0.23076923076923078;0.1;0.2;0.15384615384615385;0.0;0.0;0.23076923076923078;0.15384615384615385;0.2857142857142857;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
