;GO:0014068;GO:0021955;GO:0022408;GO:0007097;GO:0045765;GO:0022009;GO:0045766;GO:0001300;GO:0032966;GO:0046580;GO:0032967;GO:0031639;GO:0001947;GO:2001046;GO:0035556;GO:0033490;GO:0007264;GO:1900024;GO:0007265;GO:0000226;GO:0046621;GO:0009725;GO:0003222;GO:0048010;GO:0051893;GO:0001954;GO:0030539;GO:0045022;GO:0048013;GO:0033489;GO:0070278;GO:2001212;GO:0051897;GO:0008285;GO:0008284;GO:0003273;GO:0038096;GO:0045944;GO:0001890;GO:0045667;GO:0000165;GO:0007229;GO:0001765;GO:2000811;GO:0032147;GO:0038007;GO:0071559;GO:0038083;GO:0043534;GO:0097084;GO:0030513;GO:0071260;GO:0031960;GO:0034394;GO:0007050;GO:0007172;GO:1905065;GO:0003093;GO:0007173;GO:0007179;GO:0043542;GO:0006886;GO:0043547;GO:0043154;GO:0030509;GO:0010613;GO:0031953;GO:0051964;GO:0042987;GO:0060396;GO:0010594;GO:0043552;GO:0010629;GO:0006888;GO:0045860;GO:0010507;GO:0001913;GO:0018105;GO:0017015;GO:0072659;GO:0010862;GO:0030336;GO:0030335;GO:0008360;GO:2000060;GO:0045345;GO:0001570;GO:0003198;GO:1905007;GO:0045348;GO:0000122;GO:0050771;GO:0001569;GO:0016310;GO:0060333;GO:0032060;GO:0006351;GO:0001578;GO:0045087;GO:0030036
GO:0014068;1.0;0.0;0.18181818181818177;0.0;0.13636363636363635;0.0;0.15384615384615385;0.0;0.12;0.33333333333333337;0.16666666666666663;0.0;0.0;0.7777777777777778;0.21052631578947367;0.0;0.19999999999999996;0.15384615384615385;0.19047619047619047;0.0;0.11111111111111116;0.0;0.0;0.18181818181818177;0.16000000000000003;0.18181818181818177;0.0;0.0;0.18181818181818177;0.0;0.0;0.17391304347826086;0.8888888888888888;0.19999999999999996;0.33333333333333337;0.0;0.19999999999999996;0.13043478260869568;0.0;0.19047619047619047;0.10526315789473684;0.19999999999999996;0.0;0.15384615384615385;0.12;0.19999999999999996;0.0;0.0;0.0;0.0;0.3783783783783784;0.0;0.0;0.0;0.17391304347826086;0.33333333333333337;0.19354838709677424;0.12;0.17391304347826086;0.18181818181818177;0.0;0.0;0.08333333333333337;0.07547169811320753;0.10526315789473684;0.19999999999999996;0.09302325581395354;0.125;0.0;0.18181818181818177;0.16666666666666663;0.13953488372093026;0.13043478260869568;0.0;0.12244897959183676;0.1428571428571429;0.0;0.0;0.4;0.0;0.32558139534883723;0.14814814814814814;0.24;0.18181818181818177;0.13953488372093026;0.15384615384615385;0.0;0.0;0.19999999999999996;0.15384615384615385;0.08163265306122447;0.08695652173913049;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0
GO:0021955;0.0;1.0;0.0;0.0;0.0;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.15000000000000002;0.0;0.11111111111111116;0.0;0.10526315789473684;0.0;0.09999999999999998;0.23529411764705888;0.0;0.0;0.15000000000000002;0.09523809523809523;0.0;0.0;0.09090909090909094;0.0;0.09523809523809523;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.10526315789473684;0.05405405405405406;0.0;0.10526315789473684;0.0;0.05405405405405406;0.10526315789473684;0.2222222222222222;0.0;0.0;0.10526315789473684;0.0;0.05714285714285716;0.09523809523809523;0.23529411764705888;0.0;0.09090909090909094;0.0;0.0;0.09090909090909094;0.16000000000000003;0.0;0.0;0.09090909090909094;0.09523809523809523;0.09999999999999998;0.0;0.0;0.0;0.05405405405405406;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06060606060606055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2666666666666667;0.2222222222222222;0.0;0.0;0.0;0.0;0.1428571428571429;0.11111111111111116;0.09999999999999998;0.2777777777777778;0.050000000000000044;0.2222222222222222;0.0;0.23529411764705888
GO:0022408;0.18181818181818177;0.0;1.0;0.0;0.2142857142857143;0.0;0.1578947368421053;0.0;0.25;0.2727272727272727;0.17647058823529416;0.0;0.0;0.19999999999999996;0.36363636363636365;0.0;0.33333333333333337;0.2941176470588235;0.3076923076923077;0.0;0.2222222222222222;0.0;0.0;0.2857142857142857;0.3125;0.2857142857142857;0.0;0.0;0.2857142857142857;0.0;0.0;0.2666666666666667;0.18181818181818177;0.6;0.33333333333333337;0.0;0.1333333333333333;0.09999999999999998;0.0;0.3076923076923077;0.1333333333333333;0.33333333333333337;0.0;0.375;0.09090909090909094;0.33333333333333337;0.0;0.0;0.0;0.0;0.10256410256410253;0.0;0.0;0.0;0.46153846153846156;0.19999999999999996;0.16000000000000003;0.17647058823529416;0.2666666666666667;0.2857142857142857;0.0;0.0;0.125;0.13953488372093026;0.1333333333333333;0.1578947368421053;0.18181818181818177;0.2727272727272727;0.0;0.2857142857142857;0.25;0.10810810810810811;0.2857142857142857;0.0;0.09302325581395354;0.33333333333333337;0.0;0.0;0.25;0.0;0.0888888888888889;0.3529411764705882;0.21052631578947367;0.2857142857142857;0.10810810810810811;0.1578947368421053;0.0;0.0;0.16666666666666663;0.1578947368421053;0.15384615384615385;0.16666666666666663;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0
GO:0007097;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5384615384615384;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38888888888888884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5833333333333333;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045765;0.13636363636363635;0.0;0.2142857142857143;0.0;1.0;0.0;0.6153846153846154;0.0;0.1875;0.125;0.1875;0.0;0.0;0.15000000000000002;0.2727272727272727;0.0;0.25;0.3125;0.23076923076923073;0.0;0.3125;0.0;0.0;0.2142857142857143;0.17647058823529416;0.2142857142857143;0.0;0.0;0.2142857142857143;0.0;0.0;0.8;0.13636363636363635;0.25;0.25;0.0;0.09999999999999998;0.07499999999999996;0.0;0.4545454545454546;0.09999999999999998;0.25;0.0;0.16666666666666663;0.06818181818181823;0.25;0.0;0.0;0.0;0.0;0.07692307692307687;0.0;0.0;0.0;0.19999999999999996;0.15000000000000002;0.33333333333333337;0.2666666666666667;0.19999999999999996;0.2142857142857143;0.0;0.0;0.1333333333333333;0.06666666666666665;0.09999999999999998;0.23529411764705888;0.08571428571428574;0.2857142857142857;0.0;0.2142857142857143;0.2666666666666667;0.08108108108108103;0.2142857142857143;0.0;0.06976744186046513;0.15000000000000002;0.0;0.0;0.1875;0.0;0.06666666666666665;0.1578947368421053;0.1578947368421053;0.41666666666666663;0.08108108108108103;0.16666666666666663;0.0;0.0;0.35;0.16666666666666663;0.07317073170731703;0.20588235294117652;0.0;0.0;0.23076923076923073;0.0;0.0;0.0;0.0;0.0
GO:0022009;0.0;0.25;0.0;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.19999999999999996;0.0;0.18181818181818177;0.0;0.16666666666666663;0.18181818181818177;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.1428571428571429;0.0;0.15384615384615385;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.18181818181818177;0.06896551724137934;0.0;0.18181818181818177;0.0;0.06896551724137934;0.18181818181818177;0.16666666666666663;0.0;0.0;0.18181818181818177;0.0;0.07407407407407407;0.15384615384615385;0.4444444444444444;0.0;0.1428571428571429;0.0;0.0;0.1428571428571429;0.10526315789473684;0.0;0.0;0.1428571428571429;0.15384615384615385;0.16666666666666663;0.0;0.0;0.0;0.06896551724137934;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8333333333333334;0.5555555555555556;0.0;0.0;0.0;0.0;0.1428571428571429;0.19999999999999996;0.16666666666666663;0.15384615384615385;0.0625;0.16666666666666663;0.0;0.18181818181818177
GO:0045766;0.15384615384615385;0.0;0.1578947368421053;0.0;0.6153846153846154;0.0;1.0;0.0;0.1428571428571429;0.10344827586206895;0.19999999999999996;0.0;0.0;0.16666666666666663;0.1875;0.0;0.17647058823529416;0.23809523809523814;0.16666666666666663;0.0;0.23809523809523814;0.0;0.0;0.1578947368421053;0.13636363636363635;0.2222222222222222;0.0;0.0;0.1578947368421053;0.0;0.0;0.5333333333333333;0.15384615384615385;0.17647058823529416;0.25;0.0;0.11764705882352944;0.09090909090909094;0.0;0.3125;0.08571428571428574;0.17647058823529416;0.0;0.13043478260869568;0.08333333333333337;0.17647058823529416;0.0;0.0;0.0;0.0;0.09302325581395354;0.0;0.0;0.0;0.15000000000000002;0.12;0.5;0.19999999999999996;0.15000000000000002;0.1578947368421053;0.0;0.0;0.09999999999999998;0.06000000000000005;0.08571428571428574;0.30000000000000004;0.07499999999999996;0.23076923076923073;0.0;0.1578947368421053;0.19999999999999996;0.09756097560975607;0.1578947368421053;0.0;0.08510638297872342;0.12;0.0;0.0;0.1428571428571429;0.0;0.08163265306122447;0.125;0.17391304347826086;0.2941176470588235;0.09756097560975607;0.18181818181818177;0.0;0.0;0.4545454545454546;0.18181818181818177;0.06521739130434778;0.17948717948717952;0.0;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;0.0
GO:0001300;0.0;0.25;0.0;0.0;0.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.19999999999999996;0.0;0.18181818181818177;0.0;0.16666666666666663;0.18181818181818177;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.1428571428571429;0.0;0.15384615384615385;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.18181818181818177;0.06896551724137934;0.0;0.18181818181818177;0.0;0.06896551724137934;0.18181818181818177;0.16666666666666663;0.0;0.0;0.18181818181818177;0.0;0.07407407407407407;0.15384615384615385;0.4444444444444444;0.0;0.1428571428571429;0.0;0.0;0.1428571428571429;0.10526315789473684;0.0;0.0;0.1428571428571429;0.15384615384615385;0.16666666666666663;0.0;0.0;0.0;0.06896551724137934;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.4;0.0;0.0;0.0;0.0;0.1428571428571429;0.19999999999999996;0.16666666666666663;0.15384615384615385;0.0625;0.16666666666666663;0.0;0.18181818181818177
GO:0032966;0.12;0.0;0.25;0.0;0.1875;0.0;0.1428571428571429;0.0;1.0;0.15384615384615385;0.4666666666666667;0.0;0.0;0.13043478260869568;0.2142857142857143;0.0;0.19999999999999996;0.1428571428571429;0.1875;0.0;0.19999999999999996;0.0;0.0;0.17647058823529416;0.15000000000000002;0.17647058823529416;0.0;0.0;0.17647058823529416;0.0;0.0;0.16666666666666663;0.12;0.2857142857142857;0.19999999999999996;0.0;0.09090909090909094;0.12195121951219512;0.0;0.1875;0.09090909090909094;0.19999999999999996;0.0;0.19999999999999996;0.08695652173913049;0.19999999999999996;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.23529411764705888;0.13043478260869568;0.1071428571428571;0.1578947368421053;0.16666666666666663;0.17647058823529416;0.0;0.0;0.11111111111111116;0.1333333333333333;0.16129032258064513;0.1428571428571429;0.17142857142857137;0.15384615384615385;0.0;0.17647058823529416;0.1578947368421053;0.10256410256410253;0.4285714285714286;0.0;0.0888888888888889;0.30000000000000004;0.0;0.0;0.1578947368421053;0.0;0.08510638297872342;0.19047619047619047;0.13636363636363635;0.17647058823529416;0.10256410256410253;0.26315789473684215;0.0;0.0;0.11111111111111116;0.26315789473684215;0.20512820512820518;0.09999999999999998;0.0;0.0;0.1875;0.0;0.0;0.0;0.0;0.0
GO:0046580;0.33333333333333337;0.0;0.2727272727272727;0.0;0.125;0.0;0.10344827586206895;0.0;0.15384615384615385;1.0;0.11111111111111116;0.0;0.0;0.3076923076923077;0.19047619047619047;0.0;0.18181818181818177;0.1428571428571429;0.17391304347826086;0.0;0.1428571428571429;0.0;0.0;0.16666666666666663;0.14814814814814814;0.12;0.0;0.0;0.16666666666666663;0.0;0.0;0.16000000000000003;0.33333333333333337;0.30000000000000004;0.18181818181818177;0.0;0.1282051282051282;0.07999999999999996;0.0;0.17391304347826086;0.09999999999999998;0.18181818181818177;0.0;0.23076923076923073;0.07407407407407407;0.18181818181818177;0.0;0.0;0.0;0.0;0.1777777777777778;0.0;0.0;0.0;0.26086956521739135;0.3076923076923077;0.11428571428571432;0.11111111111111116;0.16000000000000003;0.16666666666666663;0.0;0.0;0.07692307692307687;0.1132075471698113;0.09999999999999998;0.1428571428571429;0.13953488372093026;0.1875;0.0;0.16666666666666663;0.15384615384615385;0.08510638297872342;0.16666666666666663;0.0;0.07547169811320753;0.2142857142857143;0.0;0.0;0.36363636363636365;0.0;0.1568627450980392;0.2222222222222222;0.13793103448275867;0.16666666666666663;0.08510638297872342;0.10344827586206895;0.0;0.0;0.11764705882352944;0.10344827586206895;0.12244897959183676;0.13043478260869568;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
