;GO:0008360;GO:0015695;GO:0006783;GO:0043200;GO:0006782;GO:0045944;GO:0009635;GO:0000165;GO:0045471;GO:0001666;GO:0072488;GO:0051384;GO:0071353;GO:0070542;GO:0006351;GO:0033197;GO:1901653;GO:0051260;GO:0043312;GO:0042167;GO:1901799;GO:0071284;GO:0006888;GO:0030218;GO:0018160;GO:0051693;GO:0046597;GO:0019353;GO:0045087;GO:0032496;GO:0010266
GO:0008360;1.0;0.0;0.0;0.0;0.0;0.23452546640755578;0.0;0.28395467364865207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2600545873980193;0.0;0.0;0.0;0.0;0.31681944594740147;0.36088143642234594;0.0;0.0;0.0;0.0
GO:0015695;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6463362453162081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3048578085338033;0.0;0.0;0.0;0.5068018549392285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006783;0.0;0.0;1.0;0.0;0.9141010473957335;0.0;0.0;0.3112880530678272;0.0;0.0;0.0;0.0;0.14632665276540047;0.0;0.6299673823306504;0.0;0.12955928660709806;0.1556151248330121;0.11827883242306915;0.6007484364737069;0.0;0.14692533444492004;0.0;0.1641060955891592;0.362070894251204;0.0914552278064491;0.0;0.7709210535416582;0.0;0.0;0.0
GO:0043200;0.0;0.0;0.0;1.0;0.0;0.0;0.4718679579493948;0.0;0.5823642471698304;0.32698886511899494;0.0;0.46250244555544073;0.42702027981966045;0.743297972357476;0.0;0.5323010967587362;0.5424535219541363;0.0;0.0;0.0;0.0;0.3406972582536167;0.0;0.0;0.0;0.0;0.0;0.0;0.3235611640368836;0.5523662024009087;0.5686704315621267
GO:0006782;0.0;0.0;0.9141010473957335;0.0;1.0;0.0;0.0;0.32043065639424795;0.0;0.0;0.0;0.0;0.15244523830683807;0.0;0.6477086683435609;0.0;0.13433309864246337;0.16255356818501968;0.12224481885872614;0.5600461889053456;0.0;0.15309514517211062;0.0;0.17184119186349495;0.37449937596452665;0.09380845719632995;0.0;0.8394133381854392;0.0;0.0;0.0
GO:0045944;0.23452546640755578;0.0;0.0;0.0;0.0;1.0;0.0;0.17163030993659045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31978179603908585;0.0;0.0;0.0;0.0;0.1531507634911956;0.17251793436745413;0.0;0.0;0.0;0.0
GO:0009635;0.0;0.0;0.0;0.4718679579493948;0.0;0.0;1.0;0.0;0.5560318657131761;0.539819274362114;0.0;0.4240847710194029;0.38684271245796964;0.5015371267334977;0.0;0.40334281866449373;0.2990874447597335;0.0;0.0;0.0;0.0;0.3904496869573793;0.0;0.0;0.0;0.0;0.0;0.0;0.5330378757108428;0.42094048286094277;0.3672038065942681
GO:0000165;0.28395467364865207;0.0;0.3112880530678272;0.0;0.32043065639424795;0.17163030993659045;0.0;1.0;0.0;0.0;0.0;0.0;0.1476438038494024;0.0;0.3816150866252037;0.0;0.1305908076346666;0.15710565424712689;0.11913795294300417;0.315707667078121;0.18491486936127224;0.1482533344843423;0.0;0.16576458766290794;0.7025382655571208;0.2187552731061508;0.20737610420221514;0.3066989103543102;0.0;0.0;0.0
GO:0045471;0.0;0.0;0.0;0.5823642471698304;0.0;0.0;0.5560318657131761;0.0;1.0;0.3110222752459553;0.0;0.4438580452427744;0.41107755482414665;0.6117720892647563;0.0;0.5117196577309547;0.39632072071311136;0.0;0.0;0.0;0.0;0.3278777925039924;0.0;0.0;0.0;0.0;0.0;0.0;0.3079195568855396;0.5302361370994635;0.4705359233459129
GO:0001666;0.0;0.0;0.0;0.32698886511899494;0.0;0.0;0.539819274362114;0.0;0.3110222752459553;1.0;0.0;0.2954321957277418;0.27060442508581306;0.34641611286900176;0.0;0.28162970889902517;0.21128013182836827;0.0;0.0;0.0;0.0;0.27301804144471725;0.0;0.0;0.0;0.0;0.0;0.0;0.5020811631755708;0.2933439464144293;0.25742894665583654
GO:0072488;0.0;0.6463362453162081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27340646472697494;0.0;0.0;0.0;0.42544176486200935;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051384;0.0;0.0;0.0;0.46250244555544073;0.0;0.0;0.4240847710194029;0.0;0.4438580452427744;0.2954321957277418;0.0;1.0;0.3951345435052335;0.5799303826735176;0.0;0.48882140283168896;0.38293458983006023;0.0;0.0;0.0;0.0;0.31506588000872754;0.0;0.0;0.0;0.0;0.0;0.0;0.29263133036757094;0.5058459407088115;0.45306865633763777
GO:0071353;0.0;0.0;0.14632665276540047;0.42702027981966045;0.15244523830683807;0.0;0.38684271245796964;0.1476438038494024;0.41107755482414665;0.27060442508581306;0.0;0.3951345435052335;1.0;0.44591240720685255;0.13939894981342724;0.38069844837048417;0.5918209675589317;0.27888181950502483;0.17811863025032476;0.14926607296605726;0.0;0.575522138922663;0.0;0.3073843039449279;0.18434158853355384;0.1235490745676214;0.0;0.1204010771029248;0.26825266761625743;0.39297005924105705;0.3546279213926046
GO:0070542;0.0;0.0;0.0;0.743297972357476;0.0;0.0;0.5015371267334977;0.0;0.6117720892647563;0.34641611286900176;0.0;0.5799303826735176;0.44591240720685255;1.0;0.0;0.5567639589634498;0.42281380862199147;0.0;0.0;0.0;0.0;0.355898409850748;0.0;0.0;0.0;0.0;0.0;0.0;0.34257140994678725;0.6732989489233302;0.4251686469014452
GO:0006351;0.0;0.0;0.6299673823306504;0.0;0.6477086683435609;0.0;0.0;0.3816150866252037;0.0;0.0;0.0;0.0;0.13939894981342724;0.0;1.0;0.0;0.12409866630282489;0.14780347499091417;0.11371094274529546;0.40632680784951297;0.0;0.13994218010551743;0.0;0.15544245028021275;0.44141366756618067;0.08870011714879192;0.0;0.5847086107753564;0.0;0.0;0.0
GO:0033197;0.0;0.0;0.0;0.5323010967587362;0.0;0.0;0.40334281866449373;0.0;0.5117196577309547;0.28162970889902517;0.0;0.48882140283168896;0.38069844837048417;0.5567639589634498;0.0;1.0;0.3724801822480686;0.0;0.0;0.0;0.0;0.30347164448677916;0.0;0.0;0.0;0.0;0.0;0.0;0.27908331300928285;0.5711566506436686;0.7893120061050966
GO:1901653;0.0;0.0;0.12955928660709806;0.5424535219541363;0.13433309864246337;0.0;0.2990874447597335;0.1305908076346666;0.39632072071311136;0.21128013182836827;0.0;0.38293458983006023;0.5918209675589317;0.42281380862199147;0.12409866630282489;0.3724801822480686;1.0;0.22370376754288498;0.15387728466148592;0.1318583627563693;0.0;0.4705752829200978;0.0;0.24167982837311364;0.15849968037909637;0.11137843325374985;0.0;0.10881365970173254;0.2098437553081305;0.382195241157558;0.40757011185293096
GO:0051260;0.0;0.0;0.1556151248330121;0.0;0.16255356818501968;0.0;0.0;0.15710565424712689;0.0;0.0;0.0;0.0;0.27888181950502483;0.0;0.14780347499091417;0.0;0.22370376754288498;1.0;0.19207419458754096;0.15894380869274502;0.0;0.2810645601403427;0.0;0.35145158196472526;0.19933035158647408;0.2206932481624413;0.0;0.12661979737649098;0.0;0.0;0.0
GO:0043312;0.0;0.3048578085338033;0.11827883242306915;0.0;0.12224481885872614;0.0;0.0;0.11913795294300417;0.0;0.0;0.27340646472697494;0.0;0.17811863025032476;0.0;0.11371094274529546;0.0;0.15387728466148592;0.19207419458754096;1.0;0.12019203002718647;0.0;0.17900650971931978;0.3448239557096009;0.20517745867131074;0.1419388987238013;0.1029386627783962;0.0;0.10074402759831098;0.16900290449442099;0.0;0.0
GO:0042167;0.0;0.0;0.6007484364737069;0.0;0.5600461889053456;0.0;0.0;0.315707667078121;0.0;0.0;0.0;0.0;0.14926607296605726;0.0;0.40632680784951297;0.0;0.1318583627563693;0.15894380869274502;0.12019203002718647;1.0;0.0;0.14988910015784712;0.0;0.16781226739076366;0.36806402489570483;0.09259488081684311;0.0;0.4712513591392694;0.0;0.0;0.0
GO:1901799;0.2600545873980193;0.0;0.0;0.0;0.0;0.31978179603908585;0.0;0.18491486936127224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2231783399159423;0.2365260531427148;0.0;0.0;0.0;0.0
GO:0071284;0.0;0.0;0.14692533444492004;0.3406972582536167;0.15309514517211062;0.0;0.3904496869573793;0.1482533344843423;0.3278777925039924;0.27301804144471725;0.0;0.31506588000872754;0.575522138922663;0.355898409850748;0.13994218010551743;0.30347164448677916;0.4705752829200978;0.2810645601403427;0.17900650971931978;0.14988910015784712;0.0;1.0;0.0;0.3100381311373607;0.1852927573680584;0.12397560652979096;0.0;0.12080611450669218;0.2706243301226741;0.3133270854162854;0.28254944452689906
GO:0006888;0.0;0.5068018549392285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42544176486200935;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3448239557096009;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030218;0.0;0.0;0.1641060955891592;0.0;0.17184119186349495;0.0;0.0;0.16576458766290794;0.0;0.0;0.0;0.0;0.3073843039449279;0.0;0.15544245028021275;0.0;0.24167982837311364;0.35145158196472526;0.20517745867131074;0.16781226739076366;0.0;0.3100381311373607;0.0;1.0;0.21347880686686183;0.1359888579844773;0.0;0.13218478108296774;0.0;0.0;0.0
GO:0018160;0.0;0.0;0.362070894251204;0.0;0.37449937596452665;0.0;0.0;0.7025382655571208;0.0;0.0;0.0;0.0;0.18434158853355384;0.0;0.44141366756618067;0.0;0.15849968037909637;0.19933035158647408;0.1419388987238013;0.36806402489570483;0.0;0.1852927573680584;0.0;0.21347880686686183;1.0;0.10498688844492789;0.0;0.34917115241722735;0.0;0.0;0.0
GO:0051693;0.31681944594740147;0.0;0.0914552278064491;0.0;0.09380845719632995;0.1531507634911956;0.0;0.2187552731061508;0.0;0.0;0.0;0.0;0.1235490745676214;0.0;0.08870011714879192;0.0;0.11137843325374985;0.2206932481624413;0.1029386627783962;0.09259488081684311;0.2231783399159423;0.12397560652979096;0.0;0.1359888579844773;0.10498688844492789;1.0;0.2160226092545007;0.08060706394562824;0.0;0.0;0.0
GO:0046597;0.36088143642234594;0.0;0.0;0.0;0.0;0.17251793436745413;0.0;0.20737610420221514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2365260531427148;0.0;0.0;0.0;0.0;0.2160226092545007;1.0;0.0;0.0;0.0;0.0
GO:0019353;0.0;0.0;0.7709210535416582;0.0;0.8394133381854392;0.0;0.0;0.3066989103543102;0.0;0.0;0.0;0.0;0.1204010771029248;0.0;0.5847086107753564;0.0;0.10881365970173254;0.12661979737649098;0.10074402759831098;0.4712513591392694;0.0;0.12080611450669218;0.0;0.13218478108296774;0.34917115241722735;0.08060706394562824;0.0;1.0;0.0;0.0;0.0
GO:0045087;0.0;0.0;0.0;0.3235611640368836;0.0;0.0;0.5330378757108428;0.0;0.3079195568855396;0.5020811631755708;0.0;0.29263133036757094;0.26825266761625743;0.34257140994678725;0.0;0.27908331300928285;0.2098437553081305;0.0;0.16900290449442099;0.0;0.0;0.2706243301226741;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.29058235163577684;0.25529972285832897
GO:0032496;0.0;0.0;0.0;0.5523662024009087;0.0;0.0;0.42094048286094277;0.0;0.5302361370994635;0.2933439464144293;0.0;0.5058459407088115;0.39297005924105705;0.6732989489233302;0.0;0.5711566506436686;0.382195241157558;0.0;0.0;0.0;0.0;0.3133270854162854;0.0;0.0;0.0;0.0;0.0;0.0;0.29058235163577684;1.0;0.4534941503979879
GO:0010266;0.0;0.0;0.0;0.5686704315621267;0.0;0.0;0.3672038065942681;0.0;0.4705359233459129;0.25742894665583654;0.0;0.45306865633763777;0.3546279213926046;0.4251686469014452;0.0;0.7893120061050966;0.40757011185293096;0.0;0.0;0.0;0.0;0.28254944452689906;0.0;0.0;0.0;0.0;0.0;0.0;0.25529972285832897;0.4534941503979879;1.0
