"Category"	"Term"	"Count"	"X."	"PValue"	"Genes"	"List.Total"	"Pop.Hits"	"Pop.Total"	"Fold.Enrichment"	"Bonferroni"	"Benjamini"	"FDR"
"GOTERM_BP_DIRECT"	"GO:0009954~proximal/distal pattern formation"	2	13.3333333333333	0.0170223747197608	"HOXC11, HOXC10"	13	24	16792	107.641025641026	0.746784319410475	0.746784319410475	16.6836691629509
"GOTERM_BP_DIRECT"	"GO:0009952~anterior/posterior pattern specification"	2	13.3333333333333	0.0557133674351682	"HOXC11, HOXC10"	13	80	16792	32.2923076923077	0.989806875133573	0.899038993336898	45.634314786521
