"Category"	"Term"	"Count"	"X."	"PValue"	"Genes"	"List.Total"	"Pop.Hits"	"Pop.Total"	"Fold.Enrichment"	"Bonferroni"	"Benjamini"	"FDR"
"GOTERM_BP_DIRECT"	"GO:0006631~fatty acid metabolic process"	2	20	0.0275341491972152	"EHHADH, CYP4A11"	10	52	16792	64.5846153846154	0.772311521115455	0.772311521115455	23.8453894156511
"GOTERM_BP_DIRECT"	"GO:0055114~oxidation-reduction process"	3	30	0.0378981795456889	"PRODH2, CYP4A22, CYP4A11"	10	592	16792	8.50945945945946	0.870962800349896	0.640782517616272	31.4044315485686
