;GO:0045638;GO:0008584;GO:0006351;GO:0060065;GO:0008284;GO:0045665;GO:0006366;GO:0002076;GO:0045944;GO:0048704;GO:0002244;GO:0006357;GO:0060326;GO:0048538;GO:0045668;GO:0000122;GO:0030326;GO:0071300;GO:0060070;GO:0050767
GO:0045638;1.0;0.0;0.0;0.0;0.5714285714285714;0.7058823529411765;0.0;0.0;0.4;0.0;0.0;0.42105263157894735;0.0;0.0;0.8;0.5;0.0;0.0;0.11764705882352941;0.6666666666666666
GO:0008584;0.0;1.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.18181818181818182;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0
GO:0006351;0.0;0.0;1.0;0.0;0.0;0.0;0.9523809523809523;0.13333333333333333;0.0;0.0;0.13333333333333333;0.0;0.125;0.0;0.0;0.0;0.0;0.11764705882352941;0.10526315789473684;0.0
GO:0060065;0.0;0.18181818181818182;0.0;1.0;0.0;0.0;0.0;0.2;0.0;0.18181818181818182;0.2;0.0;0.0;0.18181818181818182;0.0;0.0;0.18181818181818182;0.0;0.0;0.0
GO:0008284;0.5714285714285714;0.0;0.0;0.0;1.0;0.13333333333333333;0.0;0.0;0.5555555555555556;0.0;0.0;0.47058823529411764;0.0;0.0;0.6153846153846154;0.4444444444444444;0.0;0.0;0.13333333333333333;0.6153846153846154
GO:0045665;0.7058823529411765;0.0;0.0;0.0;0.13333333333333333;1.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.1;0.0;0.0;0.75;0.09523809523809523;0.0;0.0;0.1111111111111111;0.125
GO:0006366;0.0;0.0;0.9523809523809523;0.0;0.0;0.0;1.0;0.125;0.0;0.0;0.125;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.1111111111111111;0.1;0.0
GO:0002076;0.0;0.18181818181818182;0.13333333333333333;0.2;0.0;0.0;0.125;1.0;0.0;0.18181818181818182;0.2;0.0;0.18181818181818182;0.18181818181818182;0.0;0.0;0.18181818181818182;0.3333333333333333;0.14285714285714285;0.0
GO:0045944;0.4;0.0;0.0;0.0;0.5555555555555556;0.09523809523809523;0.0;0.0;1.0;0.0;0.0;0.9565217391304348;0.0;0.0;0.42105263157894735;0.9166666666666666;0.0;0.0;0.09523809523809523;0.42105263157894735
GO:0048704;0.0;0.16666666666666666;0.0;0.18181818181818182;0.0;0.0;0.0;0.18181818181818182;0.0;1.0;0.18181818181818182;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0
GO:0002244;0.0;0.18181818181818182;0.13333333333333333;0.2;0.0;0.0;0.125;0.2;0.0;0.18181818181818182;1.0;0.0;0.18181818181818182;0.18181818181818182;0.0;0.0;0.18181818181818182;0.16666666666666666;0.14285714285714285;0.0
GO:0006357;0.42105263157894735;0.0;0.0;0.0;0.47058823529411764;0.1;0.0;0.0;0.9565217391304348;0.0;0.0;1.0;0.0;0.0;0.4444444444444444;0.9565217391304348;0.0;0.0;0.1;0.1111111111111111
GO:0060326;0.0;0.0;0.125;0.0;0.0;0.0;0.11764705882352941;0.18181818181818182;0.0;0.0;0.18181818181818182;0.0;1.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.13333333333333333;0.0
GO:0048538;0.0;0.16666666666666666;0.0;0.18181818181818182;0.0;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.18181818181818182;0.0;0.0;1.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0
GO:0045668;0.8;0.0;0.0;0.0;0.6153846153846154;0.75;0.0;0.0;0.42105263157894735;0.0;0.0;0.4444444444444444;0.0;0.0;1.0;0.5263157894736842;0.0;0.0;0.125;0.7142857142857143
GO:0000122;0.5;0.0;0.0;0.0;0.4444444444444444;0.09523809523809523;0.0;0.0;0.9166666666666666;0.0;0.0;0.9565217391304348;0.0;0.0;0.5263157894736842;1.0;0.0;0.0;0.09523809523809523;0.42105263157894735
GO:0030326;0.0;0.16666666666666666;0.0;0.18181818181818182;0.0;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.18181818181818182;0.0;0.0;0.16666666666666666;0.0;0.0;1.0;0.0;0.0;0.0
GO:0071300;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.1111111111111111;0.3333333333333333;0.0;0.0;0.16666666666666666;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;1.0;0.25;0.0
GO:0060070;0.11764705882352941;0.0;0.10526315789473684;0.0;0.13333333333333333;0.1111111111111111;0.1;0.14285714285714285;0.09523809523809523;0.0;0.14285714285714285;0.1;0.13333333333333333;0.0;0.125;0.09523809523809523;0.0;0.25;1.0;0.125
GO:0050767;0.6666666666666666;0.0;0.0;0.0;0.6153846153846154;0.125;0.0;0.0;0.42105263157894735;0.0;0.0;0.1111111111111111;0.0;0.0;0.7142857142857143;0.42105263157894735;0.0;0.0;0.125;1.0
