;GO:0045638;GO:0008584;GO:0006351;GO:0060065;GO:0008284;GO:0045665;GO:0006366;GO:0002076;GO:0045944;GO:0048704;GO:0002244;GO:0006357;GO:0060326;GO:0048538;GO:0045668;GO:0000122;GO:0030326;GO:0071300;GO:0060070;GO:0050767
GO:0045638;1.0;0.0;0.0;0.0;0.375;0.5555555555555556;0.0;0.0;0.25;0.0;0.0;0.2727272727272727;0.0;0.0;0.7142857142857143;0.36363636363636365;0.0;0.0;0.0;0.5
GO:0008584;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006351;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0060065;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008284;0.375;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.3;0.0;0.0;0.375;0.2727272727272727;0.0;0.0;0.0;0.375
GO:0045665;0.5555555555555556;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0
GO:0006366;0.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0002076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0045944;0.25;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;1.0;0.0;0.0;0.875;0.0;0.0;0.25;0.7777777777777778;0.0;0.0;0.0;0.25
GO:0048704;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0002244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006357;0.2727272727272727;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.875;0.0;0.0;1.0;0.0;0.0;0.2727272727272727;0.875;0.0;0.0;0.0;0.0
GO:0060326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0048538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045668;0.7142857142857143;0.0;0.0;0.0;0.375;0.5555555555555556;0.0;0.0;0.25;0.0;0.0;0.2727272727272727;0.0;0.0;1.0;0.36363636363636365;0.0;0.0;0.0;0.5
GO:0000122;0.36363636363636365;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.7777777777777778;0.0;0.0;0.875;0.0;0.0;0.36363636363636365;1.0;0.0;0.0;0.0;0.25
GO:0030326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
GO:0071300;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;1.0;0.16666666666666666;0.0
GO:0060070;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;1.0;0.0
GO:0050767;0.5;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.0;1.0
