;GO:0060441;GO:0016525;GO:0040037;GO:0045600;GO:0008543;GO:0006487;GO:0046777;GO:0060449;GO:0042059;GO:0006402;GO:0006886;GO:0032091;GO:0002003;GO:0046580;GO:0010977;GO:2000233;GO:0034504;GO:0051603;GO:0035116;GO:0033138;GO:0034260;GO:0006491;GO:0046709;GO:0090068;GO:0060437;GO:0043312;GO:0006897;GO:0042147;GO:0045778;GO:0048208;GO:0048133;GO:0006646;GO:0006888;GO:0010628;GO:0030099;GO:0030210;GO:2000369;GO:0035863;GO:0051138;GO:0031345;GO:0051897;GO:0016567;GO:0030335;GO:0034656;GO:0015014;GO:0043407;GO:0015012;GO:0090630;GO:0008285;GO:0006580;GO:0006382;GO:0008284;GO:0045944;GO:0043687;GO:0045747;GO:0043525;GO:0000122;GO:1901639;GO:0006657;GO:0051387;GO:0031338;GO:0010637;GO:0045595;GO:0010757;GO:2000179;GO:0016077;GO:0016310;GO:0016311;GO:1904681;GO:0045638;GO:0006351;GO:0043410;GO:0006477;GO:0000132;GO:1990830;GO:0010923;GO:0010801;GO:0043066;GO:0070373;GO:0043065;GO:0045880;GO:0070374;GO:0006508;GO:0019695;GO:0032332;GO:2000781;GO:0071902
GO:0060441;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.0;0.0;0.0;0.0;0.23076923076923073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0016525;0.0;1.0;0.14814814814814814;0.19047619047619047;0.15000000000000002;0.0;0.0;0.0;0.14814814814814814;0.08510638297872342;0.0;0.10526315789473684;0.06060606060606055;0.13793103448275867;0.28125;0.11428571428571432;0.0;0.0;0.0;0.07317073170731703;0.19047619047619047;0.0;0.0;0.15000000000000002;0.0;0.0;0.0;0.0;0.23529411764705888;0.0;0.0;0.0;0.0;0.15000000000000002;0.0;0.0;0.1428571428571429;0.0;0.12;0.21052631578947367;0.1071428571428571;0.0;0.12;0.0;0.0;0.0625;0.0;0.09090909090909094;0.23529411764705888;0.0;0.0;0.16666666666666663;0.06521739130434778;0.0;0.11538461538461542;0.11538461538461542;0.08695652173913049;0.0;0.0;0.14814814814814814;0.15000000000000002;0.30434782608695654;0.2666666666666667;0.10526315789473684;0.15000000000000002;0.0;0.0;0.0;0.0;0.3913043478260869;0.0;0.05882352941176472;0.0;0.0;0.0;0.12121212121212122;0.09999999999999998;0.19047619047619047;0.07692307692307687;0.13636363636363635;0.11538461538461542;0.05660377358490565;0.0;0.08695652173913049;0.25;0.07692307692307687;0.05882352941176472
GO:0040037;0.0;0.14814814814814814;1.0;0.16666666666666663;0.18181818181818177;0.0;0.0;0.0;0.7;0.07999999999999996;0.0;0.09090909090909094;0.05555555555555558;0.6363636363636364;0.1578947368421053;0.16666666666666663;0.0;0.0;0.0;0.09302325581395354;0.16666666666666663;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.13043478260869568;0.0;0.0;0.17391304347826086;0.0;0.07272727272727275;0.30000000000000004;0.3076923076923077;0.0;0.14814814814814814;0.0;0.0;0.24561403508771928;0.0;0.07999999999999996;0.33333333333333337;0.0;0.0;0.19999999999999996;0.08333333333333337;0.0;0.33333333333333337;0.1428571428571429;0.12765957446808507;0.0;0.0;0.8888888888888888;0.18181818181818177;0.2222222222222222;0.2222222222222222;0.15384615384615385;0.18181818181818177;0.0;0.0;0.0;0.0;0.2068965517241379;0.0;0.16326530612244894;0.0;0.0;0.0;0.17647058823529416;0.14634146341463417;0.2727272727272727;0.3111111111111111;0.16666666666666663;0.33333333333333337;0.1568627450980392;0.0;0.07692307692307687;0.13793103448275867;0.125;0.07547169811320753
GO:0045600;0.0;0.19047619047619047;0.16666666666666663;1.0;0.25;0.0;0.0;0.0;0.16666666666666663;0.06666666666666665;0.0;0.125;0.06666666666666665;0.15384615384615385;0.1875;0.125;0.0;0.0;0.0;0.17142857142857137;0.1578947368421053;0.0;0.0;0.4285714285714286;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.23529411764705888;0.0;0.2325581395348837;0.25;0.2727272727272727;0.0;0.3157894736842105;0.0;0.0;0.06557377049180324;0.0;0.10526315789473684;0.2857142857142857;0.0;0.0;0.5;0.15000000000000002;0.0;0.30000000000000004;0.30000000000000004;0.09302325581395354;0.0;0.0;0.16666666666666663;0.25;0.2272727272727273;0.4545454545454546;0.11428571428571432;0.4285714285714286;0.0;0.0;0.0;0.0;0.26086956521739135;0.0;0.1333333333333333;0.0;0.0;0.0;0.1333333333333333;0.10810810810810811;0.2222222222222222;0.08163265306122447;0.375;0.30000000000000004;0.12765957446808507;0.0;0.09999999999999998;0.5882352941176471;0.18181818181818177;0.1333333333333333
GO:0008543;0.0;0.15000000000000002;0.18181818181818177;0.25;1.0;0.07999999999999996;0.07692307692307687;0.0;0.18181818181818177;0.09523809523809523;0.0;0.1428571428571429;0.11111111111111116;0.16666666666666663;0.125;0.1333333333333333;0.0;0.0;0.0;0.11428571428571432;0.17647058823529416;0.09999999999999998;0.02898550724637683;0.2857142857142857;0.0;0.06896551724137934;0.0;0.0;0.23076923076923073;0.11764705882352944;0.11764705882352944;0.06666666666666665;0.0;0.19999999999999996;0.16666666666666663;0.06060606060606055;0.2666666666666667;0.028169014084507005;0.08510638297872342;0.2857142857142857;0.18181818181818177;0.08333333333333337;0.21052631578947367;0.06666666666666665;0.0714285714285714;0.06779661016949157;0.06451612903225812;0.11764705882352944;0.33333333333333337;0.07999999999999996;0.07999999999999996;0.33333333333333337;0.09999999999999998;0.09090909090909094;0.19999999999999996;0.19999999999999996;0.09756097560975607;0.02941176470588236;0.05714285714285716;0.18181818181818177;0.2857142857142857;0.19047619047619047;0.4;0.12121212121212122;0.2857142857142857;0.05405405405405406;0.15384615384615385;0.15384615384615385;0.0;0.17391304347826086;0.05714285714285716;0.0888888888888889;0.08333333333333337;0.0714285714285714;0.11111111111111116;0.1428571428571429;0.11428571428571432;0.25;0.08510638297872342;0.25;0.19999999999999996;0.08510638297872342;0.0;0.17647058823529416;0.19047619047619047;0.12121212121212122;0.0888888888888889
GO:0006487;0.0;0.0;0.0;0.0;0.07999999999999996;1.0;0.6818181818181819;0.0;0.0;0.19565217391304346;0.0;0.0;0.3448275862068966;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.55;0.11111111111111116;0.0;0.0;0.052631578947368474;0.0;0.0;0.0;0.07692307692307687;0.07692307692307687;0.17142857142857137;0.0;0.0;0.09523809523809523;0.2222222222222222;0.0;0.10810810810810811;0.0;0.0;0.0;0.75;0.0;0.20588235294117652;0.25806451612903225;0.0;0.3548387096774194;0.0;0.0;0.24137931034482762;0.33333333333333337;0.0;0.0;0.8333333333333334;0.0;0.0;0.0;0.11267605633802813;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923073;0.19999999999999996;0.19999999999999996;0.0;0.0;0.2432432432432432;0.0;0.75;0.05405405405405406;0.07407407407407407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.26086956521739135;0.0;0.0;0.0
GO:0046777;0.0;0.0;0.0;0.0;0.07692307692307687;0.6818181818181819;1.0;0.0;0.0;0.19148936170212771;0.0;0.0;0.33333333333333337;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.5238095238095238;0.14084507042253525;0.0;0.0;0.05128205128205132;0.0;0.0;0.0;0.07407407407407407;0.07407407407407407;0.23529411764705888;0.0;0.0;0.09090909090909094;0.21621621621621623;0.0;0.136986301369863;0.0;0.0;0.0;0.7142857142857143;0.0;0.19999999999999996;0.25;0.0;0.34375;0.0;0.0;0.23333333333333328;0.3214285714285714;0.0;0.0;0.7894736842105263;0.0;0.0;0.0;0.1428571428571429;0.2702702702702703;0.0;0.0;0.0;0.0;0.0;0.0;0.22499999999999998;0.3157894736842105;0.3157894736842105;0.0;0.0;0.23684210526315785;0.0;0.7142857142857143;0.052631578947368474;0.0714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.25;0.0;0.0;0.0
GO:0060449;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042059;0.0;0.14814814814814814;0.7;0.16666666666666663;0.18181818181818177;0.0;0.0;0.0;1.0;0.07999999999999996;0.0;0.09090909090909094;0.05555555555555558;0.6363636363636364;0.1578947368421053;0.16666666666666663;0.0;0.0;0.0;0.09302325581395354;0.16666666666666663;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.13043478260869568;0.0;0.0;0.17391304347826086;0.0;0.07272727272727275;0.30000000000000004;0.3076923076923077;0.0;0.14814814814814814;0.0;0.0;0.24561403508771928;0.0;0.07999999999999996;0.33333333333333337;0.0;0.0;0.19999999999999996;0.08333333333333337;0.0;0.33333333333333337;0.1428571428571429;0.12765957446808507;0.0;0.0;0.7;0.18181818181818177;0.2222222222222222;0.2222222222222222;0.15384615384615385;0.18181818181818177;0.0;0.0;0.0;0.0;0.2068965517241379;0.0;0.16326530612244894;0.0;0.0;0.0;0.17647058823529416;0.14634146341463417;0.2727272727272727;0.3111111111111111;0.16666666666666663;0.33333333333333337;0.1568627450980392;0.0;0.07692307692307687;0.13793103448275867;0.125;0.07547169811320753
GO:0006402;0.0;0.08510638297872342;0.07999999999999996;0.06666666666666665;0.09523809523809523;0.19565217391304346;0.19148936170212771;0.0;0.07999999999999996;1.0;0.0;0.04761904761904767;0.20833333333333337;0.07692307692307687;0.06666666666666665;0.1923076923076923;0.0;0.15000000000000002;0.0;0.08064516129032262;0.09090909090909094;0.2195121951219512;0.25316455696202533;0.06976744186046513;0.0;0.03508771929824561;0.0;0.0;0.07317073170731703;0.0444444444444444;0.0444444444444444;0.11111111111111116;0.0;0.15000000000000002;0.050000000000000044;0.125;0.06818181818181823;0.24691358024691357;0.03947368421052633;0.09523809523809523;0.05882352941176472;0.19999999999999996;0.0625;0.5;0.16000000000000003;0.09638554216867468;0.17307692307692313;0.0444444444444444;0.09999999999999998;0.14583333333333337;0.375;0.07317073170731703;0.09090909090909094;0.2093023255813954;0.061224489795918324;0.061224489795918324;0.15873015873015872;0.2564102564102564;0.12068965517241381;0.07999999999999996;0.06976744186046513;0.08163265306122447;0.07692307692307687;0.18181818181818177;0.06976744186046513;0.675;0.10256410256410253;0.10256410256410253;0.0;0.07843137254901966;0.326530612244898;0.06944444444444442;0.19999999999999996;0.0357142857142857;0.04347826086956519;0.11111111111111116;0.13559322033898302;0.09090909090909094;0.11267605633802813;0.06666666666666665;0.061224489795918324;0.06756756756756754;0.15384615384615385;0.1707317073170732;0.06000000000000005;0.08333333333333337;0.06944444444444442
