;GO:0090330;GO:0051092;GO:1902715;GO:0060326;GO:2000318;GO:0051289;GO:0001865;GO:0032729;GO:0032689;GO:0070207;GO:0035556;GO:0050830;GO:0034260;GO:2000570;GO:2000010;GO:0030183;GO:0045577;GO:0042100;GO:0045652;GO:0042267;GO:0042102;GO:0046627;GO:0030217;GO:0045580;GO:0002323;GO:0051973;GO:0001558;GO:0070233;GO:0002769;GO:0002728;GO:0030890;GO:0018105;GO:2000484;GO:0032753;GO:0045429;GO:1904355;GO:0038095;GO:0043123;GO:0046710;GO:0046037;GO:0038096;GO:0046638;GO:0002223;GO:0050850;GO:0002534;GO:0046641;GO:0032740;GO:0050852;GO:0050853;GO:0050776;GO:0038202;GO:0031295;GO:0007169;GO:0007202;GO:0038083;GO:0007166;GO:0007249;GO:0060732;GO:0045954;GO:0045086;GO:0071222;GO:0006509;GO:0002228;GO:0070970;GO:0071663;GO:0045087;GO:0032212;GO:0072678;GO:0032496;GO:0050900;GO:2000502
GO:0090330;1.0;0.02849417210833194;0.01056719950766053;0.0;0.04640714045920245;0.0;0.0;0.08188788724975765;0.08188788724975765;0.0;0.08188788724975765;0.0;0.04592874765393266;0.03690207424325824;0.04592874765393266;0.0;0.0923468525946214;0.0;0.08188788724975765;0.0;0.021315146288911156;0.02705106927178223;0.0;0.091791742496042;0.0;0.008360149742924409;0.08188788724975765;0.05117898056129526;0.061173403727189296;0.016785862943037775;0.02378701339191293;0.0;0.01056719950766053;0.08188788724975765;0.012089187756001556;0.012979719808849375;0.08188788724975765;0.0333001034066708;0.0;0.0;0.02070091600076522;0.00936694524626131;0.018549769346041835;0.03318754980184156;0.0;0.01283776244717389;0.08188788724975765;0.03628655925051139;0.03628655925051139;0.08188788724975765;0.08188788724975765;0.03392518512413042;0.08188788724975765;0.034630287131450804;0.0;0.08188788724975765;0.08188788724975765;0.009951498511676546;0.027013320973069282;0.00953719963097976;0.0;0.0;0.0;0.0;0.08188788724975765;0.0;0.004902412669297628;0.0;0.0;0.0;0.011619237456266977
GO:0051092;0.02849417210833194;1.0;0.01056719950766053;0.0;0.02849417210833194;0.0;0.0;0.02849417210833194;0.015981626640088665;0.0;0.02849417210833194;0.0;0.015981626640088665;0.024404551376293302;0.02849417210833194;0.0;0.02849417210833194;0.0;0.02849417210833194;0.0;0.014096404968237644;0.02705106927178223;0.0;0.02849417210833194;0.0;0.07856095821181243;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.006433973282131043;0.015731131713214507;0.0;0.01056719950766053;0.02849417210833194;0.061263427130196925;0.08825227634161131;0.02849417210833194;0.02849417210833194;0.0;0.0;0.02070091600076522;0.006194667947238045;0.012676785936830607;0.02849417210833194;0.0;0.008490033138338878;0.02849417210833194;0.02849417210833194;0.02849417210833194;0.015981626640088665;0.02849417210833194;0.02243583701703053;0.02849417210833194;0.024221620452226755;0.0;0.02849417210833194;0.02849417210833194;0.050430427271980965;0.018460719431617437;0.04833091737934245;0.0;0.0;0.0;0.0;0.02849417210833194;0.0;0.046068341918840815;0.0;0.0;0.0;0.00794050768150012
GO:1902715;0.01056719950766053;0.01056719950766053;1.0;0.0;0.01056719950766053;0.0;0.0;0.08657783982324785;0.020840105161294083;0.0;0.01056719950766053;0.0;0.005926862395604646;0.03165550628683551;0.013865005774142182;0.0;0.01056719950766053;0.0;0.01056719950766053;0.0;0.03165550628683551;0.01056719950766053;0.0;0.01056719950766053;0.0;0.025043983749353807;0.01056719950766053;0.01056719950766053;0.01056719950766053;0.015648323014061192;0.03165550628683551;0.0;0.7292352074194841;0.05873296464376958;0.03165550628683551;0.03165550628683551;0.01056719950766053;0.03165550628683551;0.0;0.0;0.01056719950766053;0.018556983806967593;0.01056719950766053;0.03165550628683551;0.0;0.025433067407433483;0.05873296464376958;0.01056719950766053;0.01056719950766053;0.005926862395604646;0.01056719950766053;0.03165550628683551;0.01056719950766053;0.004468855717445473;0.0;0.01056719950766053;0.01056719950766053;0.029811088876616966;0.01056719950766053;0.0530081795390383;0.0;0.0;0.0;0.0;0.015648323014061192;0.0;0.014685854559773542;0.0;0.0;0.0;0.00794050768150012
GO:0060326;0.0;0.0;0.0;1.0;0.0;0.03940633811535304;0.03652384076764924;0.0;0.0;0.03940633811535304;0.11117984168356607;0.0;0.0;0.0;0.0;0.05232340137006609;0.0;0.06654560080986596;0.0;0.0;0.0;0.0;0.05176585175401968;0.0;0.0413889756214105;0.0;0.0;0.0;0.025870157443670005;0.0;0.0;0.009940745085628543;0.0;0.0;0.0;0.0;0.04290872884499664;0.0;0.0025622542611064923;0.0025604690327645833;0.008754391999442696;0.0;0.005360997232196642;0.0;0.0;0.0;0.0;0.015345541423299216;0.015345541423299216;0.0;0.11117984168356607;0.0;0.11117984168356607;0.0;0.00644285964833323;0.11117984168356607;0.11117984168356607;0.0;0.0;0.0;0.014148413061266386;0.0;0.0;0.02456631929126772;0.0;0.0;0.0;0.565641895119067;0.0;0.565641895119067;0.0
GO:2000318;0.04640714045920245;0.02849417210833194;0.01056719950766053;0.0;1.0;0.0;0.0;0.04640714045920245;0.02602853627167705;0.0;0.02602853627167705;0.0;0.02602853627167705;0.06929339195824816;0.04640714045920245;0.0;0.04640714045920245;0.0;0.04640714045920245;0.0;0.040024817486099915;0.02705106927178223;0.0;0.04640714045920245;0.0;0.008360149742924409;0.02602853627167705;0.02602853627167705;0.13082682494174394;0.032338979321597544;0.044666400907885304;0.0;0.01056719950766053;0.04640714045920245;0.012089187756001556;0.012979719808849375;0.13082682494174394;0.09812963087637752;0.0;0.0;0.2038111268561737;0.017588913948901247;0.12480945416156633;0.09779795491847386;0.0;0.024106290049032093;0.04640714045920245;0.35725977199785064;0.35725977199785064;0.13082682494174394;0.02602853627167705;0.06370349630121327;0.02602853627167705;0.019625522809620478;0.0;0.02602853627167705;0.02602853627167705;0.009951498511676546;0.1817552435744645;0.00953719963097976;0.0;0.0;0.0;0.0;0.1317667398969172;0.0;0.004902412669297628;0.0;0.0;0.0;0.00794050768150012
GO:0051289;0.0;0.0;0.0;0.03940633811535304;0.0;1.0;0.03652384076764924;0.0;0.0;0.49188833012008903;0.03940633811535304;0.0;0.0;0.0;0.0;0.03940633811535304;0.0;0.03940633811535304;0.0;0.0;0.0;0.0;0.03940633811535304;0.0;0.03940633811535304;0.0;0.0;0.0;0.025870157443670005;0.0;0.0;0.009940745085628543;0.0;0.0;0.0;0.0;0.03940633811535304;0.0;0.0025622542611064923;0.0025604690327645833;0.008754391999442696;0.0;0.005360997232196642;0.0;0.0;0.0;0.0;0.015345541423299216;0.015345541423299216;0.0;0.03940633811535304;0.0;0.03940633811535304;0.0;0.00644285964833323;0.03940633811535304;0.03940633811535304;0.0;0.0;0.0;0.014148413061266386;0.0;0.0;0.02456631929126772;0.0;0.0;0.0;0.03940633811535304;0.0;0.03940633811535304;0.0
GO:0001865;0.0;0.0;0.0;0.03652384076764924;0.0;0.03652384076764924;1.0;0.0;0.0;0.03652384076764924;0.03652384076764924;0.0;0.0;0.0;0.0;0.4588710655741559;0.0;0.19590212764140613;0.0;0.03652384076764924;0.0;0.0;0.7055585782921676;0.0;0.19590212764140613;0.0;0.0;0.0;0.025870157443670005;0.0;0.0;0.009940745085628543;0.0;0.0;0.0;0.0;0.03652384076764924;0.0;0.0025622542611064923;0.0025604690327645833;0.008754391999442696;0.0;0.005360997232196642;0.0;0.0;0.0;0.0;0.015345541423299216;0.015345541423299216;0.0;0.03652384076764924;0.009488087970379274;0.03652384076764924;0.0;0.00644285964833323;0.03652384076764924;0.03652384076764924;0.0;0.0;0.0;0.014148413061266386;0.0;0.03652384076764924;0.02456631929126772;0.0;0.03652384076764924;0.0;0.03652384076764924;0.0;0.03652384076764924;0.0
GO:0032729;0.08188788724975765;0.02849417210833194;0.08657783982324785;0.0;0.04640714045920245;0.0;0.0;1.0;0.24064463551116522;0.0;0.06845703713218734;0.0;0.06845703713218734;0.024404551376293302;0.10802782876868894;0.0;0.061072000823806136;0.0;0.11546831538534785;0.0;0.014096404968237644;0.015172228470901411;0.0;0.0607048883186668;0.0;0.008360149742924409;0.06845703713218734;0.028704935031672964;0.03431054234369119;0.016987216078660924;0.015731131713214507;0.0;0.05873296464376958;0.6783833457115042;0.012089187756001556;0.012979719808849375;0.056908109707328014;0.0333001034066708;0.0;0.0;0.02070091600076522;0.01836334554075903;0.012676785936830607;0.03318754980184156;0.0;0.008490033138338878;0.6783833457115042;0.03628655925051139;0.03628655925051139;0.06845703713218734;0.06845703713218734;0.02243583701703053;0.06845703713218734;0.040211699544984596;0.0;0.06845703713218734;0.06845703713218734;0.009951498511676546;0.018460719431617437;0.0530081795390383;0.0;0.0;0.0;0.0;0.1284906646515866;0.0;0.004902412669297628;0.0;0.0;0.0;0.004453620502326639
GO:0032689;0.08188788724975765;0.015981626640088665;0.020840105161294083;0.0;0.02602853627167705;0.0;0.0;0.24064463551116522;1.0;0.0;0.06843860095121258;0.0;0.12202145114976122;0.013687866660310338;0.060589948693957105;0.0;0.061072000823806136;0.0;0.11546831538534785;0.0;0.007906300288822573;0.02705106927178223;0.0;0.0607048883186668;0.0;0.0046889866229025395;0.06843860095121258;0.05117898056129526;0.03431054234369119;0.06390624551963224;0.008823175234248635;0.0;0.015648323014061192;0.18069414520391514;0.00678050530346356;0.0072799811515610715;0.056908109707328014;0.01867714624936025;0.0;0.0;0.011610595646515674;0.006194667947238045;0.007110073564113578;0.018614017912711684;0.0;0.004761834780215877;0.18069414520391514;0.02035217025398522;0.02035217025398522;0.06843860095121258;0.06843860095121258;0.012583666905669323;0.06843860095121258;0.040211699544984596;0.0;0.06843860095121258;0.06843860095121258;0.005581532010066985;0.010354128708911312;0.014123058845152529;0.0;0.0;0.0;0.0;0.1284906646515866;0.0;0.002749633455517922;0.0;0.0;0.0;0.00794050768150012
GO:0070207;0.0;0.0;0.0;0.03940633811535304;0.0;0.49188833012008903;0.03652384076764924;0.0;0.0;1.0;0.03940633811535304;0.0;0.0;0.0;0.0;0.03940633811535304;0.0;0.03940633811535304;0.0;0.0;0.0;0.0;0.03940633811535304;0.0;0.03940633811535304;0.0;0.0;0.0;0.025870157443670005;0.0;0.0;0.009940745085628543;0.0;0.0;0.0;0.0;0.03940633811535304;0.0;0.0025622542611064923;0.0025604690327645833;0.008754391999442696;0.0;0.005360997232196642;0.0;0.0;0.0;0.0;0.015345541423299216;0.015345541423299216;0.0;0.03940633811535304;0.0;0.03940633811535304;0.0;0.00644285964833323;0.03940633811535304;0.03940633811535304;0.0;0.0;0.0;0.014148413061266386;0.0;0.0;0.02456631929126772;0.0;0.0;0.0;0.03940633811535304;0.0;0.03940633811535304;0.0
