;GO:0036353;GO:0006281;GO:0035520;GO:0006282;GO:0008284;GO:0006342;GO:0008625;GO:1903507;GO:0051290;GO:0006268;GO:0000122;GO:0006999;GO:0051443;GO:0045892;GO:0043154;GO:0048146;GO:0000060;GO:0006919;GO:0030488;GO:0017148;GO:0070208;GO:0036228;GO:0006270;GO:0042306;GO:0042769;GO:0006351;GO:0051260;GO:0006355;GO:0006298;GO:0006357;GO:0006511;GO:0006610;GO:0006406;GO:0006605;GO:0071260;GO:0043065;GO:0006607;GO:0070317;GO:0036337
GO:0036353;1.0;0.42706091836590754;0.7133819290594398;0.0;0.0;0.16309254569662454;0.14643860219138927;0.0;0.2510268466323754;0.25754088761058086;0.0;0.2681921990580542;0.0;0.0;0.0;0.0;0.0;0.0;0.4259259696093551;0.0;0.25114071080321093;0.0;0.46903759195089323;0.0;0.154636385624729;0.37696413302134973;0.26144743335802867;0.0;0.4206826749378596;0.0;0.5206429566787378;0.0;0.0;0.0;0.14867865328678415;0.0;0.0;0.0;0.15269858446000156
GO:0006281;0.42706091836590754;1.0;0.5007421151661304;0.0;0.0;0.08876732787014778;0.1687866004127338;0.0;0.17084933975174013;0.17598826823555866;0.0;0.1844807977272392;0.0;0.0;0.0;0.0;0.0;0.0;0.6657139140954371;0.0;0.17093881341355974;0.0;0.8518503365275001;0.0;0.46325567924439165;0.6364942254720125;0.1790900333156383;0.0;0.9834026989964236;0.0;0.49322750862650533;0.0;0.0;0.0;0.2864423421387184;0.0;0.0;0.0;0.17715765969911998
GO:0035520;0.7133819290594398;0.5007421151661304;1.0;0.0;0.0;0.09207354725912963;0.1811555633566259;0.0;0.183533831882165;0.18947742621804986;0.0;0.1993582670804214;0.0;0.0;0.0;0.0;0.0;0.0;0.49256418331875157;0.0;0.18363708846597254;0.0;0.5594484146953491;0.0;0.1938698226788573;0.43323391017226304;0.19307776616998007;0.0;0.49199566097354697;0.0;0.6548236384636351;0.0;0.0;0.0;0.18459611405369583;0.0;0.0;0.0;0.19083364164985522
GO:0006282;0.0;0.0;0.0;1.0;0.41962068095149613;0.39660625288936874;0.3896807852662039;0.5088698536216433;0.0;0.0;0.43939824020540713;0.0;0.44114899848668676;0.45439450684613614;0.3886327744259708;0.395552970576604;0.0;0.3819053627154559;0.0;0.4292829700911725;0.0;0.0;0.0;0.2551717851910825;0.0;0.0;0.0;0.6291907688538778;0.0;0.6141039546224131;0.0;0.0;0.0;0.0;0.0;0.3710339938367808;0.0;0.374416399424667;0.4137017058172457
GO:0008284;0.0;0.0;0.0;0.41962068095149613;1.0;0.21214694120053304;0.5344382984504178;0.2840537362217729;0.0;0.0;0.23883654346799066;0.0;0.3647208421303695;0.24839517372962028;0.22906965573275595;0.9208949102034818;0.0;0.3080984628791169;0.0;0.25731526988205533;0.0;0.0;0.0;0.3326132948320633;0.0;0.0;0.0;0.3684167028052182;0.0;0.3573882927857679;0.0;0.0;0.0;0.0;0.0;0.6862007456323638;0.0;0.5061385564830263;0.5806793033124376
GO:0006342;0.16309254569662454;0.08876732787014778;0.09207354725912963;0.39660625288936874;0.21214694120053304;1.0;0.25853482833329494;0.8177167648117696;0.1858140497027863;0.18935932007831122;0.8822913409998127;0.19505512093393074;0.2897003386101068;0.9024508646575936;0.4056374657772183;0.20581570483977157;0.0;0.26291679806929774;0.08302339976026712;0.6789364729503753;0.18587643075146318;0.0;0.09551605373889607;0.1433007586652162;0.11314397589795279;0.08033829958498506;0.1914627758277831;0.6516735401458685;0.08771735748188889;0.6423009540184013;0.09110415482536509;0.0;0.0;0.0;0.10992117499297556;0.19897408380540893;0.0;0.27268735769101426;0.2666485308502275
GO:0008625;0.14643860219138927;0.1687866004127338;0.1811555633566259;0.3896807852662039;0.5344382984504178;0.25853482833329494;1.0;0.27001055026036164;0.2639903250772394;0.27646423244190227;0.22882968964496955;0.29801588324142275;0.2534114261229127;0.23758942970616295;0.21984870132704745;0.49600095803400535;0.0;0.21562289158687978;0.1491639695603969;0.2457375893968717;0.2642040074184848;0.0;0.194981981109425;0.3079909729794242;0.2859159599839023;0.14071430393629064;0.2841965836679853;0.3451351014221388;0.1650304716535703;0.33543815790438586;0.17744079516783742;0.0;0.0;0.0;0.2661936927742144;0.45804542820503075;0.0;0.4632113143601776;0.8480772063013885
GO:1903507;0.0;0.0;0.0;0.5088698536216433;0.2840537362217729;0.8177167648117696;0.27001055026036164;1.0;0.0;0.0;0.8892741199233707;0.0;0.351479724940854;0.91373191804532;0.4837327390651102;0.2728168759738333;0.0;0.312817093995327;0.0;0.7019683433389619;0.0;0.0;0.0;0.1847765893348544;0.0;0.0;0.0;0.7054497744859306;0.0;0.6926891981571077;0.0;0.0;0.0;0.0;0.0;0.26092446200682257;0.0;0.3581311040364678;0.28132904434706857
GO:0051290;0.2510268466323754;0.17084933975174013;0.183533831882165;0.0;0.0;0.1858140497027863;0.2639903250772394;0.0;1.0;0.4784151400153832;0.0;0.6091215239314027;0.0;0.0;0.0;0.0;0.0;0.0;0.15077268669114385;0.0;0.8540745162205042;0.0;0.19773990244547365;0.0;0.29188554395330263;0.142145051690494;0.8404145884004007;0.0;0.1670018891437027;0.0;0.17972191230071805;0.0;0.0;0.0;0.2713606845172206;0.0;0.0;0.0;0.2850573270819725
GO:0006268;0.25754088761058086;0.17598826823555866;0.18947742621804986;0.0;0.0;0.18935932007831122;0.27646423244190227;0.0;0.4784151400153832;1.0;0.0;0.6446829705979373;0.0;0.0;0.0;0.0;0.0;0.0;0.15476072178766961;0.0;0.4788288872044368;0.0;0.20465654784549953;0.0;0.30721142686218494;0.1456843752996844;0.5177436325835472;0.0;0.17190864736032002;0.0;0.18541734792287168;0.0;0.0;0.0;0.2845582446840606;0.0;0.0;0.0;0.29965661343078026
