;GO:0036353;GO:0006281;GO:0035520;GO:0006282;GO:0008284;GO:0006342;GO:0008625;GO:1903507;GO:0051290;GO:0006268;GO:0000122;GO:0006999;GO:0051443;GO:0045892;GO:0043154;GO:0048146;GO:0000060;GO:0006919;GO:0030488;GO:0017148;GO:0070208;GO:0036228;GO:0006270;GO:0042306;GO:0042769;GO:0006351;GO:0051260;GO:0006355;GO:0006298;GO:0006357;GO:0006511;GO:0006610;GO:0006406;GO:0006605;GO:0071260;GO:0043065;GO:0006607;GO:0070317;GO:0036337
GO:0036353;1.0;0.4677532258188515;0.5099612230550457;0.0;0.0;0.6403797723324915;0.4024070004238523;0.0;0.4772016191318648;0.5207056720175749;0.0;0.461584713677729;0.0;0.0;0.0;0.0;0.0;0.0;0.5664832966589022;0.0;0.4772016191318648;0.0;0.5271800470749834;0.0;0.3638311422569293;0.5839808300154367;0.503876007032658;0.0;0.39563634447127316;0.0;0.5614318262526623;0.0;0.0;0.0;0.28367981189368235;0.0;0.0;0.0;0.3855773354389354
GO:0006281;0.4677532258188515;1.0;0.4348213835293205;0.0;0.0;0.43254644607849185;0.3934691741224711;0.0;0.35397827214813765;0.42014356202326436;0.0;0.36102260368341843;0.0;0.0;0.0;0.0;0.0;0.0;0.5955440025404883;0.0;0.35397827214813765;0.0;0.7059494613636772;0.0;0.769643597904653;0.6370821205788785;0.38065266004893084;0.0;0.8486468320965852;0.0;0.5931111158659894;0.0;0.0;0.0;0.4795765623952405;0.0;0.0;0.0;0.37663950913755423
GO:0035520;0.5099612230550457;0.4348213835293205;1.0;0.0;0.0;0.3066549065450889;0.2675776345890683;0.0;0.25074796960415136;0.29425202248986143;0.0;0.23513106415001556;0.0;0.0;0.0;0.0;0.0;0.0;0.4685989240250258;0.0;0.25074796960415136;0.0;0.42929567444110694;0.0;0.2745967380636052;0.48609645738156015;0.27742235750494454;0.0;0.3698770003778904;0.0;0.6049138331698976;0.0;0.0;0.0;0.20845667624922237;0.0;0.0;0.0;0.25074796960415136
GO:0006282;0.0;0.0;0.0;1.0;0.4968230039397707;0.5218823027777753;0.36104984108215277;0.5772987164857286;0.0;0.0;0.5641409506690975;0.0;0.39444415684772316;0.5994593156516321;0.42676256062590834;0.3905246203635414;0.0;0.39444415684772316;0.0;0.5403828157444818;0.0;0.0;0.0;0.33845336450572644;0.0;0.0;0.0;0.6643585170531912;0.0;0.6295124675762827;0.0;0.0;0.0;0.0;0.0;0.4545317105848417;0.0;0.3442201760972358;0.3638502324627482
GO:0008284;0.0;0.0;0.0;0.4968230039397707;1.0;0.44239534899320865;0.4033180770371879;0.47818170633564955;0.0;0.0;0.4477090036836233;0.0;0.44369687201735664;0.4776810685121364;0.40051768565659246;0.8144653298679343;0.0;0.46332692838286904;0.0;0.4741617669503541;0.0;0.0;0.0;0.3765802828885176;0.0;0.0;0.0;0.5354077717175472;0.0;0.507734220436787;0.0;0.0;0.0;0.0;0.0;0.6062725894366352;0.0;0.386488412052271;0.4091496490416876
GO:0006342;0.6403797723324915;0.43254644607849185;0.3066549065450889;0.5218823027777753;0.44239534899320865;1.0;0.4734722400251893;0.7830798325564694;0.5331085560728024;0.5766126089585125;0.7709233423868647;0.5174916506186666;0.3954814145192411;0.8431867005703068;0.4377575657598034;0.3391281460408835;0.0;0.3486664703417134;0.5072359322366868;0.6878850200681285;0.5331085560728024;0.0;0.4919732673346237;0.32217568534184926;0.41973807919786693;0.548774050275077;0.5597829439735955;0.7454838235400842;0.3604295647309135;0.6951490352699075;0.5072359322366868;0.0;0.0;0.0;0.33958674883462;0.40545035579230104;0.0;0.3548034883771946;0.4566425750402724
GO:0008625;0.4024070004238523;0.3934691741224711;0.2675776345890683;0.36104984108215277;0.4033180770371879;0.4734722400251893;1.0;0.3518961612042971;0.4024070004238523;0.44591105330956243;0.33873839538766604;0.35398641934105307;0.29020615116898657;0.36688426217405223;0.27423214052524003;0.30005087408486286;0.0;0.24339120699145883;0.46815866028066616;0.34373490424675757;0.4024070004238523;0.0;0.4528959953786031;0.2830984133858286;0.3806608072418462;0.5096967783190562;0.42908138832464554;0.4222958458493458;0.3213522927748928;0.39693741409870287;0.46815866028066616;0.0;0.0;0.0;0.30050947687859925;0.3663730838362803;0.0;0.2560615493486744;0.5721288325429055
GO:1903507;0.0;0.0;0.0;0.5772987164857286;0.47818170633564955;0.7830798325564694;0.3518961612042971;1.0;0.0;0.0;0.8253384804477917;0.0;0.40408288404966675;0.8976018386312338;0.508662718261025;0.37722962291344164;0.0;0.3912915980368703;0.0;0.6962573432348413;0.0;0.0;0.0;0.3353008056948736;0.0;0.0;0.0;0.8002722955442101;0.0;0.7499375072740333;0.0;0.0;0.0;0.0;0.0;0.44537803070698606;0.0;0.4275348389205431;0.35055523501264846
GO:0051290;0.4772016191318648;0.35397827214813765;0.25074796960415136;0.0;0.0;0.5331085560728024;0.4024070004238523;0.0;1.0;0.5207056720175749;0.0;0.5026533010937244;0.0;0.0;0.0;0.0;0.0;0.0;0.45132899529574927;0.0;0.7851474704628364;0.0;0.43606633039368614;0.0;0.3638311422569293;0.4928671133341394;0.7533567602833408;0.0;0.2848925714244635;0.0;0.45132899529574927;0.0;0.0;0.0;0.28367981189368235;0.0;0.0;0.0;0.3855773354389354
GO:0006268;0.5207056720175749;0.42014356202326436;0.29425202248986143;0.0;0.0;0.5766126089585125;0.44591105330956243;0.0;0.5207056720175749;1.0;0.0;0.5269928878383359;0.0;0.0;0.0;0.0;0.0;0.0;0.4948330481814594;0.0;0.5207056720175749;0.0;0.4795703832793962;0.0;0.40733519514263944;0.5363711662198495;0.547380059918368;0.0;0.348026680675686;0.0;0.4948330481814594;0.0;0.0;0.0;0.3271838647793925;0.0;0.0;0.0;0.42908138832464554
