;GO:0014068;GO:0021955;GO:0032330;GO:0030031;GO:0090331;GO:0022408;GO:0007097;GO:0036092;GO:0046854;GO:0045124;GO:0060401;GO:0045766;GO:0030307;GO:0032967;GO:0001942;GO:0001701;GO:0051122;GO:0030949;GO:0071897;GO:0010656;GO:0019369;GO:0019886;GO:0035556;GO:0035793;GO:0038027;GO:1901751;GO:1900024;GO:0003065;GO:0000226;GO:0046621;GO:0001560;GO:0014909;GO:0048010;GO:0051893;GO:0032956;GO:0051496;GO:0001558;GO:0048013;GO:0010544;GO:0034059;GO:0070278;GO:0034614;GO:0070318;GO:0031623;GO:0051897;GO:0071404;GO:0071526;GO:0043406;GO:1904753;GO:0008286;GO:0008285;GO:0008284;GO:0051271;GO:0060548;GO:0045785;GO:0038096;GO:0001890;GO:0045667;GO:0009414;GO:0002576;GO:0048661;GO:0000165;GO:0050730;GO:0007229;GO:0051781;GO:2000811;GO:0051385;GO:0048146;GO:0034446;GO:0010512;GO:0032147;GO:0051549;GO:0010595;GO:0038128;GO:0038007;GO:0050731;GO:0051545;GO:2001224;GO:0045715;GO:0032781;GO:0038089;GO:0043651;GO:0038083;GO:0007517;GO:0030913;GO:0050748;GO:0010888;GO:0050900;GO:0050867;GO:0032496;GO:0001938;GO:0030199;GO:0010761;GO:0033623;GO:0106089;GO:0060683;GO:0007172;GO:0018108;GO:0007173;GO:0007179;GO:0008543;GO:0043542;GO:0042730;GO:0006367;GO:0060326;GO:0031954;GO:0009749;GO:0010613;GO:0032369;GO:0051964;GO:0060396;GO:0090668;GO:0010594;GO:0090303;GO:0043277;GO:0045214;GO:0043552;GO:0090022;GO:0048843;GO:0002053;GO:0007342;GO:1904706;GO:0043434;GO:0043280;GO:0010629;GO:0002687;GO:0006888;GO:0001755;GO:0019395;GO:0045860;GO:0048333;GO:0010507;GO:0010628;GO:0032355;GO:0010745;GO:0010469;GO:0030335;GO:0046718;GO:0008360;GO:2000060;GO:0035584;GO:0014003;GO:0046710;GO:0043200;GO:0046037;GO:1903225;GO:0001570;GO:0061436;GO:0050771;GO:0030449;GO:0009968;GO:2001306;GO:0045112;GO:0010951;GO:2001303;GO:0070542;GO:0014910;GO:0031532;GO:0030049;GO:0060452;GO:0010572;GO:0050829;GO:0007044;GO:0045597;GO:0007166;GO:0007167;GO:0001578;GO:0019372;GO:0045087;GO:0046330;GO:0070374;GO:0030036
GO:0014068;1.0;0.0;0.08091692734801591;0.0;0.2247848644902194;0.09065018882053817;0.0;0.0;0.0;0.07004991736346303;0.0;0.21831832535066725;0.24131603314277827;0.18510568292591809;0.0;0.0;0.0;0.3865765758431857;0.0;0.07885341473048998;0.0;0.0;0.11678765583081976;0.17465846447847552;0.06787648238693347;0.0;0.08121616491854916;0.1463643626205915;0.0;0.06741174518577138;0.06544859303304613;0.0;0.08363985585358003;0.08218835258920881;0.09765131380285653;0.21634060579758216;0.09947834836206909;0.08498851480021034;0.2336484899897426;0.0;0.0;0.0;0.17824914818623386;0.0;0.5509437312118295;0.0;0.07941996484183034;0.5827126120074921;0.06878723786738072;0.08536723661097698;0.1052036253797425;0.29034859867467117;0.09605401330632071;0.11024752445685673;0.23833570721041217;0.39272412598325906;0.0;0.08759708483885299;0.0;0.0;0.22601790477983125;0.09663133170744805;0.094220220254657;0.08564171797996369;0.22756515596627228;0.07449707480205334;0.0;0.21825434461170193;0.0;0.0636417011920079;0.2588343132535698;0.18753861708314057;0.22972277545136172;0.07824366332671973;0.07027508608932823;0.24445497876656744;0.06077344669460559;0.1957759626834723;0.06544859303304613;0.06288530716780362;0.18567449823300156;0.0;0.0;0.0;0.0;0.06679410581653009;0.06585897492919264;0.0;0.2651138671754508;0.0;0.2292587057353631;0.0;0.0;0.07147423134874605;0.06077344669460559;0.05348186882875756;0.2626989031573424;0.0;0.08205595726454794;0.0860824723601695;0.08498851480021034;0.0;0.23656834243953384;0.0;0.0;0.20641668298069896;0.0;0.24221732834120274;0.06763803480881465;0.06878723786738072;0.07248481229844167;0.0;0.08990642894043728;0.35794617902183573;0.0;0.0;0.20823227378892495;0.24737767638336416;0.23996007705774547;0.2070397876838042;0.0;0.0748380150109582;0.0;0.23621652779947838;0.10343764071661321;0.23621652779947838;0.0;0.0;0.0;0.2730915294939734;0.0;0.0841820338452577;0.2867645039334959;0.0;0.07293756035769872;0.3850757655872578;0.26912436011604257;0.0;0.09108383565660903;0.231067278610763;0.07547471996961866;0.0;0.0;0.0;0.0;0.06544859303304613;0.0;0.057936555134918515;0.08386058522785773;0.27325126826827867;0.42152759405157453;0.0;0.0;0.0946956261533074;0.0;0.0;0.08257397736308218;0.0;0.0;0.17339949362851295;0.2991538388966297;0.0;0.0;0.29095340167781175;0.1228302129964899;0.10553976520143744;0.0;0.0;0.0;0.543443843345803;0.5751325119231404;0.0
GO:0021955;0.0;1.0;0.0;0.5989837950576173;0.0;0.0;0.0;0.023455611713107248;0.02512947951697407;0.0;0.0;0.0;0.0;0.0;0.20308890415060782;0.2313215235185226;0.01974202850009074;0.0;0.025109944287691775;0.0;0.02363967470695421;0.0;0.0327146736565139;0.019072139574988347;0.01974202850009074;0.017774984128329507;0.0;0.0;0.23794730278174742;0.0;0.0;0.02073002640556365;0.024030151135821964;0.0;0.0;0.0;0.0;0.024392175685828594;0.0;0.0;0.019072139574988347;0.025070438077349332;0.0;0.02381025170111798;0.0;0.021458197157809184;0.02289249688744666;0.0;0.0;0.02449370142765062;0.0;0.0;0.0;0.0;0.0;0.025493084068171596;0.20264620887892984;0.0;0.0;0.02533546556071346;0.0;0.02748639059943993;0.0;0.02456724581366161;0.0;0.0;0.0;0.0;0.5867707876527416;0.0;0.0;0.0;0.0;0.02257404436964586;0.020401339940053793;0.0;0.0;0.0;0.0;0.0;0.020209588569859743;0.021555863886025588;0.02337765010816656;0.22223311616370886;0.17928770357234927;0.0;0.0;0.02795042595922309;0.0;0.0;0.0;0.196169653991737;0.02073002640556365;0.0;0.0;0.017774984128329507;0.17240728887936202;0.02632682752987367;0.02360401465369252;0.024685276070704996;0.024392175685828594;0.023743499249571635;0.0;0.026088736656181968;0.026499578748766836;0.0;0.0;0.0;0.0;0.0;0.021006549578978136;0.017774984128329507;0.0;0.0;0.0;0.1950560111760722;0.0;0.0;0.0;0.0;0.1813385594812533;0.0;0.0;0.0;0.0;0.0;0.0;0.02353100656421573;0.024286344850750423;0.0;0.2735418089235845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02182212351854227;0.28580434889668604;0.021246167726588917;0.0;0.0219033464565488;0.0;0.3077994595892157;0.0;0.0;0.0;0.0;0.017774984128329507;0.0;0.0;0.01857193350586053;0.0;0.0;0.1994723966695067;0.022941277152828832;0.0;0.0;0.0;0.19466958504437884;0.0;0.03425119760542707;0.02981689392150732;0.19916634157192484;0.021246167726588917;0.0;0.0;0.0;0.23434507209893798
GO:0032330;0.08091692734801591;0.0;1.0;0.0;0.2776356753326424;0.08770910781572629;0.0;0.0;0.0;0.3061089300499378;0.0;0.4237605463278813;0.08749990252195487;0.06576818087079188;0.0;0.0;0.0;0.07180212848235264;0.0;0.07661856614068548;0.0;0.0;0.11195128488405012;0.3087359129501338;0.06621397879346244;0.0;0.3975761974223922;0.23530054923781243;0.0;0.31787590983527886;0.06390153993849595;0.0;0.08112977827376186;0.07976337690902237;0.09424692722103878;0.07870760640747967;0.09594768236790462;0.08239809014315799;0.2882883915761897;0.0;0.0;0.0;0.06518357189996392;0.0;0.08723213388365178;0.0;0.07715334832692806;0.09209082190956124;0.06708038150796272;0.08275402879042539;0.1012629133128109;0.10459099820271851;0.09275820876018709;0.10592764390052829;0.08401296409781182;0.08626372897851238;0.0;0.42783223121096275;0.0;0.0;0.08212138676682448;0.09329647795110127;0.09104697798795332;0.08301193747925745;0.082666374470016;0.07249921009613941;0.0;0.07938340530521341;0.0;0.06217793518997288;0.09363193323874491;0.2711565825593579;0.33026718477074685;0.07604276167444347;0.06849454919210259;0.08860076505735542;0.05943726275267549;0.36014274109608807;0.06390153993849595;0.06103571637751202;0.06783080166761646;0.0;0.0;0.0;0.0;0.06518357189996392;0.06408490162155012;0.0;0.09582301015066554;0.0;0.08326263315468684;0.0;0.0;0.06963320725460452;0.2871670635303341;0.2871670635303341;0.06849454919210259;0.0;0.07963867307538637;0.08342597373185719;0.08239809014315799;0.0;0.2917928399357438;0.0;0.0;0.07519757961284804;0.0;0.298566141621669;0.06576818087079188;0.32409426824200566;0.07059204865979604;0.0;0.34446610268260697;0.06938730838373078;0.0;0.0;0.07584044373612775;0.07697924810649531;0.37683927898446096;0.07541824388469347;0.0;0.07282206919688144;0.0;0.08570947268178629;0.0991276694492063;0.08570947268178629;0.0;0.0;0.0;0.09860129470698521;0.0;0.08163980323688914;0.10036386243624791;0.0;0.3581147532807055;0.09923114383021202;0.09722043673628152;0.0;0.3760102003385867;0.08389908923195301;0.07342479560913301;0.0;0.0;0.0;0.0;0.3222139698985785;0.0;0.05636297452698122;0.410131899452802;0.0746064765724804;0.10824837892471684;0.0;0.0;0.09149082531768002;0.0;0.0;0.08012653131883311;0.0;0.0;0.2776356753326424;0.26212824843824517;0.0;0.0;0.5284404524979399;0.11749186851315178;0.10157430528640711;0.0;0.0;0.0;0.0860824723601695;0.09093317208340135;0.0
GO:0030031;0.0;0.5989837950576173;0.0;1.0;0.0;0.0;0.0;0.029178684575090378;0.031814941523030965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023645565299696077;0.0;0.031783635782970436;0.0;0.02946407323784805;0.0;0.045034505999525964;0.02269098038135817;0.023645565299696077;0.02087825950166523;0.0;0.0;0.31122573288133076;0.0;0.0;0.025077063390359176;0.030073144989748935;0.0;0.0;0.0;0.0;0.030642300835563897;0.0;0.0;0.02269098038135817;0.031720365546352616;0.0;0.029729531239973205;0.0;0.02615055262432353;0.02831232480892758;0.0;0.0;0.03080269230346335;0.0;0.0;0.0;0.0;0.0;0.03240000041454954;0.0;0.0;0.0;0.03214582964841362;0.0;0.03568941357429891;0.0;0.03091909259099464;0.0;0.0;0.0;0.0;0.24111491481055333;0.0;0.0;0.0;0.0;0.02782683348842162;0.024597667964197444;0.0;0.0;0.0;0.0;0.0;0.02431945961025549;0.02629574853480703;0.02905813474691652;0.0;0.3381895078409966;0.0;0.0;0.03647571332213439;0.0;0.0;0.0;0.2434204000131933;0.025077063390359176;0.0;0.0;0.02087825950166523;0.34205830870272325;0.033758761355030635;0.02940869703351879;0.03110627873246227;0.030642300835563897;0.029625536160818606;0.0;0.033368270051300684;0.034043339987055145;0.0;0.0;0.0;0.0;0.0;0.025482853719401476;0.02087825950166523;0.0;0.0;0.0;0.24170800967482584;0.0;0.0;0.0;0.0;0.22099263547906048;0.0;0.0;0.0;0.0;0.0;0.0;0.029295451629878667;0.03047547191582056;0.0;0.02583633246331619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026693055996528093;0.02725854510309732;0.02583633246331619;0.0;0.02681468642386216;0.0;0.02988048604150323;0.0;0.0;0.0;0.0;0.02087825950166523;0.0;0.0;0.021986448322245215;0.0;0.0;0.24852650560804987;0.028386974504848315;0.0;0.0;0.0;0.39676500011624743;0.0;0.047998621685599104;0.039720516751092214;0.24805159092614693;0.02583633246331619;0.0;0.0;0.0;0.305091773370134
GO:0090331;0.2247848644902194;0.0;0.2776356753326424;0.0;1.0;0.7790243998964169;0.0;0.0;0.0;0.27371193386439413;0.0;0.3061234137444654;0.07716456563113454;0.05901672573473116;0.0;0.0;0.0;0.20197161864195987;0.0;0.19854784935907022;0.0;0.0;0.09557315993061272;0.23043362761725836;0.06012042206437605;0.0;0.5017583113668559;0.21567765321912075;0.0;0.401263073514864;0.05820787123576413;0.0;0.0721674508407316;0.5069530692754429;0.0823644699818479;0.07024452814285073;0.08366045577244194;0.07316929192947007;0.9654787172370703;0.0;0.0;0.0;0.05926972323512158;0.0;0.2402617154086791;0.0;0.0690039107804846;0.2519905334647254;0.1761324452222669;0.07344982785722894;0.25384007892686056;0.0901568205019637;0.23517166232382478;0.2639018710403806;0.594035487373586;0.23790557734887757;0.0;0.29728471726659794;0.0;0.0;0.0729510183104943;0.08163764993826879;0.07991003472452511;0.07365293121101205;0.07338076757921128;0.18893935178653057;0.0;0.07078231266253743;0.0;0.16437881362716178;0.08189438786984093;0.24542459959577087;0.2928672193565617;0.06811419534374111;0.06199461267470701;0.07801945293525205;0.15773757803996816;0.25488534486818054;0.1685294780279436;0.05441301964881145;0.061450362778400595;0.0;0.0;0.0;0.0;0.17160386228896235;0.22893437188943333;0.0;0.6086288489584427;0.0;0.07385021798338585;0.0;0.0;0.06292594485937436;0.49610051357879137;0.21567765321912075;0.193550665885824;0.0;0.0709851905646393;0.07397868778856251;0.07316929192947007;0.0;0.8370161287469455;0.0;0.0;0.06743528356058355;0.0;0.2676654701183522;0.17964819955353153;0.36505825024090827;0.06370792878581515;0.0;0.303978310050373;0.7474400034898272;0.0;0.0;0.0679518221317216;0.45531950120475956;0.5898738604825106;0.06761268908541208;0.0;0.18969636596932127;0.0;0.0757687471727115;0.2573697025101344;0.0757687471727115;0.0;0.0;0.0;0.08567081418762053;0.0;0.2101143363337653;0.08544690798073945;0.0;0.18546566441007412;0.2689523472844576;0.08462645980515524;0.0;0.2712975816371226;0.07435047893181734;0.06600612427084031;0.0;0.0;0.0;0.0;0.34930007520906686;0.0;0.5411740667450631;0.4340559980787805;0.49614991585968066;0.4861570281121494;0.0;0.0;0.23235316547364507;0.0;0.0;0.07137253037592271;0.0;0.0;0.2507203368507077;0.815998235340433;0.0;0.0;0.09031238338361434;0.09958216043435768;0.08790635785467774;0.0;0.0;0.0;0.41551102671604834;0.2492098773720084;0.0
GO:0022408;0.09065018882053817;0.0;0.08770910781572629;0.0;0.7790243998964169;1.0;0.0;0.0;0.0;0.0758263571794751;0.0;0.08735224158591362;0.09899375628360774;0.0730082989036876;0.0;0.0;0.0;0.07936365103257362;0.0;0.24693992557443442;0.0;0.0;0.1314834542679095;0.06982197687360565;0.07259204480328207;0.0;0.6280250931206782;0.0567845705552097;0.0;0.2214365112226972;0.06982197687360565;0.0;0.09091741047094759;0.6361845850932869;0.10771812736858337;0.08788647247418631;0.10994557056582376;0.09251321410319176;0.23339505606092598;0.0;0.0;0.0;0.07135542291434897;0.0;0.09865115764399408;0.0;0.08595301424009374;0.10491078517541697;0.21319487421109215;0.09296214423503367;0.3386975291131823;0.12144595557851563;0.3062588624946783;0.3568515262934047;0.7796038329005214;0.09741441968681261;0.0;0.09561256941765511;0.0;0.0;0.09216454881790619;0.10647834182783407;0.10355821939998172;0.09328773114823934;0.09285154539840697;0.2322501489901752;0.0;0.08872993000731082;0.0;0.19621279180293594;0.1069155088456373;0.07534225199307079;0.09381093935796735;0.08457690568861566;0.07534225199307079;0.10040516207818896;0.18682362636545907;0.07890143253421328;0.20215584366119166;0.0682350202867021;0.07453993213211355;0.0;0.0;0.0;0.0;0.20659563600102393;0.2159424170803013;0.0;0.1097818987651615;0.0;0.09360445238776745;0.0;0.0;0.07672225771339405;0.5875790546566654;0.0567845705552097;0.07534225199307079;0.0;0.08904896716695719;0.09381093935796735;0.09251321410319176;0.0;0.21885199520177137;0.0;0.0;0.08353267439044589;0.0;0.07375015364572776;0.22223885326113466;0.21319487421109215;0.07788790182509953;0.0;0.09837053126559175;0.07749529377098613;0.0;0.0;0.08432670266395809;0.08573699112358663;0.24020037525332516;0.08380505635767124;0.0;0.23339505606092598;0.0;0.0967081994954565;0.35477478408828655;0.0967081994954565;0.0;0.0;0.0;0.11344405420899521;0.0;0.26508940995749736;0.11826065643517343;0.0;0.22702340269969612;0.11427860463223191;0.11162002131609837;0.0;0.09978180356181772;0.09440959664423562;0.08135081132550402;0.0;0.0;0.0;0.0;0.20215584366119166;0.0;0.06244721103341155;0.26398883900901066;0.08406318399770416;0.36598102241391905;0.0;0.0;0.3014961495526768;0.0;0.0;0.0896593718664652;0.0;0.0;0.06804952758107319;0.07259204480328207;0.0;0.0;0.12172840134091933;0.13919259282520402;0.11739745078396037;0.0;0.0;0.0;0.09718333776421073;0.10341101246063882;0.0
GO:0007097;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.23480167329732124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1859137641294522;0.0;0.0;0.2305980321535938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2448592130851824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2102854127906177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4363308436728562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0036092;0.0;0.023455611713107248;0.0;0.029178684575090378;0.0;0.0;0.0;1.0;0.8032161122626329;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48732384932389833;0.0;0.25866843538077045;0.0;0.4968790533625987;0.0;0.03473648223399689;0.01974202850009074;0.020460688760885998;0.3695843274179821;0.0;0.0;0.02964174313375558;0.0;0.0;0.021523864074520845;0.02510340056276221;0.0;0.0;0.0;0.0;0.02549875120457347;0.0;0.0;0.01974202850009074;0.026240885800246944;0.0;0.11661406076591901;0.0;0.022309929290988698;0.023864475396854084;0.0;0.0;0.025609718481388787;0.0;0.0;0.0;0.0;0.0;0.026704281328477596;0.0;0.0;0.0;0.02653138065354658;0.0;0.4424564803959268;0.0;0.025690128417180193;0.0;0.0;0.0;0.0;0.024020124454502058;0.0;0.0;0.0;0.0;0.023518611116653793;0.02116973712405622;0.0;0.0;0.0;0.0;0.0;0.02096334253509538;0.4513329831693673;0.37344660493537746;0.0;0.02096334253509538;0.0;0.0;0.029413076196227485;0.0;0.0;0.0;0.024213190317556237;0.021523864074520845;0.0;0.0;0.018355462662427813;0.02116973712405622;0.422873396638186;0.02463871734313314;0.0258192230951102;0.02549875120457347;0.024790738209430313;0.0;0.2692421882871273;0.027810762230301295;0.0;0.0;0.0;0.0;0.0;0.02182212351854227;0.018355462662427813;0.0;0.0;0.0;0.024069847138229045;0.0;0.0;0.0;0.0;0.022309929290988698;0.0;0.0;0.0;0.0;0.0;0.0;0.02455917899945468;0.5110851544675867;0.0;0.022080823654154244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02270358440312335;0.023111381001720988;0.45668282754758555;0.0;0.4713815737695261;0.0;0.02496901375924345;0.0;0.0;0.0;0.0;0.4371824832150992;0.1773167259995211;0.0;0.45745355622728456;0.0;0.0;0.02463871734313314;0.023917490658381616;0.0;0.0;0.0;0.024020124454502058;0.0;0.03647383598461723;0.03148724869127477;0.02459925908426224;0.4445938797151668;0.0;0.0;0.0;0.029169715127478683
GO:0046854;0.0;0.02512947951697407;0.0;0.031814941523030965;0.0;0.0;0.0;0.8032161122626329;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4373869516383341;0.0;0.13401508057041778;0.0;0.5343244490014659;0.0;0.03853808625661973;0.020914579697882626;0.021722890458909478;0.38990879935708056;0.0;0.0;0.032366243943550824;0.0;0.0;0.022925138196927788;0.027030372955686718;0.0;0.0;0.0;0.0;0.027489303276041148;0.0;0.0;0.020914579697882626;0.02835379369081737;0.0;0.12547348364466754;0.0;0.0238190112313155;0.025599365595189733;0.0;0.0;0.027618315878983377;0.0;0.0;0.0;0.0;0.0;0.028895588921806038;0.0;0.0;0.0;0.028693255642082867;0.0;0.5991828104461956;0.0;0.027711856759497208;0.0;0.0;0.0;0.0;0.025778552837786822;0.0;0.0;0.0;0.0;0.025201805300743303;0.022523830502730362;0.0;0.0;0.0;0.0;0.0;0.02229033359681087;0.4820162382058556;0.4987730254136043;0.0;0.02229033359681087;0.0;0.0;0.032093802814788124;0.0;0.0;0.0;0.026001051635617133;0.022925138196927788;0.0;0.0;0.019364880698138413;0.022523830502730362;0.5704058424576514;0.02649237664524657;0.02786212901933962;0.027489303276041148;0.02666821373878623;0.0;0.13995477546217505;0.030195532111376197;0.0;0.0;0.0;0.0;0.0;0.023263802655009012;0.019364880698138413;0.0;0.0;0.0;0.02583583071830609;0.0;0.0;0.0;0.0;0.0238190112313155;0.0;0.0;0.0;0.0;0.0;0.0;0.026400442523724803;0.8063806519436161;0.0;0.02355804442127005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024268258678868358;0.0247347782966494;0.48723519132734594;0.0;0.5040025394585766;0.0;0.026874626862832724;0.0;0.0;0.0;0.0;0.38990879935708056;0.08574425232792343;0.0;0.40903088789700387;0.0;0.0;0.02649237664524657;0.025660379057931188;0.0;0.0;0.0;0.025778552837786822;0.0;0.04068829496102392;0.03457926183350051;0.026446763371222818;0.4743374854037285;0.0;0.0;0.0;0.03180427839862161
GO:0045124;0.07004991736346303;0.0;0.3061089300499378;0.0;0.27371193386439413;0.0758263571794751;0.0;0.0;0.0;1.0;0.0;0.34110778041674683;0.0756486728180893;0.0647786024476559;0.0;0.0;0.0;0.0622733563781909;0.0;0.06638619782188258;0.0;0.0;0.09631536351314314;0.2497120359799986;0.05749152332219108;0.0;0.06828673450811952;0.2324761073326225;0.0;0.2904751780232807;0.055509592918402115;0.0;0.07023117684670643;0.06906730749874941;0.08137161095607434;0.06816758820461293;0.08281177649261572;0.07131092363929903;0.2840600631310504;0.0;0.0;0.0;0.056608617115513946;0.0;0.07542122705845013;0.0;0.06684236605343769;0.07954445121410113;0.058233618277702646;0.07161384451073155;0.08730628422541088;0.09011561260940268;0.08011018728921084;0.09124285912741016;0.08240490435111558;0.07459844855072478;0.0;0.3301695337977173;0.0;0.0;0.0710754058364824;0.0805663614806864;0.07865929300020381;0.07183331010153172;0.07153925050017462;0.06286910061388538;0.0;0.0687435427110257;0.0;0.054031133275955365;0.0808506044407304;0.2674126035557336;0.324729621376795;0.06589492786769231;0.059444330371875985;0.07658350116731737;0.05167814210734427;0.2786834205315642;0.055509592918402115;0.060059579554730784;0.05887616184139442;0.0;0.0;0.0;0.0;0.056608617115513946;0.25072185303049854;0.0;0.08270623990294577;0.0;0.07204661602225491;0.0;0.0;0.06041866872696805;0.2324761073326225;0.2324761073326225;0.059444330371875985;0.0;0.06896105577658324;0.07218558376824316;0.07131092363929903;0.0;0.28746185930391327;0.0;0.0;0.06517362167135549;0.0;0.2940333214898263;0.0647786024476559;0.26196616869417644;0.06123879299283058;0.0;0.3384464990190495;0.06828673450811952;0.0;0.0;0.06572228542124842;0.06669386966148262;0.2914090313888887;0.06536196750105087;0.0;0.06314496779019174;0.0;0.07412739593792854;0.09689663435538375;0.07412739593792854;0.0;0.0;0.0;0.08505684201369024;0.0;0.07066544052267601;0.09807747689575257;0.0;0.06160591861795575;0.08558936982050568;0.08388887721201375;0.0;0.30244292997641914;0.07258805195140842;0.06365987178429172;0.0;0.0;0.0;0.0;0.2497120359799986;0.0;0.2527663181407271;0.3167331091938305;0.07333562640753269;0.09319859585038291;0.0;0.0;0.07903571173531145;0.0;0.0;0.06937669650869668;0.0;0.0;0.27371193386439413;0.25862782603142837;0.0;0.0;0.09029226436804011;0.10097031538811127;0.08756929757951391;0.0;0.0;0.0;0.0744444133021734;0.07856276551031303;0.0
