;GO:0016525;GO:0014068;GO:0035684;GO:0036499;GO:0033141;GO:0034351;GO:0045765;GO:0046697;GO:0042531;GO:0051091;GO:0007259;GO:0032966;GO:0001666;GO:0048247;GO:0045651;GO:0048246;GO:0031639;GO:0048245;GO:2000353;GO:0032722;GO:0070208;GO:0050830;GO:0072108;GO:0019800;GO:0033138;GO:0007260;GO:0016239;GO:0007266;GO:0045779;GO:0014909;GO:0051770;GO:0048013;GO:0010544;GO:0034614;GO:0071407;GO:1905563;GO:0008285;GO:0008284;GO:0045944;GO:0001890;GO:0045669;GO:0043524;GO:0048661;GO:0000165;GO:0051024;GO:0043491;GO:0019221;GO:0060707;GO:0060708;GO:0071276;GO:0051384;GO:2000134;GO:0051549;GO:0070102;GO:0010596;GO:0022617;GO:0090200;GO:0044344;GO:0043410;GO:0048666;GO:0045835;GO:0001781;GO:0046888;GO:0090280;GO:2000427;GO:0001934;GO:0030593;GO:0050900;GO:0032496;GO:0010888;GO:0030199;GO:2000660;GO:0045727;GO:0032494;GO:0007179;GO:0048711;GO:0043388;GO:0042730;GO:0043547;GO:0070091;GO:0002675;GO:0050870;GO:0050871;GO:0072540;GO:0051607;GO:2000676;GO:2001243;GO:0072307;GO:0030225;GO:2000553;GO:0030500;GO:1900182;GO:0007187;GO:0002690;GO:0043312;GO:1901676;GO:0090141;GO:0042102;GO:0046426;GO:0035987;GO:2001258;GO:0031663;GO:0010469;GO:0032755;GO:0030335;GO:0008360;GO:0045742;GO:0051591;GO:0006469;GO:0043687;GO:0030206;GO:0071230;GO:1900747;GO:0030208;GO:1904707;GO:0030207;GO:0048863;GO:0045079;GO:0048861;GO:0051901;GO:0071356;GO:0070301;GO:0014910;GO:2001268;GO:0050776;GO:0043615;GO:0032461;GO:0051918;GO:0050829;GO:1900122;GO:0044267;GO:0045599;GO:0007565;GO:0009617;GO:0045089;GO:0071222;GO:0002548;GO:0070373;GO:0043066;GO:0070098;GO:0006508;GO:0070374;GO:0071347;GO:0071346;GO:2000502
GO:0016525;1.0;0.25452279955392026;0.0;0.28732647518258375;0.22772024499225957;0.32952678241836325;0.8714280885539538;0.0;0.22772024499225957;0.35420337438008315;0.30415614016750064;0.34550079306210985;0.0;0.0;0.3852628057297969;0.0;0.0;0.0;0.22772024499225957;0.4301509837407051;0.0;0.0;0.46551646189205714;0.0;0.24454990997717646;0.0;0.29873260618495057;0.30415614016750064;0.43597535147351946;0.0;0.25452279955392026;0.28732647518258375;0.46264973937431264;0.0;0.0;0.31269711743344636;0.4746548530128042;0.39763800967018964;0.35396816189306474;0.0;0.4082139758478805;0.381534632028301;0.28684120333210544;0.35140298299948763;0.240511531005056;0.28732647518258375;0.3863293869291936;0.0;0.0;0.0;0.0;0.3631861123881971;0.35865978680923843;0.28732647518258375;0.4977138604189567;0.0;0.240511531005056;0.0;0.33867112447850484;0.0;0.4142914233186497;0.0;0.4552966548046146;0.2881821295237541;0.27135246453883716;0.3446842046464178;0.0;0.0;0.0;0.39180523732841543;0.0;0.32818585622671465;0.33867112447850484;0.0;0.3476601930532108;0.4025777425651921;0.3223086777539316;0.43597535147351946;0.25239047226412975;0.2823757514567406;0.3272594014797748;0.34800466905660926;0.31859930737082415;0.0;0.0;0.22772024499225957;0.3922623640436185;0.4222077989307045;0.0;0.32585611118057495;0.4715434238209143;0.3264037471386044;0.36237721534739525;0.3322886991003835;0.0;0.21595340251127143;0.49231901645371773;0.29641846794599364;0.32952678241836325;0.0;0.3996770531581813;0.28732647518258375;0.3894167240266139;0.3853341747100316;0.37384930910352565;0.5732251892555386;0.2980268524396304;0.0;0.3650013886098975;0.0;0.0;0.0;0.34550079306210985;0.0;0.25452279955392026;0.0;0.0;0.45280501645843635;0.30415614016750064;0.28732647518258375;0.0;0.0;0.3233603141487749;0.32818585622671465;0.46211204918696647;0.0;0.3036708683170224;0.4009510801641674;0.0;0.28280765011119985;0.0;0.48751620436619303;0.0;0.0;0.3847928654218144;0.0;0.0;0.31269711743344636;0.4371702804015057;0.35464513512225143;0.0;0.2573411959899729;0.0;0.0;0.31269711743344636
GO:0014068;0.25452279955392026;1.0;0.0;0.23923188436375753;0.43860722654569734;0.22656154200654188;0.2966859262479818;0.0;0.5407545759830484;0.38652642450199587;0.2560615493486744;0.20727595672193327;0.0;0.0;0.31607040069435555;0.0;0.0;0.0;0.28375199691617037;0.36847948524654656;0.0;0.0;0.31655567254483385;0.0;0.30058166190108726;0.0;0.3574618108893332;0.2560615493486744;0.20727595672193327;0.0;0.2796733514796847;0.23923188436375753;0.32644628745013027;0.0;0.0;0.209731877021625;0.36607082478433467;0.4691585003873687;0.3972086278041791;0.0;0.35301539389526315;0.2770919213720756;0.35301539389526315;0.3033083921806614;0.31655567254483385;0.23923188436375753;0.3382347961103674;0.0;0.0;0.0;0.0;0.2602208719763757;0.31655567254483385;0.23923188436375753;0.2628204175265099;0.0;0.48405549610164217;0.0;0.6999978698912255;0.0;0.2925337758270291;0.0;0.45588388223582116;0.31333268144951854;0.31607040069435555;0.40341340935080044;0.0;0.0;0.0;0.24943908341599474;0.0;0.3784473281996001;0.4007039974694184;0.0;0.29956560223438455;0.31607040069435555;0.2610505663730804;0.2997718995493371;0.19235234341934632;0.2178139717893584;0.4603391994592839;0.39272260521212765;0.36331724352634254;0.0;0.0;0.28375199691617037;0.5521475259136783;0.22656154200654188;0.0;0.3876025975334294;0.2662687484009117;0.355695616636613;0.31428262452856903;0.44987975828662435;0.0;0.2697407283673061;0.33618572891034626;0.339658933857108;0.4780981285200308;0.0;0.2647558851045357;0.23923188436375753;0.5300013685947074;0.3236626762158731;0.42039344330117095;0.32013805716557836;0.5275595489873524;0.0;0.26428057426595225;0.0;0.0;0.0;0.40110856518901666;0.0;0.31655567254483385;0.0;0.0;0.22656154200654188;0.2560615493486744;0.3166183446805923;0.0;0.0;0.2770919213720756;0.3784473281996001;0.5145336473785316;0.0;0.3502150025146677;0.410263834522846;0.0;0.22276952126641641;0.0;0.2560615493486744;0.0;0.0;0.5250451615974718;0.0;0.0;0.4612684635351139;0.3327275697452803;0.3065505443034252;0.0;0.5903879165966288;0.0;0.0;0.27027189220720454
GO:0035684;0.0;0.0;1.0;0.4122517233397286;0.0;0.0;0.0;0.0;0.0;0.0;0.42908138832464554;0.0;0.0;0.7615793637414688;0.0;0.6663486545119206;0.0;0.6663486545119206;0.0;0.0;0.4122517233397286;0.0;0.0;0.4122517233397286;0.0;0.4122517233397286;0.0;0.42908138832464554;0.0;0.6259071391284774;0.0;0.4122517233397286;0.0;0.3459140379849535;0.404924778673121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47632823115663253;0.0;0.4122517233397286;0.5112546350863385;0.4122517233397286;0.4122517233397286;0.26806290643954656;0.0;0.0;0.0;0.4122517233397286;0.0;0.3440135297643094;0.0;0.31035419979447554;0.0;0.4948330481814594;0.0;0.4122517233397286;0.0;0.0;0.0;0.0;0.6663486545119206;0.7657596443385682;0.0;0.0;0.31035419979447554;0.0;0.0;0.0;0.4725854412103556;0.0;0.0;0.0;0.0;0.4122517233397286;0.0;0.0;0.0;0.4122517233397286;0.5153350421040844;0.0;0.0;0.0;0.42908138832464554;0.0;0.0;0.0;0.48730246350454004;0.0;0.556770681117843;0.0;0.0;0.0;0.0;0.4122517233397286;0.0;0.4122517233397286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35638376835593016;0.4122517233397286;0.3591841597365256;0.0;0.4122517233397286;0.0;0.4122517233397286;0.3842754305272557;0.0;0.42908138832464554;0.0;0.26806290643954656;0.28769296280505896;0.0;0.0;0.0;0.6259071391284774;0.0;0.0;0.0;0.0;0.4763911855734592;0.0;0.0;0.0;0.0;0.4122517233397286;0.6663486545119206;0.0;0.0;0.4795703832793962;0.0;0.0;0.26806290643954656;0.4122517233397286;0.0
GO:0036499;0.28732647518258375;0.23923188436375753;0.4122517233397286;1.0;0.209731877021625;0.2560615493486744;0.3336309194488894;0.0;0.209731877021625;0.3460849573860687;0.5353666635249013;0.24007963235059676;0.5829991788998685;0.44379841061882996;0.2560615493486744;0.3855773354389354;0.0;0.3855773354389354;0.22374314557048924;0.3115708292820634;0.3855773354389354;0.43385481252262853;0.25654682119915273;0.3855773354389354;0.24057281055540614;0.3855773354389354;0.2974529595436521;0.5353666635249013;0.28237092570552574;0.4122517233397286;0.22276469551520156;0.5185369985399844;0.3028512654654583;0.5763294514470103;0.5533124725705079;0.23923188436375753;0.40836211813926365;0.4091496490416876;0.33719977645849797;0.0;0.293006542549582;0.3098955970007391;0.293006542549582;0.5826135063568882;0.25654682119915273;0.5185369985399844;0.6175399102865942;0.3855773354389354;0.3855773354389354;0.4092781021407852;0.3966948574235851;0.28972087931850826;0.25654682119915273;0.5185369985399844;0.2956240931551734;0.3441416964251768;0.23923188436375753;0.4360806567024458;0.3233802092883421;0.46815866028066616;0.3253374514556926;0.3855773354389354;0.3663426829416575;0.2564240254850354;0.2560615493486744;0.3434045580051193;0.3855773354389354;0.4849883252655831;0.4897069306791534;0.3090453136063189;0.31048236645534294;0.23923188436375753;0.3406951461237373;0.49669187274819404;0.5788707164106113;0.41756530308425166;0.32749556691612053;0.24007963235059676;0.2519585736096705;0.3855773354389354;0.2955012974410561;0.3327137538664465;0.3033083921806614;0.3855773354389354;0.49431669705412296;0.22374314557048924;0.3033083921806614;0.2560615493486744;0.4024070004238523;0.22276469551520156;0.3032137416018193;0.29878696067212984;0.5935877387047959;0.3188239819523477;0.3855773354389354;0.209731877021625;0.27617687756466514;0.27965008251142687;0.24057281055540614;0.3855773354389354;0.3115708292820634;0.5185369985399844;0.42773091795977247;0.26675402025138994;0.36038459195548983;0.40654684191756313;0.28273593724946766;0.4146119616955609;0.31833871010186937;0.34933943682064933;0.3855773354389354;0.5075718536339124;0.25654682119915273;0.3855773354389354;0.25654682119915273;0.3855773354389354;0.38440359718812317;0.2560615493486744;0.5353666635249013;0.27617687756466514;0.4092781021407852;0.48530470063845227;0.3098955970007391;0.23923188436375753;0.43752644334439605;0.4122517233397286;0.29020615116898657;0.28237092570552574;0.43385481252262853;0.2823757514567406;0.47651935223432657;0.293006542549582;0.0;0.4502147345479627;0.3548609594252226;0.5111756256860382;0.3855773354389354;0.22374314557048924;0.36553124537394377;0.5858556584796519;0.0;0.24057281055540614;0.4092781021407852;0.5111756256860382;0.22374314557048924
GO:0033141;0.22772024499225957;0.43860722654569734;0.0;0.209731877021625;1.0;0.2020034135127573;0.26718591890584925;0.0;0.6427338415395762;0.3371879797967101;0.22656154200654188;0.2401624721717494;0.0;0.0;0.27377910733942656;0.0;0.0;0.0;0.24518259987352153;0.3088732550562224;0.0;0.0;0.25694944235450967;0.0;0.88127281146983;0.0;0.38687635691383876;0.22656154200654188;0.18047340216027258;0.0;0.3632226388279674;0.209731877021625;0.29694628010799773;0.0;0.0;0.1851737485278404;0.3332671491556712;0.40955227019704454;0.46119053092270784;0.0;0.30058166190108726;0.2502893668104149;0.30058166190108726;0.2738083848385289;0.2697407283673061;0.209731877021625;0.30873478876823485;0.0;0.0;0.0;0.0;0.23566274348259114;0.25694944235450967;0.209731877021625;0.23601786296484922;0.0;0.3415023349986925;0.0;0.6720079305513548;0.0;0.2657312212653684;0.0;0.41893888903491355;0.2592745456136014;0.27377910733942656;0.734323572623061;0.0;0.0;0.0;0.2199390760738622;0.0;0.3415023349986925;0.5558358445643579;0.0;0.270065594892252;0.286570393352223;0.2364924378792958;0.27027189220720454;0.16969110642992985;0.18831396444722587;0.34300849413305906;0.35043131185719867;0.32102595017141355;0.0;0.0;0.24518259987352153;0.5026837343626012;0.2020034135127573;0.0;0.27027189220720454;0.23676874105877915;0.28925061609357283;0.2847826171864365;0.3325490529603995;0.0;0.47127211599391927;0.2697407283673061;0.30108953681445916;0.6923671821531566;0.0;0.2401977566107511;0.209731877021625;0.48053757704363026;0.2640564460255489;0.3735784991236432;0.2906380498234458;0.3850063878844026;0.0;0.5635347930023997;0.0;0.0;0.0;0.3588172718340877;0.0;0.2697407283673061;0.0;0.0;0.3462594471625268;0.22656154200654188;0.25017334413755216;0.0;0.0;0.2502893668104149;0.3605651895763981;0.4722423540236026;0.0;0.30340005833713996;0.2842831607560688;0.0;0.20010828427699995;0.0;0.22656154200654188;0.0;0.0;0.39906448783069465;0.0;0.0;0.46176673027487136;0.3059250151836196;0.27705053696129267;0.0;0.5718855949830236;0.0;0.0;0.24571376371341996
GO:0034351;0.32952678241836325;0.22656154200654188;0.0;0.2560615493486744;0.2020034135127573;1.0;0.2980268524396304;0.0;0.2020034135127573;0.3033083921806614;0.2574024755403231;0.29776867837964455;0.0;0.0;0.24339120699145883;0.0;0.0;0.0;0.47997590775426874;0.2815855500894526;0.0;0.0;0.22656154200654188;0.0;0.2305999209786624;0.0;0.2847826171864365;0.2574024755403231;0.28227993958637626;0.0;0.19730306714518947;0.24057281055540614;0.3793455975228747;0.0;0.0;0.3157262164211739;0.48485645019668006;0.3836880206716755;0.32722688688175416;0.0;0.27289121433359137;0.6907058387013439;0.27289121433359137;0.32013805716557836;0.24057281055540614;0.2560615493486744;0.35506446109528433;0.0;0.0;0.0;0.0;0.36621521137592467;0.22656154200654188;0.24057281055540614;0.3548034883771946;0.0;0.47997590775426874;0.0;0.31070986693112645;0.0;0.40183178351310894;0.0;0.44283701499907385;0.23096239711502337;0.24339120699145883;0.33073421564790373;0.0;0.0;0.0;0.341758003115833;0.0;0.3157262164211739;0.3247211354799907;0.0;0.30090652842603316;0.2574024755403231;0.26508894534520083;0.29776867837964455;0.19741516592327513;0.219154897981007;0.270039669071044;0.3200434115092309;0.2906380498234458;0.0;0.0;0.47997590775426874;0.6591422773617326;0.24339120699145883;0.0;0.19730306714518947;0.2676096745925603;0.2631828936628709;0.3311122895134859;0.2888387027597369;0.0;0.2020034135127573;0.24057281055540614;0.26967719293468306;0.31706714261282254;0.0;0.3537711365178429;0.2560615493486744;0.3581517981927046;0.23676874105877915;0.3444105813117433;0.3369677221504953;0.270065594892252;0.0;0.36533303481715323;0.0;0.0;0.0;0.3330411532565691;0.0;0.24057281055540614;0.0;0.0;0.3325558814060908;0.2574024755403231;0.2560615493486744;0.0;0.0;0.2939215863569925;0.5950657695448286;0.3947498781389888;0.0;0.27423214052524003;0.33471367158055215;0.0;0.22783234377034517;0.0;0.36950087460699843;0.0;0.0;0.32487568023261176;0.0;0.0;0.3002374776279056;0.8059477172648728;0.3078914704950738;0.0;0.2305999209786624;0.0;0.0;0.28622620907904134
GO:0045765;0.8714280885539538;0.2966859262479818;0.0;0.3336309194488894;0.26718591890584925;0.2980268524396304;1.0;0.0;0.26718591890584925;0.40353899927029296;0.3504605844338063;0.314000863083377;0.0;0.0;0.4292521304659853;0.0;0.0;0.0;0.26718591890584925;0.47645542800701074;0.0;0.0;0.518993404354511;0.0;0.28401558389076614;0.0;0.339418262634608;0.3504605844338063;0.3853341747100317;0.0;0.2966859262479818;0.3336309194488894;0.4120085626108248;0.0;0.0;0.2811971874547135;0.4431549230340713;0.4439424539364953;0.39465381834272223;0.0;0.4575496007380903;0.35003470204956816;0.3308305280682939;0.3977074272657933;0.2811971874547135;0.3336309194488894;0.4326338311954992;0.0;0.0;0.0;0.0;0.3316861824094642;0.4049642310755441;0.3336309194488894;0.4440415030315647;0.0;0.2811971874547135;0.0;0.38083425117256636;0.0;0.3827914933399168;0.0;0.42379672482588177;0.3303452562178156;0.3135155912328987;0.38536986109607524;0.0;0.0;0.0;0.3603053073496825;0.0;0.2966859262479818;0.38083425117256636;0.0;0.3939646373195164;0.4488821868314977;0.36447180444799315;0.3853341747100317;0.29307612871378724;0.32868019572304624;0.3694225281738363;0.39016779575067073;0.3607624340648857;0.0;0.0;0.26718591890584925;0.3607624340648857;0.4715434238209143;0.0;0.3680192378746365;0.5250203662833681;0.37270819140491;0.40868165961370084;0.3762780238365719;0.0;0.2543946328930528;0.5517970799831744;0.3371041243956511;0.2980268524396304;0.0;0.36817712317944845;0.3336309194488894;0.4357211682929195;0.4316386189763372;0.41783863383971404;0.6327032527849952;0.34018997913369187;0.0;0.34629274464396104;0.0;0.0;0.0;0.314000863083377;0.0;0.2966859262479818;0.0;0.0;0.40216383969494857;0.3504605844338063;0.3336309194488894;0.0;0.0;0.36734963888496336;0.2966859262479818;0.5114476740771763;0.0;0.3476601930532108;0.42762546806496066;0.0;0.32349330656085734;0.0;0.4575496007380903;0.0;0.0;0.42878219015800284;0.0;0.0;0.2811971874547135;0.40567035042277283;0.400949579388557;0.0;0.2980268524396304;0.0;0.0;0.2811971874547135
GO:0046697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5522631697432582;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5522631697432582;0.5522631697432582;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5839185157063457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44637497268261;0.0;0.0;0.0;0.0;0.4632046376675269;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44637497268261;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44520123443179777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5114057690003564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042531;0.22772024499225957;0.5407545759830484;0.0;0.209731877021625;0.6427338415395762;0.2020034135127573;0.26718591890584925;0.0;1.0;0.3699916554253736;0.22656154200654188;0.2401624721717494;0.0;0.0;0.286570393352223;0.0;0.0;0.0;0.25694944235450967;0.33567580961788307;0.0;0.0;0.28375199691617037;0.0;0.6046892706116871;0.0;0.38687635691383876;0.22656154200654188;0.18047340216027258;0.0;0.3632226388279674;0.209731877021625;0.29694628010799773;0.0;0.0;0.1851737485278404;0.3332671491556712;0.42686720703243974;0.46119053092270784;0.0;0.31607040069435555;0.2502893668104149;0.31607040069435555;0.2738083848385289;0.28375199691617037;0.209731877021625;0.30873478876823485;0.0;0.0;0.0;0.0;0.23566274348259114;0.28375199691617037;0.209731877021625;0.23601786296484922;0.0;0.434591704550565;0.0;0.6720079305513548;0.0;0.2657312212653684;0.0;0.41893888903491355;0.283832674107386;0.286570393352223;0.734323572623061;0.0;0.0;0.0;0.2199390760738622;0.0;0.3415023349986925;0.5558358445643579;0.0;0.270065594892252;0.286570393352223;0.2364924378792958;0.27027189220720454;0.16969110642992985;0.18831396444722587;0.4233942062583763;0.3632225978699951;0.33381723618421;0.0;0.0;0.25694944235450967;0.5026837343626012;0.2020034135127573;0.0;0.3506576043325218;0.23676874105877915;0.31875062343570537;0.2847826171864365;0.41293476508571675;0.0;0.47127211599391927;0.29924073570943865;0.3128563792954473;0.6923671821531566;0.0;0.2401977566107511;0.209731877021625;0.48053757704363026;0.2908590005872096;0.38758976767250747;0.2906380498234458;0.47809575743627514;0.0;0.5635347930023997;0.0;0.0;0.0;0.3588172718340877;0.0;0.28375199691617037;0.0;0.0;0.3462594471625268;0.22656154200654188;0.2796733514796847;0.0;0.0;0.2502893668104149;0.3605651895763981;0.4722423540236026;0.0;0.3174113268860042;0.367972541167917;0.0;0.20010828427699995;0.0;0.22656154200654188;0.0;0.0;0.48275386824254285;0.0;0.0;0.46176673027487136;0.3059250151836196;0.27705053696129267;0.0;0.5718855949830236;0.0;0.0;0.24571376371341996
GO:0051091;0.35420337438008315;0.38652642450199587;0.0;0.3460849573860687;0.3371879797967101;0.3033083921806614;0.40353899927029296;0.0;0.3699916554253736;1.0;0.3629146223709856;0.40276774707209495;0.0;0.0;0.3806948524974962;0.0;0.0;0.0;0.3442351311470669;0.4848201759951231;0.0;0.0;0.41332897906365645;0.0;0.3868213204102905;0.0;0.43144762631240396;0.3629146223709856;0.30695653154809616;0.0;0.4501340049399221;0.3460849573860687;0.3500981082974453;0.0;0.0;0.2864787271957445;0.45560896097125064;0.5564441891799259;0.6262660316702737;0.0;0.43015864404857335;0.3571424398327261;0.43015864404857335;0.4101614652029726;0.3638651875125793;0.3460849573860687;0.44508786913267856;0.0;0.0;0.0;0.0;0.33696772215049525;0.41332897906365645;0.3460849573860687;0.3625009923526728;0.0;0.3638651875125793;0.0;0.49643127370488715;0.0;0.392214350653192;0.0;0.4362507627630611;0.4201857544718297;0.40335608948691276;0.4937943854322478;0.0;0.0;0.0;0.3562921564383059;0.0;0.3037936640311397;0.5465869430357498;0.0;0.4064186752566957;0.40335608948691276;0.6325659718756365;0.30695653154809616;0.5438553593060353;0.3246670448116696;0.4592630264278504;0.48000829400468487;0.45060293231889975;0.0;0.0;0.3442351311470669;0.3678701718480436;0.3206233290160566;0.0;0.38652642450199587;0.37312182142322287;0.4852099266483406;0.4211356975508802;0.4756061398168514;0.0;0.3526767185899784;0.44613265469231994;0.4197721244535169;0.3033083921806614;0.0;0.49641531974078235;0.3460849573860687;0.6092818388330865;0.44000336696444964;0.5171667498199936;0.42699113018788953;0.430030477387706;0.0;0.4844008921819151;0.0;0.0;0.0;0.3234237203966521;0.0;0.38652642450199587;0.0;0.0;0.42467237656991;0.3629146223709856;0.44613265469231994;0.0;0.0;0.3767724961982385;0.4052940664438033;0.5115758407380436;0.0;0.4469883090334903;0.41332897906365645;0.0;0.5742725371531054;0.0;0.340253385381569;0.0;0.0;0.5281103061382824;0.0;0.0;0.3526767185899784;0.41277808820593076;0.4134036173257364;0.0;0.4064513767758029;0.0;0.0;0.2864787271957445
