;GO:0061333;GO:0032330;GO:0051091;GO:0060401;GO:0051092;GO:0007016;GO:0045766;GO:0002634;GO:0032967;GO:0002755;GO:0071498;GO:0071374;GO:0032729;GO:0018277;GO:0071897;GO:0001947;GO:2000111;GO:0019886;GO:0035556;GO:0042307;GO:0060998;GO:0051260;GO:0045652;GO:0048251;GO:0045540;GO:0001954;GO:0001558;GO:0051496;GO:0014902;GO:0030890;GO:0086091;GO:0034059;GO:0070278;GO:0070318;GO:0034614;GO:1905563;GO:0060025;GO:1904753;GO:0008284;GO:0002062;GO:0038095;GO:0045666;GO:0097190;GO:0060548;GO:0045663;GO:0045669;GO:0045944;GO:0043524;GO:0050850;GO:0000165;GO:0051145;GO:0007229;GO:0030889;GO:0071277;GO:0051385;GO:0046641;GO:0001649;GO:0001805;GO:0050731;GO:0050852;GO:0050853;GO:0016358;GO:0043537;GO:0046928;GO:0031295;GO:0060536;GO:0038083;GO:0048667;GO:0048666;GO:0007249;GO:0001782;GO:0007517;GO:0050982;GO:0002587;GO:0002467;GO:0001812;GO:0002902;GO:0032496;GO:0050867;GO:0032012;GO:0001818;GO:0086073;GO:0060045;GO:0007172;GO:0055012;GO:0006366;GO:0008543;GO:0051291;GO:0006367;GO:1903966;GO:0002159;GO:0009749;GO:0035914;GO:0048167;GO:0030220;GO:2000311;GO:2000310;GO:0030224;GO:0019722;GO:0010694;GO:0014898;GO:0051966;GO:0030501;GO:0051963;GO:0046949;GO:0014033;GO:0007186;GO:0030182;GO:0090263;GO:0042100;GO:0043312;GO:1904706;GO:0043434;GO:0045579;GO:2000727;GO:0030217;GO:0043280;GO:0045580;GO:0071560;GO:0071681;GO:0010629;GO:0002721;GO:0010628;GO:2001016;GO:0032355;GO:0010469;GO:0035984;GO:0072659;GO:0032753;GO:0043200;GO:0090073;GO:0000122;GO:0018057;GO:0098911;GO:0070542;GO:0060297;GO:0060452;GO:0035690;GO:0006351;GO:0007169;GO:0045597;GO:0048469;GO:0072160;GO:0045879;GO:0002553;GO:0045086;GO:0030318;GO:0098761;GO:0071222;GO:2000987;GO:0002669;GO:0046330;GO:0045087;GO:0070374;GO:0071864;GO:0071226;GO:0030279
GO:0061333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.5;0.0;0.2142857142857143;0.18181818181818177;0.0;0.0;0.19999999999999996;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.0;0.16666666666666663;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.15384615384615385;0.0;0.0;0.0;0.18181818181818177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032330;0.0;1.0;0.1428571428571429;0.0;0.13793103448275867;0.09999999999999998;0.375;0.2666666666666667;0.17647058823529416;0.12903225806451613;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.18181818181818177;0.0;0.36363636363636365;0.09090909090909094;0.4444444444444444;0.0;0.6666666666666667;0.0;0.15000000000000002;0.19999999999999996;0.36363636363636365;0.1428571428571429;0.0;0.1333333333333333;0.2222222222222222;0.0;0.0;0.25;0.0;0.2222222222222222;0.3076923076923077;0.17391304347826086;0.33333333333333337;0.0;0.2222222222222222;0.38095238095238093;0.36363636363636365;0.33333333333333337;0.4285714285714286;0.4117647058823529;0.09999999999999998;0.19999999999999996;0.18181818181818177;0.1333333333333333;0.0;0.33333333333333337;0.1333333333333333;0.0;0.0;0.09999999999999998;0.0;0.0625;0.11428571428571432;0.15384615384615385;0.15384615384615385;0.0;0.1923076923076923;0.19047619047619047;0.13793103448275867;0.0;0.0;0.0;0.0;0.33333333333333337;0.1333333333333333;0.0;0.0;0.1578947368421053;0.0;0.06521739130434778;0.2857142857142857;0.0;0.33333333333333337;0.25;0.33333333333333337;0.0;0.20588235294117652;0.19999999999999996;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.14814814814814814;0.14814814814814814;0.0;0.3076923076923077;0.1333333333333333;0.0;0.3076923076923077;0.3529411764705882;0.5384615384615384;0.0;0.0;0.36363636363636365;0.0;0.18181818181818177;0.0;0.0;0.25;0.0;0.25806451612903225;0.27586206896551724;0.0;0.0888888888888889;0.47058823529411764;0.0;0.0;0.19999999999999996;0.19047619047619047;0.19999999999999996;0.34782608695652173;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.0;0.125;0.09756097560975607;0.0;0.19999999999999996;0.0;0.2727272727272727;0.18181818181818177;0.0;0.0;0.3076923076923077;0.5;0.0;0.0;0.19999999999999996;0.05882352941176472;0.13888888888888884;0.0;0.0;0.0;0.19047619047619047;0.2857142857142857;0.07547169811320753;0.0;0.08510638297872342;0.2857142857142857;0.0;0.33333333333333337
GO:0051091;0.0;0.1428571428571429;1.0;0.0;0.9583333333333334;0.05882352941176472;0.125;0.09999999999999998;0.2142857142857143;0.11363636363636365;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.1428571428571429;0.0;0.16000000000000003;0.08695652173913049;0.11111111111111116;0.0;0.1333333333333333;0.0;0.19354838709677424;0.1428571428571429;0.16000000000000003;0.12195121951219512;0.0;0.11627906976744184;0.09090909090909094;0.0;0.0;0.1724137931034483;0.0;0.125;0.14814814814814814;0.10810810810810811;0.19999999999999996;0.0;0.125;0.13157894736842102;0.16000000000000003;0.15384615384615385;0.1724137931034483;0.1515151515151515;0.5263157894736843;0.11764705882352944;0.1428571428571429;0.09090909090909094;0.0;0.15384615384615385;0.09090909090909094;0.0;0.0;0.09433962264150941;0.0;0.06557377049180324;0.2325581395348837;0.1282051282051282;0.1282051282051282;0.0;0.09756097560975607;0.11428571428571432;0.11904761904761907;0.0;0.0;0.0;0.0;0.15384615384615385;0.06896551724137934;0.0;0.0;0.09090909090909094;0.0;0.06779661016949157;0.1428571428571429;0.0;0.19999999999999996;0.1333333333333333;0.11111111111111116;0.0;0.09999999999999998;0.11764705882352944;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.125;0.125;0.0;0.14814814814814814;0.23076923076923073;0.0;0.14814814814814814;0.12121212121212122;0.1333333333333333;0.0;0.0;0.16000000000000003;0.0;0.1428571428571429;0.0;0.0;0.1333333333333333;0.0;0.10416666666666663;0.10869565217391308;0.0;0.23529411764705888;0.11428571428571432;0.0;0.0;0.23076923076923073;0.08333333333333337;0.28;0.125;0.0;0.18518518518518523;0.0;0.0;0.1428571428571429;0.0;0.1428571428571429;0.475;0.0;0.09999999999999998;0.0;0.10526315789473684;0.11111111111111116;0.0;0.0;0.14814814814814814;0.18518518518518523;0.0;0.0;0.11764705882352944;0.04166666666666663;0.30952380952380953;0.0;0.0;0.0;0.11428571428571432;0.10810810810810811;0.16393442622950816;0.0;0.18181818181818177;0.18518518518518523;0.0;0.11111111111111116
GO:0060401;0.0;0.0;0.0;1.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19354838709677424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051092;0.0;0.13793103448275867;0.9583333333333334;0.0;1.0;0.05714285714285716;0.12121212121212122;0.09677419354838712;0.2068965517241379;0.11111111111111116;0.0;0.0;0.13793103448275867;0.0;0.0;0.0;0.13888888888888884;0.0;0.15384615384615385;0.08510638297872342;0.10810810810810811;0.0;0.12903225806451613;0.0;0.1875;0.13793103448275867;0.15384615384615385;0.11904761904761907;0.0;0.11363636363636365;0.08823529411764708;0.0;0.0;0.16666666666666663;0.0;0.12121212121212122;0.1428571428571429;0.10526315789473684;0.1923076923076923;0.0;0.12121212121212122;0.1282051282051282;0.15384615384615385;0.14814814814814814;0.16666666666666663;0.1470588235294118;0.5128205128205128;0.11428571428571432;0.13888888888888884;0.0888888888888889;0.0;0.14814814814814814;0.0888888888888889;0.0;0.0;0.09259259259259256;0.0;0.06451612903225812;0.2272727272727273;0.125;0.125;0.0;0.09523809523809523;0.11111111111111116;0.11627906976744184;0.0;0.0;0.0;0.0;0.14814814814814814;0.06666666666666665;0.0;0.0;0.08823529411764708;0.0;0.06666666666666665;0.13793103448275867;0.0;0.1923076923076923;0.12903225806451613;0.1071428571428571;0.0;0.0980392156862745;0.11428571428571432;0.0;0.0;0.13793103448275867;0.0;0.0;0.0;0.0;0.0;0.0;0.13793103448275867;0.0;0.12195121951219512;0.12195121951219512;0.0;0.1428571428571429;0.22499999999999998;0.0;0.1428571428571429;0.11764705882352944;0.12903225806451613;0.0;0.0;0.15384615384615385;0.0;0.13888888888888884;0.0;0.0;0.12903225806451613;0.0;0.10204081632653061;0.1063829787234043;0.0;0.23076923076923073;0.11111111111111116;0.0;0.0;0.2222222222222222;0.08108108108108103;0.2692307692307693;0.12195121951219512;0.0;0.1785714285714286;0.0;0.0;0.13793103448275867;0.0;0.13793103448275867;0.46341463414634143;0.0;0.09756097560975607;0.0;0.10256410256410253;0.10810810810810811;0.0;0.0;0.1428571428571429;0.1785714285714286;0.0;0.0;0.11428571428571432;0.04081632653061229;0.3023255813953488;0.0;0.0;0.0;0.11111111111111116;0.10526315789473684;0.16129032258064513;0.0;0.1785714285714286;0.1785714285714286;0.0;0.1071428571428571
GO:0007016;0.0;0.09999999999999998;0.05882352941176472;0.09523809523809523;0.05714285714285716;1.0;0.08333333333333337;0.09523809523809523;0.09090909090909094;0.08333333333333337;0.11111111111111116;0.08333333333333337;0.09999999999999998;0.07692307692307687;0.05405405405405406;0.0;0.0714285714285714;0.0;0.1875;0.052631578947368474;0.0714285714285714;0.23529411764705888;0.09090909090909094;0.23529411764705888;0.07999999999999996;0.09999999999999998;0.11764705882352944;0.05882352941176472;0.11111111111111116;0.05555555555555558;0.13043478260869568;0.0;0.17647058823529416;0.09090909090909094;0.08333333333333337;0.08333333333333337;0.10526315789473684;0.06896551724137934;0.11111111111111116;0.125;0.13043478260869568;0.06451612903225812;0.1875;0.11111111111111116;0.09090909090909094;0.07692307692307687;0.04347826086956519;0.07692307692307687;0.0714285714285714;0.08571428571428574;0.11764705882352944;0.17647058823529416;0.05555555555555558;0.09090909090909094;0.0;0.04347826086956519;0.125;0.037735849056603765;0.04878048780487809;0.09677419354838712;0.09677419354838712;0.2222222222222222;0.06060606060606055;0.11538461538461542;0.05714285714285716;0.0;0.05882352941176472;0.21052631578947367;0.11764705882352944;0.17647058823529416;0.16666666666666663;0.0;0.0;0.08333333333333337;0.0;0.039215686274509776;0.09999999999999998;0.0;0.11111111111111116;0.09090909090909094;0.11111111111111116;0.0;0.046511627906976716;0.21739130434782605;0.09999999999999998;0.050000000000000044;0.1578947368421053;0.23529411764705888;0.05405405405405406;0.05405405405405406;0.21052631578947367;0.0;0.125;0.1578947368421053;0.11111111111111116;0.06060606060606055;0.06060606060606055;0.09999999999999998;0.16666666666666663;0.05555555555555558;0.0;0.10526315789473684;0.07999999999999996;0.09090909090909094;0.06060606060606055;0.11111111111111116;0.1875;0.125;0.0714285714285714;0.09090909090909094;0.09375;0.09090909090909094;0.0;0.04878048780487809;0.05128205128205132;0.08695652173913049;0.039215686274509776;0.07407407407407407;0.08333333333333337;0.05714285714285716;0.09999999999999998;0.07407407407407407;0.09999999999999998;0.06060606060606055;0.0;0.09999999999999998;0.0625;0.09999999999999998;0.09999999999999998;0.0;0.09999999999999998;0.04255319148936165;0.06666666666666665;0.09677419354838712;0.0;0.06666666666666665;0.0714285714285714;0.11111111111111116;0.05128205128205132;0.16666666666666663;0.09999999999999998;0.125;0.10526315789473684;0.07692307692307687;0.1428571428571429;0.046511627906976716;0.11764705882352944;0.09090909090909094;0.06666666666666665;0.07407407407407407;0.06896551724137934;0.03389830508474578;0.0;0.037735849056603765;0.09999999999999998;0.09090909090909094;0.11111111111111116
GO:0045766;0.0;0.375;0.125;0.0;0.12121212121212122;0.08333333333333337;1.0;0.2777777777777778;0.19999999999999996;0.11428571428571432;0.0;0.0;0.375;0.0;0.0;0.0;0.15384615384615385;0.0;0.1875;0.11111111111111116;0.25;0.0;0.33333333333333337;0.0;0.125;0.2222222222222222;0.1875;0.125;0.0;0.11764705882352944;0.18181818181818177;0.0;0.0;0.19999999999999996;0.0;0.13043478260869568;0.16666666666666663;0.1071428571428571;0.25;0.0;0.13043478260869568;0.375;0.1875;0.17647058823529416;0.33333333333333337;0.4;0.09090909090909094;0.12;0.15384615384615385;0.08571428571428574;0.0;0.17647058823529416;0.08571428571428574;0.0;0.0;0.09090909090909094;0.0;0.07843137254901966;0.10256410256410253;0.1333333333333333;0.1333333333333333;0.0;0.12903225806451613;0.11538461538461542;0.12121212121212122;0.0;0.0;0.0;0.0;0.17647058823529416;0.10526315789473684;0.0;0.0;0.13043478260869568;0.0;0.08163265306122447;0.1578947368421053;0.0;0.25;0.1428571428571429;0.25;0.0;0.25;0.12;0.0;0.0;0.1578947368421053;0.0;0.0;0.0;0.0;0.0;0.0;0.1578947368421053;0.0;0.09375;0.09375;0.0;0.16666666666666663;0.11764705882352944;0.0;0.16666666666666663;0.5;0.33333333333333337;0.0;0.0;0.1875;0.0;0.15384615384615385;0.0;0.0;0.1428571428571429;0.0;0.2647058823529411;0.28125;0.0;0.08163265306122447;0.26086956521739135;0.0;0.0;0.1578947368421053;0.16000000000000003;0.2222222222222222;0.34615384615384615;0.0;0.1578947368421053;0.0;0.0;0.375;0.0;0.09999999999999998;0.06521739130434778;0.0;0.1333333333333333;0.0;0.18518518518518523;0.25;0.0;0.0;0.16666666666666663;0.375;0.0;0.0;0.12;0.052631578947368474;0.15384615384615385;0.0;0.0;0.0;0.26086956521739135;0.40909090909090906;0.07017543859649122;0.0;0.07843137254901966;0.2222222222222222;0.0;0.25
GO:0002634;0.0;0.2666666666666667;0.09999999999999998;0.0;0.09677419354838712;0.09523809523809523;0.2777777777777778;1.0;0.16666666666666663;0.19999999999999996;0.0;0.0;0.1875;0.0;0.0;0.0;0.125;0.0;0.23076923076923073;0.08823529411764708;0.17391304347826086;0.0;0.3125;0.0;0.1428571428571429;0.1875;0.23076923076923073;0.09999999999999998;0.0;0.12903225806451613;0.15000000000000002;0.0;0.0;0.16666666666666663;0.0;0.15000000000000002;0.19999999999999996;0.12;0.2142857142857143;0.0;0.3529411764705882;0.15384615384615385;0.23076923076923073;0.2142857142857143;0.23529411764705888;0.19047619047619047;0.0714285714285714;0.13636363636363635;0.17391304347826086;0.09375;0.0;0.2142857142857143;0.12903225806451613;0.0;0.0;0.09756097560975607;0.0;0.18181818181818177;0.08108108108108103;0.24;0.24;0.0;0.10344827586206895;0.13043478260869568;0.1333333333333333;0.0;0.0;0.0;0.0;0.2142857142857143;0.125;0.0;0.0;0.21052631578947367;0.0;0.19047619047619047;0.1875;0.0;0.2142857142857143;0.23529411764705888;0.2142857142857143;0.0;0.10526315789473684;0.19047619047619047;0.0;0.0;0.1875;0.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.1428571428571429;0.1428571428571429;0.0;0.19999999999999996;0.09375;0.0;0.19999999999999996;0.19999999999999996;0.23529411764705888;0.0;0.0;0.23076923076923073;0.0;0.17391304347826086;0.0;0.0;0.16666666666666663;0.0;0.1428571428571429;0.11764705882352944;0.0;0.06382978723404253;0.23809523809523814;0.0;0.0;0.1875;0.4444444444444444;0.1875;0.1428571428571429;0.0;0.2666666666666667;0.0;0.0;0.1875;0.0;0.11764705882352944;0.06976744186046513;0.0;0.1071428571428571;0.0;0.20833333333333337;0.125;0.0;0.0;0.19999999999999996;0.2666666666666667;0.0;0.0;0.19047619047619047;0.05714285714285716;0.07692307692307687;0.0;0.0;0.0;0.18181818181818177;0.21739130434782605;0.07407407407407407;0.0;0.08333333333333337;0.1875;0.0;0.2142857142857143
GO:0032967;0.0;0.17647058823529416;0.2142857142857143;0.0;0.2068965517241379;0.09090909090909094;0.19999999999999996;0.16666666666666663;1.0;0.12121212121212122;0.0;0.0;0.25;0.0;0.0;0.0;0.16666666666666663;0.0;0.2142857142857143;0.11764705882352944;0.12;0.0;0.1578947368421053;0.0;0.25;0.25;0.2142857142857143;0.1333333333333333;0.0;0.125;0.1428571428571429;0.0;0.0;0.2222222222222222;0.0;0.1428571428571429;0.1875;0.11538461538461542;0.2857142857142857;0.0;0.1428571428571429;0.14814814814814814;0.2142857142857143;0.19999999999999996;0.2222222222222222;0.18181818181818177;0.21052631578947367;0.13043478260869568;0.16666666666666663;0.09090909090909094;0.0;0.19999999999999996;0.09090909090909094;0.0;0.0;0.09523809523809523;0.0;0.08163265306122447;0.17142857142857137;0.1428571428571429;0.1428571428571429;0.0;0.09999999999999998;0.125;0.12903225806451613;0.0;0.0;0.0;0.0;0.19999999999999996;0.11764705882352944;0.0;0.0;0.1428571428571429;0.0;0.08510638297872342;0.17647058823529416;0.0;0.2857142857142857;0.1578947368421053;0.19999999999999996;0.0;0.10256410256410253;0.13043478260869568;0.0;0.0;0.17647058823529416;0.0;0.0;0.0;0.0;0.0;0.0;0.17647058823529416;0.0;0.09999999999999998;0.09999999999999998;0.0;0.1875;0.19999999999999996;0.0;0.1875;0.19047619047619047;0.1578947368421053;0.0;0.0;0.2142857142857143;0.0;0.16666666666666663;0.0;0.0;0.1578947368421053;0.0;0.10810810810810811;0.11428571428571432;0.0;0.1333333333333333;0.125;0.0;0.0;0.25;0.125;0.4285714285714286;0.13793103448275867;0.0;0.17647058823529416;0.0;0.0;0.25;0.0;0.11111111111111116;0.11904761904761907;0.0;0.10344827586206895;0.0;0.11111111111111116;0.16666666666666663;0.0;0.0;0.1875;0.25;0.0;0.0;0.13043478260869568;0.05555555555555558;0.22857142857142854;0.0;0.0;0.0;0.17391304347826086;0.16000000000000003;0.1132075471698113;0.0;0.12765957446808507;0.25;0.0;0.19999999999999996
GO:0002755;0.0;0.12903225806451613;0.11363636363636365;0.0;0.11111111111111116;0.08333333333333337;0.11428571428571432;0.19999999999999996;0.12121212121212122;1.0;0.06451612903225812;0.05405405405405406;0.12903225806451613;0.05128205128205132;0.040000000000000036;0.0;0.13157894736842102;0.0625;0.23076923076923073;0.08163265306122447;0.10256410256410253;0.0625;0.15625;0.0625;0.08108108108108103;0.12903225806451613;0.1428571428571429;0.11363636363636365;0.06451612903225812;0.15909090909090906;0.08333333333333337;0.0;0.06451612903225812;0.15625;0.05405405405405406;0.11428571428571432;0.1333333333333333;0.09999999999999998;0.1785714285714286;0.06896551724137934;0.3448275862068966;0.12195121951219512;0.23076923076923073;0.13793103448275867;0.15625;0.13888888888888884;0.0892857142857143;0.10810810810810811;0.19444444444444442;0.1333333333333333;0.06666666666666665;0.2222222222222222;0.10869565217391308;0.05714285714285716;0.0;0.12962962962962965;0.06896551724137934;0.23636363636363633;0.0980392156862745;0.5666666666666667;0.5666666666666667;0.06060606060606055;0.09090909090909094;0.10526315789473684;0.19047619047619047;0.0;0.04255319148936165;0.05882352941176472;0.06666666666666665;0.2222222222222222;0.09677419354838712;0.0;0.0;0.11428571428571432;0.0625;0.24528301886792447;0.12903225806451613;0.0;0.1785714285714286;0.15625;0.09999999999999998;0.0;0.09433962264150941;0.17142857142857137;0.06060606060606055;0.037735849056603765;0.2068965517241379;0.0625;0.040000000000000036;0.040000000000000036;0.05882352941176472;0.0;0.06896551724137934;0.12903225806451613;0.06451612903225812;0.11627906976744184;0.11627906976744184;0.06060606060606055;0.2142857142857143;0.10869565217391308;0.0;0.1333333333333333;0.11111111111111116;0.12121212121212122;0.04347826086956519;0.06451612903225812;0.23076923076923073;0.06896551724137934;0.19444444444444442;0.08823529411764708;0.06666666666666665;0.12121212121212122;0.0;0.1428571428571429;0.10204081632653061;0.08571428571428574;0.08196721311475408;0.1351351351351351;0.05405405405405406;0.04166666666666663;0.09375;0.16666666666666663;0.12903225806451613;0.11627906976744184;0.0;0.16666666666666663;0.0444444444444444;0.0;0.12903225806451613;0.0;0.06060606060606055;0.06896551724137934;0.046511627906976716;0.09302325581395354;0.0;0.09756097560975607;0.10256410256410253;0.06451612903225812;0.038461538461538436;0.2142857142857143;0.16666666666666663;0.06896551724137934;0.0625;0.13888888888888884;0.06000000000000005;0.09433962264150941;0.06666666666666665;0.05714285714285716;0.046511627906976716;0.2727272727272727;0.1578947368421053;0.12121212121212122;0.06666666666666665;0.11475409836065575;0.16666666666666663;0.05714285714285716;0.09999999999999998
