;GO:0010360;GO:0090314;GO:0042738;GO:0022408;GO:0006887;GO:0023014;GO:0000187;GO:0050871;GO:1902808;GO:0006958;GO:0095500;GO:0035459;GO:0019369;GO:0051601;GO:0050853;GO:0051568;GO:0042742;GO:0009306;GO:0000055;GO:0006888;GO:0002029;GO:0045087;GO:0033148;GO:0031146;GO:0018105
GO:0010360;1.0;0.26062379392611595;0.0;0.3047884810742295;0.0;0.16899887480935075;0.13377560743668226;0.2136308989259893;0.22370760844431653;0.1690308397935876;0.25486700276587576;0.0;0.0;0.0;0.18510561409742765;0.0;0.0;0.0;0.0;0.0;0.24728587809257904;0.0;0.202427380867268;0.0;0.0
GO:0090314;0.26062379392611595;1.0;0.0;0.2502076088302313;0.0;0.1711738263652677;0.13745269373214514;0.2708875501308529;0.2838835708082402;0.21360596665094603;0.2598461891074892;0.0;0.0;0.0;0.23420651954140245;0.0;0.0;0.0;0.0;0.0;0.20228452214340714;0.0;0.2564617498991556;0.0;0.0
GO:0042738;0.0;0.0;1.0;0.0;0.30949014797109914;0.2993645206876096;0.0;0.0;0.0;0.15113508388983718;0.3059812945187989;0.26823501593951743;0.3803670331293848;0.0;0.18571466155167654;0.27439420048177104;0.0;0.22628701206921334;0.0;0.0;0.0;0.0;0.0;0.4036899926237721;0.33069631502526464
GO:0022408;0.3047884810742295;0.2502076088302313;0.0;1.0;0.0;0.2968562979363105;0.1714396649124186;0.4120496859604238;0.4412538663829104;0.2261982151740822;0.5405555159382067;0.0;0.0;0.0;0.3359756130282054;0.0;0.0;0.0;0.0;0.0;0.5080980172604486;0.0;0.3810613286707419;0.0;0.0
GO:0006887;0.0;0.0;0.30949014797109914;0.0;1.0;0.1644770924060004;0.0;0.0;0.0;0.0;0.30993212558224403;0.5454271738175326;0.2093697471784987;0.2652325796478384;0.18716274162303617;0.15067176243782734;0.0;0.5933135144042536;0.23252158938339487;0.560271651810382;0.0;0.0;0.0;0.16654820600493933;0.1818218274310565
GO:0023014;0.16899887480935075;0.1711738263652677;0.2993645206876096;0.2968562979363105;0.1644770924060004;1.0;0.1381462526212675;0.26091667956319325;0.2723297868752643;0.4617358498109399;0.4454195597712384;0.152048994805446;0.34618611158709467;0.0;0.33092196207149077;0.6049630057482842;0.0;0.13759094828666252;0.0;0.0;0.24450289811453949;0.0;0.24813902888377865;0.5036828479937859;0.8300328075678434
GO:0000187;0.13377560743668226;0.13745269373214514;0.0;0.1714396649124186;0.0;0.1381462526212675;1.0;0.21795648610696094;0.22366163811181966;0.17854738500766523;0.174824542038814;0.0;0.0;0.0;0.22354757758805996;0.0;0.0;0.0;0.0;0.0;0.2581773143107015;0.0;0.4174940345741352;0.0;0.0
GO:0050871;0.2136308989259893;0.2708875501308529;0.0;0.4120496859604238;0.0;0.26091667956319325;0.21795648610696094;1.0;0.5026831002520797;0.33056002889808445;0.43216021861709103;0.0;0.0;0.0;0.43740375631577344;0.0;0.0;0.0;0.0;0.0;0.3176428767140194;0.0;0.4444137667625456;0.0;0.0
GO:1902808;0.22370760844431653;0.2838835708082402;0.0;0.4412538663829104;0.0;0.2723297868752643;0.22366163811181966;0.5026831002520797;1.0;0.2588938884306211;0.4643961568631193;0.0;0.0;0.0;0.36241827080171196;0.0;0.0;0.0;0.0;0.0;0.3347205378899438;0.0;0.46879622746569477;0.0;0.0
GO:0006958;0.1690308397935876;0.21360596665094603;0.15113508388983718;0.2261982151740822;0.0;0.4617358498109399;0.17854738500766523;0.33056002889808445;0.2588938884306211;1.0;0.23404673884496302;0.0;0.22784649880206864;0.0;0.5104254746689667;0.33699455016780916;0.13368606087410206;0.0;0.0;0.0;0.2295929677730076;0.25767449396076575;0.3207378325625033;0.3609691886244614;0.38267276962324764
