;GO:1903352;GO:2001033;GO:0030182;GO:0030163;GO:0006783;GO:0006099;GO:1904876;GO:0006782;GO:0045944;GO:0032091;GO:0042985;GO:0000398;GO:0000122;GO:0018160;GO:0006509;GO:0031848;GO:0000390;GO:0031333;GO:0097638;GO:0016486;GO:0050435
GO:1903352;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6201755036199598;0.0;0.0
GO:2001033;0.0;1.0;0.0;0.0;0.0;0.0;0.49981463631649575;0.0;0.14416800614326972;0.036692364793703955;0.20539045317781315;0.0;0.25303108789522155;0.0;0.0;0.036692364793703955;0.0;0.13839445927415203;0.0;0.036692364793703955;0.0
GO:0030182;0.0;0.0;1.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624
GO:0030163;0.0;0.0;0.0;1.0;0.1237146889194086;0.06927734236639929;0.0;0.1237146889194086;0.0;0.0;0.0;0.08547128021085358;0.0;0.1468397877411918;0.1468397877411918;0.08547128021085358;0.0;0.0;0.0;0.1468397877411918;0.1237146889194086
GO:0006783;0.0;0.0;0.01468324974140624;0.1237146889194086;1.0;0.06886689890529227;0.0;0.6793013599639813;0.0;0.0;0.0;0.13549442901423786;0.0;0.1237146889194086;0.1237146889194086;0.13549442901423786;0.01468324974140624;0.0;0.0;0.12826917739045696;0.12826917739045696
GO:0006099;0.0;0.0;0.01468324974140624;0.06927734236639929;0.06886689890529227;1.0;0.0;0.06886689890529227;0.0;0.0;0.0;0.06927734236639929;0.0;0.06927734236639929;0.06927734236639929;0.06927734236639929;0.01468324974140624;0.0;0.0;0.06927734236639929;0.06886689890529227
GO:1904876;0.0;0.49981463631649575;0.0;0.0;0.0;0.0;1.0;0.0;0.14416800614326972;0.2828001955049257;0.20539045317781315;0.0;0.25303108789522155;0.0;0.0;0.036692364793703955;0.0;0.13839445927415203;0.0;0.036692364793703955;0.0
GO:0006782;0.0;0.0;0.01468324974140624;0.1237146889194086;0.6793013599639813;0.06886689890529227;0.0;1.0;0.0;0.0;0.0;0.13549442901423786;0.0;0.1237146889194086;0.1237146889194086;0.13549442901423786;0.01468324974140624;0.0;0.0;0.12826917739045696;0.12826917739045696
GO:0045944;0.0;0.14416800614326972;0.0;0.0;0.0;0.0;0.14416800614326972;0.0;1.0;0.036692364793703955;0.14806647662370065;0.0;0.193449319138058;0.0;0.0;0.036692364793703955;0.0;0.047799631016701725;0.0;0.036692364793703955;0.0
GO:0032091;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.2828001955049257;0.0;0.036692364793703955;1.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0
