;GO:1903352;GO:2001033;GO:0030182;GO:0030163;GO:0006783;GO:0006099;GO:1904876;GO:0006782;GO:0045944;GO:0032091;GO:0042985;GO:0000398;GO:0000122;GO:0018160;GO:0006509;GO:0031848;GO:0000390;GO:0031333;GO:0097638;GO:0016486;GO:0050435
GO:1903352;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6812255399195906;0.0;0.0
GO:2001033;0.0;1.0;0.0;0.0;0.0;0.0;0.5226077819953512;0.0;0.4393249098325875;0.2505734185992409;0.3636800376423003;0.0;0.5213376046997594;0.0;0.0;0.2178139717893584;0.0;0.43082575353412284;0.0;0.25281422795084085;0.0
GO:0030182;0.0;0.0;1.0;0.0;0.4313565384207542;0.5065796740652142;0.0;0.5164243969810904;0.0;0.0;0.0;0.5332540619660073;0.0;0.34556119218011516;0.0;0.4897500090802972;0.4897500090802972;0.0;0.0;0.540239004035048;0.3820209135305445
GO:0030163;0.0;0.0;0.0;1.0;0.46304696643810217;0.4997737712114111;0.0;0.5284847686329259;0.0;0.0;0.0;0.5536056488212395;0.0;0.485104860791694;0.5385818032541478;0.5101015959355295;0.0;0.0;0.0;0.5952000859367689;0.48583637008838615
GO:0006783;0.0;0.0;0.4313565384207542;0.46304696643810217;1.0;0.40392966819944326;0.0;0.7608322255853657;0.0;0.0;0.0;0.4794038677846501;0.0;0.31929101650282765;0.36145414319688907;0.43589981489894003;0.3271838647793925;0.0;0.0;0.48627221880506005;0.4031490972841491
GO:0006099;0.0;0.0;0.5065796740652142;0.4997737712114111;0.40392966819944326;1.0;0.0;0.46219497219811884;0.0;0.0;0.0;0.4942468995109515;0.0;0.32618408609057176;0.3755197109807816;0.4507428466252414;0.4024070004238523;0.0;0.0;0.5012318415799921;0.3504527257369895
GO:1904876;0.0;0.5226077819953512;0.0;0.0;0.0;0.0;1.0;0.0;0.45481364862585577;0.5274656418405466;0.3809949744776955;0.0;0.5409676610652718;0.0;0.0;0.254758964990266;0.0;0.41119569716861043;0.0;0.28561790357950434;0.0
GO:0006782;0.0;0.0;0.5164243969810904;0.5284847686329259;0.7608322255853657;0.46219497219811884;0.0;1.0;0.0;0.0;0.0;0.5376691717833256;0.0;0.3548950835120866;0.40423070840229636;0.49416511889761555;0.4122517233397286;0.0;0.0;0.5445375228037357;0.46858689947897286
GO:0045944;0.0;0.4393249098325875;0.0;0.0;0.0;0.0;0.45481364862585577;0.0;1.0;0.36403004948724965;0.5059871691777704;0.0;0.7683667324846346;0.0;0.0;0.33127060267736713;0.0;0.4321839853554562;0.0;0.3662708588388496;0.0
GO:0032091;0.0;0.2505734185992409;0.0;0.0;0.0;0.0;0.5274656418405466;0.0;0.36403004948724965;1.0;0.2505734185992409;0.0;0.34873900343150077;0.0;0.0;0.3524709421444941;0.0;0.38784892085112815;0.0;0.3802987001098282;0.0
GO:0042985;0.0;0.3636800376423003;0.0;0.0;0.0;0.0;0.3809949744776955;0.0;0.5059871691777704;0.2505734185992409;1.0;0.0;0.6096666374327042;0.0;0.0;0.2178139717893584;0.0;0.43082575353412284;0.0;0.25281422795084085;0.0
GO:0000398;0.0;0.0;0.5332540619660073;0.5536056488212395;0.4794038677846501;0.4942468995109515;0.0;0.5376691717833256;0.0;0.0;0.0;1.0;0.0;0.3800159637004003;0.42935158859061;0.5554316673091052;0.42908138832464554;0.0;0.0;0.5613671877886526;0.45261288883522627
GO:0000122;0.0;0.5213376046997594;0.0;0.0;0.0;0.0;0.5409676610652718;0.0;0.7683667324846346;0.34873900343150077;0.6096666374327042;0.0;1.0;0.0;0.0;0.3159795566216183;0.0;0.5093612820008704;0.0;0.3509798127831007;0.0
GO:0018160;0.0;0.0;0.34556119218011516;0.485104860791694;0.31929101650282765;0.32618408609057176;0.0;0.3548950835120866;0.0;0.0;0.0;0.3800159637004003;0.0;1.0;0.3781657373964596;0.3747935285749796;0.24138851853875337;0.0;0.0;0.42161040081592954;0.3254203042306979
GO:0006509;0.0;0.0;0.0;0.5385818032541478;0.36145414319688907;0.3755197109807816;0.0;0.40423070840229636;0.0;0.0;0.0;0.42935158859061;0.0;0.3781657373964596;1.0;0.38584753570489994;0.0;0.0;0.0;0.6164537228294951;0.37172474849700354
GO:0031848;0.0;0.2178139717893584;0.4897500090802972;0.5101015959355295;0.43589981489894003;0.4507428466252414;0.254758964990266;0.49416511889761555;0.33127060267736713;0.3524709421444941;0.2178139717893584;0.5554316673091052;0.3159795566216183;0.3747935285749796;0.38584753570489994;1.0;0.4772016191318648;0.37240441087664083;0.0;0.5273779635288606;0.40910883594951614
GO:0000390;0.0;0.0;0.4897500090802972;0.0;0.3271838647793925;0.4024070004238523;0.0;0.4122517233397286;0.0;0.0;0.0;0.42908138832464554;0.0;0.24138851853875337;0.0;0.4772016191318648;1.0;0.0;0.0;0.43606633039368614;0.27784823988918267
GO:0031333;0.0;0.43082575353412284;0.0;0.0;0.0;0.0;0.41119569716861043;0.0;0.4321839853554562;0.38784892085112815;0.43082575353412284;0.0;0.5093612820008704;0.0;0.0;0.37240441087664083;0.0;1.0;0.0;0.400232168841975;0.0
