;GO:1903352;GO:2001033;GO:0030182;GO:0030163;GO:0006783;GO:0006099;GO:1904876;GO:0006782;GO:0045944;GO:0032091;GO:0042985;GO:0000398;GO:0000122;GO:0018160;GO:0006509;GO:0031848;GO:0000390;GO:0031333;GO:0097638;GO:0016486;GO:0050435
GO:1903352;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7973559930336239;0.0;0.0
GO:2001033;0.0;1.0;0.0;0.0;0.0;0.0;0.6473624608089498;0.0;0.32662402831577514;0.14849323490485386;0.5077796779197271;0.0;0.5210760887999718;0.0;0.0;0.09175267413603434;0.0;0.32597327271869314;0.0;0.11249146987186617;0.0
GO:0030182;0.0;0.0;1.0;0.0;0.16398094643995412;0.2616124049674756;0.0;0.17364039459852448;0.0;0.0;0.0;0.20200486299406673;0.0;0.2238635814402462;0.0;0.14604504930012227;0.333942448116813;0.0;0.0;0.20670124020862518;0.3155357806793245
GO:0030163;0.0;0.0;0.0;1.0;0.2775654079119804;0.339108021894178;0.0;0.2912017444004102;0.0;0.0;0.0;0.3872033575636446;0.0;0.5358431720234437;0.6987386804009883;0.2953199704447419;0.0;0.0;0.0;0.5026314455446845;0.4659625995391175
GO:0006783;0.0;0.0;0.16398094643995412;0.2775654079119804;1.0;0.2688278085480567;0.0;0.8973369497316345;0.0;0.0;0.0;0.4239267022336461;0.0;0.32906373540704426;0.29098044745635643;0.3480612286585646;0.1482238478657589;0.0;0.0;0.3525357465011927;0.43753095918363727
GO:0006099;0.0;0.0;0.2616124049674756;0.339108021894178;0.2688278085480567;1.0;0.0;0.28143243150756225;0.0;0.0;0.0;0.37013113702557804;0.0;0.4002344268196903;0.3635454892141651;0.2857817126553937;0.22367702107257076;0.0;0.0;0.3767244233326593;0.43833077793290487
GO:1904876;0.0;0.6473624608089498;0.0;0.0;0.0;0.0;1.0;0.0;0.33522034592282207;0.26284164158611306;0.5221989238043788;0.0;0.5345939097751118;0.0;0.0;0.09424516902580475;0.0;0.33953250112002203;0.0;0.11626120520779334;0.0
GO:0006782;0.0;0.0;0.17364039459852448;0.2912017444004102;0.8973369497316345;0.28143243150756225;0.0;1.0;0.0;0.0;0.0;0.4411227460945772;0.0;0.3432305934213409;0.3060024236823646;0.3595696839909363;0.1560716923087266;0.0;0.0;0.3670308512778116;0.46008162149140824
GO:0045944;0.0;0.32662402831577514;0.0;0.0;0.0;0.0;0.33522034592282207;0.0;1.0;0.1328912122287729;0.4139322977053423;0.0;0.5654260455994443;0.0;0.0;0.08554683318088331;0.0;0.211127344976875;0.0;0.10330363524984125;0.0
GO:0032091;0.0;0.14849323490485386;0.0;0.0;0.0;0.0;0.26284164158611306;0.0;0.1328912122287729;1.0;0.14873146891059436;0.0;0.1301417776414878;0.0;0.0;0.13920580430017312;0.0;0.2855095311624382;0.0;0.19326261297439734;0.0
GO:0042985;0.0;0.5077796779197271;0.0;0.0;0.0;0.0;0.5221989238043788;0.0;0.4139322977053423;0.14873146891059436;1.0;0.0;0.6915693622475407;0.0;0.0;0.09184357368373565;0.0;0.32646116384311274;0.0;0.11262813594172777;0.0
GO:0000398;0.0;0.0;0.20200486299406673;0.3872033575636446;0.4239267022336461;0.37013113702557804;0.0;0.4411227460945772;0.0;0.0;0.0;1.0;0.0;0.4319505408934994;0.4096451191934719;0.5293864203966603;0.17861419735574238;0.0;0.0;0.45391533656078364;0.4680732734637888
GO:0000122;0.0;0.5210760887999718;0.0;0.0;0.0;0.0;0.5345939097751118;0.0;0.5654260455994443;0.1301417776414878;0.6915693622475407;0.0;1.0;0.0;0.0;0.08439901862463169;0.0;0.28807264913085734;0.0;0.10163451654405721;0.0
GO:0018160;0.0;0.0;0.2238635814402462;0.5358431720234437;0.32906373540704426;0.4002344268196903;0.0;0.3432305934213409;0.0;0.0;0.0;0.4319505408934994;0.0;1.0;0.569743487525455;0.3765984425604929;0.19549236094670072;0.0;0.0;0.5319355792850602;0.5112662086313597
GO:0006509;0.0;0.0;0.0;0.6987386804009883;0.29098044745635643;0.3635454892141651;0.0;0.3060024236823646;0.0;0.0;0.0;0.4096451191934719;0.0;0.569743487525455;1.0;0.30819748200059965;0.0;0.0;0.0;0.5891638993983179;0.5050511175744853
GO:0031848;0.0;0.09175267413603434;0.14604504930012227;0.2953199704447419;0.3480612286585646;0.2857817126553937;0.09424516902580475;0.3595696839909363;0.08554683318088331;0.13920580430017312;0.09184357368373565;0.5293864203966603;0.08439901862463169;0.3765984425604929;0.30819748200059965;1.0;0.2262881759113992;0.13042806688239847;0.0;0.43857121309916;0.3523191594140127
GO:0000390;0.0;0.0;0.333942448116813;0.0;0.1482238478657589;0.22367702107257076;0.0;0.1560716923087266;0.0;0.0;0.0;0.17861419735574238;0.0;0.19549236094670072;0.0;0.2262881759113992;1.0;0.0;0.0;0.18227607397503212;0.26195181974126464
GO:0031333;0.0;0.32597327271869314;0.0;0.0;0.0;0.0;0.33953250112002203;0.0;0.211127344976875;0.2855095311624382;0.32646116384311274;0.0;0.28807264913085734;0.0;0.0;0.13042806688239847;0.0;1.0;0.0;0.17674841250110132;0.0
GO:0097638;0.7973559930336239;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
GO:0016486;0.0;0.11249146987186617;0.20670124020862518;0.5026314455446845;0.3525357465011927;0.3767244233326593;0.11626120520779334;0.3670308512778116;0.10330363524984125;0.19326261297439734;0.11262813594172777;0.45391533656078364;0.10163451654405721;0.5319355792850602;0.5891638993983179;0.43857121309916;0.18227607397503212;0.17674841250110132;0.0;1.0;0.6486304759933508
GO:0050435;0.0;0.0;0.3155357806793245;0.4659625995391175;0.43753095918363727;0.43833077793290487;0.0;0.46008162149140824;0.0;0.0;0.0;0.4680732734637888;0.0;0.5112662086313597;0.5050511175744853;0.3523191594140127;0.26195181974126464;0.0;0.0;0.6486304759933508;1.0
