;GO:1902475;GO:0007257;GO:0043542;GO:0051092;GO:0060644;GO:0050796;GO:0001666;GO:0045893;GO:0001504;GO:2000353;GO:0051965;GO:0001829;GO:2001244;GO:0030183;GO:0042100;GO:0042102;GO:0010508;GO:0033209;GO:0051131;GO:0010469;GO:0072659;GO:0032753;GO:0046718;GO:0007032;GO:1904674;GO:0008284;GO:1904677;GO:0006814;GO:0045596;GO:0051023;GO:0010716;GO:2000737;GO:0033632;GO:0015804;GO:0016236;GO:0045190;GO:0050776;GO:0031295;GO:0006351;GO:0048305;GO:0007166;GO:0009267;GO:0006357;GO:0001662;GO:0032735;GO:0010923;GO:0043066;GO:0006508;GO:0033147;GO:0032733;GO:2000103
GO:1902475;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22194169587738316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24270548011525123;0.0;0.0;0.0;0.0;0.0;0.0;0.48860629023687935;0.0;0.0;0.0;0.0;0.0;0.8445986565575733;0.0;0.0;0.0;0.0;0.0;0.3208582285079569;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007257;0.0;1.0;0.0;0.4254755636652371;0.0;0.30767455575442815;0.0;0.4149097914325668;0.05529816207592622;0.19139908722040405;0.21335632684158415;0.0;0.48250377735291233;0.0;0.0;0.22071861528458894;0.31039836724972814;0.08139522719189178;0.0;0.365517502142541;0.0;0.1762180254556381;0.0;0.0;0.14836744472364796;0.27481731663483405;0.15721911277897635;0.0;0.09984863345772726;0.07172169412910705;0.06455437103449083;0.0726274092519681;0.0596655064900154;0.0;0.0;0.0;0.3266033382985342;0.2090196015942736;0.0;0.0;0.11546335692686707;0.0;0.26713119286186604;0.0;0.18154304420251482;0.4112235991238627;0.10314560982495038;0.0;0.26417083520029255;0.18060302066275427;0.15721911277897635
GO:0043542;0.0;0.0;1.0;0.0;0.022678301329808703;0.0;0.0;0.0;0.0;0.0;0.0;0.02220774004398209;0.0;0.02616848655465213;0.024162550735544377;0.0;0.0;0.025839341070215228;0.0227811515667553;0.0;0.0;0.0;0.0;0.02553251145088513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026194296481582512;0.022678301329808703;0.0;0.0;0.037269541997296644;0.02035231342945171;0.03717474363170331;0.02728253543529955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051092;0.0;0.4254755636652371;0.0;1.0;0.0;0.09894645002366734;0.0;0.42389492692560166;0.06124515138413373;0.1912177617769477;0.21580373377529938;0.0;0.21276381638385972;0.0;0.0;0.22418484069535913;0.22598630320266477;0.0914260044528687;0.0;0.41305881888018986;0.0;0.1954995082054326;0.0;0.0;0.16180347217199048;0.28798990181602363;0.15412455084397975;0.0;0.1153770619966516;0.07939748613900778;0.0707068951991919;0.08050893986872731;0.06566676223604617;0.0;0.0;0.0;0.1071726145411161;0.21089949390811286;0.0;0.0;0.13674595103504095;0.0;0.46068525772303276;0.0;0.202075331995097;0.34381094037881;0.11980199274852306;0.0;0.07810924660192171;0.20091133503460615;0.15412455084397975
GO:0060644;0.0;0.0;0.022678301329808703;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31500061848544464;0.0;0.36552920450988907;0.021900692391224698;0.0;0.0;0.02326935612641188;0.020759707699946048;0.0;0.0;0.0;0.0;0.023020231667961345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02355682226794722;0.02067426589125152;0.0;0.0;0.032148284253497694;0.018723519825233667;0.03207772399586913;0.024433280630625713;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050796;0.0;0.30767455575442815;0.0;0.09894645002366734;0.0;1.0;0.0;0.13178264845080068;0.28387916197915103;0.08084162228403892;0.09144976323500151;0.0;0.3176578285535974;0.0;0.0;0.09507734572543444;0.09585782788213121;0.09334614262908342;0.0;0.407232517448289;0.0;0.0727649242828912;0.0;0.0;0.06003077078707783;0.12288538669636588;0.06493053510876767;0.0;0.11845194094325484;0.6468157698608369;0.0718499167063563;0.08199416894264892;0.06678805247624074;0.0;0.0;0.0;0.11019192130566473;0.08932975561944884;0.0;0.0;0.14108672317048943;0.0;0.14358972452058943;0.0;0.07525953973368446;0.09576293696503783;0.12312064141116866;0.0;0.2801990024715769;0.07481773638883711;0.06493053510876767
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3911285740448924;0.0;0.3330398917230234;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045893;0.0;0.4149097914325668;0.0;0.42389492692560166;0.0;0.13178264845080068;0.0;1.0;0.07664421695710165;0.26483409068678787;0.3088079655501812;0.0;0.3032133022384217;0.0;0.0;0.3244731532592718;0.4578444670527666;0.11877073164606748;0.0;0.15721143544716673;0.0;0.24573136134372334;0.0;0.0;0.1947526111929901;0.4566117260849836;0.20359079457868667;0.0;0.16262781370437995;0.0992394996394377;0.0860239630599355;0.10098198442299465;0.08086132350548277;0.0;0.0;0.0;0.15457887271250498;0.29980477571090264;0.0;0.0;0.20856769345601883;0.0;0.7090465201993377;0.0;0.2562110816874342;0.2715480550883953;0.17155948036864394;0.0;0.09723505144124203;0.2543427611087617;0.20359079457868667
GO:0001504;0.22194169587738316;0.05529816207592622;0.0;0.06124515138413373;0.0;0.28387916197915103;0.0;0.07664421695710165;1.0;0.05187698781619537;0.0574478021861569;0.0;0.05677036276797944;0.0;0.0;0.05929932766056573;0.05969422963831208;0.05841903399419188;0.0;0.06927230410239224;0.2254279985147743;0.05286244870446749;0.0;0.0;0.04492546505287154;0.07265844690822702;0.043056743319223614;0.24957623960599826;0.07062245184692001;0.05187698781619537;0.04696375651982422;0.0524938275779184;0.04919579505644232;0.2210879101104097;0.0;0.0;0.07371490909540086;0.05635334037172908;0.0;0.18813246016991844;0.08067506443556285;0.0;0.08173640625346164;0.0;0.05436321805046968;0.059646282336066024;0.07276554159979645;0.0;0.051158810874951416;0.05409867508856425;0.043056743319223614
GO:2000353;0.0;0.19139908722040405;0.0;0.1912177617769477;0.0;0.08084162228403892;0.0;0.26483409068678787;0.05187698781619537;1.0;0.19880556769944632;0.0;0.5351390793683984;0.0;0.0;0.20518288483276395;0.20654282646951716;0.07575071298434458;0.0;0.08974667892297208;0.0;0.16515529668564713;0.0;0.0;0.14044663841279506;0.25114104196559806;0.1491736849714206;0.0;0.09148609510822617;0.06730269514903457;0.060952265659301896;0.06809962056088802;0.05617858380794982;0.0;0.0;0.0;0.08401444449515184;0.19503496830115094;0.0;0.0;0.10442534165541588;0.0;0.10579024883512306;0.0;0.1698238506950975;0.07733453384262934;0.4903909818110493;0.0;0.06637474900666725;0.1690009980693449;0.1491736849714206
