;GO:0042407;GO:0034551;GO:0002082;GO:0006123;GO:1902600;GO:0043279;GO:0022900;GO:0006122;GO:0097250;GO:0009725;GO:0021860;GO:0042776;GO:0006627;GO:0006119;GO:0016485;GO:0033762;GO:0009060
GO:0042407;1.0;0.2857142857142857;0.0;0.14285714285714285;0.0;0.0;0.1111111111111111;0.14285714285714285;0.5;0.0;0.14285714285714285;0.0;0.14285714285714285;0.1111111111111111;0.0;0.0;0.09090909090909091
GO:0034551;0.2857142857142857;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0
GO:0002082;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006123;0.14285714285714285;0.0;0.0;1.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.6666666666666666
GO:1902600;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0
GO:0043279;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0
GO:0022900;0.1111111111111111;0.0;0.0;0.75;0.0;0.0;1.0;0.75;0.0;0.0;0.0;0.5;0.25;0.6;0.25;0.0;0.42857142857142855
GO:0006122;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.75;1.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.42857142857142855
GO:0097250;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0009725;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0
GO:0021860;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.2;0.0;0.0;0.0
GO:0042776;0.0;0.0;0.0;0.0;0.7;0.0;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.8;0.0;0.0;0.375
GO:0006627;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;1.0;0.2;0.0;0.0;0.16666666666666666
GO:0006119;0.1111111111111111;0.2;0.0;0.6;0.0;0.0;0.6;0.6;0.0;0.0;0.2;0.8;0.2;1.0;0.2;0.0;0.42857142857142855
GO:0016485;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;0.0;0.16666666666666666
GO:0033762;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;1.0;0.0
GO:0009060;0.09090909090909091;0.0;0.0;0.6666666666666666;0.0;0.0;0.42857142857142855;0.42857142857142855;0.0;0.0;0.0;0.375;0.16666666666666666;0.42857142857142855;0.16666666666666666;0.0;1.0
