;GO:0042407;GO:0006120;GO:0015990;GO:1902600;GO:0051591;GO:0043312;GO:0045333;GO:0006122;GO:0042775;GO:0021860;GO:0042776;GO:0006119;GO:0001932;GO:0048146;GO:0032981;GO:0009060;GO:0019933
GO:0042407;1.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.12408495164008174;0.01468324974140624;0.01468324974140624
GO:0006120;0.01468324974140624;1.0;0.0;0.0;0.0;0.01468324974140624;0.39324941047259077;0.5310490998359887;0.5310490998359887;0.01468324974140624;0.39324941047259077;0.39324941047259077;0.0;0.0;0.01468324974140624;0.39324941047259077;0.01468324974140624
GO:0015990;0.0;0.0;1.0;0.4945683533957729;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.4945683533957729;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902600;0.0;0.0;0.4945683533957729;1.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.4945683533957729;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051591;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043312;0.01468324974140624;0.01468324974140624;0.14698621595948655;0.14698621595948655;0.0;1.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.14698621595948655;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624
GO:0045333;0.01468324974140624;0.39324941047259077;0.0;0.0;0.0;0.01468324974140624;1.0;0.39324941047259077;0.39324941047259077;0.01468324974140624;0.39324941047259077;0.39324941047259077;0.0;0.0;0.01468324974140624;0.5699436478122857;0.01468324974140624
GO:0006122;0.01468324974140624;0.5310490998359887;0.0;0.0;0.0;0.01468324974140624;0.39324941047259077;1.0;0.5310490998359887;0.01468324974140624;0.39324941047259077;0.39324941047259077;0.0;0.0;0.01468324974140624;0.39324941047259077;0.01468324974140624
GO:0042775;0.01468324974140624;0.5310490998359887;0.0;0.0;0.0;0.01468324974140624;0.39324941047259077;0.5310490998359887;1.0;0.01468324974140624;0.39324941047259077;0.39324941047259077;0.0;0.0;0.01468324974140624;0.39324941047259077;0.01468324974140624
GO:0021860;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;1.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624
GO:0042776;0.01468324974140624;0.39324941047259077;0.4945683533957729;0.4945683533957729;0.0;0.14698621595948655;0.39324941047259077;0.39324941047259077;0.39324941047259077;0.01468324974140624;1.0;0.6667615830571956;0.0;0.0;0.01468324974140624;0.39324941047259077;0.01468324974140624
GO:0006119;0.01468324974140624;0.39324941047259077;0.0;0.0;0.0;0.01468324974140624;0.39324941047259077;0.39324941047259077;0.39324941047259077;0.01468324974140624;0.6667615830571956;1.0;0.0;0.0;0.01468324974140624;0.39324941047259077;0.01468324974140624
GO:0001932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.047799631016701725;0.0;0.0;0.047799631016701725
GO:0048146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;1.0;0.0;0.0;0.047799631016701725
GO:0032981;0.12408495164008174;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;1.0;0.01468324974140624;0.01468324974140624
GO:0009060;0.01468324974140624;0.39324941047259077;0.0;0.0;0.0;0.01468324974140624;0.5699436478122857;0.39324941047259077;0.39324941047259077;0.01468324974140624;0.39324941047259077;0.39324941047259077;0.0;0.0;0.01468324974140624;1.0;0.01468324974140624
GO:0019933;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;1.0
