;GO:0042407;GO:0006120;GO:0015990;GO:1902600;GO:0051591;GO:0043312;GO:0045333;GO:0006122;GO:0042775;GO:0021860;GO:0042776;GO:0006119;GO:0001932;GO:0048146;GO:0032981;GO:0009060;GO:0019933
GO:0042407;1.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.4;0.0;0.0;0.5356143810225276;0.3356143810225276;0.48300749985576874
GO:0006120;0.48300749985576874;1.0;0.0;0.0;0.0;0.8;0.6830074998557688;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.8
GO:0015990;0.0;0.0;1.0;0.8;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902600;0.0;0.0;0.8;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051591;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043312;0.43852901558847923;0.8;0.3356143810225276;0.4;0.0;1.0;0.5356143810225276;0.8;0.8;0.8;0.8;0.5356143810225276;0.0;0.0;0.8;0.48300749985576874;0.8
GO:0045333;0.3660149997115376;0.6830074998557688;0.0;0.0;0.0;0.5356143810225276;1.0;0.6830074998557688;0.6830074998557688;0.5356143810225276;0.6000000000000001;0.6830074998557688;0.0;0.0;0.5356143810225276;1.0;0.5356143810225276
GO:0006122;0.48300749985576874;0.8;0.0;0.0;0.0;0.8;0.6830074998557688;1.0;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.8
GO:0042775;0.48300749985576874;0.8;0.0;0.0;0.0;0.8;0.6830074998557688;0.8;1.0;0.8;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.8
GO:0021860;0.48300749985576874;0.8;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.8;1.0;0.8;0.6000000000000001;0.0;0.0;0.8;0.48300749985576874;0.8
GO:0042776;0.43852901558847923;0.8;0.5356143810225276;0.6830074998557688;0.0;0.8;0.6000000000000001;0.8;0.8;0.8;1.0;1.0;0.0;0.0;0.8;0.5356143810225276;0.8
GO:0006119;0.4;0.8;0.0;0.0;0.0;0.5356143810225276;0.6830074998557688;0.8;0.8;0.6000000000000001;1.0;1.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001
GO:0001932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.43852901558847923;0.0;0.0;0.4
GO:0048146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;1.0;0.0;0.0;0.43852901558847923
GO:0032981;0.5356143810225276;0.8;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.6000000000000001;0.0;0.0;1.0;0.48300749985576874;0.8
GO:0009060;0.3356143810225276;0.6000000000000001;0.0;0.0;0.0;0.48300749985576874;1.0;0.6000000000000001;0.6000000000000001;0.48300749985576874;0.5356143810225276;0.6000000000000001;0.0;0.0;0.48300749985576874;1.0;0.48300749985576874
GO:0019933;0.48300749985576874;0.8;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.6000000000000001;0.4;0.43852901558847923;0.8;0.48300749985576874;1.0
