;GO:0060088;GO:0014066;GO:0014065;GO:0051291;GO:0006886;GO:0007216;GO:0051091;GO:0006559;GO:0045892;GO:0006914;GO:0048563;GO:0070885;GO:2001020;GO:0007264;GO:1900740;GO:0048009;GO:0042462;GO:0006572;GO:0006012;GO:0097062;GO:0097186;GO:0006605;GO:0071560;GO:0072334;GO:0048333;GO:0035308;GO:0010469;GO:0030335;GO:0016567;GO:0031581;GO:0006383;GO:0008286;GO:0008284;GO:0006464;GO:0002062;GO:0043243;GO:0043488;GO:0042795;GO:0045625;GO:0045944;GO:0045744;GO:0000398;GO:0051389;GO:0002576;GO:0000165;GO:0007229;GO:0050650;GO:0032703;GO:0045078;GO:0071277;GO:0051262;GO:0001845;GO:0051904;GO:0033674;GO:0010756;GO:0070106;GO:0042129;GO:0038083;GO:1904646;GO:0006396;GO:0002230;GO:0006359;GO:1903955;GO:0046328;GO:0048747;GO:0009617;GO:0048791;GO:0006906;GO:0045087;GO:0043066;GO:0070374;GO:0035329;GO:0017158
GO:0060088;1.0;0.0;0.3855773354389354;0.503876007032658;0.0;0.4122517233397286;0.0;0.30050947687859925;0.0;0.4250442347350967;0.0;0.0;0.0;0.45132899529574927;0.4772016191318648;0.3855773354389354;0.4389261112405218;0.28769296280505896;0.0;0.6294902064984227;0.0;0.0;0.28367981189368235;0.0;0.42908138832464554;0.0;0.0;0.0;0.3012369645589021;0.4772016191318648;0.4246546073949561;0.41923666540876925;0.0;0.44897697756782035;0.4122517233397286;0.0;0.0;0.3855773354389354;0.0;0.0;0.0;0.42908138832464554;0.0;0.28367981189368235;0.4496538432558393;0.3855773354389354;0.24138851853875337;0.0;0.0;0.2610185749042658;0.503876007032658;0.4940312841167817;0.0;0.0;0.0;0.3855773354389354;0.0;0.22407358170335817;0.2610185749042658;0.5124588524979681;0.0;0.0;0.0;0.0;0.4122517233397286;0.0;0.4122517233397286;0.5572247828342444;0.0;0.0;0.0;0.3855773354389354;0.0
GO:0014066;0.0;1.0;0.2832212090999459;0.0;0.0;0.3098955970007391;0.3500981082974453;0.0;0.3612402462966602;0.0;0.0;0.4879428514359071;0.4658412408774115;0.3489728689567598;0.40512171610039327;0.2832212090999459;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2939215863569925;0.5894794321241641;0.3697440430208878;0.0;0.0;0.0;0.31688053906977975;0.4131627999530642;0.0;0.0;0.35339964988644923;0.32998278008145465;0.0;0.35312067535092345;0.3498628958104269;0.542906369567854;0.0;0.5147454059975677;0.0;0.34729771691684985;0.2832212090999459;0.0;0.27611347131678793;0.2504175334712824;0.0;0.0;0.0;0.0;0.334571849754678;0.23640626492241817;0.2832212090999459;0.33299885831301324;0.0;0.0;0.0;0.34376122428552547;0.2894948054273031;0.28273593724946766;0.568094181799154;0.0;0.0;0.0;0.0;0.0;0.37489069643934175;0.5315750709824847;0.2832212090999459;0.34592943596693027
GO:0014065;0.3855773354389354;0.2832212090999459;1.0;0.4122517233397286;0.0;0.5452113864407775;0.3460849573860687;0.30050947687859925;0.3500545971891353;0.4250442347350967;0.0;0.209731877021625;0.3786268377910388;0.6612555307831637;0.40073563809933477;0.5185369985399844;0.4389261112405218;0.28769296280505896;0.0;0.3855773354389354;0.0;0.0;0.28367981189368235;0.0;0.42908138832464554;0.2672471984561994;0.42773091795977247;0.36038459195548983;0.3012369645589021;0.3855773354389354;0.4246546073949561;0.5521963285098181;0.386488412052271;0.44897697756782035;0.4122517233397286;0.326725261985656;0.3629146223709856;0.3855773354389354;0.2504175334712824;0.33719977645849797;0.3448676831155363;0.42908138832464554;0.22374314557048924;0.28367981189368235;0.6595803787432537;0.5185369985399844;0.24138851853875337;0.26675402025138994;0.23923188436375753;0.2610185749042658;0.4122517233397286;0.4024070004238523;0.0;0.35471240603141263;0.209731877021625;0.5185369985399844;0.3218132092054883;0.22407358170335817;0.2610185749042658;0.5124588524979681;0.24007963235059676;0.2783091563197782;0.2733764861840696;0.2925806601653439;0.4122517233397286;0.0;0.4122517233397286;0.46560049914131496;0.0;0.34821630853854857;0.24057281055540614;0.5955038709263498;0.3192550480661371
GO:0051291;0.503876007032658;0.0;0.4122517233397286;1.0;0.0;0.4389261112405218;0.0;0.3045226277899759;0.0;0.4189149470072264;0.0;0.0;0.0;0.47800338319654245;0.503876007032658;0.4122517233397286;0.46560049914131496;0.27742235750494454;0.0;0.503876007032658;0.0;0.0;0.31035419979447554;0.0;0.45575577622543867;0.0;0.0;0.0;0.312422613666427;0.5619529626652469;0.45132899529574927;0.44591105330956243;0.0;0.45299012847919695;0.4389261112405218;0.0;0.0;0.4122517233397286;0.0;0.0;0.0;0.45575577622543867;0.0;0.25074796960415136;0.47632823115663253;0.4122517233397286;0.25074796960415136;0.0;0.0;0.26806290643954656;0.780031148184134;0.5787826276501638;0.0;0.0;0.0;0.4122517233397286;0.0;0.23525923081088307;0.26806290643954656;0.5391332403987612;0.0;0.0;0.0;0.0;0.4389261112405218;0.0;0.4389261112405218;0.5838991707350376;0.0;0.0;0.0;0.4122517233397286;0.0
GO:0006886;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8567110662597693;0.0;0.5462564400629659;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4676996678824813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.696311135369468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7061558582853442;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007216;0.4122517233397286;0.3098955970007391;0.5452113864407775;0.4389261112405218;0.0;1.0;0.3727593452868619;0.3271838647793925;0.37672898508992847;0.4517186226358899;0.0;0.23640626492241817;0.42796246268124855;0.6109630462975914;0.42741002600012795;0.5819735554587817;0.46560049914131496;0.31436735070585214;0.0;0.4122517233397286;0.0;0.0;0.31035419979447554;0.0;0.45575577622543867;0.3094103251502608;0.4544053058605656;0.387058979856283;0.32791135245969527;0.4122517233397286;0.45132899529574927;0.6156328854286155;0.4358240369424808;0.47565136546861353;0.4389261112405218;0.37302970625196163;0.38958901027177884;0.4122517233397286;0.2770919213720756;0.36387416435929115;0.3715420710163295;0.45575577622543867;0.2504175334712824;0.31035419979447554;0.6092878942576814;0.5819735554587817;0.26806290643954656;0.29342840815218313;0.2659062722645507;0.28769296280505896;0.4389261112405218;0.42908138832464554;0.0;0.38138679393220576;0.2504175334712824;0.5819735554587817;0.3484875971062815;0.25074796960415136;0.28769296280505896;0.5391332403987612;0.26675402025138994;0.3049835442205714;0.30005087408486286;0.3365699849015323;0.4389261112405218;0.0;0.4389261112405218;0.49227488704210814;0.0;0.39220563327473695;0.2672471984561994;0.5452113864407775;0.36324437280232547
GO:0051091;0.0;0.3500981082974453;0.3460849573860687;0.0;0.0;0.3727593452868619;1.0;0.0;0.6564357892363062;0.0;0.0;0.27098998840247623;0.44853491761244235;0.41183661724288256;0.41332897906365645;0.3460849573860687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39618077147568853;0.6092818388330865;0.5171667498199936;0.0;0.0;0.0;0.37974428735590254;0.5564441891799259;0.0;0.0;0.4835074198501597;0.5123328660693981;0.0;0.3131531150965377;0.6262660316702737;0.4117445823130357;0.0;0.3879791296084081;0.0;0.4101614652029726;0.3460849573860687;0.0;0.33363091944888934;0.4501340049399221;0.0;0.0;0.0;0.0;0.6251912791533785;0.4143485869340487;0.3460849573860687;0.3863749888728705;0.0;0.0;0.0;0.30695653154809616;0.5846903483669491;0.43015864404857335;0.42334043122695997;0.0;0.0;0.0;0.0;0.0;0.41277808820593076;0.4064513767758029;0.3460849573860687;0.3838168277335193
GO:0006559;0.30050947687859925;0.0;0.30050947687859925;0.3045226277899759;0.0;0.3271838647793925;0.0;1.0;0.0;0.5520184669480194;0.0;0.0;0.0;0.3662611367354131;0.27784823988918267;0.30050947687859925;0.3538582526801856;0.753847283516325;0.3735675845356084;0.30050947687859925;0.0;0.0;0.22541450789500678;0.0;0.3213522927748928;0.0;0.0;0.0;0.36978001145757833;0.27784823988918267;0.41948794830229974;0.33416880684843314;0.0;0.5103475262703483;0.3045226277899759;0.0;0.0;0.380410676346279;0.0;0.0;0.0;0.42391472923198914;0.0;0.24090324668827506;0.4317881054025308;0.30050947687859925;0.3081053673953027;0.0;0.0;0.22541450789500678;0.3045226277899759;0.3173391418635162;0.0;0.0;0.0;0.30050947687859925;0.0;0.2926166286020344;0.22541450789500678;0.5072921934053117;0.0;0.0;0.0;0.0;0.3271838647793925;0.0;0.3271838647793925;0.3578714035915623;0.0;0.0;0.0;0.30050947687859925;0.0
GO:0045892;0.0;0.3612402462966602;0.3500545971891353;0.0;0.0;0.37672898508992847;0.6564357892363062;0.0;1.0;0.0;0.0;0.3802192569195022;0.46981949425090413;0.41580625704594915;0.3500545971891353;0.3500545971891353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5549517965542957;0.4521448460331654;0.4384036291522041;0.0;0.0;0.0;0.3837139271589691;0.4776810685121364;0.0;0.0;0.4202330379756386;0.5985699730522055;0.0;0.3344376917349995;0.7226455772923279;0.5153550630134136;0.0;0.47450275046767804;0.0;0.4141311050060392;0.3500545971891353;0.0;0.4357510509562938;0.4910486379438963;0.0;0.0;0.0;0.0;0.48253427396398413;0.49755451329295186;0.3500545971891353;0.40313591468873355;0.0;0.0;0.0;0.31809866954731103;0.6905575117152689;0.35139552338078395;0.45411262559168725;0.0;0.0;0.0;0.0;0.0;0.536018625271821;0.4035822462261536;0.3500545971891353;0.41458902209824655
GO:0006914;0.4250442347350967;0.0;0.4250442347350967;0.4189149470072264;0.0;0.4517186226358899;0.0;0.5520184669480194;0.0;1.0;0.0;0.0;0.0;0.4907958945919106;0.39224055910643324;0.4250442347350967;0.4783930105366831;0.479595722684155;0.4065027778045871;0.4250442347350967;0.0;0.0;0.32314671118984367;0.0;0.43574461199214337;0.0;0.0;0.0;0.4161087410834657;0.39224055910643324;0.4644314149359272;0.45870356470493057;0.0;0.563848754092384;0.4189149470072264;0.0;0.0;0.42535414297990654;0.0;0.0;0.0;0.46885819586561667;0.0;0.3427767675553561;0.5222343264254738;0.4250442347350967;0.35626029506331697;0.0;0.0;0.32314671118984367;0.4189149470072264;0.4418738997200136;0.0;0.0;0.0;0.4250442347350967;0.0;0.33894535822792177;0.32314671118984367;0.5522356600389392;0.0;0.0;0.0;0.0;0.4517186226358899;0.0;0.4517186226358899;0.4722637228088128;0.0;0.0;0.0;0.4250442347350967;0.0
