;GO:0007094;GO:0007095;GO:0033260;GO:0035563;GO:0008584;GO:0007131;GO:0007099;GO:0015031;GO:0007130;GO:0006289;GO:0045892;GO:0045132;GO:0071897;GO:0019886;GO:0035556;GO:0010792;GO:0045814;GO:0010032;GO:2000373;GO:0007141;GO:0051260;GO:0007147;GO:0051382;GO:0007144;GO:0006974;GO:0042148;GO:0006206;GO:0001556;GO:0001558;GO:0070317;GO:0010389;GO:0043406;GO:0007076;GO:0006260;GO:0008285;GO:0008284;GO:0045786;GO:1904117;GO:0007079;GO:1903429;GO:0070192;GO:0006268;GO:0043524;GO:0006302;GO:0060707;GO:0048146;GO:1990426;GO:0048387;GO:0034446;GO:0032147;GO:2000134;GO:0006270;GO:0009263;GO:0000724;GO:0007089;GO:0000722;GO:0007517;GO:0051310;GO:0006306;GO:0051154;GO:0007080;GO:0033624;GO:0072757;GO:0030071;GO:0045605;GO:0007052;GO:0036297;GO:0006366;GO:0051290;GO:0043547;GO:0098532;GO:0098535;GO:0032487;GO:0014898;GO:1904385;GO:0090305;GO:0045737;GO:0000707;GO:1904668;GO:0043433;GO:0008156;GO:0071163;GO:0032515;GO:0045860;GO:0071168;GO:0032355;GO:0031146;GO:2000045;GO:0030334;GO:0018105;GO:0016202;GO:0035984;GO:0006468;GO:0000122;GO:0010718;GO:0051984;GO:0097421;GO:0000086;GO:0000083;GO:0000082;GO:0099606;GO:0071479;GO:0099607;GO:0010833;GO:0070301;GO:0032467;GO:0033314;GO:0051106;GO:0014013;GO:0034244;GO:0007286;GO:0006351;GO:0046601;GO:1900006;GO:0006357;GO:0051598;GO:0048478;GO:0048477;GO:0097711;GO:0031641;GO:0010569;GO:2000104
GO:0007094;1.0;0.525959488009994;0.29796955072319165;0.036692364793703955;0.0;0.29796955072319165;0.29796955072319165;0.0;0.29796955072319165;0.01468324974140624;0.13839445927415203;0.29796955072319165;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.12804570306913615;0.29796955072319165;0.036692364793703955;0.29796955072319165;0.01468324974140624;0.29796955072319165;0.01468324974140624;0.29796955072319165;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.20397374928165476;0.4266380432663339;0.40085005211593094;0.047799631016701725;0.3467493891750634;0.01468324974140624;0.13839445927415203;0.047799631016701725;0.3607519509145562;0.01468324974140624;0.3467493891750634;0.047799631016701725;0.29796955072319165;0.01468324974140624;0.13839445927415203;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.3467493891750634;0.13839445927415203;0.01468324974140624;0.047799631016701725;0.4821973091525111;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.40085005211593094;0.036692364793703955;0.0;0.0;0.01468324974140624;0.13839445927415203;0.3467493891750634;0.33784985744367846;0.01468324974140624;0.6019442579329406;0.13839445927415203;0.3467493891750634;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.036692364793703955;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.0;0.01468324974140624;0.01468324974140624;0.28025216105938716;0.29796955072319165;0.047799631016701725;0.12804570306913615;0.13839445927415203;0.29796955072319165;0.13839445927415203;0.047799631016701725;0.0;0.0;0.01468324974140624;0.40085005211593094;0.047799631016701725;0.01468324974140624;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.13839445927415203;0.047799631016701725;0.5269573504908229;0.0;0.3467493891750634;0.3467493891750634;0.3467493891750634;0.0;0.01468324974140624;0.3467493891750634;0.036692364793703955;0.01468324974140624;0.3306880877895893;0.525959488009994;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.01468324974140624;0.01468324974140624;0.3306880877895893;0.20397374928165476;0.047799631016701725;0.6040532005458261;0.13839445927415203;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.13839445927415203
GO:0007095;0.525959488009994;1.0;0.29796955072319165;0.036692364793703955;0.0;0.29796955072319165;0.29796955072319165;0.0;0.29796955072319165;0.32330823750762483;0.13839445927415203;0.29796955072319165;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.12804570306913615;0.29796955072319165;0.036692364793703955;0.29796955072319165;0.01468324974140624;0.29796955072319165;0.01468324974140624;0.29796955072319165;0.32330823750762483;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.4266380432663339;0.4848200193406333;0.047799631016701725;0.3467493891750634;0.01468324974140624;0.13839445927415203;0.047799631016701725;0.3607519509145562;0.1912422969752877;0.3467493891750634;0.047799631016701725;0.29796955072319165;0.01468324974140624;0.13839445927415203;0.32330823750762483;0.01468324974140624;0.047799631016701725;0.3467493891750634;0.13839445927415203;0.01468324974140624;0.047799631016701725;0.4821973091525111;0.01468324974140624;0.01468324974140624;0.32330823750762483;0.40085005211593094;0.036692364793703955;0.0;0.0;0.01468324974140624;0.13839445927415203;0.3467493891750634;0.13839445927415203;0.1912422969752877;0.40085005211593094;0.13839445927415203;0.3467493891750634;0.32330823750762483;0.01468324974140624;0.01468324974140624;0.036692364793703955;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.17988792517482602;0.1912422969752877;0.01468324974140624;0.28025216105938716;0.29796955072319165;0.047799631016701725;0.12804570306913615;0.13839445927415203;0.29796955072319165;0.13839445927415203;0.047799631016701725;0.0;0.11807622278079505;0.01468324974140624;0.40085005211593094;0.047799631016701725;0.01468324974140624;0.042064647228987374;0.1912422969752877;0.01468324974140624;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.0;0.3467493891750634;0.3467493891750634;0.3467493891750634;0.0;0.1912422969752877;0.3467493891750634;0.036692364793703955;0.24991089615047335;0.3306880877895893;0.648771469331787;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.01468324974140624;0.01468324974140624;0.3306880877895893;0.047799631016701725;0.047799631016701725;0.49828803942410677;0.13839445927415203;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.13839445927415203
GO:0033260;0.29796955072319165;0.29796955072319165;1.0;0.0;0.0;0.31566002955365785;0.29796955072319165;0.0;0.29796955072319165;0.31566002955365785;0.0;0.29796955072319165;0.31566002955365785;0.0;0.01468324974140624;0.31566002955365785;0.0;0.29796955072319165;0.0;0.29796955072319165;0.01468324974140624;0.29796955072319165;0.01468324974140624;0.29796955072319165;0.01468324974140624;0.31566002955365785;0.13943261564481066;0.01468324974140624;0.0;0.0;0.0;0.0;0.29796955072319165;0.48819590641329713;0.0;0.0;0.0;0.01468324974140624;0.29796955072319165;0.0;0.29796955072319165;0.01468324974140624;0.0;0.31566002955365785;0.01468324974140624;0.0;0.31566002955365785;0.0;0.01468324974140624;0.0;0.0;0.31566002955365785;0.14450116634992752;0.31566002955365785;0.0;0.31566002955365785;0.0;0.0;0.31566002955365785;0.0;0.29796955072319165;0.0;0.01468324974140624;0.0;0.0;0.29796955072319165;0.31566002955365785;0.18244634003048496;0.01468324974140624;0.0;0.10587402764930422;0.01468324974140624;0.0;0.0;0.01468324974140624;0.15084348231066635;0.0;0.29796955072319165;0.0;0.0;0.0;0.29796955072319165;0.0;0.0;0.0;0.0;0.10587402764930422;0.0;0.0;0.10587402764930422;0.0;0.01468324974140624;0.10587402764930422;0.0;0.0;0.0;0.0;0.29796955072319165;0.29796955072319165;0.29796955072319165;0.0;0.01468324974140624;0.29796955072319165;0.31566002955365785;0.01468324974140624;0.0;0.29796955072319165;0.0;0.0;0.0;0.01468324974140624;0.18244634003048496;0.0;0.0;0.0;0.29796955072319165;0.31566002955365785;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0
GO:0035563;0.036692364793703955;0.036692364793703955;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.23753055021918945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.23753055021918945;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.0;0.0;0.036692364793703955;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.23753055021918945;0.036692364793703955;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.0;0.23753055021918945;0.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.23753055021918945;0.0;0.23753055021918945;0.17530917548795347;0.036692364793703955;0.0;0.17530917548795347;0.23753055021918945;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955
GO:0008584;0.0;0.0;0.0;0.0;1.0;0.2611260707055071;0.0;0.0;0.2611260707055071;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.2611260707055071;0.0;0.2611260707055071;0.0;0.2611260707055071;0.0;0.0;0.0;0.34386328635089514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.34386328635089514;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27188578912737915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27188578912737915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34386328635089514;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.34386328635089514;0.0;0.0;0.0;0.0
GO:0007131;0.29796955072319165;0.29796955072319165;0.31566002955365785;0.0;0.2611260707055071;1.0;0.29796955072319165;0.0;0.47411017321729254;0.31566002955365785;0.0;0.47411017321729254;0.31566002955365785;0.0;0.01468324974140624;0.31566002955365785;0.0;0.47411017321729254;0.0;0.47411017321729254;0.01468324974140624;0.47411017321729254;0.01468324974140624;0.47411017321729254;0.01468324974140624;0.31566002955365785;0.13943261564481066;0.2611260707055071;0.0;0.0;0.0;0.0;0.29796955072319165;0.31566002955365785;0.0;0.0;0.0;0.01468324974140624;0.29796955072319165;0.0;0.47411017321729254;0.01468324974140624;0.0;0.31566002955365785;0.2611260707055071;0.0;0.31566002955365785;0.0;0.01468324974140624;0.0;0.0;0.31566002955365785;0.13943261564481066;0.45911555624142997;0.0;0.45911555624142997;0.0;0.0;0.31566002955365785;0.0;0.29796955072319165;0.0;0.01468324974140624;0.0;0.0;0.29796955072319165;0.31566002955365785;0.15084348231066635;0.01468324974140624;0.0;0.10587402764930422;0.01468324974140624;0.0;0.0;0.01468324974140624;0.15084348231066635;0.0;0.47411017321729254;0.0;0.0;0.0;0.29796955072319165;0.0;0.0;0.0;0.0;0.10587402764930422;0.0;0.0;0.10587402764930422;0.0;0.01468324974140624;0.10587402764930422;0.0;0.0;0.0;0.0;0.29796955072319165;0.29796955072319165;0.29796955072319165;0.0;0.01468324974140624;0.29796955072319165;0.31566002955365785;0.01468324974140624;0.0;0.29796955072319165;0.0;0.0;0.0;0.2611260707055071;0.15084348231066635;0.0;0.0;0.0;0.47411017321729254;0.31566002955365785;0.2611260707055071;0.01468324974140624;0.0;0.0;0.0
GO:0007099;0.29796955072319165;0.29796955072319165;0.29796955072319165;0.0;0.0;0.29796955072319165;1.0;0.0;0.29796955072319165;0.01468324974140624;0.0;0.29796955072319165;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.29796955072319165;0.0;0.29796955072319165;0.2041871440868109;0.29796955072319165;0.35499357710737345;0.29796955072319165;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.29796955072319165;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.33489402928242473;0.0;0.29796955072319165;0.20695866249713105;0.0;0.01468324974140624;0.01468324974140624;0.0;0.29796955072319165;0.0;0.12408495164008174;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.20695866249713105;0.0;0.0;0.01468324974140624;0.0;0.29796955072319165;0.0;0.01468324974140624;0.0;0.0;0.33489402928242473;0.01468324974140624;0.01468324974140624;0.2041871440868109;0.0;0.12408495164008174;0.6707730812464126;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.29796955072319165;0.0;0.0;0.0;0.29796955072319165;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.29796955072319165;0.29796955072319165;0.29796955072319165;0.0;0.01468324974140624;0.29796955072319165;0.20695866249713105;0.01468324974140624;0.0;0.29796955072319165;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.29796955072319165;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0
GO:0015031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14423930631556076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14423930631556076;0.0;0.0;0.14423930631556076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2288532216884073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14423930631556076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13331334997803274;0.0;0.0;0.0
GO:0007130;0.29796955072319165;0.29796955072319165;0.29796955072319165;0.0;0.2611260707055071;0.47411017321729254;0.29796955072319165;0.0;1.0;0.01468324974140624;0.0;0.47411017321729254;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.5812300573629361;0.0;0.47411017321729254;0.2041871440868109;0.47411017321729254;0.39997710149953447;0.47411017321729254;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.2611260707055071;0.0;0.0;0.0;0.0;0.39997710149953447;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.29796955072319165;0.0;0.5812300573629361;0.39997710149953447;0.0;0.01468324974140624;0.2611260707055071;0.0;0.29796955072319165;0.0;0.12408495164008174;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.39997710149953447;0.0;0.0;0.01468324974140624;0.0;0.29796955072319165;0.0;0.01468324974140624;0.0;0.0;0.29796955072319165;0.01468324974140624;0.01468324974140624;0.2041871440868109;0.0;0.12408495164008174;0.20695866249713105;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.47411017321729254;0.0;0.0;0.0;0.29796955072319165;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.29796955072319165;0.29796955072319165;0.29796955072319165;0.0;0.01468324974140624;0.29796955072319165;0.39997710149953447;0.01468324974140624;0.0;0.29796955072319165;0.0;0.0;0.0;0.2611260707055071;0.01468324974140624;0.0;0.0;0.0;0.47411017321729254;0.01468324974140624;0.2611260707055071;0.01468324974140624;0.0;0.0;0.0
GO:0006289;0.01468324974140624;0.32330823750762483;0.31566002955365785;0.0;0.0;0.31566002955365785;0.01468324974140624;0.0;0.01468324974140624;1.0;0.0;0.01468324974140624;0.31566002955365785;0.0;0.01468324974140624;0.31566002955365785;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.32330823750762483;0.31566002955365785;0.13943261564481066;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.31566002955365785;0.0;0.0;0.0;0.1912422969752877;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.36643564045919497;0.01468324974140624;0.0;0.31566002955365785;0.0;0.01468324974140624;0.0;0.0;0.31566002955365785;0.13943261564481066;0.36643564045919497;0.0;0.31566002955365785;0.0;0.0;0.31566002955365785;0.0;0.01468324974140624;0.0;0.1912422969752877;0.0;0.0;0.01468324974140624;0.36643564045919497;0.15084348231066635;0.01468324974140624;0.0;0.10587402764930422;0.01468324974140624;0.0;0.17988792517482602;0.1912422969752877;0.15084348231066635;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.11807622278079505;0.10587402764930422;0.0;0.0;0.10587402764930422;0.0;0.1912422969752877;0.10587402764930422;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.1912422969752877;0.01468324974140624;0.31566002955365785;0.24991089615047335;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.15084348231066635;0.0;0.0;0.0;0.01468324974140624;0.31566002955365785;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0
