id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0008150	biological_process	619	0.00	0.00	0.00	0.00
GO:0050789	regulation of biological process	471	0.09	0.17	1.80	4.47
GO:0006810	transport	211	0.28	0.34	3.95	7.46
GO:0046718	viral entry into host cell	8	0.77	0.73	8.94	28.37
GO:0042089	cytokine biosynthetic process	3	0.63	0.64	8.18	87.71
