;GO:0015874;GO:0036376;GO:0015872;GO:1902474;GO:1902358;GO:0051491;GO:0006520;GO:0009313;GO:0002087;GO:0042136;GO:0051290;GO:0003333;GO:0046415;GO:1904659;GO:0050796;GO:0048488;GO:2000311;GO:2000310;GO:0060291;GO:0051968;GO:0015747;GO:0015746;GO:0035435;GO:0061002;GO:0070837;GO:1904064;GO:0065003;GO:0015760;GO:1904861;GO:0051260;GO:1904823;GO:0060999;GO:0043312;GO:1900029;GO:2000809;GO:0006139;GO:0007269;GO:0007589;GO:1990573;GO:0006605;GO:0098942;GO:0001558;GO:0072531;GO:2000649;GO:0015718;GO:0015879;GO:0015711;GO:0015697;GO:0090314;GO:0032230;GO:1905520;GO:1901642;GO:1902533;GO:0099054;GO:0006855;GO:0071277;GO:0097104;GO:0072488;GO:0023041;GO:0097105;GO:1990822;GO:0043252;GO:0140058;GO:0048789;GO:1900244;GO:0097113;GO:0097115;GO:0097114;GO:0097119;GO:0010248;GO:0015739;GO:0010841;GO:0035725;GO:2000463;GO:0050900;GO:0015812;GO:0032414;GO:0015811;GO:0015855;GO:2000302;GO:0106001
GO:0015874;1.0;0.1850877680383286;0.8900728338486528;0.0;0.1859137641294522;0.0;0.0;0.0;0.0;0.0;0.0;0.33386455856683617;0.0;0.28948721415407924;0.0;0.19174307134665544;0.0;0.0;0.0;0.0;0.2957208976164357;0.26045685143277225;0.1850877680383286;0.0;0.25416386230334964;0.0;0.0;0.26045685143277225;0.0;0.0;0.2717036479739923;0.0;0.23963432600651885;0.0;0.0;0.0;0.19816136219371155;0.2066993418798105;0.17996725328193683;0.37383920227930795;0.0;0.0;0.29232251221851024;0.0;0.3214213657470376;0.28589516148158883;0.3510720689721398;0.2999892710621876;0.0;0.0;0.0;0.28589516148158883;0.0;0.0;0.2082987202273457;0.0;0.0;0.2999892710621876;0.0;0.0;0.28826804828940733;0.2875011338789139;0.0;0.0;0.0;0.15533890201145006;0.14348579833571026;0.15533890201145006;0.1591850271563685;0.18420867017507217;0.25758901059878847;0.0;0.2144009356091161;0.0;0.0;0.28826804828940733;0.0;0.2763613958457169;0.2763613958457169;0.0;0.26045685143277225
GO:0036376;0.1850877680383286;1.0;0.42603812248379735;0.0;0.46199745131293624;0.0;0.0;0.0;0.0;0.0;0.0;0.469684252882403;0.0;0.3953305954366905;0.0;0.20922927561812352;0.0;0.0;0.0;0.0;0.3620679237333164;0.34547327474191103;0.45976472099580507;0.0;0.3364527838668297;0.0;0.0;0.1900500765782982;0.0;0.0;0.3369582335731644;0.0;0.2675829823875822;0.0;0.0;0.0;0.21689499133479298;0.22716542542615487;0.5071480442709414;0.2577046694770822;0.0;0.0;0.36472134154535196;0.0;0.4347672257068615;0.4084196352969493;0.47948497909638094;0.4303294045476299;0.0;0.0;0.0;0.35603102143499327;0.0;0.0;0.42480825890055973;0.0;0.0;0.46941988279630176;0.0;0.0;0.40012195554935;0.38465365332670653;0.0;0.0;0.0;0.1678706417202254;0.15411262299044515;0.1678706417202254;0.1723713492918135;0.4136592680070701;0.3413579828728113;0.0;0.8252998204904982;0.0;0.0;0.3521724405000589;0.0;0.3364527838668297;0.1850877680383286;0.0;0.1900500765782982
GO:0015872;0.8900728338486528;0.42603812248379735;1.0;0.0;0.3658464017558589;0.0;0.0;0.0;0.0;0.0;0.0;0.41098866761504815;0.0;0.3146587558627967;0.0;0.2081065911210672;0.0;0.0;0.0;0.0;0.3602179802130994;0.6204306886033123;0.36408747865261826;0.0;0.3348547586352393;0.0;0.0;0.2806568851893485;0.0;0.0;0.291856766939146;0.0;0.2657494847283812;0.0;0.0;0.0;0.2156887714084472;0.22584261513396192;0.41331246430733676;0.41308581253788995;0.0;0.0;0.315782474985038;0.0;0.43210253600078946;0.7600241001270895;0.47624599086332947;0.8005842021248907;0.0;0.0;0.0;0.30829530207160505;0.0;0.0;0.7471587912091604;0.0;0.0;0.8005842021248907;0.0;0.0;0.35042199033908095;0.38256637822740197;0.0;0.0;0.0;0.1670733187852534;0.1534403738329658;0.1670733187852534;0.17153080690611003;0.36221689352966613;0.3397131361448327;0.0;0.5000159452979003;0.0;0.0;0.35042199033908095;0.0;0.3348547586352393;0.29723794226809763;0.0;0.2806568851893485
GO:1902474;0.0;0.0;0.0;1.0;0.0;0.1580688188970704;0.0;0.0;0.05467809430313081;0.0518152659525606;0.0;0.0;0.0;0.0;0.4757635776383786;0.0;0.26734596163958263;0.2613787759364845;0.1633610168930187;0.1584460106510188;0.0;0.0;0.0;0.05200515089606328;0.0;0.30025004287334356;0.0;0.0;0.0;0.0;0.0;0.16142711775250584;0.0;0.15037889858438225;0.24045164781109743;0.0;0.051452463441874464;0.05376230396361358;0.0;0.0;0.0;0.07076023913177323;0.0;0.2808759852051964;0.0;0.0;0.0;0.0;0.41786107315996796;0.14963808477992283;0.12784066649830556;0.0;0.21062315323679198;0.0;0.0;0.0;0.0;0.0;0.05200515089606328;0.0;0.0;0.0;0.0;0.0;0.24322341025837083;0.0;0.0;0.0;0.0;0.0;0.0;0.13876567085026614;0.0;0.15686597332052934;0.0;0.0;0.2924562760306431;0.0;0.0;0.2330118141179996;0.0
GO:1902358;0.1859137641294522;0.46199745131293624;0.3658464017558589;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6790578369123436;0.0;0.39736420485916957;0.0;0.2102854127906177;0.0;0.0;0.0;0.0;0.48774669895724504;0.4652893674871573;0.7225548499925663;0.0;0.4530861972763572;0.0;0.0;0.19092106146457374;0.0;0.0;0.3384345147984799;0.0;0.26931281563567966;0.0;0.0;0.0;0.21803014537004003;0.22841093725986258;0.44806289042566855;0.25930875752126725;0.0;0.0;0.36645154073745956;0.0;0.5862464344205193;0.35064704429933435;0.646928721202902;0.36954938345325505;0.0;0.0;0.0;0.35767956468237055;0.0;0.0;0.4271573464751878;0.0;0.0;0.4198648303354341;0.0;0.0;0.5780165031163744;0.5183275795650554;0.0;0.0;0.0;0.16861980248511507;0.1547437883196161;0.16861980248511507;0.1731613139304136;0.41565767467038045;0.45972172427545954;0.0;0.5431693067391599;0.0;0.0;0.47435407475377295;0.0;0.7942517236237211;0.1859137641294522;0.0;0.19092106146457374
GO:0051491;0.0;0.0;0.0;0.1580688188970704;0.0;1.0;0.0;0.0;0.06038351340801074;0.05774247855840838;0.0;0.0;0.0;0.0;0.08475682837799935;0.0;0.07207609363608103;0.07029537494338661;0.20183532420009262;0.19508765990266766;0.0;0.0;0.0;0.46755593784639593;0.0;0.19761537501099122;0.0;0.0;0.0;0.0;0.0;0.6268115195115566;0.0;0.7774275404454329;0.15442031369502218;0.0;0.05729228636972214;0.060170880753875465;0.0;0.0;0.0;0.39092089595182067;0.0;0.06701016731311889;0.0;0.0;0.0;0.0;0.17651319174582492;0.18311123624860132;0.4394286898816649;0.0;0.2691857215103449;0.0;0.0;0.0;0.0;0.0;0.06493053510876767;0.0;0.0;0.0;0.0;0.0;0.3773146109859294;0.0;0.0;0.0;0.0;0.0;0.0;0.15209216502849787;0.0;0.19292834843306395;0.0;0.0;0.19186430643932476;0.0;0.0;0.1653157340040281;0.0
GO:0006520;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.12235503643338552;0.0;0.13441608185287748;0.027482308467644552;0.0;0.5095817893950847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0445381509207575;0.0;0.023592005330650003;0.03562579876949075;0.0;0.0;0.03774988364255434;0.0;0.0;0.2750758487646936;0.028382508977639304;0.0;0.024789261572316146;0.0;0.02083649140926217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025016830359105246;0.0;0.030428657152011145;0.024789261572316146;0.0;0.0239508132967792;0.025016830359105246;0.0;0.0;0.024789261572316146;0.02083649140926217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03634841723430928;0.0;0.0;0.0;0.0;0.0;0.0
GO:0009313;0.0;0.0;0.0;0.0;0.0;0.0;0.12235503643338552;1.0;0.0;0.08851571846401486;0.0;0.0;0.08902011444266006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16065186910773527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0002087;0.0;0.0;0.0;0.05467809430313081;0.0;0.06038351340801074;0.0;0.0;1.0;0.0542400986254069;0.0;0.0;0.0;0.0;0.06952902716928104;0.0;0.059732684667655536;0.05834090710762114;0.06250026783231279;0.06053416800930507;0.0;0.0;0.0;0.24347656896271286;0.0;0.06745762545242102;0.0;0.0;0.0;0.0;0.0;0.277676810001741;0.0;0.057319181108117956;0.05348186882875756;0.0;0.05384267518395005;0.0563773927124123;0.0;0.0;0.0;0.0747404591340183;0.0;0.0628987769089162;0.0;0.0;0.0;0.0;0.06068059912636079;0.057024690322998305;0.21779840271873513;0.0;0.08169401102023509;0.0;0.0;0.0;0.0;0.0;0.05412348337655617;0.0;0.0;0.0;0.0;0.0;0.05412348337655617;0.0;0.0;0.0;0.0;0.0;0.0;0.23714946111874247;0.0;0.5157203263858573;0.0;0.0;0.06562011246088771;0.0;0.0;0.05176261758928467;0.3227627681918968
GO:0042136;0.0;0.0;0.0;0.0518152659525606;0.0;0.05774247855840838;0.13441608185287748;0.08851571846401486;0.0542400986254069;1.0;0.023041839171859955;0.0;0.10180176201916338;0.0;0.3071265325701122;0.0;0.057060906237986264;0.05560811567411395;0.27297449587043915;0.05790045137572299;0.0;0.0;0.0;0.05124478874305351;0.0;0.06524303788766256;0.03393865280336244;0.0;0.0202431163565228;0.02850479713419054;0.0;0.059152865139439285;0.02984859350655945;0.054545683040100344;0.050586063916106476;0.18249250967733077;0.6997360486586712;0.2832501844315497;0.021118291162118854;0.0;0.0181801677097708;0.07314579570137243;0.0;0.06038990706588258;0.0;0.0;0.0;0.0;0.05805406831047626;0.0542400986254069;0.04543090646592387;0.0;0.08086853179574932;0.021283226249772906;0.0;0.025077725012694282;0.021118291162118854;0.0;0.05124478874305351;0.021283226249772906;0.0;0.0;0.021118291162118854;0.0181801677097708;0.05124478874305351;0.0;0.0;0.0;0.0;0.0;0.0;0.04980254021197056;0.0;0.26054960146513867;0.028965539896865282;0.0;0.06327835131603732;0.0;0.0;0.5775945875718713;0.0
