;GO:0051260;GO:0007166;GO:0061737;GO:0007188;GO:0006099;GO:0007200;GO:0006367;GO:0006103;GO:0007204;GO:0006357;GO:0006104;GO:0106077;GO:0007218;GO:0043161;GO:0006559;GO:0002437;GO:0006816;GO:0016567;GO:0033512
GO:0051260;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007166;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1;0.3;0.16666666666666666;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.0;0.1111111111111111;0.125
GO:0061737;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.1;0.0;0.16666666666666666;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.0;0.1111111111111111;0.125
GO:0007188;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.2;0.1;0.0;0.16666666666666666;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.0;0.1111111111111111;0.125
GO:0006099;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4;0.1;0.0;0.3333333333333333;0.2222222222222222;0.0;0.0;0.3333333333333333;0.0;0.0;0.2222222222222222;0.25
GO:0007200;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.1;0.0;0.16666666666666666;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.0;0.1111111111111111;0.125
GO:0006367;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.4;0.1;0.0;0.3333333333333333;0.2222222222222222;0.0;0.5;0.42857142857142855;0.0;0.0;0.2222222222222222;0.25
GO:0006103;0.0;0.2;0.2;0.2;0.4;0.2;0.4;1.0;0.08333333333333333;0.0;0.42857142857142855;0.2;0.2;0.4;0.2857142857142857;0.0;0.0;0.2;0.3333333333333333
GO:0007204;0.0;0.1;0.1;0.1;0.1;0.1;0.1;0.08333333333333333;1.0;0.058823529411764705;0.07692307692307693;0.0625;0.1;0.1;0.07692307692307693;0.0;0.0;0.0625;0.06666666666666667
GO:0006357;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.058823529411764705;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006104;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.42857142857142855;0.07692307692307693;0.0;1.0;0.18181818181818182;0.16666666666666666;0.3333333333333333;0.25;0.0;0.0;0.18181818181818182;0.5
GO:0106077;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.2;0.0625;0.0;0.18181818181818182;1.0;0.1111111111111111;0.3333333333333333;0.18181818181818182;0.0;0.0;0.45454545454545453;0.15384615384615385
GO:0007218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1;0.0;0.16666666666666666;0.1111111111111111;1.0;0.0;0.16666666666666666;0.0;0.0;0.1111111111111111;0.125
GO:0043161;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.4;0.1;0.0;0.3333333333333333;0.3333333333333333;0.0;1.0;0.5;0.0;0.0;0.3333333333333333;0.375
GO:0006559;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.42857142857142855;0.2857142857142857;0.07692307692307693;0.0;0.25;0.18181818181818182;0.16666666666666666;0.5;1.0;0.0;0.0;0.18181818181818182;0.5
GO:0002437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
GO:0006816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
GO:0016567;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.2222222222222222;0.2;0.0625;0.0;0.18181818181818182;0.45454545454545453;0.1111111111111111;0.3333333333333333;0.18181818181818182;0.0;0.0;1.0;0.15384615384615385
GO:0033512;0.0;0.125;0.125;0.125;0.25;0.125;0.25;0.3333333333333333;0.06666666666666667;0.0;0.5;0.15384615384615385;0.125;0.375;0.5;0.0;0.0;0.15384615384615385;1.0
