;GO:0002480;GO:0045666;GO:0061418;GO:0045944;GO:0045648;GO:0001892;GO:0045821;GO:0001666;GO:0043171;GO:0030949;GO:0018230;GO:0033235;GO:0016311;GO:0010575;GO:0030522;GO:0042789;GO:0043619;GO:0006351;GO:0000209;GO:0030163;GO:0060395;GO:0046886;GO:0007565;GO:0006355;GO:0006612;GO:0006508;GO:0031146;GO:0001938
GO:0002480;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045666;0.0;1.0;0.014947318878383303;0.016294308724158792;0.23002417151337318;0.0;0.004944871281968942;0.0;0.0;0.07071152378766986;0.0;0.04520958677411728;0.0;0.06997366374480725;0.02360482794317955;0.0;0.014947318878383303;0.0;0.0;0.0;0.02360482794317955;0.07071152378766986;0.0;0.02360482794317955;0.0;0.0;0.0;0.07071152378766986
GO:0061418;0.0;0.014947318878383303;1.0;0.16980440134560842;0.014947318878383303;0.0;0.011223446298075968;0.011526001149092923;0.006321202829729875;0.014947318878383303;0.006321202829729875;0.04275392874030413;0.006321202829729875;0.00838355536972487;0.014947318878383303;0.0026135649106476403;0.9953352483003213;0.005791764842280598;0.006321202829729875;0.0;0.014947318878383303;0.07574735369984227;0.0;0.4605798979081166;0.0;0.0;0.006321202829729875;0.014947318878383303
GO:0045944;0.0;0.016294308724158792;0.16980440134560842;1.0;0.016294308724158792;0.0;0.03807125591282676;0.0;0.0;0.016294308724158792;0.0;0.05463979172456285;0.0;0.005439344724655555;0.005439344724655555;0.0;0.16980440134560842;0.0;0.0;0.0;0.005439344724655555;0.11622408017155371;0.0;0.16760549890937199;0.0;0.0;0.0;0.016294308724158792
GO:0045648;0.0;0.23002417151337318;0.014947318878383303;0.016294308724158792;1.0;0.0;0.004944871281968942;0.0;0.0;0.06647831636647994;0.0;0.04520958677411728;0.0;0.0657846289625584;0.02219170420503147;0.0;0.014947318878383303;0.0;0.0;0.0;0.02219170420503147;0.06647831636647994;0.0;0.02219170420503147;0.0;0.0;0.0;0.06647831636647994
GO:0001892;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09056921112053055;0.0;0.0;0.0;0.0;0.0
GO:0045821;0.0;0.004944871281968942;0.011223446298075968;0.03807125591282676;0.004944871281968942;0.0;1.0;0.0;0.0;0.004944871281968942;0.0;0.01658166305336796;0.0;0.0016506904328994225;0.0016506904328994225;0.0;0.011223446298075968;0.0;0.0;0.0;0.0016506904328994225;0.035270788472386815;0.0;0.011223446298075968;0.0;0.0;0.0;0.004944871281968942
GO:0001666;0.0;0.0;0.011526001149092923;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011526001149092923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043171;0.0;0.0;0.006321202829729875;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.041530292489851975;0.0;0.09871823284067108;0.0;0.0240801418093732;0.020725405904085722;0.006321202829729875;0.04592833212913522;0.1248550979554084;0.3309813292977832;0.0240801418093732;0.0;0.0;0.0;0.0;0.13875356133210326;0.13202861765236915;0.0
GO:0030949;0.0;0.07071152378766986;0.014947318878383303;0.016294308724158792;0.06647831636647994;0.0;0.004944871281968942;0.0;0.0;1.0;0.0;0.04520958677411728;0.0;0.037375250853054785;0.037375250853054785;0.0;0.014947318878383303;0.0;0.0;0.0;0.037375250853054785;0.07997920883500724;0.0;0.032453259350379245;0.0;0.0;0.0;0.11196272839300858
GO:0018230;0.0;0.0;0.006321202829729875;0.0;0.0;0.0;0.0;0.0;0.041530292489851975;0.0;1.0;0.0;0.029547328692642462;0.0;0.007207421005553683;0.023629897932562285;0.006321202829729875;0.052364803152556746;0.31470057824382663;0.0958203182709912;0.007207421005553683;0.0;0.0;0.0;0.0;0.0958203182709912;0.0958203182709912;0.0
GO:0033235;0.0;0.04520958677411728;0.04275392874030413;0.05463979172456285;0.04520958677411728;0.0;0.01658166305336796;0.0;0.0;0.04520958677411728;0.0;1.0;0.0;0.015091804843433006;0.015091804843433006;0.0;0.04275392874030413;0.0;0.0;0.0;0.015091804843433006;0.151601546718506;0.0;0.04316720303410692;0.0;0.0;0.0;0.04520958677411728
GO:0016311;0.0;0.0;0.006321202829729875;0.0;0.0;0.0;0.0;0.0;0.09871823284067108;0.0;0.029547328692642462;0.0;1.0;0.0;0.1379723158137202;0.010714492939285447;0.006321202829729875;0.023743746809502336;0.0888299695732211;0.024820626042788427;0.1379723158137202;0.0;0.0;0.0;0.0;0.07035993145533237;0.039378752410871444;0.0
GO:0010575;0.0;0.06997366374480725;0.00838355536972487;0.005439344724655555;0.0657846289625584;0.0;0.0016506904328994225;0.0;0.0;0.037375250853054785;0.0;0.015091804843433006;0.0;1.0;0.06919221257938166;0.0;0.00838355536972487;0.0;0.0;0.0;0.06919221257938166;0.026698554386281926;0.0;0.018202173841719307;0.0;0.0;0.0;0.09120063924171794
GO:0030522;0.0;0.02360482794317955;0.014947318878383303;0.005439344724655555;0.02219170420503147;0.0;0.0016506904328994225;0.0;0.0240801418093732;0.037375250853054785;0.007207421005553683;0.015091804843433006;0.1379723158137202;0.06919221257938166;1.0;0.0026135649106476403;0.014947318878383303;0.005791764842280598;0.02166811745605119;0.0;0.8386868355071861;0.026698554386281926;0.0;0.032453259350379245;0.0;0.0;0.009605580600905082;0.09120063924171794
GO:0042789;0.0;0.0;0.0026135649106476403;0.0;0.0;0.0;0.0;0.0;0.020725405904085722;0.0;0.023629897932562285;0.0;0.010714492939285447;0.0;0.0026135649106476403;1.0;0.0026135649106476403;0.4512553568418893;0.023629897932562285;0.00793118992101781;0.0026135649106476403;0.0;0.0;0.0;0.0;0.00793118992101781;0.023629897932562285;0.0
GO:0043619;0.0;0.014947318878383303;0.9953352483003213;0.16980440134560842;0.014947318878383303;0.0;0.011223446298075968;0.011526001149092923;0.006321202829729875;0.014947318878383303;0.006321202829729875;0.04275392874030413;0.006321202829729875;0.00838355536972487;0.014947318878383303;0.0026135649106476403;1.0;0.005791764842280598;0.006321202829729875;0.0;0.014947318878383303;0.07574735369984227;0.0;0.4605798979081166;0.0;0.0;0.006321202829729875;0.014947318878383303
GO:0006351;0.0;0.0;0.005791764842280598;0.0;0.0;0.0;0.0;0.0;0.04592833212913522;0.0;0.052364803152556746;0.0;0.023743746809502336;0.0;0.005791764842280598;0.4512553568418893;0.005791764842280598;1.0;0.052364803152556746;0.017575835501486885;0.005791764842280598;0.0;0.0;0.0;0.0;0.017575835501486885;0.052364803152556746;0.0
GO:0000209;0.0;0.0;0.006321202829729875;0.0;0.0;0.0;0.0;0.0;0.1248550979554084;0.0;0.31470057824382663;0.0;0.0888299695732211;0.0;0.02166811745605119;0.023629897932562285;0.006321202829729875;0.052364803152556746;1.0;0.2880705746718823;0.02166811745605119;0.0;0.0;0.0;0.0;0.2880705746718823;0.12770307016159615;0.0
GO:0030163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3309813292977832;0.0;0.0958203182709912;0.0;0.024820626042788427;0.0;0.0;0.00793118992101781;0.0;0.017575835501486885;0.2880705746718823;1.0;0.0;0.0;0.0;0.0;0.0;0.3299821510735427;0.3869999324088749;0.0
