;GO:1904874;GO:0007021;GO:1904851;GO:1904871;GO:0046931;GO:0043312;GO:0009615;GO:0090090;GO:0051973;GO:0045892;GO:0051086;GO:0051131;GO:0032212
GO:1904874;1.0;0.0;0.045693204878288866;0.0743596915926444;0.0;0.0;0.0;0.018844109286857823;0.008360149742924409;0.002824277217674385;0.0;0.0;0.004902412669297628
GO:0007021;0.0;1.0;0.0;0.0;0.8192695785824097;0.02535564089323761;0.0;0.0;0.0;0.0;0.07564055891886355;0.9080275310725635;0.0
GO:1904851;0.045693204878288866;0.0;1.0;0.23452397622641905;0.0;0.0;0.0;0.018844109286857823;0.008360149742924409;0.002824277217674385;0.0;0.0;0.004902412669297628
GO:1904871;0.0743596915926444;0.0;0.23452397622641905;1.0;0.0;0.0;0.0;0.018844109286857823;0.008360149742924409;0.002824277217674385;0.0;0.0;0.004902412669297628
GO:0046931;0.0;0.8192695785824097;0.0;0.0;1.0;0.02535564089323761;0.0;0.0;0.0;0.0;0.08330205454180095;0.8192695785824097;0.0
GO:0043312;0.0;0.02535564089323761;0.0;0.0;0.02535564089323761;1.0;0.0;0.0;0.0;0.0;0.02535564089323761;0.02535564089323761;0.0
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090090;0.018844109286857823;0.0;0.018844109286857823;0.018844109286857823;0.0;0.0;0.0;1.0;0.008360149742924409;0.015136182446102072;0.0;0.0;0.004902412669297628
GO:0051973;0.008360149742924409;0.0;0.008360149742924409;0.008360149742924409;0.0;0.0;0.0;0.008360149742924409;1.0;0.04731895019545739;0.0;0.0;0.4607164818110297
GO:0045892;0.002824277217674385;0.0;0.002824277217674385;0.002824277217674385;0.0;0.0;0.0;0.015136182446102072;0.04731895019545739;1.0;0.0;0.0;0.046068341918840815
GO:0051086;0.0;0.07564055891886355;0.0;0.0;0.08330205454180095;0.02535564089323761;0.0;0.0;0.0;0.0;1.0;0.07564055891886355;0.0
GO:0051131;0.0;0.9080275310725635;0.0;0.0;0.8192695785824097;0.02535564089323761;0.0;0.0;0.0;0.0;0.07564055891886355;1.0;0.0
GO:0032212;0.004902412669297628;0.0;0.004902412669297628;0.004902412669297628;0.0;0.0;0.0;0.004902412669297628;0.4607164818110297;0.046068341918840815;0.0;0.0;1.0
