;GO:1904874;GO:0007021;GO:1904851;GO:1904871;GO:0046931;GO:0043312;GO:0009615;GO:0090090;GO:0051973;GO:0045892;GO:0051086;GO:0051131;GO:0032212
GO:1904874;1.0;0.0;0.4325994900713487;0.3997958144426852;0.0;0.0;0.0;0.29342840815218313;0.3334480096655092;0.3509023451759745;0.0;0.0;0.3166183446805923
GO:0007021;0.0;1.0;0.0;0.0;0.5925963001785468;0.3855773354389354;0.0;0.0;0.0;0.0;0.28367981189368235;0.5807259789877097;0.0
GO:1904851;0.4325994900713487;0.0;1.0;0.5614452974618274;0.0;0.0;0.0;0.27611347131678793;0.3138179532999968;0.3335874083405793;0.0;0.0;0.2969882883150799
GO:1904871;0.3997958144426852;0.0;0.5614452974618274;1.0;0.0;0.0;0.0;0.26062473252351964;0.2965030164646016;0.31809866954731103;0.0;0.0;0.2796733514796847
GO:0046931;0.0;0.5925963001785468;0.0;0.0;1.0;0.4122517233397286;0.0;0.0;0.0;0.0;0.31035419979447554;0.5925963001785468;0.0
GO:0043312;0.0;0.3855773354389354;0.0;0.0;0.4122517233397286;1.0;0.0;0.0;0.0;0.0;0.28367981189368235;0.3855773354389354;0.0
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090090;0.29342840815218313;0.0;0.27611347131678793;0.26062473252351964;0.0;0.0;0.0;1.0;0.27991031780812825;0.4630680400632211;0.0;0.0;0.26308065282321136
GO:0051973;0.3334480096655092;0.0;0.3138179532999968;0.2965030164646016;0.0;0.0;0.0;0.27991031780812825;1.0;0.542844153089473;0.0;0.0;0.7543479213398382
GO:0045892;0.3509023451759745;0.0;0.3335874083405793;0.31809866954731103;0.0;0.0;0.0;0.4630680400632211;0.542844153089473;1.0;0.0;0.0;0.5260144881045561
GO:0051086;0.0;0.28367981189368235;0.0;0.0;0.31035419979447554;0.28367981189368235;0.0;0.0;0.0;0.0;1.0;0.28367981189368235;0.0
GO:0051131;0.0;0.5807259789877097;0.0;0.0;0.5925963001785468;0.3855773354389354;0.0;0.0;0.0;0.0;0.28367981189368235;1.0;0.0
GO:0032212;0.3166183446805923;0.0;0.2969882883150799;0.2796733514796847;0.0;0.0;0.0;0.26308065282321136;0.7543479213398382;0.5260144881045561;0.0;0.0;1.0
