;GO:1904874;GO:0007021;GO:1904851;GO:1904871;GO:0046931;GO:0043312;GO:0009615;GO:0090090;GO:0051973;GO:0045892;GO:0051086;GO:0051131;GO:0032212
GO:1904874;1.0;0.0;0.19673256925640645;0.19673256925640645;0.0;0.0;0.0;0.042064647228987374;0.11511873865597294;0.042064647228987374;0.0;0.0;0.11511873865597294
GO:0007021;0.0;1.0;0.0;0.0;0.24997772404766266;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.30997634000901914;0.0
GO:1904851;0.19673256925640645;0.0;1.0;0.4142574797254703;0.0;0.0;0.0;0.042064647228987374;0.11511873865597294;0.042064647228987374;0.0;0.0;0.11511873865597294
GO:1904871;0.19673256925640645;0.0;0.4142574797254703;1.0;0.0;0.0;0.0;0.042064647228987374;0.11511873865597294;0.042064647228987374;0.0;0.0;0.11511873865597294
GO:0046931;0.0;0.24997772404766266;0.0;0.0;1.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.24997772404766266;0.0
GO:0043312;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;1.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090090;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;1.0;0.047799631016701725;0.13839445927415203;0.0;0.0;0.047799631016701725
GO:0051973;0.11511873865597294;0.0;0.11511873865597294;0.11511873865597294;0.0;0.0;0.0;0.047799631016701725;1.0;0.14806647662370065;0.0;0.0;0.574629051418289
GO:0045892;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.13839445927415203;0.14806647662370065;1.0;0.0;0.0;0.14806647662370065
GO:0051086;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;1.0;0.01468324974140624;0.0
GO:0051131;0.0;0.30997634000901914;0.0;0.0;0.24997772404766266;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;1.0;0.0
GO:0032212;0.11511873865597294;0.0;0.11511873865597294;0.11511873865597294;0.0;0.0;0.0;0.047799631016701725;0.574629051418289;0.14806647662370065;0.0;0.0;1.0
