;GO:1904874;GO:0007021;GO:1904851;GO:1904871;GO:0046931;GO:0043312;GO:0009615;GO:0090090;GO:0051973;GO:0045892;GO:0051086;GO:0051131;GO:0032212
GO:1904874;1.0;0.0;0.3125;0.3846153846153846;0.0;0.0;0.0;0.15000000000000002;0.10810810810810811;0.08108108108108103;0.0;0.0;0.09523809523809523
GO:0007021;0.0;1.0;0.0;0.0;0.875;0.0714285714285714;0.0;0.0;0.0;0.0;0.16666666666666663;1.0;0.0
GO:1904851;0.3125;0.0;1.0;0.5;0.0;0.0;0.0;0.10344827586206895;0.08695652173913049;0.06521739130434778;0.0;0.0;0.07843137254901966
GO:1904871;0.3846153846153846;0.0;0.5;1.0;0.0;0.0;0.0;0.11538461538461542;0.09302325581395354;0.06976744186046513;0.0;0.0;0.08333333333333337
GO:0046931;0.0;0.875;0.0;0.0;1.0;0.07407407407407407;0.0;0.0;0.0;0.0;0.18181818181818177;0.875;0.0
GO:0043312;0.0;0.0714285714285714;0.0;0.0;0.07407407407407407;1.0;0.0;0.0;0.0;0.0;0.07692307692307687;0.0714285714285714;0.0
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090090;0.15000000000000002;0.0;0.10344827586206895;0.11538461538461542;0.0;0.0;0.0;1.0;0.08333333333333337;0.1333333333333333;0.0;0.0;0.07547169811320753
GO:0051973;0.10810810810810811;0.0;0.08695652173913049;0.09302325581395354;0.0;0.0;0.0;0.08333333333333337;1.0;0.2545454545454545;0.0;0.0;0.5957446808510638
GO:0045892;0.08108108108108103;0.0;0.06521739130434778;0.06976744186046513;0.0;0.0;0.0;0.1333333333333333;0.2545454545454545;1.0;0.0;0.0;0.23333333333333328
GO:0051086;0.0;0.16666666666666663;0.0;0.0;0.18181818181818177;0.07692307692307687;0.0;0.0;0.0;0.0;1.0;0.16666666666666663;0.0
GO:0051131;0.0;1.0;0.0;0.0;0.875;0.0714285714285714;0.0;0.0;0.0;0.0;0.16666666666666663;1.0;0.0
GO:0032212;0.09523809523809523;0.0;0.07843137254901966;0.08333333333333337;0.0;0.0;0.0;0.07547169811320753;0.5957446808510638;0.23333333333333328;0.0;0.0;1.0
