;GO:1904874;GO:0007021;GO:1904851;GO:1904871;GO:0046931;GO:0043312;GO:0009615;GO:0090090;GO:0051973;GO:0045892;GO:0051086;GO:0051131;GO:0032212
GO:1904874;1.0;0.0;0.2645122883256281;0.26260981077046314;0.0;0.0;0.0;0.06853395071011308;0.16972935034766265;0.08433961310684125;0.0;0.0;0.16900099806934488
GO:0007021;0.0;1.0;0.0;0.0;0.32948349138808236;0.025109944287691775;0.0;0.0;0.0;0.0;0.016305915572199955;0.4118343832293064;0.0
GO:1904851;0.2645122883256281;0.0;1.0;0.5380809161766941;0.0;0.0;0.0;0.06629430488948237;0.16469429680997327;0.0809731787683997;0.0;0.0;0.1640084296713622
GO:1904871;0.26260981077046314;0.0;0.5380809161766941;1.0;0.0;0.0;0.0;0.0657360894539192;0.16343445745828478;0.0801419456740418;0.0;0.0;0.16275902183596586
GO:0046931;0.0;0.32948349138808236;0.0;0.0;1.0;0.027066797439943873;0.0;0.0;0.0;0.0;0.017109163434613224;0.3518850696979996;0.0
GO:0043312;0.0;0.025109944287691775;0.0;0.0;0.027066797439943873;1.0;0.0;0.0;0.0;0.0;0.021458197157809184;0.027370707143601854;0.0
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090090;0.06853395071011308;0.0;0.06629430488948237;0.0657360894539192;0.0;0.0;0.0;1.0;0.0840053889913026;0.3553030790208064;0.0;0.0;0.08357604468879942
GO:0051973;0.16972935034766265;0.0;0.16469429680997327;0.16343445745828478;0.0;0.0;0.0;0.0840053889913026;1.0;0.3261508088847526;0.0;0.0;0.9029362977550546
GO:0045892;0.08433961310684125;0.0;0.0809731787683997;0.0801419456740418;0.0;0.0;0.0;0.3553030790208064;0.3261508088847526;1.0;0.0;0.0;0.3240642333734708
GO:0051086;0.0;0.016305915572199955;0.0;0.0;0.017109163434613224;0.021458197157809184;0.0;0.0;0.0;0.0;1.0;0.017230094564966998;0.0
GO:0051131;0.0;0.4118343832293064;0.0;0.0;0.3518850696979996;0.027370707143601854;0.0;0.0;0.0;0.0;0.017230094564966998;1.0;0.0
GO:0032212;0.16900099806934488;0.0;0.1640084296713622;0.16275902183596586;0.0;0.0;0.0;0.08357604468879942;0.9029362977550546;0.3240642333734708;0.0;0.0;1.0
